shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/13/0/4,RSC1NAHu0/13/0/4,Hu,up,Reserved,TRK:ENLACE: ROA1.ROC1 (et-7/0/2),Enlace 100G a IRD1NA 0/14/0/5 (L=11005770),revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/14/0/6,RSC1NAHu0/14/0/6,Hu,up,Reserved,TRK:ENLACE: ROA1.ROO1 (et-8/0/2),11005759 - RSC1NA - ROA1.ROO1,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/15/0/6,RSC1NAHu0/15/0/6,Hu,up,Available,TRK:ENLACE:IRD1NA (100GE0/5/0/3) Linea:11001531,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/15/0/7,RSC1NAHu0/15/0/7,Hu,up,Available,TRK:ENLACE:IRD1NA (100GE0/5/0/4) (RSCT1-00/01-01/22/04-03) Linea:65988020,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/16/0/5,RSC1NAHu0/16/0/5,Hu,up,Available,TRK:ENLACE:IRD1NA (100GE0/7/0/3) (RSCT1-00/01-01/25/05-06) Linea:65988071,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/16/0/6,RSC1NAHu0/16/0/6,Hu,up,Available,TRK:ENLACE:IRD1NA (100GE0/7/0/4) (RSCT1-00/01-01/21/03-04) Linea:65988072,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/0,RSC1NAHu0/17/0/0,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/0) Linea:11002674,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/1,RSC1NAHu0/17/0/1,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/1) Linea:11004930,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/2,RSC1NAHu0/17/0/2,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/2) Linea:11004931,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/3,RSC1NAHu0/17/0/3,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/3) (S5-004 88RSC03 6/24/1) Linea:15009158,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/4,RSC1NAHu0/17/0/4,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/4) (S5-005 88RSC03 6/26/1) Linea:15009159,NaN,revisar
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/17/0/5,RSC1NAHu0/17/0/5,Hu,up,Available,TRK:ENLACE:CTE1NA (100GE14/0/5) (S5-006 88RSC03 5/20/1) Linea:15009160,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/7,IC1.HOR1100GE2/0/7,100GE,up,Reserved,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/7),15009237 - Ext B: ROC2.HOR1 Hu0/11/0/11,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/7,IC1.HOR1100GE2/1/7,100GE,up,Reserved,TRK:ENLACE:ROE1.HOR1 (Hu1/0/0/2),15009230 - Ext B: ROE1.HOR1 Hu0/1/0/2.,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/8,IC1.HOR1100GE2/1/8,100GE,up,Reserved,TRK:ENLACE:ROE1.HOR1 (Hu1/0/0/3),15009231 - Ext B: ROE1.HOR1 Hu0/1/0/3,revisar
