shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/3,RSC1NATe0/10/0/3,Te,up,Active,Enlace 10G DWDM SPU2MU_G3/0/1 (Linea:15007999) - UPLINK AGN,NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/8,RSC1NATe0/10/0/8,Te,up,Active,Enlace 10G FO AES2MU_G1/0/1 (Linea:11004813) - UPLINK AGN,NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/10,RSC1NATe0/10/0/10,Te,up,Active,Enlace 10G DWDM RAF3MU_G1/0/0 (Linea:11002262) - UPLINK AGN - (46RSR01_G2/13/4),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/13,RSC1NATe0/10/0/13,Te,up,Active,Enlace 10G FO AES2MU_G3/0/2 (Linea:11005774) - UPLINK AGN,NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/16,RSC1NATe0/10/0/16,Te,up,Active,TRK:ENLACE: ROA1.RON1 (xe-3/0/0),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/10/0/18,RSC1NATe0/10/0/18,Te,up,Active,TRK:ENLACE: ROA1.RON1 (xe-4/1/1),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/2,RSC1NATe0/11/0/2,Te,up,Active,Enlace 10G DWDM CSL3MU_G3/1/0 (Linea:11005356) - UPLINK AGN,Enlace 10G DWDM CSL3MU_G3/1/0 (Linea:11005356) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/3,RSC1NATe0/11/0/3,Te,up,Active,Enlace 10G DWDM SLV2MU_G8/0/1 (Linea:13006537) - UPLINK AGN,Enlace 10G DWDM SLV2MU_G8/0/1 (Linea:13006537) - UPLINK AGN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/0,IC1.HOR1100GE2/0/0,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/0),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/1,IC1.HOR1100GE2/0/1,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/2,IC1.HOR1100GE2/0/2,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/2),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/3,IC1.HOR1100GE2/0/3,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/3),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/4,IC1.HOR1100GE2/0/4,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/4),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/5,IC1.HOR1100GE2/0/5,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/5),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/6,IC1.HOR1100GE2/0/6,100GE,up,Active,TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/6),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/10,IC1.HOR1100GE2/0/10,100GE,up,Active,TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/0),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/11,IC1.HOR1100GE2/0/11,100GE,up,Active,TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/12,IC1.HOR1100GE2/0/12,100GE,up,Active,TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/2),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/0/13,IC1.HOR1100GE2/0/13,100GE,up,Active,TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/3),NaN,ok_reserva
