shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/1,BEL1NAHu0/1/0/1,Hu,up,Available,Enlace 100G NN A BEL1MB Hu0/4/0/0 (Linea:15004651) - UPLINK BBIP,NaN,revisar_1
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/3,BEL1NAHu0/1/0/3,Hu,up,Available,Enlace 100G A CLI1MB Hu0/4/0/1 (Linea:15001971) - UPLINK BBIP,NaN,revisar_1
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/1,BEL1NAHu0/4/0/1,Hu,up,Available,Enlace 100G Fo GLF5MU_G3/0/0 (Linea:15007800) - UPLINK AGN,NaN,revisar_1
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/2,BEL1NAHu0/4/0/2,Hu,up,Available,Enlace 100G FO GLF4MU_G3/0/0 (Linea:15007798) - UPLINK AGN,NaN,revisar_1
OUTER CORE,CEN1NA,Cisco-ASR-9922,Hu0/3/0/2,CEN1NAHu0/3/0/2,Hu,up,Available,ENLACE 100G a CDNGW.CEN Hu0/0/0/8 Linea:15009252,CDNGW1.CEN1 Hu0/0/0/8,revisar_1
OUTER CORE,CEN1NA,Cisco-ASR-9922,Hu0/3/0/5,CEN1NAHu0/3/0/5,Hu,up,Available,ENLACE 100G a CDNGW.CEN Hu0/0/0/11 Linea:15009255,CDNGW1.CEN1 Hu0/0/0/11,revisar_1
OUTER CORE,CEN1NA,Cisco-ASR-9922,Hu0/4/0/0,CEN1NAHu0/4/0/0,Hu,up,Available,TRK:ENLACE:ROA1.CBE1 (Hu0/5/0/1),ENLACE 100G a COEGGC1SA 4/2 - Linea:13003660,revisar_1
OUTER CORE,CEN1NA,Cisco-ASR-9922,Hu0/5/0/2,CEN1NAHu0/5/0/2,Hu,up,Available,Enlace 100G NN A MUN1NA Hu0/14/0/1 (Linea:15003700) - UPLINK BBIP - Dado de Baja,Enlace 100G NN A MUN1NA Hu0/14/0/1 (Linea:15003700) - UPLINK BBIP,revisar_1
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/2/0/2,COE1NAHu0/2/0/2,Hu,up,Available,contra CBN,NaN,revisar_1
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/2/0/3,COE1NAHu0/2/0/3,Hu,up,Available,contra CBN,NaN,revisar_1
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/3/0/3,COE1NAHu0/3/0/3,Hu,up,Available,ENLACE 100G a CDNGW.CEN Hu0/1/0/9 linea:15009260,CDNGW1.CEN1 Hu0/1/0/9,revisar_1
OUTER CORE,CTE1NA,Cisco-ASR-9922,Hu0/2/0/0,CTE1NAHu0/2/0/0,Hu,up,Available,Enlace 100G NN A ZAB1MB Hu0/5/0/0 (Linea:13002850) - UPLINK BBIP,Enlace 100G NN A ZAB1MB Hu0/5/0/0 (Linea:13002850) - UPLINK BBIP,revisar_1
OUTER CORE,CTE1NA,Cisco-ASR-9922,Hu0/18/0/1,CTE1NAHu0/18/0/1,Hu,up,Available,Enlace 100G a ZAB1MB Hu0/3/0/0 (Linea:13006960) - UPLINK BBIP,Enlace 100G a ZAB1MB Hu0/3/0/0 (Linea:13006960) - UPLINK BBIP,revisar_1
OUTER CORE,MUN1NA,Cisco-ASR-9922,Hu0/2/0/2,MUN1NAHu0/2/0/2,Hu,up,Available,Enlace 100G a ESH1MB Hu0/5/0/0 (Linea:15003714) - UPLINK BBIP,NaN,revisar_1
OUTER CORE,MUN1NA,Cisco-ASR-9922,Hu0/2/0/3,MUN1NAHu0/2/0/3,Hu,up,Available,ENLACE 100G A LOP1MB 0/5/0/0 (Linea:15003747) - UPLINK BBIP,NaN,revisar_1
OUTER CORE,MUN1NA,Cisco-ASR-9922,Hu0/17/0/1,MUN1NAHu0/17/0/1,Hu,up,Available,Enlace 100G NN A MUN1MB Hu0/3/0/0 (Linea:1500180) - UPLINK BBIP,NaN,revisar_1
OUTER CORE,RES1NA,Cisco-ASR-9922,Hu0/2/0/0,RES1NAHu0/2/0/0,Hu,up,Available,Enlace 100G NN A BGN1MB Hu0/4/0/1 (Linea:13002849) - UPLINK BBIP,Enlace 100G NN A BGN1MB Hu0/4/0/1 (Linea:13002849) - UPLINK BBIP,revisar_1
OUTER CORE,RES1NA,Cisco-ASR-9922,Hu0/15/0/5,RES1NAHu0/15/0/5,Hu,up,Available,TRK:ENLACE:IRD1NA (100GE6/0/5) (S6-006 88RES01 0/35/1) Linea:15009157,RES1NA Hu0/15/0/5 - IRD1NA Hu0/6/0/5 Linea 15009157,revisar_1
OUTER CORE,RES1NA,Cisco-ASR-9922,Hu0/18/0/1,RES1NAHu0/18/0/1,Hu,up,Available,Enlace 100G a BGN1MB Hu0/3/0/0 (Linea:13006962) - UPLINK BBIP,Enlace 100G a BGN1MB Hu0/3/0/0 (Linea:13006962) - UPLINK BBIP,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/0/0/0,ROC2.AVA1Hu0/0/0/0,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-4/0/2) (SDH8.AVA1-Slot 9-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/0/0/1,ROC2.AVA1Hu0/0/0/1,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-4/0/5) (SDH8.AVA1-Slot 12-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/0/0/2,ROC2.AVA1Hu0/0/0/2,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-4/1/2) (SDH8.AVA1-Slot 13-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/0/0/11,ROC2.AVA1Hu0/0/0/11,Hu,up,Available,TRK:ENLACE:IC1.HOR1 (100GE9/0/19) (WDM4.AVA1 6/8/C2),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/1/0/0,ROC2.AVA1Hu0/1/0/0,Hu,up,Available,TRK:ENLACE:ROA1.NEU1 (et-5/1/0) (SDH7.AVA1-Shelf 7-Slot 11-Cliente 2),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/2/0/7,ROC2.AVA1Hu0/2/0/7,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-2/3/0) (SDH6.AVA1-Slot 5-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/3/0/4,ROC2.AVA1Hu0/3/0/4,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-3/1/0) (SDH6.AVA1-Slot 11-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/0/0/1,ROC2.HOR1Hu0/0/0/1,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/1),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/0/0/2,ROC2.HOR1Hu0/0/0/2,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/0),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/7/0/0,ROC2.AVA1Hu0/7/0/0,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-10/1/0) (SDH6.AVA1-Slot 3-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/7/0/1,ROC2.AVA1Hu0/7/0/1,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-10/3/0) (SDH6.AVA1-Slot 9-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/7/0/2,ROC2.AVA1Hu0/7/0/2,Hu,up,Available,TRK:ENLACE:ROM1.STF1 (et-2/1/0) (SDH7.AVA1-Slot 10-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/10/0/2,ROC2.AVA1Hu0/10/0/2,Hu,up,Available,TRK:ENLACE:ROA1.PLS1 (Hu0/6/1/0) (WBBC963 -> WDM3.AVA1-Shelf 7-Slot 9-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.AVA1,Cisco-ASR-9922,Hu0/10/0/3,ROC2.AVA1Hu0/10/0/3,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/13) (WDM4.AVA1-Shelf 7-Slot 3-Cliente 2),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/0/0/3,ROC2.HOR1Hu0/0/0/3,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/2),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/0/0/4,ROC2.HOR1Hu0/0/0/4,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/4),NaN,revisar_1
OUTER CORE,ROC2.BEL1,Cisco-ASR-9922,Hu0/10/0/0,ROC2.BEL1Hu0/10/0/0,Hu,up,Available,TRK:ENLACE:ROA1.PAV1 (Hu0/6/1/0) (WBBC393 -> WDM1.BEL1-Shelf 9-Slot 12-Cliente 1),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/0/0/0,ROC2.HOR1Hu0/0/0/0,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/3),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/0,ROC2.HOR1Hu0/4/0/0,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/0),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/1,ROC2.HOR1Hu0/4/0/1,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/1),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/2,ROC2.HOR1Hu0/4/0/2,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/2),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/3,ROC2.HOR1Hu0/4/0/3,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/3),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/4,ROC2.HOR1Hu0/4/0/4,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/4),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/5,ROC2.HOR1Hu0/4/0/5,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/5),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/6,ROC2.HOR1Hu0/4/0/6,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/20),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/7,ROC2.HOR1Hu0/4/0/7,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/21),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/4/0/8,ROC2.HOR1Hu0/4/0/8,Hu,up,Available,TRK:ENLACE:ROS12.HOR1 (et-2/0/25),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/6/0/1,ROC2.HOR1Hu0/6/0/1,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/20),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/6/0/2,ROC2.HOR1Hu0/6/0/2,Hu,up,Available,TRK:ENLACE:ROS13.HOR1 (et-2/0/21),NaN,revisar_1
OUTER CORE,ROC2.HOR1,Cisco-ASR-9922,Hu0/9/0/0,ROC2.HOR1Hu0/9/0/0,Hu,up,Available,TRK:ENLACE:ROA1.NEU1 (et-7/1/0) (SDH6.HOR1-Shelf 6-Slot 12-Cliente 1),NaN,revisar_1
