shelfname|interface|portoperationalstate|protocol|info1
CTE1NA|BE10|down|down|A CTEGGC1SA Port-Channel 10
CTE1NA|BE10.100|down|down|VLAN GESTION DE CTEGGC1SA POR CTE1NA
CTE1NA|BE12|down|down| 
CTE1NA|BE40|up|up|Enlace 100G DWDM PZU3MU_G2/0/0 (Linea:11005049) - UPLINK AGN
CTE1NA|BE100|up|up|A CTECDN01 (Agrupa Hu0/17/0/0 y Hu0/17/0/1)
CTE1NA|BE101|up|up|A CTECDN02 (Agrupa Hu0/17/0/2 y Hu0/17/0/3)
CTE1NA|BE102|up|up|A RESCDN01 (Agrupa Hu0/19/0/0 y Hu0/19/0/1)
CTE1NA|BE103|admin-down|admin-down|A CTECDN04 (Agrupa Hu0/17/0/6 y Hu0/17/0/7)
CTE1NA|BE106|up|up|A RESCDN02 (Agrupa Hu0/4/0/0 y Hu0/4/0/1)
CTE1NA|BE116|up|up|CNX:ENLACE:RSC1NA (Hu0/14/0/0 + Hu0/14/0/1 + Hu0/14/0/2 + Hu0/14/0/3 + Hu0/14/0/4 + Hu0/14/0/5)
CTE1NA|BE117|up|up|CNX:ENLACE:MUS1NA (Hu0/16/0/0 + Hu0/16/0/2 + Hu0/16/0/3)
CTE1NA|BE118|up|up|CNX:ENLACE:RES1NA (Hu0/15/0/3 + Hu0/15/0/4 + Hu0/15/0/5 + Hu0/15/0/6)
CTE1NA|Lo0|up|up|AREA 0 - OSPF
CTE1NA|Lo7|up|up|Loopback area OSPF 7
CTE1NA|Lo8|up|up|AREA 8 - OSPF
CTE1NA|Lo15|up|up|AREA15 - OSPF
CTE1NA|Lo32|up|up| 
CTE1NA|Lo69|up|up|AREA 69 - OSPF
CTE1NA|Lo70|up|up|AREA 70 - OSPF
CTE1NA|Lo72|up|up|AREA 72 - OSPF
CTE1NA|Lo91|up|up| 
CTE1NA|Lo156|up|up|AREA156 - OSPF
CTE1NA|Nu0|up|up| 
CTE1NA|Mg0/RP0/CPU0/0|admin-down|admin-down| 
