shelfname|interface|portoperationalstate|protocol|info1
IRD1NA|BE3|down|down|A RSCGGC1SA Port-Channel 3 (Agrupa Hu0/0/0/2 y H0/3/0/2)
IRD1NA|BE3.200|down|down|VLAN GESTION DE RSCGGC1SA POR RSC1NA
IRD1NA|BE5|up|up|Enlace 120G DWDM RCU4MU Eth trunk5 - UPLINK AGN
IRD1NA|BE100|up|up|A RSCCDN01 (Agrupa Hu0/13/0/5 y Hu0/13/0/6)
IRD1NA|BE101|up|up|A RSCCDN02 (Agrupa Hu0/14/0/4 y Hu0/14/0/3)
IRD1NA|BE102|up|up|A IRDCDN01 (Agrupa Hu0/16/0/0 y Hu0/16/0/1)
IRD1NA|BE103|up|up|A IRDCDN02 (Agrupa Hu0/15/0/0 y Hu0/15/0/1)
IRD1NA|BE104|down|down|A CDNGW1.RSC1
IRD1NA|BE108|up|up|CNX:ENLACE:IC1.HOR1 (Hu0/5/0/2 + Hu0/17/0/0 + Hu0/17/0/1 + Hu0/17/0/2)
IRD1NA|BE109|up|up|CNX:ENLACE:RSC1NA (Hu0/5/0/3 + Hu0/5/0/4 + Hu0/7/0/3 + Hu0/7/0/4)
IRD1NA|BE116|up|up|ENLACE:RES1NA (Hu0/6/0/0 + Hu0/6/0/1 + Hu0/6/0/2 + Hu0/6/0/3 + Hu0/6/0/4 + Hu0/6/0/5)
IRD1NA|BE123|up|up|CNX:ENLACE:ROA1.ROS1 (Hu-0/5/0/5) Linea: 11005756
IRD1NA|BE124|up|up|CNX:ENLACE:ROA1.RON1(Te0/10/1/3+Te0/10/1/5+Te0/10/1/6+Te0/11/0/19+Te0/10/1/7->ae21)
IRD1NA|Lo0|up|up| 
IRD1NA|Lo1|admin-down|admin-down| 
IRD1NA|Lo6|up|up|Loopback Area 6
IRD1NA|Lo13|up|up|loopback Area 13
IRD1NA|Lo14|up|up|AREA 14 - OSPF
IRD1NA|Lo16|up|up|loopback Area 16
IRD1NA|Lo19|up|up| 
IRD1NA|Lo26|up|up| 
IRD1NA|Lo28|up|up| 
IRD1NA|Lo31|up|up|AREA 31 - OSPF
IRD1NA|Lo33|up|up| 
IRD1NA|Lo42|up|up|OSPF - AREA 42
IRD1NA|Lo45|up|up|loopback Area 45
IRD1NA|Lo47|up|up|Loopback Area 47
IRD1NA|Lo51|up|up|AREA 51 - OSPF
IRD1NA|Lo61|up|up|AREA 61 - OSPF
IRD1NA|Lo62|up|up|AREA62 - OSPF
IRD1NA|Lo63|up|up|AREA63 - OSPF
IRD1NA|Lo64|up|up|AREA 64 - OSPF
IRD1NA|Lo65|up|up|AREA 65 - OSPF
IRD1NA|Lo68|up|up|AREA68 - OSPF
IRD1NA|Lo70|up|up|AREA 70 - OSPF
IRD1NA|Lo71|up|up|AREA 71 - OSPF
IRD1NA|Lo75|up|up|AREA 75 - OSPF
IRD1NA|Lo76|up|up|AREA 76 - OSPF
IRD1NA|Lo77|up|up|AREA 77 - OSPF
IRD1NA|Lo82|up|up|AREA 82 - OSPF
IRD1NA|Lo88|up|up|AREA 88 - OSPF
IRD1NA|Lo93|up|up| 
IRD1NA|Lo95|up|up|AREA 95 - OSPF
IRD1NA|Lo99|up|up|AREA 99 - OSPF
IRD1NA|Lo156|up|up|AREA156 - OSPF
IRD1NA|Lo158|up|up|AREA158 - OSPF
IRD1NA|Lo159|up|up|AREA 159 - OSPF
IRD1NA|Lo163|up|up|AREA 163 - OSPF
IRD1NA|Lo167|up|up|AREA167-OSPF
IRD1NA|Nu0|up|up| 
IRD1NA|Mg0/RP0/CPU0/0|admin-down|admin-down| 
IRD1NA|Mg0/RP0/CPU0/1|admin-down|admin-down| 
IRD1NA|PT0/RP0/CPU0/0|admin-down|admin-down| 
IRD1NA|Mg0/RP1/CPU0/0|admin-down|admin-down| 
IRD1NA|Mg0/RP1/CPU0/1|admin-down|admin-down| 
IRD1NA|Hu0/0/0/0|admin-down|admin-down|Enlace 100G NN A BIRD Hu0/4/0/0 (Linea:11002408) - UPLINK BBIP
IRD1NA|Hu0/0/0/1|up|up|Enlace 100G NN A IRD2MB Hu0/5/0/0 (Linea:11002410) - UPLINK BBIP
IRD1NA|Hu0/0/0/2|admin-down|admin-down|ENLACE 100G a RSCGGC1SA 5/2 - Linea: 11002411
IRD1NA|Hu0/0/0/3|up|up|Enlace 100G NN A IRD1MB Hu0/2/0/0 (Linea:11002635) - UPLINK BBIP
IRD1NA|Hu0/2/0/0|up|up|Enlace 100G FO ARJ3MU_G6/0/0 (Linea:11004613) - UPLINK AGN
IRD1NA|Hu0/2/0/1|up|up|TRK:ENLACE: ROA1.ROO1 (et-3/0/2)
IRD1NA|Hu0/2/0/2|up|up|ENLACE 100G A SFE1MB Hu0/3/0/1 - Linea 11004535 UPLINK BBIP
IRD1NA|Hu0/2/0/3|up|up|Enlace 100G FO FSH3MU_G5/1/0 (Linea:11004615) - UPLINK AGN
IRD1NA|Hu0/3/0/0|admin-down|admin-down|Enlace 100G NN A BEL1NA Hu0/13/0/0 (Linea:15003451) - UPLINK BBIP - Dado de Baja
