shelfname|interface|portoperationalstate|protocol|info1
MUS1NA|BE10|admin-down|admin-down|A MUSGGC1SA Port-Channel 10
MUS1NA|BE10.100|admin-down|admin-down|VLAN GESTION DE MUSGGC1SA POR MUS1NA
MUS1NA|BE100|up|up|A MUSCDN01 (Agrupa Hu0/16/0/0)
MUS1NA|BE101|up|up|A MUSCDN02 (Agrupa Hu0/16/0/1)
MUS1NA|BE102|up|up|A MUSCDN03 (Agrupa Hu0/16/0/2)
MUS1NA|BE103|up|up|A MUSCDN04 (Agrupa Hu0/16/0/3)
MUS1NA|BE104|up|up|A BUACDN02 (Agrupa Hu0/14/0/6 y 7)
MUS1NA|BE115|up|up|CNX:ENLACE:BUA1NA (Hu0/13/0/0 + Hu0/13/0/1 + Hu0/13/0/2 + Hu0/13/0/3)
MUS1NA|BE116|up|up|CNX:ENLACE:CEN1NA (Hu0/13/0/4 + Hu0/13/0/5 + Hu0/13/0/6 + Hu0/13/0/7)
MUS1NA|BE117|up|up|CNX:ENLACE:CTE1NA (Hu0/18/0/0 + Hu0/18/0/2 + Hu0/18/0/3)
MUS1NA|Lo0|up|up|AREA 0 - OSPF
MUS1NA|Lo1|admin-down|admin-down| 
MUS1NA|Lo4|up|up|AREA 4 - OSPF
MUS1NA|Lo8|up|up|AREA 8 - OSPF
MUS1NA|Lo20|up|up|AREA 20 - OSPF
MUS1NA|Lo25|up|up|AREA 25 - OSPF
MUS1NA|Lo27|up|up|AREA 27 - OSPF
MUS1NA|Lo29|up|up|AREA 29 - OSPF
MUS1NA|Lo40|up|up|AREA 40 - OSPF
MUS1NA|Lo52|up|up|AREA 52 - OSPF
MUS1NA|Lo82|up|up|AREA 82 - OSPF
MUS1NA|Lo85|up|up|AREA 85 - OSPF
MUS1NA|Lo86|up|up|AREA 86 - OSPF
MUS1NA|Lo87|up|up|AREA 87 - OSPF
MUS1NA|Lo88|up|up|AREA 88 - OSPF
MUS1NA|Lo90|up|up| 
MUS1NA|Lo100|up|up|AREA 100 - OSPF
MUS1NA|Lo157|up|up|AREA 157 - OSPF
MUS1NA|Nu0|up|up| 
MUS1NA|Mg0/RP0/CPU0/0|admin-down|admin-down| 
MUS1NA|Mg0/RP0/CPU0/1|admin-down|admin-down| 
MUS1NA|PT0/RP0/CPU0/0|admin-down|admin-down| 
MUS1NA|Mg0/RP1/CPU0/0|admin-down|admin-down| 
MUS1NA|Mg0/RP1/CPU0/1|admin-down|admin-down| 
MUS1NA|Te0/0/0/0|down|down|Enlace 10G NN A SDE1MB Te0/1/0/0 (Linea:13001879) - UPLINK BBIP
MUS1NA|Te0/0/0/1|down|down|Enlace 10G NN A SDE1MB Te0/1/1/1 (Linea:13002755) - UPLINK BBIP
MUS1NA|Te0/0/0/2|up|up|Enlace 10G NN A ANA2MU Te7/0/1 (Linea:9002121) - UPLINK BBIP
MUS1NA|Te0/0/0/3|up|up|Enlace 10G FO TVJ2MU_G0/3/1/0 (Linea:13006496) - UPLINK AGN
