shelfname|interface|portoperationalstate|protocol|info1
ROC2.HOR1|BE1|up|up|CNX:ENLACE:ROC2.AVA1 (Hu0/1/0/0 + Hu0/1/0/1 + Hu0/1/0/2 + Hu0/0/0/5)
ROC2.HOR1|BE2|up|up|CNX:ENLACE:ROC2.BEL1 (Hu0/3/0/0 + Hu0/3/0/1 + Hu0/3/0/2 + Hu0/6/0/0)
ROC2.HOR1|BE3|up|up|CNX:ENLACE:ROC2.SLO1 (Hu0/2/0/0 + Hu0/2/0/1 + Hu0/2/0/2 + Hu0/4/0/9)
ROC2.HOR1|BE5|up|up|CNX:ENLACE:MSE1.HOR1 (Hu0/8/0/0 + Hu0/8/0/1)
ROC2.HOR1|BE6|up|up|CNX:ENLACE:ROS12.HOR1 (Hu0/0/0/0 + Hu0/0/0/1 + Hu0/0/0/2 + Hu0/0/0/3 + Hu0/0/0/4 + Hu0/4/0/6 + Hu0/4/0/7 + Hu0/4/0/8)
ROC2.HOR1|BE7|up|up|CNX:ENLACE:ROS13.HOR1 (Hu0/4/0/0 + Hu0/4/0/1 + Hu0/4/0/2 + Hu0/4/0/3 + Hu0/4/0/4 + Hu0/4/0/5 + Hu0/6/0/1 + Hu0/6/0/2)
ROC2.HOR1|BE8|up|up|CNX:ENLACE:ROA1.SLO1 (Hu0/11/0/11)
ROC2.HOR1|BE9|up|up|CNX:ENLACE:SAC1.HOR1 (Te0/1/0/7/0 + Te0/1/0/7/1)
ROC2.HOR1|BE9.2512|up|up|VLAN:ROA1.BOL1
ROC2.HOR1|BE9.2546|admin-down|admin-down|VLAN:ROA1.DOR1
ROC2.HOR1|BE9.4094|up|up|VLAN:SAC1.HOR1
ROC2.HOR1|BE10|up|up|CNX:ENLACE:ROA1.MPM1 (Hu0/0/0/11 + Te0/5/0/7/4 + Te0/5/0/7/5) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE11|up|up|CNX:ENLACE:ROA1.BBO1 (Te0/8/0/5/0 + Te0/8/0/5/1 + Te0/8/0/5/2 + Te0/8/0/5/3 + Te0/8/0/5/4) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE12|up|up|CNX:ENLACE:ROA1.MPS1 (Te0/5/0/7/0 + Te0/5/0/7/1 + Te0/5/0/7/2 + Te0/5/0/7/3 + Te0/5/0/7/6 + Te0/5/0/7/7 + Te0/8/0/5/6 + Te0/8/0/5/7 + Te0/8/0/5/8 + Te0/8/0/5/9) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE13|up|up|CNX:ENLACE:ROA1.BZA1 (Te0/9/0/6/7 + Te0/9/0/6/8 + Te0/9/0/6/9)
ROC2.HOR1|BE14|up|up|CNX:ENLACE:ROA1.NEC1 (Te0/5/0/6/7 + Te0/5/0/6/8)
ROC2.HOR1|BE15|up|up|CNX:ENLACE:ROA1.DOL1 (Te0/8/0/7/0)
ROC2.HOR1|BE17|up|up|CNX:ENLACE:ROA1.PIN1 (Te0/8/0/6/6) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE18|up|up|CNX:ENLACE:ROA1.PRN1 (Hu0/11/0/8)
ROC2.HOR1|BE19|up|up|CNX:ENLACE:ROA1.PAL1 (Te0/2/0/4/4 + Te0/3/0/3/0 + Te0/3/0/3/1 + Te0/3/0/3/2 + Te0/3/0/3/3 + Te0/3/0/3/4)
ROC2.HOR1|BE20|down|down| 
ROC2.HOR1|BE21|up|up|CNX:ENLACE:ROA1.CON1 (Te0/5/0/3/1 + Te0/5/0/3/2 + Te0/5/0/3/3 + Te0/5/0/3/4 + Te0/5/0/3/5 + Te0/5/0/3/6 + Te0/5/0/3/7 + Te0/5/0/3/8 + Te0/5/0/3/9 + Te0/5/0/4/0)
ROC2.HOR1|BE22|up|up|CNX:ENLACE:ROA1.DOR1 (Te0/5/0/6/9)
ROC2.HOR1|BE23|up|up|CNX:ENLACE:ROA1.AZU1 (Te0/8/0/4/0 + te0/8/0/4/1 + Te0/8/0/7/9) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE24|up|up|CNX:ENLACE:ROA1.VBO2 (Hu0/6/0/11)
ROC2.HOR1|BE25|up|up|CNX:ENLACE:ROA1.CTB1 (Hu0/11/0/9)
ROC2.HOR1|BE26|up|up|CNX:ENLACE:ROA1.BRA1 (Te0/8/0/6/1 + Te0/8/0/6/2)
ROC2.HOR1|BE27|up|up|CNX:ENLACE:ROA1.CNS1 (Te0/8/0/6/0 + Te0/8/0/6/4 + Te0/8/0/6/5)
ROC2.HOR1|BE28|up|up|CNX:ENLACE:ROA1.OLA1 (Te0/8/0/4/5 + Te0/8/0/4/7) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE29|up|up|CNX:ENLACE:ROA1.TAY1 (Te0/5/0/7/9 + Te0/8/0/6/7) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE30|up|up|CNX:ENLACE:ROA1.TAN1 (Te0/7/0/6/0 + Te0/7/0/6/1 + Te0/7/0/6/2 + Te0/7/0/6/7 + Te0/8/0/4/2 + Te0/8/0/4/8 + Te0/8/0/4/9) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE31|up|up|CNX:ENLACE:ROA1.PLS1 (Te0/1/0/4/0 + Te0/1/0/4/1 + Te0/1/0/4/2 + Te0/1/0/4/3 + Te0/1/0/4/4 + Te0/1/0/4/5 + Te0/1/0/4/6 + Te0/1/0/4/7 + Te0/1/0/4/8 + Te0/1/0/4/9) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE32|up|up|CNX:ENLACE:ROA1.QUI1 (Hu0/0/0/9)
ROC2.HOR1|BE33|up|up|CNX:ENLACE:ROA1.PCH1 (Te0/5/0/0/0 + Te0/5/0/0/1 + Te0/5/0/0/2 + Te0/5/0/0/3 + Te0/5/0/0/4 + Te0/5/0/0/5 + Te0/5/0/0/6 + Te0/5/0/0/7 + Te0/5/0/0/8)
ROC2.HOR1|BE34|up|up|CNX:ENLACE:ROA1.DEV1 (Te0/1/0/5/0 + Te0/1/0/5/1 + Hu0/3/0/7)
ROC2.HOR1|BE35|up|up|CNX:ENLACE:ROA1.AVA1(Te0/2/0/6/0 + Te0/2/0/6/2 + Te0/7/0/3/0 + Te0/7/0/3/1 + Hu0/7/0/5)
ROC2.HOR1|BE36|up|up|CNX:ENLACE:ROA1.AVE1 (Te0/9/0/6/0 + Te0/9/0/6/1 + Te0/9/0/6/2 + Te0/9/0/6/3 + Te0/9/0/6/4 + Te0/9/0/6/5 + Te0/9/0/6/6)
ROC2.HOR1|BE37|up|up|CNX:ENLACE:ROA1.PAV1 (Hu0/10/0/1)
ROC2.HOR1|BE38|up|up|CNX:ENLACE:ROA1.CAL1 (Te0/2/0/7/0 + Te0/2/0/7/1 + Te0/2/0/7/2 + Te0/2/0/7/3 + Te0/7/0/3/4)
ROC2.HOR1|BE39|up|up|CNX:ENLACE:ROA1.MGR1 (Te0/7/0/4/8 + Te0/7/0/4/9 + Te0/8/0/3/0)
ROC2.HOR1|BE40|up|up|CNX:ENLACE:ROA2.LAN1 (Te0/5/0/1/7 + Te0/5/0/1/8 + Te0/5/0/1/9 + Te0/5/0/2/0 + Te0/5/0/2/1 + Te0/5/0/2/2 + Te0/5/0/2/3 + Te0/5/0/2/4 + Te0/5/0/2/5)
ROC2.HOR1|BE41|up|up|CNX:ENLACE:ROA1.LOM1 (Te0/9/0/7/0 + Te0/9/0/7/1 + Te0/9/0/7/2 + Te0/9/0/7/3 + Te0/9/0/7/4 + Te0/9/0/7/5 + Te0/9/0/7/6)
ROC2.HOR1|BE42|up|up|CNX:ENLACE:ROA1.PLA1 (Te0/5/0/1/3 + Te0/5/0/1/4 + Te0/5/0/1/5 + Te0/5/0/1/6 + Hu0/3/0/6)
ROC2.HOR1|BE43|up|up|CNX:ENLACE:ROA1.BON1 (Te0/7/0/2/5 + Te0/7/0/2/6 + Te0/7/0/2/7 + Te0/7/0/2/0 + Te0/7/0/2/1 + Te0/7/0/2/2 + Te0/7/0/2/3 + Te0/7/0/2/4 + Te0/3/0/4/0 + Te0/3/0/4/1 )
ROC2.HOR1|BE44|up|up|CNX:ENLACE:ROA1.CAB1 (Te0/3/0/4/8 + Te0/7/0/7/2 + Te0/7/0/7/3 + Hu0/0/0/6)
ROC2.HOR1|BE46|up|up|CNX:ENLACE:ROA1.JUL1 (Te0/8/0/7/7 + Te0/8/0/7/8)
ROC2.HOR1|BE47|up|up|CNX:ENLACE:ROA1.HOR1 (Te0/7/0/1/0 + Te0/7/0/1/1 + Te0/7/0/1/2 + Te0/7/0/1/3 + Te0/7/0/1/4 + Te0/7/0/1/5 + Te0/7/0/1/6)
ROC2.HOR1|BE48|up|up|CNX:ENLACE:ROA1.BCE1 (Te0/7/0/6/6 + Te0/8/0/7/1)
ROC2.HOR1|BE49|up|up|CNX:ENLACE:ROA1.NEU1 (Hu0/9/0/0)
ROC2.HOR1|BE50|up|up|CNX:ENLACE:ROA1.SAO1 (Te0/5/0/7/8 + Te0/8/0/6/8) (fibra shelter Century link hornos-spla)
ROC2.HOR1|BE51|up|up|CNX:ENLACE:ROA2.HOR1 (Hu0/11/0/10)
ROC2.HOR1|BE52|up|up|CNX:ENLACE:ROA1.CIP1 (Te0/7/0/6/3 + Te0/7/0/6/4 + Te0/7/0/6/5)
ROC2.HOR1|BE53|up|up|CNX:ENLACE:ROA1.SUA1 (Te0/8/0/7/6)
ROC2.HOR1|BE100|up|up|CNX:ENLACE:ROW1.HOR1 (Te0/7/0/0/5 + Te0/7/0/0/6 + Te0/7/0/0/7 + Te0/7/0/0/8 + Te0/7/0/0/9)
ROC2.HOR1|BE101|up|up|CNX:ENLACE:ROM3.HOR1 (Te/1/0/7/2 + Te/1/0/7/3 + Te/1/0/7/4 + Te/1/0/7/5 + Te/1/0/7/6 + Te/1/0/7/7 + Te/1/0/7/8 + Te/1/0/7/9)
ROC2.HOR1|BE110|up|up|CNX:ENLACE:IC1.HOR1 (Hu0/11/0/0 + Hu0/11/0/1 + Hu0/11/0/2 + Hu0/11/0/3 + Hu0/11/0/4 + Hu0/11/0/5 + Hu0/11/0/6 + Hu0/11/0/7)
ROC2.HOR1|Lo0|up|up| 
ROC2.HOR1|Nu0|up|up| 
ROC2.HOR1|Mg0/RP0/CPU0/0|down|down| 
ROC2.HOR1|Mg0/RP0/CPU0/1|down|down| 
ROC2.HOR1|Mg0/RP1/CPU0/0|down|down| 
ROC2.HOR1|Mg0/RP1/CPU0/1|down|down| 
ROC2.HOR1|PT0/RP1/CPU0/0|admin-down|admin-down| 
ROC2.HOR1|Hu0/0/0/0|up|up|TRK:ENLACE:ROS12.HOR1 (et-2/0/3)
ROC2.HOR1|Hu0/0/0/1|up|up|TRK:ENLACE:ROS12.HOR1 (et-2/0/1)
ROC2.HOR1|Hu0/0/0/2|up|up|TRK:ENLACE:ROS12.HOR1 (et-2/0/0)
ROC2.HOR1|Hu0/0/0/3|up|up|TRK:ENLACE:ROS12.HOR1 (et-2/0/2)
ROC2.HOR1|Hu0/0/0/4|up|up|TRK:ENLACE:ROS12.HOR1 (et-2/0/4)
ROC2.HOR1|Hu0/0/0/5|up|up|TRK:ENLACE:ROC2.AVA1 (Hu0/1/0/4) (WDM3.HOR1-Shelf 6-Slot 12-Cliente 1)
