shelfname|interface|portoperationalstate|protocol|info1
IC1.HOR1|100GE2/0/0|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/0)
IC1.HOR1|100GE2/0/1|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/1)
IC1.HOR1|100GE2/0/2|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/2)
IC1.HOR1|100GE2/0/3|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/3)
IC1.HOR1|100GE2/0/4|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/4)
IC1.HOR1|100GE2/0/5|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/5)
IC1.HOR1|100GE2/0/6|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/6)
IC1.HOR1|100GE2/0/7|up|up|TRK:ENLACE:ROC2.HOR1 (Hu0/11/0/7)
IC1.HOR1|100GE2/0/8|down|down|
IC1.HOR1|100GE2/0/9|down|down|
IC1.HOR1|100GE2/0/10|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/0)
IC1.HOR1|100GE2/0/11|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/1)
IC1.HOR1|100GE2/0/12|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/2)
IC1.HOR1|100GE2/0/13|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/1/0/3)
IC1.HOR1|100GE2/0/14|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/2/0/0)
IC1.HOR1|100GE2/0/15|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/2/0/1)
IC1.HOR1|100GE2/0/16|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/2/0/2)
IC1.HOR1|100GE2/0/17|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/2/0/3)
IC1.HOR1|100GE2/0/18|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/3/0/3)
IC1.HOR1|100GE2/0/19|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/7/0/0)
IC1.HOR1|100GE2/1/0|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/7/0/1)
IC1.HOR1|100GE2/1/1|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/7/0/2)
IC1.HOR1|100GE2/1/2|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/7/0/3)
IC1.HOR1|100GE2/1/3|up|up|TRK:ENLACE:ROS6.HOR1 (Hu0/0/0/1)
IC1.HOR1|100GE2/1/4|up|up|TRK:ENLACE:ROS6.HOR1 (Hu0/5/1/0)
IC1.HOR1|100GE2/1/5|up|up|TRK:ENLACE:ROS6.HOR1 (Hu0/5/1/1)
IC1.HOR1|100GE2/1/6|down|down|
IC1.HOR1|100GE2/1/7|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/0/0/2)
IC1.HOR1|100GE2/1/8|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/0/0/3)
IC1.HOR1|100GE2/1/9|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/5/0/0)
IC1.HOR1|100GE2/1/10|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/5/0/1)
IC1.HOR1|100GE2/1/11|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/5/0/2)
IC1.HOR1|100GE2/1/12|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/6/0/1)
IC1.HOR1|100GE2/1/13|up|up|TRK:ENLACE:ROE1.HOR1 (Hu1/6/0/2)
