shelfname|interface|portoperationalstate|protocol|info1
CDI4MU|BV1|down|down| 
CDI4MU|BE1|up|up|[ACCESO HSI][BE] CDIM01 11001796
CDI4MU|BE1.2101|up|up|[GESTION] CDIM01 ALU 7302 [VDS2]
CDI4MU|BE1.3101|up|up|[TOIP] CDIM01 ALU 7302 [VDS2]
CDI4MU|BE1.3617|up|up|VPN GOLD - ASOCIACION MUTUAL SANCOR SALUD - Ref:915901 Lin:2865812 Acc:CDIM01 1/1/6/6
CDI4MU|BE1.4101|up|up|[DATOS] CDIM01 ALU 7302 [VDS2][L3]
CDI4MU|BE2|up|up|LAG PTN 75CDI01_G8/1 Linea 11005735
CDI4MU|BE2.100210|up|down|[GESTION] VLY21D ZTE9800 [ADSL]
CDI4MU|BE2.1002101|up|up|[GESTION] VLY21D ZTE9800 [ADSL]
CDI4MU|BE2.1003101|up|up|[TOIP] VLY21D ZTE 9800 [ADS2]
CDI4MU|BE2.1004101|up|up|[DATOS] VLY21D ZTE9800 [ADSL]
CDI4MU|BE2.1012101|up|up|[GESTION] VLY31D ZTE9800 [ADSL]
CDI4MU|BE2.1013101|up|up|[TOIP] VLY31D ZTE 9800 [ADS2]
CDI4MU|BE2.1014101|up|up|[DATOS] VLY31D ZTE9800 [ADSL]
CDI4MU|BE2.1022101|up|up|[GESTION] VLYM01 HUA 5600 [ADSL]
CDI4MU|BE2.1023101|up|up|[TOIP] VLYM01 HUA 5600 [ADS2]
CDI4MU|BE2.1023104|up|up|VPN SCHEJTER Y SCHEJTER - Ref:537635 - Acceso:VLYM01/0/2/1
CDI4MU|BE2.1024101|up|up|[DATOS] VLYM01 HUA 5600 [ADSL]
CDI4MU|BE2.1102101|up|up|[GESTION] FDR21D HUA 5600 [ADSL]
CDI4MU|BE2.1103101|up|up|[TOIP] FDR21D HUA 5600 [ADS2]
CDI4MU|BE2.1104101|up|up|[DATOS] FDR21D HUA 5600 [ADSL]
CDI4MU|BE2.1122101|up|up|[GESTION] CHJ21D HUA 5600 [ADSL]
CDI4MU|BE2.1123101|up|up|[TOIP] CHJ21D HUA 5600 [ADS2]
CDI4MU|BE2.1124101|up|up|[DATOS] CHJ21D HUA 5600 [ADSL]
CDI4MU|BE2.1132101|up|up|[GESTION] CHJ31D HUA 5600 [ADSL]
CDI4MU|BE2.1133101|up|up|[TOIP] CHJ31D HUA 5600 [ADS2]
CDI4MU|BE2.1134101|up|up|[DATOS] CHJ31D HUA 5600 [ADSL]
CDI4MU|BE2.1310002|up|up|[SIGN] VAEG01 ZTE 5200 [NGN]
CDI4MU|BE2.1310003|up|up|[RTP] VAEG01 ZTE 5200 [NGN]
CDI4MU|BE2.1310004|up|up|[GESTION] VAEG01 ZTE 5200 [NGN]
CDI4MU|BE2.1313101|up|up|[TOIP] VAEG01 ZTE 5200 [ADS2]
CDI4MU|BE2.1314101|up|up|[DATOS] UBAG01 ZTE 5200 [NGN]
CDI4MU|BE2.2250002|up|up|[SIGN] 1EWG01 HUA 5600 [NGN]
CDI4MU|BE2.2250003|up|up|[RTP] 1EWG01 HUA 5600 [NGN]
CDI4MU|BE2.2250004|up|up|[GESTION] 1EWG01 HUA 5600[NGN]
CDI4MU|BE2.2250005|up|up|[GESTION] 1EWG01 HUA 5600[NGN]
CDI4MU|BE2.2253101|up|up|[TOIP] 1EWG01 HUA 5600 [ADS2]
CDI4MU|BE2.2254101|up|up|[DATOS] 1EWG01 HUA 5600 [NGN]
CDI4MU|BE2.5730002|up|up|[GESTION] C9EG01 ZTE 5200 [NGN]
CDI4MU|BE2.5730003|up|up|[RTP] C9EG01 ZTE 5200 [NGN]
CDI4MU|BE2.5730004|up|up|[GESTION] C9EG01 ZTE 5200 [NGN]
CDI4MU|BE2.5734101|up|up|[DATOS] C9EG01 ZTE 5200 [NGN]
CDI4MU|BE2.5750002|up|up|[SIGN] C8SG01 ZTE 5200 [NGN]
CDI4MU|BE2.5750003|up|up|[RTP] C8SG01 ZTE 5200 [NGN]
CDI4MU|BE2.5750004|up|up|[GESTION] C8SG01 ZTE 5200[NGN]
CDI4MU|BE2.5753101|up|up|[TOIP] C8SG01 ZTE 5200 [ADS2]
