shelfname|interface|portoperationalstate|protocol|info1
CTE1MB|BE1|up|up|[HRP] CTE1MB 1 [L3] [HSI]
CTE1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
CTE1MB|BE1.220002|up|up|Uplink VPN_16306_1204 - HAIRPINNING
CTE1MB|BE1.130101020|admin-down|admin-down| 
CTE1MB|BE1.1116231801|up|up|GESTION GUL41D ZTE9800
CTE1MB|BE1.1118010101|up|up|GESTION 75S11C ALU7330
CTE1MB|BE1.1118011301|up|up|GESTION 75T11C ALU7330
CTE1MB|BE1.1118017601|admin-down|admin-down|GESTION 5TM11C ALCATEL7330
CTE1MB|BE1.1118029601|admin-down|admin-down|GESTION 5TN11C ALCATEL7330
CTE1MB|BE1.1118111001|admin-down|admin-down|GESTION 5TJ11C ALCATEL7330
CTE1MB|BE1.1118111101|admin-down|admin-down|GESTION 5TL11C ALCATEL7330
CTE1MB|BE1.1199025201|admin-down|admin-down|GESTION GOY21D HUAWEI5100
CTE1MB|BE1.1203025701|admin-down|admin-down| 
CTE1MB|BE1.1216231201|up|up|[TOIP] BDXG01 ZTE OUT40 [ADS2]
CTE1MB|BE1.1216231801|up|up|[TOIP] GUL41D ZTE 9800 [ADS2]
CTE1MB|BE1.1218010101|up|up|[TOIP] 75S11C ALC 7330 [ADS2]
CTE1MB|BE1.1218011301|up|up|[TOIP] 75T11C ALC 7330 [ADS2]
CTE1MB|BE1.1316231201|up|up|[DATOS] BDXG01 ZTE 5200 [ADS2]
CTE1MB|BE1.1316231801|up|up|[DATOS] GUL41D ZTE 9800 [ADS2]
CTE1MB|BE1.1317015501|up|up|[DATOS] HIZG01 HUA 5000 [ADS2]
CTE1MB|BE1.1317025601|admin-down|admin-down|[DATOS] DCZG01 HUA 5616 [VDS2]
CTE1MB|BE1.1318010101|up|up|DSLAM 75S11C ALU7330
CTE1MB|BE1.1318011301|up|up|DSLAM 75T11C ALU7330
CTE1MB|BE1.1318017601|admin-down|admin-down|[DATOS] 5TM11C ALC 7330 [VDS2]
CTE1MB|BE1.1318029601|admin-down|admin-down|[DATOS] 5TN11C ALC 7330 [VDS2]
CTE1MB|BE1.1318111001|admin-down|admin-down|[DATOS] 5TJ11C ALC 7330 [VDS2]
CTE1MB|BE1.1318111101|admin-down|admin-down|[DATOS] 5TL11C ALC 7330 [VDS2]
CTE1MB|BE1.1318168502|up|up|[DATOS] SMZ22D HUA 5100 [ADSL]
CTE1MB|BE1.1318168503|up|up|[DATOS] SMZ23D HUA 5100 [ADSL]
CTE1MB|BE1.1318168504|up|up|[DATOS] SMZ24D HUA 5100 [ADSL]
CTE1MB|BE1.1399025201|admin-down|admin-down|DSLAM GOY21D HUAWEI5100
CTE1MB|BE1.1399025202|admin-down|admin-down|DSLAM GOY22D HUAWEI5100
CTE1MB|BE1.1399025203|admin-down|admin-down|DSLAM GOY23D HUAWEI5100
CTE1MB|BE1.1399025204|admin-down|admin-down|DSLAM GOY24D HUAWEI5100
CTE1MB|BE1.1399149201|admin-down|admin-down|[DATOS] PFGG01 HUA 5000 [ADS2]
CTE1MB|BE2|up|up|[HRP] CTE1MB 2 [L3] [HSI]
CTE1MB|BE2.12000|up|down| 
CTE1MB|BE2.1200530|up|down| 
CTE1MB|BE2.11000101|up|up|GESTION 3E611C ALCATEL7330
CTE1MB|BE2.11000501|up|up|GESTION 3C911C ALCATEL7330
CTE1MB|BE2.11000801|up|up|GESTION 3CD11C ALCATEL7330
CTE1MB|BE2.11000901|admin-down|admin-down|GESTION 3CX11C ALCATEL7330
CTE1MB|BE2.11001201|admin-down|admin-down|GESTION 3EE11C ALCATEL7330
CTE1MB|BE2.11001301|up|up|GESTION 3EF11C ALCATEL7330
CTE1MB|BE2.11001601|up|up|GESTION 3CJ11C ALCATEL7330
CTE1MB|BE2.11002101|up|up|GESTION 3CV11C ALCATEL7330
CTE1MB|BE2.11002401|up|up|GESTION 3ZF11C ALCATEL7330
CTE1MB|BE2.11002501|up|up|GESTION 3CY11C ALCATEL7330
CTE1MB|BE2.11003101|admin-down|admin-down|GESTION 3D211C ALCATEL7330
CTE1MB|BE2.11003401|up|up|GESTION 3E211C ALCATEL7330
CTE1MB|BE2.11003501|up|up|GESTION 3E311C ALCATEL7330
CTE1MB|BE2.11003701|up|up|GESTION 3ZG11C ALCATEL7330
CTE1MB|BE2.11004101|up|up|GESTION 3CG11C ALCATEL7330
CTE1MB|BE2.11005501|admin-down|admin-down|GESTION GOY81D HW5600
CTE1MB|BE2.11006501|admin-down|admin-down|GESTION INP31D ZTE 9210
CTE1MB|BE2.11006601|up|up|GESTION INP41D ZTE 9210
CTE1MB|BE2.11007601|admin-down|admin-down|GESTION INP71D ZTE9800
CTE1MB|BE2.11007801|admin-down|admin-down|GESTION INPM01 HUAWEI5600T
CTE1MB|BE2.12000101|up|up|[TOIP] 3E611C ALC 7330 [ADS2]
CTE1MB|BE2.12000501|up|up|[TOIP] 3C911C ALC 7330 [ADS2]
CTE1MB|BE2.12000801|up|up|[TOIP] 3CD11C ALC 7330 [ADS2]
CTE1MB|BE2.12001301|up|up|[TOIP] 3EF11C ALC 7330 [ADS2]
