shelfname|interface|portoperationalstate|protocol|info1
DEF1MU|BE1|up|up|[ACCESO HSI][BE] DEFG01 13000130
DEF1MU|BE1.3|up|up|[NGN] RTP HW DEAN FUNES-DEFG01-Linea 13000130 
DEF1MU|BE1.4|up|up|[NGN] Gestion IPMB HW DEAN FUNES-DEFG01-Linea 13000130
DEF1MU|BE1.5|up|up|[NGN] Gestion PVM HW DEAN FUNES-DEFG01-Linea 13000130
DEF1MU|BE1.4101|up|up|[DATOS] DEFG01 HUA 5000 [ADSL][L3]
DEF1MU|BE2|up|up|[ACCESO HSI][BE] DEF21D Linea:13003488 
DEF1MU|BE2.2101|up|up|[GESTION] DEF21D HUA 5600 [ADS2]
DEF1MU|BE2.3101|up|up|[TOIP] DEF21D HUA 5600 [ADS2]
DEF1MU|BE2.4101|up|up|[DATOS] DEF21D HUA 5600 [ADS2][L3]
DEF1MU|BE2.4101.pppoe121|up|up| 
DEF1MU|BE2.4101.pppoe260|up|up| 
DEF1MU|BE2.4101.pppoe1127|up|up| 
DEF1MU|BE2.4101.pppoe3215|up|up| 
DEF1MU|BE2.4101.pppoe3317|up|up| 
DEF1MU|BE2.4101.pppoe3420|up|up| 
DEF1MU|BE2.4101.pppoe5722|up|up| 
DEF1MU|BE2.4101.pppoe6307|up|up| 
DEF1MU|BE2.4101.pppoe6605|up|up| 
DEF1MU|BE2.4101.pppoe7053|up|up| 
DEF1MU|BE2.4101.pppoe7747|up|up| 
DEF1MU|BE2.4101.pppoe7781|up|up| 
DEF1MU|BE2.4101.pppoe9057|up|up| 
DEF1MU|BE2.4101.pppoe9249|up|up| 
DEF1MU|BE2.4101.pppoe9469|up|up| 
DEF1MU|BE2.4101.pppoe9644|up|up| 
DEF1MU|BE3|up|up|[ACCESO HSI][BE] DEF31D Linea:13003489
DEF1MU|BE3.2101|up|up|[GESTION] DEF31D HUA 5600 [ADS2]
DEF1MU|BE3.3101|up|up|[TOIP] DEF31D HUA 5600 [ADS2]
DEF1MU|BE3.4101|up|up|[DATOS] DEF31D HUA 5600 [ADS2][L3]
DEF1MU|BE3.4101.pppoe193|up|up| 
DEF1MU|BE3.4101.pppoe198|up|up| 
DEF1MU|BE3.4101.pppoe199|up|up| 
DEF1MU|BE3.4101.pppoe220|up|up| 
DEF1MU|BE3.4101.pppoe250|up|up| 
DEF1MU|BE3.4101.pppoe267|up|up| 
DEF1MU|BE3.4101.pppoe303|up|up| 
DEF1MU|BE3.4101.pppoe339|up|up| 
DEF1MU|BE3.4101.pppoe377|up|up| 
DEF1MU|BE3.4101.pppoe411|up|up| 
DEF1MU|BE3.4101.pppoe479|up|up| 
DEF1MU|BE3.4101.pppoe559|up|up| 
DEF1MU|BE3.4101.pppoe560|up|up| 
DEF1MU|BE3.4101.pppoe592|up|up| 
DEF1MU|BE3.4101.pppoe602|up|up| 
DEF1MU|BE3.4101.pppoe634|up|up| 
DEF1MU|BE3.4101.pppoe956|up|up| 
DEF1MU|BE3.4101.pppoe959|up|up| 
DEF1MU|BE3.4101.pppoe987|up|up| 
DEF1MU|BE3.4101.pppoe1008|up|up| 
DEF1MU|BE3.4101.pppoe1167|up|up| 
DEF1MU|BE3.4101.pppoe1228|up|up| 
DEF1MU|BE3.4101.pppoe1244|up|up| 
DEF1MU|BE3.4101.pppoe1456|up|up| 
DEF1MU|BE3.4101.pppoe1496|up|up| 
DEF1MU|BE3.4101.pppoe1538|up|up| 
DEF1MU|BE3.4101.pppoe1539|up|up| 
DEF1MU|BE3.4101.pppoe1595|up|up| 
DEF1MU|BE3.4101.pppoe1597|up|up| 
DEF1MU|BE3.4101.pppoe1615|up|up| 
DEF1MU|BE3.4101.pppoe1746|up|up| 
DEF1MU|BE3.4101.pppoe1804|up|up| 
DEF1MU|BE3.4101.pppoe1872|up|up| 
DEF1MU|BE3.4101.pppoe2021|up|up| 
DEF1MU|BE3.4101.pppoe2038|up|up| 
DEF1MU|BE3.4101.pppoe2074|up|up| 
DEF1MU|BE3.4101.pppoe2118|up|up| 
DEF1MU|BE3.4101.pppoe2124|up|up| 
DEF1MU|BE3.4101.pppoe2127|up|up| 
DEF1MU|BE3.4101.pppoe2169|up|up| 
DEF1MU|BE3.4101.pppoe2187|up|up| 
DEF1MU|BE3.4101.pppoe2189|up|up| 
DEF1MU|BE3.4101.pppoe2196|up|up| 
DEF1MU|BE3.4101.pppoe2210|up|up| 
DEF1MU|BE3.4101.pppoe2217|up|up| 
DEF1MU|BE3.4101.pppoe2239|up|up| 
DEF1MU|BE3.4101.pppoe2263|up|up| 
DEF1MU|BE3.4101.pppoe2276|up|up| 
DEF1MU|BE3.4101.pppoe2310|up|up| 
DEF1MU|BE3.4101.pppoe2328|up|up| 
DEF1MU|BE3.4101.pppoe2424|up|up| 
DEF1MU|BE3.4101.pppoe2522|up|up| 
DEF1MU|BE3.4101.pppoe2639|up|up| 
DEF1MU|BE3.4101.pppoe2655|up|up| 
DEF1MU|BE3.4101.pppoe2676|up|up| 
DEF1MU|BE3.4101.pppoe2704|up|up| 
DEF1MU|BE3.4101.pppoe2715|up|up| 
DEF1MU|BE3.4101.pppoe2796|up|up| 
DEF1MU|BE3.4101.pppoe2965|up|up| 
DEF1MU|BE3.4101.pppoe2967|up|up| 
DEF1MU|BE3.4101.pppoe2976|up|up| 
DEF1MU|BE3.4101.pppoe2989|up|up| 
DEF1MU|BE3.4101.pppoe2994|up|up| 
DEF1MU|BE3.4101.pppoe3022|up|up| 
DEF1MU|BE3.4101.pppoe3056|up|up| 
DEF1MU|BE3.4101.pppoe3087|up|up| 
DEF1MU|BE3.4101.pppoe3125|up|up| 
DEF1MU|BE3.4101.pppoe3168|up|up| 
DEF1MU|BE3.4101.pppoe3198|up|up| 
DEF1MU|BE3.4101.pppoe3206|up|up| 
DEF1MU|BE3.4101.pppoe3211|up|up| 
DEF1MU|BE3.4101.pppoe3221|up|up| 
DEF1MU|BE3.4101.pppoe3229|up|up| 
DEF1MU|BE3.4101.pppoe3238|up|up| 
DEF1MU|BE3.4101.pppoe3239|up|up| 
DEF1MU|BE3.4101.pppoe3301|up|up| 
DEF1MU|BE3.4101.pppoe3352|up|up| 
DEF1MU|BE3.4101.pppoe3372|up|up| 
DEF1MU|BE3.4101.pppoe3376|up|up| 
DEF1MU|BE3.4101.pppoe3389|up|up| 
DEF1MU|BE3.4101.pppoe3408|up|up| 
DEF1MU|BE3.4101.pppoe3431|up|up| 
DEF1MU|BE3.4101.pppoe3481|up|up| 
DEF1MU|BE3.4101.pppoe3536|up|up| 
DEF1MU|BE3.4101.pppoe3563|up|up| 
DEF1MU|BE3.4101.pppoe3582|up|up| 
DEF1MU|BE3.4101.pppoe3591|up|up| 
DEF1MU|BE3.4101.pppoe3592|up|up| 
DEF1MU|BE3.4101.pppoe3633|up|up| 
DEF1MU|BE3.4101.pppoe3660|up|up| 
DEF1MU|BE3.4101.pppoe3686|up|up| 
DEF1MU|BE3.4101.pppoe3811|up|up| 
DEF1MU|BE3.4101.pppoe3899|up|up| 
DEF1MU|BE3.4101.pppoe3921|up|up| 
DEF1MU|BE3.4101.pppoe3958|up|up| 
DEF1MU|BE3.4101.pppoe3964|up|up| 
DEF1MU|BE3.4101.pppoe4080|up|up| 
DEF1MU|BE3.4101.pppoe4083|up|up| 
DEF1MU|BE3.4101.pppoe4100|up|up| 
DEF1MU|BE3.4101.pppoe4108|up|up| 
DEF1MU|BE3.4101.pppoe4113|up|up| 
DEF1MU|BE3.4101.pppoe4163|up|up| 
DEF1MU|BE3.4101.pppoe4164|up|up| 
DEF1MU|BE3.4101.pppoe4170|up|up| 
DEF1MU|BE3.4101.pppoe4192|up|up| 
DEF1MU|BE3.4101.pppoe4297|up|up| 
DEF1MU|BE3.4101.pppoe4323|up|up| 
DEF1MU|BE3.4101.pppoe4326|up|up| 
DEF1MU|BE3.4101.pppoe4328|up|up| 
DEF1MU|BE3.4101.pppoe4332|up|up| 
DEF1MU|BE3.4101.pppoe4417|up|up| 
DEF1MU|BE3.4101.pppoe4474|up|up| 
DEF1MU|BE3.4101.pppoe4478|up|up| 
DEF1MU|BE3.4101.pppoe4483|up|up| 
DEF1MU|BE3.4101.pppoe4533|up|up| 
DEF1MU|BE3.4101.pppoe4619|up|up| 
DEF1MU|BE3.4101.pppoe4623|up|up| 
DEF1MU|BE3.4101.pppoe4665|up|up| 
DEF1MU|BE3.4101.pppoe4702|up|up| 
DEF1MU|BE3.4101.pppoe4736|up|up| 
DEF1MU|BE3.4101.pppoe4740|up|up| 
DEF1MU|BE3.4101.pppoe4778|up|up| 
DEF1MU|BE3.4101.pppoe4826|up|up| 
DEF1MU|BE3.4101.pppoe4926|up|up| 
DEF1MU|BE3.4101.pppoe4939|up|up| 
DEF1MU|BE3.4101.pppoe5033|up|up| 
DEF1MU|BE3.4101.pppoe5041|up|up| 
DEF1MU|BE3.4101.pppoe5080|up|up| 
DEF1MU|BE3.4101.pppoe5095|up|up| 
DEF1MU|BE3.4101.pppoe5116|up|up| 
DEF1MU|BE3.4101.pppoe5183|up|up| 
DEF1MU|BE3.4101.pppoe5199|up|up| 
DEF1MU|BE3.4101.pppoe5207|up|up| 
DEF1MU|BE3.4101.pppoe5245|up|up| 
DEF1MU|BE3.4101.pppoe5262|up|up| 
DEF1MU|BE3.4101.pppoe5273|up|up| 
DEF1MU|BE3.4101.pppoe5277|up|up| 
DEF1MU|BE3.4101.pppoe5307|up|up| 
DEF1MU|BE3.4101.pppoe5328|up|up| 
DEF1MU|BE3.4101.pppoe5359|up|up| 
DEF1MU|BE3.4101.pppoe5391|up|up| 
DEF1MU|BE3.4101.pppoe5453|up|up| 
DEF1MU|BE3.4101.pppoe5489|up|up| 
DEF1MU|BE3.4101.pppoe5503|up|up| 
DEF1MU|BE3.4101.pppoe5506|up|up| 
DEF1MU|BE3.4101.pppoe5519|up|up| 
DEF1MU|BE3.4101.pppoe5561|up|up| 
DEF1MU|BE3.4101.pppoe5581|up|up| 
DEF1MU|BE3.4101.pppoe5593|up|up| 
DEF1MU|BE3.4101.pppoe5627|up|up| 
DEF1MU|BE3.4101.pppoe5685|up|up| 
DEF1MU|BE3.4101.pppoe5758|up|up| 
DEF1MU|BE3.4101.pppoe5775|up|up| 
DEF1MU|BE3.4101.pppoe5782|up|up| 
DEF1MU|BE3.4101.pppoe5835|up|up| 
DEF1MU|BE3.4101.pppoe5903|up|up| 
DEF1MU|BE3.4101.pppoe5934|up|up| 
DEF1MU|BE3.4101.pppoe5984|up|up| 
DEF1MU|BE3.4101.pppoe6036|up|up| 
DEF1MU|BE3.4101.pppoe6064|up|up| 
