shelfname|interface|portoperationalstate|protocol|info1
RSC1MB|BE1|up|up|[HRP] RSC1MB 1 [L3] [HSI] contra RSC2MB Te0/2/0/23
RSC1MB|BE1.239|admin-down|admin-down| 
RSC1MB|BE1.102012801|up|down| 
RSC1MB|BE1.1102015001|admin-down|admin-down|GESTION RWE11C ALCATEL7330
RSC1MB|BE1.1208021901|up|up|[TOIP] 1HXG01 HUA D200 [DSL2]
RSC1MB|BE1.1302014102|up|down| 
RSC1MB|BE1.1302015001|admin-down|admin-down|RWE11C ALCATEL7330
RSC1MB|BE1.1306048701|admin-down|admin-down|[DATOS] DDUG01 HUA 5000 [ADS2]   
RSC1MB|BE1.1308021901|up|up|[DATOS] 1HXG01 HUA 5000 [ADS2]   
RSC1MB|BE1.2102014301|up|down| 
RSC1MB|BE2|up|up|[HRP] RSC1MB 2 [L3] [HSI]
RSC1MB|BE2.1307100|up|down| 
RSC1MB|BE2.11006921|up|up|GESTION RSCN1D CISCO
RSC1MB|BE2.11006931|up|up|GESTION RSCF1D CISCO
RSC1MB|BE2.11006941|up|up|GESTION RSC91D CISCO
RSC1MB|BE2.11008201|up|up|GESTION RFN21D HUAWEI5100
RSC1MB|BE2.11009301|admin-down|admin-down|GESTION RIC11D HW5600
RSC1MB|BE2.11009401|admin-down|admin-down|GESTION SLZM01 ALCATEL7302
RSC1MB|BE2.11010001|up|up|GESTION LRSM01 ALU7302
RSC1MB|BE2.11012301|up|up|GESTION 92Q11C ALCATEL 7330
RSC1MB|BE2.11059401|up|up|GESTION ARE11D HW5600
RSC1MB|BE2.11126601|up|up|GESTION MIZM01 MA5600T
RSC1MB|BE2.11165301|admin-down|admin-down|GESTION CNGM01 ALU7302
RSC1MB|BE2.11267101|up|up|GESTION LOC11D HUAWEI 5600
RSC1MB|BE2.11361801|up|up|GESTION SJU11D HW5600
RSC1MB|BE2.11991358|up|up|GESTION CHL11D HUAWEI5100
RSC1MB|BE2.12007801|up|up|[TOIP] SSAG01 HUA 5616 [DSL2]
RSC1MB|BE2.12009901|up|up|[TOIP] VICI01 ALU 7302 [DSL2]
RSC1MB|BE2.12010001|up|up|[TOIP] LRSM01 ALU 7302 [DSL2]
RSC1MB|BE2.12012301|up|up|[TOIP] 92Q11C ALC 7330 [DSL2]
RSC1MB|BE2.12037101|up|up|[TOIP] PKIG01 HUA D200 [DSL2]
RSC1MB|BE2.12059401|up|up|[TOIP] ARE11D HUA 5600 [DSL2]
RSC1MB|BE2.12126601|up|up|[TOIP] MIZM01 HUA 5600T [DSL2]
RSC1MB|BE2.12310401|up|up|[TOIP] 5M0G01 HUA 5600T [DSL2]
RSC1MB|BE2.12361801|up|up|[TOIP] SJU11D HUA 5600 [DSL2]
RSC1MB|BE2.12362101|up|up|[TOIP] 5LZG01 HUA 5600T [DSL2]
RSC1MB|BE2.12362501|up|up|[TOIP] 7Z3G01 HUA D200 [DSL2]
RSC1MB|BE2.13006921|up|up|[DATOS] RSCN1D CIS 6260 [ADSL]   
RSC1MB|BE2.13006931|up|up|[DATOS] RSCF1D CIS 6260 [ADSL]   
RSC1MB|BE2.13006941|up|up|[DATOS] RSC91D CIS 6260 [ADSL]   
RSC1MB|BE2.13007801|up|up|SSAG01 MA5616
