shelfname|interface|portoperationalstate|protocol|info1
SFS4MU|BE1|up|up|[ACCESO HSI][BE] 501G01 
SFS4MU|BE1.2|up|up|[SIGN] NGN - MA5616 501G01 SAN FRANCISCO CBA L:13002169
SFS4MU|BE1.3|up|up|[RTP] NGN - MA5616 501G01 SAN FRANCISCO CBA L:13002169
SFS4MU|BE1.4|up|up|[GESTION] IPMB NGN - MA5616 501G01 SAN FRANCISCO CBA L:13002169
SFS4MU|BE1.3101|up|up|[TOIP] 501G01 HUA 5616 [VDS2]
SFS4MU|BE1.4101|up|up|[DATOS] 501G01 HUA 5616 [VDS2][L3]
SFS4MU|BE1.4101.pppoe1898|up|up| 
SFS4MU|BE1.4101.pppoe1994|up|up| 
SFS4MU|BE1.4101.pppoe2108|up|up| 
SFS4MU|BE1.4101.pppoe2114|up|up| 
SFS4MU|BE1.4101.pppoe2115|up|up| 
SFS4MU|BE1.4101.pppoe2124|up|up| 
SFS4MU|BE1.4101.pppoe2125|up|up| 
SFS4MU|BE2|up|up|[ACCESO HSI][BE] 64AG01 
SFS4MU|BE2.2|up|up|[SIGN] NGN - MA5616 64AG01 SAN FRANCISCO CBA L:13002134
SFS4MU|BE2.3|up|up|[RTP] NGN - MA5616 64AG01 SAN FRANCISCO CBA L:13002134
SFS4MU|BE2.4|up|up|[GESTION] IPMB NGN MA5616 64AG01 SAN FRANCISCO CBA L:13002134
SFS4MU|BE2.3101|up|up|[TOIP] 64AG01 HUA 5600_T [VDS2]
SFS4MU|BE2.4101|up|up|[DATOS] 64AG01 HUA 5600_T [VDS2][L3]
SFS4MU|BE3|up|up|[ACCESO HSI][BE] SFSN01 13002211
SFS4MU|BE3.2101|up|up|[GESTION] SFSN01 13002211
SFS4MU|BE3.4101|up|up|[DATOS]  SFSN01 13002211
SFS4MU|BE4|up|up|[ACCESO HSI][BE] SFS41D 9701244
SFS4MU|BE4.2101|up|up|[GESTION] SFS41D ZTE 9210 [ADS2]
SFS4MU|BE4.3101|up|up|[TOIP] SFS41D ZTE 9210 [ADS2]
SFS4MU|BE4.4101|up|up|[DATOS] SFS41D ZTE 9210 [ADS2][L3]
SFS4MU|BE5|up|up|[ACCESO HSI][BE] SFS31D 9701393
SFS4MU|BE5.2101|up|up|[GESTION] SFS31D ZTE 9210 [ADS2]
SFS4MU|BE5.3101|up|up|[TOIP] SFS31D ZTE 9210 [ADS2]
SFS4MU|BE5.4101|up|up|[DATOS] SFS31D ZTE 9210 [ADS2][L3]
SFS4MU|BE6|up|up|[ACCESO HSI][BE] SFS21D 9701318
SFS4MU|BE6.2101|up|up|[GESTION] SFS21D HUA 5100 [ADSL]
SFS4MU|BE6.4101|up|up|[DATOS] SFS21D HUA 5100 [ADSL][L3]
SFS4MU|BE7|up|up|[ACCESO HSI][BE] SFSM01 13001712
SFS4MU|BE7.2101|up|up|[GESTION] SFSM01 ALU 7302 [VDS2]
SFS4MU|BE7.3101|up|up|[TOIP] SFSM01 ALU 7302 [VDS2]
SFS4MU|BE7.4101|up|up|[DATOS] SFSM01 ALU 7302 [VDS2][L3]
SFS4MU|BE7.4101.pppoe431|up|up| 
SFS4MU|BE7.4101.pppoe451|up|up| 
SFS4MU|BE7.4101.pppoe491|up|up| 
SFS4MU|BE7.4101.pppoe2035|up|up| 
SFS4MU|BE7.4101.pppoe2208|up|up| 
SFS4MU|BE7.4101.pppoe5059|up|up| 
SFS4MU|BE7.4101.pppoe8232|up|up| 
SFS4MU|BE7.4101.pppoe8813|up|up| 
SFS4MU|BE7.4101.pppoe8961|up|up| 
SFS4MU|BE8|up|up|[ACCESO HSI][BE] 64FG01 13002135
SFS4MU|BE8.2|up|up|[SIGN] NGN - 64FG01 SAN FRANCISCO CBA L:13002135
SFS4MU|BE8.3|up|up|[RTP] NGN - 64FG01 SAN FRANCISCO CBA L:13002135
SFS4MU|BE8.4|up|up|[GESTION] IPMB NGN 64FG01 SAN FRANCISCO CBA L:13002135
SFS4MU|BE8.3101|up|up|[TOIP] 64FG01 HUA 5600_T [VDS2]
SFS4MU|BE8.4101|up|up|[DATOS] 64FG01 HUA 5600_T [VDS2][L3]
SFS4MU|BE8.4101.pppoe5135|up|up| 
SFS4MU|BE8.4101.pppoe5136|up|up| 
SFS4MU|BE8.4101.pppoe5138|up|up| 
SFS4MU|BE8.4101.pppoe5181|up|up| 
SFS4MU|BE8.4101.pppoe5182|up|up| 
SFS4MU|BE8.4101.pppoe5192|up|up| 
SFS4MU|BE8.4101.pppoe5194|up|up| 
SFS4MU|BE8.4101.pppoe5200|up|up| 
SFS4MU|BE8.4101.pppoe5201|up|up| 
SFS4MU|BE9|up|up|[ACCESO HSI + G.][BE] SFS61D 1300159
SFS4MU|BE9.2101|up|up|[GESTION] SFS61D ZTE 9800 [ADS2]
SFS4MU|BE9.3101|up|up|[TOIP] SFS61D ZTE 9800 [ADS2]
SFS4MU|BE9.3618|up|up|VPN Head Quarter - Patagonia - Ref:312931 Lin: 2739751 Acc:SFS61D 17 3 4
SFS4MU|BE9.3620|up|up|VPN 1M - OCA SRL - Ref:716528- Linea:2826216 - Acc:SFS61D 1-17-5
SFS4MU|BE9.3621|up|up|VPN Head Quarter - CET - Ref:538736 Lin:2764476 Acc:SFS61D 1/17/6
SFS4MU|BE9.3624|up|up|VPN GOLD 2M - GARBARINO SA - Ref:662377 - Lin:2804792 Acc:SFS61D 1/17/9
SFS4MU|BE9.3626|up|up|VPN Gold - BANCO DE LA PROVINCIA DE CORDOBA - Ref:170839 Lin:2705016 Acc:SFS61D-0/17/11
SFS4MU|BE9.3628|up|up|VPN GOLD - Poder Judicial Cba - Ref:641677 - L:2792532 - SFS61D 1/17 13-14
SFS4MU|BE9.3630|up|up|PN Head Quarter 2MBPS CV - Cliente - Ref:557045 Lin:2757173 Acc:SFS61D 17 15/16
SFS4MU|BE9.3632|up|up|VPN SILVER - OSPE - REF:276519 LIN:2729898 ACC:SFS61D 0/17/17-18
SFS4MU|BE9.3637|up|up|VPN Head Quarter - Banco Nacion - Ref:305794 Lin:2736864 Acc:SFS61D 0/17/22
SFS4MU|BE9.3638|up|up|VPN Head Quarter - BANCO MACRO - Ref:262862 Lin:2722010 - Acc:SFS61D 17/23-24
SFS4MU|BE9.3640|up|up|VPN BRANCH OFFICE - SIND EMPL PUBLICOS PROV CBA- Ref:742273 - Lin:2844831 - Acc:SFS61D 1/17/25
SFS4MU|BE9.3642|up|up|### VPN Head Quarter - CORMORAN S.A. - Ref:640525 - Lin:2792708 - Acc:SFS61D 17/27 ###
SFS4MU|BE9.3644|up|up|VPN Head Quarter - LOTERIA CBA - Ref 308587 Lin 2737977 Acc SFS61D-17-29/30
SFS4MU|BE9.3646|up|up|VPN - ANSES - Ref:229504 Lin:2706693 Acc:SFS61D 1/17/31-32
SFS4MU|BE9.3648|up|up|VPN Gold - Banco Galicia - Ref:87246 - Lin:2711129 - Acc:SFS61D-16-01/02
SFS4MU|BE9.3652|up|up|HYPERWAY HEAD QUARTER - ASOCIACION MUTUAL SANCOR SALUD - REF: 230005 - LINEA: 2706881 - ACC: SFS61D 16 05-06
SFS4MU|BE9.3658|up|up|VPN GOLD 1M - OSPECON - Ref:276307 - Lin:2727893 Acc:SFS61D 1/16/11
SFS4MU|BE9.3662|up|up|VPN SILVER - Ref:673522 - L:2813191 - SFS61D 1/16 15
SFS4MU|BE9.3666|up|up|### VPN - Tarjeta Naranja - ref 83688 - linea 2704644 - ACC SFS61D-1-16-19 ###
SFS4MU|BE9.3668|up|up|VPN GOLD - CORREO ANDREANI SA - Ref:681596 Lin:2817680 Acc:SFS61D 1/16/21
SFS4MU|BE9.3674|up|up|GIRE Refe 723391 LIN 2827647 ACC SFS61D
SFS4MU|BE9.3676|up|up|VPN SILVER por DSLAM - ASOCIACION MUTUAL SANCOR - Ref:721107 Lin:2826580 Acc: [SFS] SFS61D, 16, 29, V36 / H13 / 029
SFS4MU|BE9.3808|up|up|Integra Light - RADIO PEYBO TV SACIF E I. - Ref:534504 Lin:2749688 Acc:SFS61D 00/17/1-2
SFS4MU|BE9.3810|up|up|Gestion - Patagonia - Ref:312931 Lin:2739751 Acc:SFS61D 17 3 4
SFS4MU|BE9.3818|up|up|GESTION - Bco Pcia Cba - Ref:170839 - Lin:2705016 Acc:SFS61D-0/17/11
SFS4MU|BE9.3819|up|up|Integra Light - Defensoria - Ref:325092 Lin:2757507 Acc:SFS61D 17/12
SFS4MU|BE9.3823|up|up|IntegraLight - IGLESIA FILADELFIA PARA LAS NA - Ref:574035 - Lin:2763168 Acc:SFS61D SHDSL-1-1-17-16
SFS4MU|BE9.3826|up|up|Integra Light - CORMORAN - Ref:574575 Lin:2765847 Acc:SFS61D17-19
SFS4MU|BE9.3830|up|up|VPN Head Quarter - MACRO - Ref:262862 Lin:2722010 - Acc:SFS61D 17 23-24 Gestion UM
SFS4MU|BE9.3835|up|up|INTEGRA LIGHT - CONS PROF CIENCIAS ECONOMICASDE CORDOBA - Referencia 653905 - Linea 2801486 - Acceso: SFS61D/SHDSL-1-1-17
SFS4MU|BE9.3838|up|up|VPN - ANSES - Ref:229504 Lin:2706693 Acc:SFS61D 1/17/31-32 - Gestion 888
SFS4MU|BE9.3842|up|up|INTEGRA LIGHT - ACCION MERCANTIL SA - REF:219264 - LINEA:2703007 Acc:SFS61D-1-1-16-3Y4
SFS4MU|BE9.3846|up|up|IntegraLight - CENTRO S.A. - Ref:671102 - Lin:2809844 Acc:SFS61D SHDSL-1-1-16-7
SFS4MU|BE9.3848|up|up|Integra Light - CAROSSIO VAIROLATTI Y CIA. SRL - Ref:716452 Linea:2824322 - Acc:SFS61D 0/16/9-10
SFS4MU|BE9.3852|up|up|Integra Light - MICRON FRESAR SRL - Ref.221531 - Lin:2703459 - Acc:SFS61D 1-1-16/13
SFS4MU|BE9.3856|up|up|INTEGRA LIGHT - SANATORIO Y CLINICA SAN JUSTO - REF:739575 LIN:2837516 - ACC:SFS61D 1/16/17-18
SFS4MU|BE9.3858|up|up|VPN GOLD GESTION - TNaranja - Ref 83688 - L:2704644 - SFS61D 1-16-19
SFS4MU|BE9.3862|up|up|Integra Light - SANATORIO ARGENTINO - REF:739576 LIN:2837356 - ACC:SFS61D 1/16/23-24
SFS4MU|BE9.3864|up|up|Integra Light CLINICA REGIONAL DEL ESTE SRL. REF:876360 LIN:2857175 - ACC:SFS61D 1/16/25-26
SFS4MU|BE9.3870|up|up|Integra Light - ANTUN JORGE S.A. - Ref:565342 Lin:2760876 Acc:SFS61D 1/16/31-32
SFS4MU|BE9.4101|up|up|[DATOS] SFS61D ZTE 9800 [ADS2][L3]
SFS4MU|BE10|up|up|[ACCESO HSI][BE] BSFG01 9702766
SFS4MU|BE10.3|up|up|[RTP][SIGN] BSFG01 HUA 5000 - 9702766 [NGN]
SFS4MU|BE10.4|up|up|[GESTION][IPMB] BSFG01 HUA 5000 - 9702766 [NGN]
SFS4MU|BE10.5|up|up|[GESTION][PVM] BSFG01 HUA 5000 - 9702766 [NGN]
SFS4MU|BE10.4101|up|up|[DATOS] BSFG01 HUA 5000 [ADS2][L3]
SFS4MU|BE11|up|up|[NGN][BE] SFSG01 9703010
SFS4MU|BE11.3|up|up|[RTP][SIGN] SFSG01 HUA 5000 - 9703010 [NGN]
SFS4MU|BE11.4|up|up|[GESTION][IPMB] SFSG01 HUA 5000 - 9703010 [NGN]
SFS4MU|BE11.5|up|up|[GESTION][PVM] SFSG01 HUA 5000 -9703010 [NGN]
SFS4MU|BE12|up|up|[ACCESO HSI][BE] PSQG01 9003700
SFS4MU|BE12.3|up|up|[RTP][SIGN] PSQG01 HUA 5000 [NGN]
SFS4MU|BE12.4|up|up|[GESTION][IPMB] PSQG01 HUA 5000 [NGN]
SFS4MU|BE12.5|up|up|[GESTION][PVM] PSQG01 HUA 5000 [NGN]
SFS4MU|BE12.3654|up|up|VPN LA CASA DEL TAPICERO Ref:651726 Lin:2798490 Acc: PSQG01 / 14/6-7
SFS4MU|BE12.3808|up|up|Referencia : 608860 - PARQUE INDUSTRIAL PILOTO DE SAN FRANCISCO S.A. - Linea : 2781049 - DSLAM PSQG01 16/0
SFS4MU|BE12.3812|up|up|Integra Light - MACOSER - Ref:323231 Lin:2746665 Acc:PSQG01/0/16/4
SFS4MU|BE12.3813|up|up|IntegraLight - DELYAR SA - Ref:621694 - Lin:2787590 Acc:PSQG01D SHDSL-0-16-005
SFS4MU|BE12.3814|up|up|Integra Light - FERRETERIA GENERAL PAZ S.R.L. - Ref:296636 Lin:2734470 Acc:PSQG01 00/16/6-7
SFS4MU|BE12.3818|up|up|Integra Light 3M FRONTERA LIVING Ref:274850 Lin:2727544 Acc:PSQG01 0/16/010-11
SFS4MU|BE12.3820|up|up|IntegraLight - PESSOT SRL - Ref:637022 - Lin:2789550 Acc:PSQG01D SHDSL-0-16-012
SFS4MU|BE12.3822|up|up|Integra Light - EXPRESO BRIO S R L - Ref:876379 Lin:2857589 Acc:PSQG01 0-16/14-15
SFS4MU|BE12.3840|up|up|IntegraLight - GENDARMERIA NACIONAL - Ref:653310 - Lin:2802261 Acc:PSQG01D SHDSL-0-14-000
SFS4MU|BE12.3842|up|up|IntegraLight - COMPAIA ARGENTINA DE GRANOS S. A. - Ref:664075 - Lin:2806149 Acc:PSQG01D SHDSL-0-14-002
SFS4MU|BE12.3846|up|up|Integra Light + VPN LA CASA DEL TAPICERO SRL Ref:651726 Lin: Acc:PSQG01 0/14/6-7
SFS4MU|BE12.3848|up|up|INTEGRA LIGHT_RUBEN COSTANTINI_Ref.724306_Lin:2831147- Acc:CHI21D PSQG01 0/14/8-9
SFS4MU|BE12.4101|up|up|[DATOS] PSQG01 HUA 5000 [ADS2][L3]
SFS4MU|BE13|up|up|[ACCESO HSI][BE] XF5G01 9701896
SFS4MU|BE13.3|up|up|RTP y SIGN XF5G01 - XF7G01 - 9701896
SFS4MU|BE13.4|up|up|IPMB XF5G01 - XF7G01 - 9701896
SFS4MU|BE13.5|up|up|PVM XF5G01 - XF7G01 - 9701896
SFS4MU|BE13.4101|up|up|[DATOS] XF5G01 HUA 5000 [ADS2][L3]
SFS4MU|BE14|up|up|[ACCESO HSI][BE] XF1G01
SFS4MU|BE14.3|up|up|[RTP] NGN - San Fransisco XF1G01-L:9003702
SFS4MU|BE14.4|up|up|[GESTION] IPMB NGN San Fransisco XF1G01-L:9003702
SFS4MU|BE14.5|up|up|[GESTION] PVM NGN San Fransisco XF1G01-L:9003702
SFS4MU|BE14.4101|up|up|[DATOS] XF1G01 HUA 5000 [ADS2][L3]
SFS4MU|BE15|up|up|[ACCESO HSI+G.][BE] XF3G01 9701770
SFS4MU|BE15.3|up|up|[RTP][SIGN] XF3G01 HUA 5000 [NGN]
SFS4MU|BE15.4|up|up|[GESTION][IPMB] XF3G01 HUA 5000 [NGN]
SFS4MU|BE15.5|up|up|[GESTION][PVM] XF3G01 HUA 5000 [NGN]
SFS4MU|BE15.3618|up|up|VPN Branch Office - ANSELMI@FirstDataRT - Ref:640455 Lin:2791734 Acc:XF3G01 0/15/2
SFS4MU|BE15.3620|up|up|VPN Head Quarter - Bco de la Pcia de Cba - Ref:665771 Lin:2806880 Acc:XF3G01 15 4
SFS4MU|BE15.3621|up|up|VPN GOLD - YPF SA - REF: 938101 LIN:2856138 ACC:XF3G01 0/15/5
SFS4MU|BE15.3622|admin-down|admin-down|VPN GOLD - YPF SA - REF: 938101 LIN:2856138 ACC:XF3G01 0/15/6 -7
SFS4MU|BE15.3808|up|up|Integra Gold - ANSELMI Y CIA. S.R.L. - Ref:576656 Lin:2774465 Acc:XF3G01D 0/15/0 4H
SFS4MU|BE15.4101|up|up|[DATOS] XF3G01 HUA 5000 [ADS2][L3]
SFS4MU|BE16|up|up|[ACCESO HSI][BE] AIHG01 
SFS4MU|BE16.3|up|up|[RTP] NGN - UA5000 AIRES DEL GOLF AIHG01 -L:9003682
SFS4MU|BE16.4|up|up|[GESTION] IPMB NGN UA5000 AIRES DEL GOLF AIHG01 -L:9003682
SFS4MU|BE16.5|up|up|[GESTION] PMV NGN UA5000 AIRES DEL GOLF AIHG01 -L:9003682
SFS4MU|BE16.4101|up|up|[DATOS] AIHG01 HUA 5000 [ADS2][L3]
SFS4MU|BE17|up|up|[ACCESO HSI][BE] 18BG01 
SFS4MU|BE17.2|up|up|[SIGN] NGN - BARRIO CASONAS DEL BOSQUE -18BG01- L:13001717
SFS4MU|BE17.3|up|up|[RTP] NGN - BARRIO CASONAS DEL BOSQUE -18BG01- L:13001717
SFS4MU|BE17.4|up|up|[GESTION] IPMB NGN BARRIO CASONAS DEL BOSQUE -18BG01- L:13001717
SFS4MU|BE17.3101|up|up|[TOIP] 18BG01 HUA 5603_T [VDS2]
SFS4MU|BE17.4101|up|up|[DATOS] 18BG01 HUA 5603_T [VDS2][L3]
SFS4MU|BE18|up|up|[ACCESO HSI][BE] BFHG01 
SFS4MU|BE18.2|up|up|[SIGN] NGN - ESTACION FRONTERA -BFHG01- L:13000061
SFS4MU|BE18.3|up|up|[RTP] NGN - ESTACION FRONTERA -BFHG01- L:13000061
SFS4MU|BE18.4|up|up|[GESTION] IPMB NGN ESTACION FRONTERA -BFHG01- L:13000061
SFS4MU|BE18.3101|up|up|[TOIP] BFHG01 ZTE 5200 [ADS2]
SFS4MU|BE18.4101|up|up|[DATOS] BFHG01 ZTE 5200 [ADS2][L3]
SFS4MU|BE19|up|up|[ACCESO HSI][BE] SFSB1D 11004144
SFS4MU|BE19.2101|up|up|[GESTION] SFSB1D ZTE 9210 [ADS2]
SFS4MU|BE19.3101|up|up|[TOIP] SFSB1D ZTE 9210 [ADS2]
SFS4MU|BE19.4101|up|up|[DATOS] SFSB1D ZTE 9210 [ADS2][L3]
SFS4MU|BE20|up|up|[ACCESO HSI][BE] SFSC1D 11004145
SFS4MU|BE20.2101|up|up|[GESTION] SFSC1D ZTE 9210 [ADS2]
SFS4MU|BE20.3101|up|up|[TOIP] SFSC1D ZTE 9210 [ADS2]
SFS4MU|BE20.4101|up|up|[DATOS] SFSC1D ZTE 9210 [ADS2][L3]
SFS4MU|BE21|up|up|[ACCESO HSI][BE] SFSD1D 11004146
SFS4MU|BE21.2101|up|up|[GESTION] SFSD1D ZTE 9210 [ADS2]
SFS4MU|BE21.3101|up|up|[TOIP] SFSD1D ZTE 9210 [ADS2]
SFS4MU|BE21.4101|up|up|[DATOS] SFSD1D ZTE 9210 [ADS2][L3]
SFS4MU|BE22|up|up|[ACCESO HSI][BE] SFS71D 13003699
SFS4MU|BE22.2101|up|up|[GESTION] SFS71D ZTE 9210 [ADS2]
SFS4MU|BE22.3101|up|up|[TOIP] SFS71D ZTE 9210 [ADS2]
SFS4MU|BE22.4101|up|up|[DATOS] SFS71D ZTE 9210 [ADS2][L3]
SFS4MU|BE23|up|up|[ACCESO HSI][BE] SFS81D 13003700
SFS4MU|BE23.2101|up|up|[GESTION] SFS81D ZTE 9210 [ADS2]
SFS4MU|BE23.3101|up|up|[TOIP] SFS81D ZTE 9210 [ADS2]
SFS4MU|BE23.4101|up|up|[DATOS] SFS81D ZTE 9210 [ADS2][L3]
SFS4MU|BE24|up|up|[ACCESO HSI][BE] SFS91D 13003701
SFS4MU|BE24.2101|up|up|[GESTION] SFS91D ZTE 9210 [ADS2]
SFS4MU|BE24.3101|up|up|[TOIP] SFS91D ZTE 9210 [ADS2]
SFS4MU|BE24.4101|up|up|[DATOS] SFS91D ZTE 9210 [ADS2][L3]
