shelfname|interface|portoperationalstate|protocol|info1
VMI4MU|BE1|up|up|[ACCESO HSI][BE] 7TVG01 13006273
VMI4MU|BE1.2|up|up|[SIGN] 7TVG01 HUA 5603_T 13006273 [NGN]
VMI4MU|BE1.3|up|up|[RTP] 7TVG01 HUA 5603_T 13006273 [NGN]
VMI4MU|BE1.4|up|up|[GESTION] 7TVG01 HUA 5603_T 13006273 [NGN]
VMI4MU|BE1.3101|up|up|[TOIP] 7TVG01 HUA 5603_T [ADS2]
VMI4MU|BE1.4101|up|up|[DATOS] 7TVG01 HUA 5603_T [ADS2][L3]
VMI4MU|BE2|up|up|[ACCESO HSI][BE] DVZG01 
VMI4MU|BE2.2|up|up|[RTP][SIGN] DVZG01 HUA 5616 [NGN] 13001783
VMI4MU|BE2.3|up|up|[GESTION][RTP] DVZG01 HUA 5616 [NGN] 13001783
VMI4MU|BE2.4|up|up|[GESTION][IPMB] DVZG01 HUA 5616 [NGN] 13001783
VMI4MU|BE2.3101|up|up|[TOIP] DVZG01 HUA 5616 [VDS2]
VMI4MU|BE2.4101|up|up|[DATOS] DVZG01 HUA 5616 [VDS2][L3]
VMI4MU|BE2.4101.pppoe329|up|up| 
VMI4MU|BE3|up|up|[ACCESO HSI][BE] VMI21D 
VMI4MU|BE3.2101|up|up|[GESTION] VMI21D HUA 5100 [ADS2]
VMI4MU|BE3.4101|up|up|[DATOS] VMI21D HUA 5100 [ADS2][L3]
VMI4MU|BE5|up|up|[ACCESO HSI][BE] 43KG01 
VMI4MU|BE5.2|up|up|[SIGN] TECHO DIGNO-43KG01-LINEA:13001973 [NGN]
VMI4MU|BE5.3|up|up|[RTP] TECHO DIGNO-43KG01-LINEA:13001973[NGN]
VMI4MU|BE5.4|up|up|[GESTION IPMB] NGN-TECHO DIGNO-43KG01-LINEA:13001973 [NGN]
VMI4MU|BE5.3101|up|up|[TOIP] 43KG01 HUA 5603_T [VDS2]
VMI4MU|BE5.4101|up|up|[DATOS] 43KG01 HUA 5603_T [VDS2][L3]
VMI4MU|BE6|up|up|[ACCESO HSI][BE] VMIF1D 13004377
VMI4MU|BE6.2101|up|up|[GESTION] VMIF1D HUA 5600 [ADS2]
VMI4MU|BE6.3101|up|up|[TOIP] VMIF1D HUA 5600 [ADS2]
VMI4MU|BE6.4101|up|up|[DATOS] VMIF1D HUA 5600 [ADS2][L3]
VMI4MU|BE6.4101.pppoe7886|up|up| 
VMI4MU|BE6.4101.pppoe7889|up|up| 
VMI4MU|BE6.4101.pppoe7892|up|up| 
VMI4MU|BE6.4101.pppoe8487|up|up| 
VMI4MU|BE6.4101.pppoe8589|up|up| 
VMI4MU|BE6.4101.pppoe8659|up|up| 
VMI4MU|BE6.4101.pppoe9235|up|up| 
VMI4MU|BE6.4101.pppoe9238|up|up| 
VMI4MU|BE6.4101.pppoe9245|up|up| 
VMI4MU|BE6.4101.pppoe9249|up|up| 
VMI4MU|BE6.4101.pppoe9253|up|up| 
VMI4MU|BE6.4101.pppoe9262|up|up| 
VMI4MU|BE6.4101.pppoe9274|up|up| 
VMI4MU|BE6.4101.pppoe9474|up|up| 
VMI4MU|BE7|up|up|[ACCESO HSI][BE] VMIG1D 13004378
VMI4MU|BE7.2101|up|up|[GESTION] VMIG1D HUA 5600 [ADS2]
VMI4MU|BE7.3101|up|up|[TOIP] VMIG1D HUA 5600 [ADS2]
VMI4MU|BE7.4101|up|up|[DATOS] VMIG1D HUA 5600 [ADS2][L3]
VMI4MU|BE8|up|up|[ACCESO HSI][BE] VMIH1D 13004379
VMI4MU|BE8.2101|up|up|[GESTION] VMIH1D HUA 5600 [ADS2]
VMI4MU|BE8.3101|up|up|[TOIP] VMIH1D HUA 5600 [ADS2]
VMI4MU|BE8.4101|up|up|[DATOS] VMIH1D HUA 5600 [ADS2][L3]
VMI4MU|BE9|up|up|[ACCESO NGN HSI][BE] CIMG01 
VMI4MU|BE9.2|up|up|[RTP][SIGN] CIMG01 HUA 5616 [NGN] 13002008
VMI4MU|BE9.3|up|up|[GESTION][RTP] CIMG01 HUA 5616 [NGN] 13002008
VMI4MU|BE9.4|up|up|[GESTION][IPMB] CIMG01 HUA 5616 [NGN] 13002008
VMI4MU|BE9.3101|up|up|[TOIP] CIMG01 HUA 5616 [VDS2]
VMI4MU|BE9.4101|up|up|[DATOS] CIMG01 HUA 5616 [VDS2][L3]
VMI4MU|BE9.4101.pppoe353|up|up| 
VMI4MU|BE10|up|up|[ACCESO NGN HSI][BE] K2PG01 
VMI4MU|BE10.2|up|up|[SIGN] K2PG01 HUA 5616 [NGN] 13000664
VMI4MU|BE10.3|up|up|[GESTION][RTP] K2PG01 HUA 5616 [NGN] 13000664
VMI4MU|BE10.4|up|up|[GESTION][IPMB] K2PG01 HUA 5616 [NGN] 13000664
VMI4MU|BE10.3101|up|up|[TOIP] K2PG01 HUA 5616 [VDS2]
VMI4MU|BE10.4101|up|up|[DATOS] K2PG01 HUA 5616 [VDS2][L3]
VMI4MU|BE10.4101.pppoe868|up|up| 
VMI4MU|BE10.4101.pppoe869|up|up| 
VMI4MU|BE10.4101.pppoe870|up|up| 
VMI4MU|BE11|up|up|[ACCESO HSI][BE] VMI61D 9701437
VMI4MU|BE11.2101|up|up|[GESTION] VMI61D HUA 5600 [ADS2]
VMI4MU|BE11.3101|up|up|[TOIP] VMI61D HUA 5600 [ADS2]
VMI4MU|BE11.4101|up|up|[DATOS] VMI61D HUA 5600 [ADS2][L3]
VMI4MU|BE12|up|up|[ACCESO HSI][BE] VMI81D 13004154
VMI4MU|BE12.2101|up|up|[GESTION] VMI81D ZTE 9210 [ADS2]
VMI4MU|BE12.3101|up|up|[TOIP] VMI81D ZTE 9210 [ADS2]
VMI4MU|BE12.4101|up|up|[DATOS] VMI81D ZTE 9210 [ADS2][L3]
VMI4MU|BE13|up|up|[ACCESO HSI][BE] VMI91D 13004155
VMI4MU|BE13.2101|up|up|[GESTION] VMI91D ZTE 9210 [ADS2]
VMI4MU|BE13.3101|up|up|[TOIP] VMI91D ZTE 9210 [ADS2]
VMI4MU|BE13.4101|up|up|[DATOS] VMI91D ZTE 9210 [ADS2][L3]
VMI4MU|BE13.4101.pppoe1|up|up| 
VMI4MU|BE13.4101.pppoe3|up|up| 
VMI4MU|BE13.4101.pppoe4|up|up| 
VMI4MU|BE13.4101.pppoe9|up|up| 
VMI4MU|BE13.4101.pppoe10|up|up| 
VMI4MU|BE13.4101.pppoe13|up|up| 
VMI4MU|BE13.4101.pppoe15|up|up| 
VMI4MU|BE13.4101.pppoe17|up|up| 
VMI4MU|BE13.4101.pppoe18|up|up| 
VMI4MU|BE13.4101.pppoe63|up|up| 
VMI4MU|BE13.4101.pppoe105|up|up| 
VMI4MU|BE13.4101.pppoe163|up|up| 
VMI4MU|BE13.4101.pppoe181|up|up| 
VMI4MU|BE13.4101.pppoe230|up|up| 
VMI4MU|BE13.4101.pppoe280|up|up| 
VMI4MU|BE13.4101.pppoe320|up|up| 
VMI4MU|BE13.4101.pppoe326|up|up| 
VMI4MU|BE13.4101.pppoe329|up|up| 
VMI4MU|BE13.4101.pppoe334|up|up| 
VMI4MU|BE13.4101.pppoe369|up|up| 
