shelfname|interface|portoperationalstate|protocol|info1
AES2MU|GE0/0/0|down|down|
AES2MU|GE1/0/0(10G)|up|up|Enlace 10G FO RSC1NA_G0/11/0/9 Linea:11001986 - UPLINK NA
AES2MU|GE1/0/1(10G)|up|up|Enlace 10G FO RSC1NA_G0/10/0/8 Linea:11004813 - UPLINK NA
AES2MU|GE1/1/0|up|down|[ACCESO HSI][VI] 5KA11C - LINEA 11002180
AES2MU|GE1/1/0.2101|up|up|[GESTION] 5KA11C ALU 7330 [VDS2]
AES2MU|GE1/1/0.3101|up|up|[TOIP] 5KA11C ALU 7330 [VDS2]
AES2MU|GE1/1/0.4101|up|up|[DATOS] 5KA11C ALU 7330 [VDS2][L2]
AES2MU|GE1/1/1|down|down|INTEGRA - JOCKEY CLUB DE ROSARIO - Ref 659438 - Linea 2803164
AES2MU|GE1/1/1.3|down|down|### Integra - JOCKEY CLUB DE ROSARIO - ref:659438 - Lin:2803164 ###
AES2MU|GE1/1/2|down|down|
AES2MU|GE1/1/3|up|down|[ACCESO HSI][VI] RG511C 11000768
AES2MU|GE1/1/3.2101|up|up|[GESTION] RG511C ALU 7330 [VDS2]
AES2MU|GE1/1/3.3101|up|up|[TOIP] RG511C ALU 7330 [VDS2]
AES2MU|GE1/1/3.4101|up|up|[DATOS] RG511C ALU 7330 [VDS2][L2]
AES2MU|GE1/1/4|up|down|[ACCESO HSI][VI] AES21D (sub AES22D) - LINEA 9701183
AES2MU|GE1/1/4.2101|up|up|[GESTION] AES21D HUA 5100 [ADSL]
AES2MU|GE1/1/4.4101|up|up|[DATOS] AES21D HUA 5100 [ADSL][L2]
AES2MU|GE1/1/4.4201|up|up|[DATOS] AES22D HUA 5100 [ADSL][L2]
AES2MU|GE1/1/5|up|down|[ACCESO HSI][VI] AES31D - LINEA 9700458
AES2MU|GE1/1/5.2101|up|up|[GESTION] AES31D ZTE 9210 [ADS2]
AES2MU|GE1/1/5.3101|up|up|[TOIP] AES31D ZTE 9210 [ADS2]
