shelfname|interface|portoperationalstate|protocol|info1
ALV3MU|100GE3/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/16/0/2 Linea:150088165 - UPLINK NA
ALV3MU|100GE4/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/8/0/6 Linea:15008166 - UPLINK NA
ALV3MU|GE0/0/0|down|down|
ALV3MU|GE1/0/0|down|down|
ALV3MU|GE1/0/1|up|down|[ACCESO HSI][VI] ALV51D 9701180
ALV3MU|GE1/0/1.2101|up|up|[GESTION] ALV51D HUA 5100 [ADSL]
ALV3MU|GE1/0/1.3101|up|up|[TOIP] ALV51D HUA 5100 [ADSL]
ALV3MU|GE1/0/1.4101|up|up|[DATOS] ALV51D HUA 5100 [ADSL][L2]
ALV3MU|GE1/0/2|up|down|[ACCESO HSI][VI] ALVM01 15003438
ALV3MU|GE1/0/2.2101|up|up|[GESTION] ALVM01 HUA 5600_T [VDS2]
ALV3MU|GE1/0/2.3101|up|up|[TOIP] ALVM01 HUA 5600_T [VDS2]
ALV3MU|GE1/0/2.4101|up|up|[DATOS] ALVM01 HUA 5600_T [VDS2][L2]
ALV3MU|GE1/0/3|up|down|[ACCESO HSI][VI] 30M11C 15002759
ALV3MU|GE1/0/3.2101|up|up|[GESTION] 30M11C ECI HIFS [VDS2]
ALV3MU|GE1/0/3.3101|up|up|[TOIP] 30M11C ECI HIFS [VDS2]
ALV3MU|GE1/0/3.4101|up|up|[DATOS] 30M11C ECI HIFS [VDS2][L2]
ALV3MU|GE1/0/4|up|down|[ACCESO HSI][VI] 30K11C 15002757
ALV3MU|GE1/0/4.2101|up|up|[GESTION] 30K11C ECI HIFS [VDS2]
ALV3MU|GE1/0/4.3101|up|up|[TOIP] 30K11C ECI HIFS [VDS2]
ALV3MU|GE1/0/4.4101|up|up|[DATOS] 30K11C ECI HIFS [VDS2][L2]
ALV3MU|GE1/0/5|up|down|[ACCESO HSI][VI] 30J11C 15002756
ALV3MU|GE1/0/5.2101|up|up|[GESTION] 30J11C ECI HIFS [VDS2]
ALV3MU|GE1/0/5.3101|up|up|[TOIP] 30J11C ECI HIFS [VDS2]
ALV3MU|GE1/0/5.4101|up|up|[DATOS] 30J11C ECI HIFS [VDS2][L2]
