shelfname|interface|portoperationalstate|protocol|info1
BEV2MU|Eth-Trunk1|up|down|LAG PTN HWI 35BVL02_G4/2-5/2
BEV2MU|Eth-Trunk1.1270|up|up|Enlace a CEN1MN_T0/1/0/1.1270
BEV2MU|Eth-Trunk1.2616|up|up|Enlace a COE1MN_T0/0/0/5.2616
BEV2MU|Eth-Trunk2|up|down|LAG SDH HWI 35BVL01_G5/3_G5/4
BEV2MU|GE0/0/0|down|down|
BEV2MU|GE1/0/0(10G)|up|up|TRK:ENLACE:CEN1NA(Te0/10/0/13) Linea:13003400 DWDM
BEV2MU|GE1/0/1(10G)|up|down|TIP_TIPINTSERCDI(2822162)REFE:331815_Ges.Cliente
BEV2MU|GE1/0/1.2(10G)|up|up|TIP - NODOSUD(2822162)REFE:331815_Ges.Cliente
BEV2MU|GE1/1/0|up|up|Enlace 1G PTN 35BVL02_G4/2 Linea:11001948 - UPLINK NPE
BEV2MU|GE1/1/2|up|down|PODER JUDICIAL DE CORDOBA -- Ref:640188 -- Lin:2791550
BEV2MU|GE1/1/2.18|up|up|VPN - PODER JUDICIAL DE CORDOBA - REF: 640188 - LINEA: 2791550
BEV2MU|GE1/1/3|up|down|VPN - PODER JUDICIAL GOB.DE LA PROV.DE CORDOBA - Ref.640187 - Linea.2791549
BEV2MU|GE1/1/3.22|up|up|VPN - PODER JUDICIAL GOB.DE LA PROV.DE CORDOBA - REF: 640187 - LINEA: 2791549
BEV2MU|GE1/1/4|down|down|
BEV2MU|GE1/1/5|up|down|ADSL BEV31D - 9701942
BEV2MU|GE1/1/5.100021|up|up|HSI BEV31D - CEN1MB
BEV2MU|GE1/1/6|up|down|ADSL BEV21D - 9701943 - REF:9701943001
BEV2MU|GE1/1/6.100022|up|up|HSI BEV21D - CEN2MB
BEV2MU|GE1/1/7|up|down|ACCESO A UMG BELL VILLE (BEVT01)-L:9704409
BEV2MU|GE1/1/7.2|up|up|SIGNALING NGN BELL VILLE (BEVT01)-L:9704409
BEV2MU|GE1/1/7.3|up|up|SIGNALING NGN BELL VILLE (BEVT01)-L:9704409
BEV2MU|GE1/1/7.5|up|up|GESTION IPMB NGN BELL VILLE (BEVT01)-L:9704409
BEV2MU|GE1/1/8|up|down|A DWBEV01/2BB_19/01 cadena de RE SDH+Eth DW LAS VARILLAS-BELL VILLE (70001093)
BEV2MU|GE1/1/8.1202|up|up|GESTION ATN910I SAN_ANTONIO_DE_LITIN - SAD01MS - Linea 70001083 (BEVT1 - SADT1)
BEV2MU|GE1/1/8.1203|up|up|GESTION ATN910I CINTRA - CIN01MS - Linea 70001083 (BEVT1 - CINT1)
BEV2MU|GE1/1/8.12051000|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020 - (1) (698550) - S1
BEV2MU|GE1/1/8.12051001|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020 - (2) (698550) - S1MME
BEV2MU|GE1/1/8.12051002|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020 - (3) (698550) - GOMRAN
BEV2MU|GE1/1/8.12051003|up|up|NODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020 - (1) (695614) - 3G
BEV2MU|GE1/1/8.12051004|up|up|NODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020 - (1) (698551) - 2G
BEV2MU|GE1/1/8.12051005|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020_RSCLR - (939475) - S1 RS_CLARO
BEV2MU|GE1/1/8.12051006|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020_RSCLR - (939475) - S1MME RS_CLARO
BEV2MU|GE1/1/8.12051007|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020_RSMVS - (939476) - S1 RS_MOVISTAR
BEV2MU|GE1/1/8.12051008|up|up|eNODOB - SAN_ANTONIO_DE_LITIN - BEV2MU 1/1/8 - A02-S020_RSMVS - (939476) - S1MME RS_MOVISTAR
BEV2MU|GE1/1/8.12070002|up|up|### VPN 10M - RIBEIRO S.A.C.I.F.A.E.I. - REF: 739774 LIN: 2835208 FO: C.4001-P.57-58 ACC: LVR1MS G2/0/9 ###
BEV2MU|GE1/1/8.15020002|up|up|### Integra - COOP TEL DE LA PLAYOSA - ref:333280 - Lin:2862017 ###
BEV2MU|GE1/1/8.23011000|up|up|eNODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094 - (1) (526077) - S1
BEV2MU|GE1/1/8.23011001|up|up|eNODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094 - (2) (526077) - S1MME
BEV2MU|GE1/1/8.23011002|up|up|eNODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094 - (3) (526077) - GOMRAN
BEV2MU|GE1/1/8.23011003|up|up|NODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094 - (1) (526095) - 3G
BEV2MU|GE1/1/8.23011004|up|up|NODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094 - (1) (526396) - 2G
BEV2MU|GE1/1/8.23011005|up|up|eNODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094_RSCLR - (948363) - RS CLARO S1
BEV2MU|GE1/1/8.23011006|up|up|eNODOB - CHILIBROSTE_FO - BEV2MU DWBEV01 CIN1MS 0/2/2 - A02-S094_RSCLR - (948363) - RS CLARO S1MME
BEV2MU|GE1/1/8.23031000|up|up|eNODOB - LA_PLAYOSA - A02-S002 (1) (526082) - S1
BEV2MU|GE1/1/8.23031001|up|up|eNODOB - LA_PLAYOSA - A02-S002 (2) (526082) - S1MME
BEV2MU|GE1/1/8.23031002|up|up|eNODOB - LA_PLAYOSA - A02-S002 (3) (526082) - GOMRAN
BEV2MU|GE1/1/8.23031003|up|up|eNODOB - LA_PLAYOSA - A02-S002 (3) (526082) - 3G
BEV2MU|GE1/1/8.23031004|up|up|eNODOB - LA_PLAYOSA - A02-S002- (1) (698554) - 2G
BEV2MU|GE1/1/8.23311000|up|up|eNODOB - CINTRA - BEV2MU 1/1/8 - A02-S090 - (1) (698552) - S1
BEV2MU|GE1/1/8.23311001|up|up|eNODOB - CINTRA - BEV2MU 1/1/8 - A02-S090 - (2) (698552) - S1MME
BEV2MU|GE1/1/8.23311002|up|up|eNODOB - CINTRA - BEV2MU 1/1/8 - A02-S090 - (3) (698552) - GOMRAN
BEV2MU|GE1/1/8.23311003|up|up|NODOB - CINTRA - BEV2MU 1/1/8 - A02-S090 - (1) (695615) - 3G
BEV2MU|GE1/1/8.23311004|up|up|NODOB - CINTRA - BEV2MU 1/1/8 - A02-S090 - (1) (698554) - 2G
BEV2MU|GE1/1/9|up|down|ADSL + G. BEV41D - Linea 9703116
BEV2MU|GE1/1/9.3616|up|up|HYPERWAY HEAD QUARTER - CORREO OFICIAL DE LA REP.ARG. - REF: 84966 - LINEA: 2597879 - ACC: BEV41D 0/17/1
BEV2MU|GE1/1/9.3621|up|up|HYPERWA BRANCH OFFICE - CONS PROF CIENCIAS ECONOMICAS  DE CORDOBA - REF: 293557 - LINEA: 2739812 - ACC: BEV41D-Placa 17-Port 6
BEV2MU|GE1/1/9.3629|up|up|HYPERWAY HEAD QUARTER - POLICIA DE LA PROVINCIA DE COR - REF: 536796 - LINEA: 2749605 - ACC: BEV41D 17 14
BEV2MU|GE1/1/9.3632|up|up|HYPERWAY HEAD QUARTER - BANCO DE LA NACION ARGENTINA - REF: 539354 - LINEA: 2752145 - ACC: BEV41D 0/17/17
BEV2MU|GE1/1/9.3644|up|up|HYPERWAY HEAD QUARTER - ADMINISTRACION FEDERAL DE INGR ESOS PUBLICOS - REF: 163210 - LINEA: 2594536 - ACC: BEV41D 17-29/30
BEV2MU|GE1/1/9.3646|up|up|HYPERWAY HEAD QUARTER - BANCO MACRO S.A. - REF: 283970 - LINEA: 2731285 - ACC: BEV41D 17/31y32
BEV2MU|GE1/1/9.3650|up|up|HYPERWAY HEAD QUARTER - BANCO DE LA PROVINCIA DE CORDOBA - REF: 647524 - LINEA: 2795656 - ACC: BEV41D 16 3
BEV2MU|GE1/1/9.3652|up|up|VPN 1M - OCA SRL - Ref:716525- Linea:2826241 - Acc:bev41d 1-16-5
BEV2MU|GE1/1/9.3656|up|up|VPN GOLD - EPEC - Ref:654664 - L:2800249 - BEV41D 1/16 9-10
BEV2MU|GE1/1/9.3658|up|up|HYPERWAY HEAD QUARTER - BANCO DE GALICIA Y BUENOS AIRE S S.A. - REF: 87278 - LINEA: 2711160 - ACC: BEV41D-16-11/12
BEV2MU|GE1/1/9.3660|up|up|*** DEFENSORIA - Ref 659069 - Li 2802903 - Acceso BEV41D 1/16/13
BEV2MU|GE1/1/9.3666|up|up|HYPERWAY HEAD QUARTER - DISTRIBUIDORA DE GAS DEL CENTR O S.A. - REF: 144904 - LINEA: 2717153 - ACC: BEV41D 16/19-20
BEV2MU|GE1/1/9.3668|up|up|HYPERWAY HEAD QUARTER - BANCO DE LA PROV DE CORDOBA - Ref:876129
BEV2MU|GE1/1/9.3670|up|up|PRESURIZACION BELL VILLE - REF:943186 - ACC:BEV41D 0/16/23
BEV2MU|GE1/1/9.3830|up|up|INTEGRA - MIN.PUBLICO DE LA DEFENSA DEFE NSORIA GRAL.DE LA NACION - REF: 325088 - LINEA: 2757500 - ACC: BEV41D 0/17/23
BEV2MU|GE1/1/9.3838|up|up|GRSTION HYPERWAY HEAD QUARTER - BANCO MACRO S.A. - REF: 283970 - LINEA: 2731285 - ACC: BEV41D 17/31y32
BEV2MU|GE1/1/9.3846|up|up|IntegraLight - CETROGAR S.A... - Ref:658744 - Lin:2808286 Acc:BE
BEV2MU|GE1/1/9.3854|up|up|IntegraLight - ROSSETTI - Ref:681731- Lin:2815812 Acc:BEV41D SHD
BEV2MU|GE1/1/9.3856|up|up|Integra Light 2M - Rossetti BEV - Ref:681727 Lin:2815808 Acc:BEV
BEV2MU|GE1/1/9.3862|up|up|PRESURIZACION BELL VILLE - REF:943186 - ACC:BEV41D 0/16/23
BEV2MU|GE1/1/9.11512|up|up|HSI BEV41D - CEN1MB
BEV2MU|GE1/1/9.21512|up|up|GHDSL - DSLAM BEV41D - Linea 9703116
BEV2MU|GE1/1/10|up|down|eNODOB BELL_VILLE_NORTE - A02-S108 (526076) NODOB (526094) (526393)
BEV2MU|GE1/1/10.1000|up|up|eNODOB - BELL_VILLE_NORTE - A02-S108 - (1) (526076) - S1
BEV2MU|GE1/1/10.1001|up|up|eNODOB - BELL_VILLE_NORTE - A02-S108 - (2) (526076) - S1MME
BEV2MU|GE1/1/10.1002|up|up|eNODOB - BELL_VILLE_NORTE - A02-S108 - (3) (526076) - GOMRAN
BEV2MU|GE1/1/10.1003|up|up|eNODOB - BELL_VILLE_NORTE - A02-S108 - (1) (526094) - 3G
BEV2MU|GE1/1/10.1004|up|up|eNODOB - BELL_VILLE_NORTE - A02-S108 - (1) (526393) - 2G
BEV2MU|GE1/1/11|up|down|ADSL + GHDSL BEV21D HW5100 - Linea 9701942
BEV2MU|GE1/1/11.3621|up|up|VPN GOLD - ANSES - Ref:229305 Lin:2706538 Acc:BEV21D 0/0/5
BEV2MU|GE1/1/11.3623|up|up|VPN GOLD AFIP ## Ref: 163210 Lin: 2594536 Acc: BEV21D 00/0/7
BEV2MU|GE1/1/11.3628|up|up|VPN GOLD - PODER JUDICIAL DE LA NACION - 212989-2714438 BEV21D 0/0/12
BEV2MU|GE1/1/11.3637|up|up|LDIP_TASA_Procuracion(5644688)_Acc:BEV21D_00_21
BEV2MU|GE1/1/11.3646|up|up|VPN Head Quarter - PAMI - Ref:264863 Lin:2720908 Acc:BEV21D 0 30
BEV2MU|GE1/1/11.3813|up|up|VPN Head Quarter - ANSES GESTION - Ref:229305 Lin:2706538 Acc:BEV21D 0-0-5
BEV2MU|GE1/1/12|up|down|VPN - INTA - Ref:715551 - Lin:2823231 -
BEV2MU|GE1/1/12.172|up|up|VPN - INTA - REF: 715551 - LINEA: 2823231 -
