shelfname|interface|portoperationalstate|protocol|info1
CAP3MU|100GE3/1/0|down|down|
CAP3MU|Eth-Trunk1|up|down|LAG PTN HWI 35CMP02_G4/5-G5/5
CAP3MU|Eth-Trunk1.10451000|up|up|eNODOB - OTAMENDI - CAP3MU 1/1/22 - NPU007 - (1) (422316) - S1
CAP3MU|Eth-Trunk1.10451001|up|up|eNODOB - OTAMENDI - CAP3MU 1/1/22 - NPU007 - (2) (422316) - S1MME
CAP3MU|Eth-Trunk1.10451002|up|up|eNODOB - OTAMENDI - CAP3MU 1/1/22 - NPU007 - (3) (422316) - GOMRAN
CAP3MU|Eth-Trunk1.10451004|up|up|NODOB - OTAMENDI - CAP3MU 1/1/22 - NPU007 - (1) (433046) - 3G
CAP3MU|Eth-Trunk1.10451005|up|up|NODOB - OTAMENDI - CAP3MU 1/1/22 - NPU007 - (1) (432339) - 2G
CAP3MU|Eth-Trunk1.10671000|up|up|eNODOB - PARQUE_INDUSTRIAL_CAMPANA - CAP3MU 1/1/22 - NPU155 - (1) (430718) - S1
CAP3MU|Eth-Trunk1.10671001|up|up|eNODOB - PARQUE_INDUSTRIAL_CAMPANA - CAP3MU 1/1/22 - NPU155 - (2) (430718) - S1MME
CAP3MU|Eth-Trunk1.10671002|up|up|eNODOB - PARQUE_INDUSTRIAL_CAMPANA - CAP3MU 1/1/22 - NPU155 - (3) (430718) - GOMRAN
CAP3MU|Eth-Trunk1.10671003|up|up|NODOB - PARQUE_INDUSTRIAL_CAMPANA - CAP3MU 1/1/22 - NPU155 - (1) (432547) - 3G
CAP3MU|Eth-Trunk1.10671004|up|up|NODOB - PARQUE_INDUSTRIAL_CAMPANA - CAP3MU 1/1/22 - NPU155 - (1) (432548) - 2G
CAP3MU|Eth-Trunk1.10891000|up|up|eNODOB - TAVELLA - CAP3MU 1/1/22 - NPU008 - (1) (431459) - S1
CAP3MU|Eth-Trunk1.10891001|up|up|eNODOB - TAVELLA - CAP3MU 1/1/22 - NPU008 - (2) (431459) - S1MME
CAP3MU|Eth-Trunk1.10891002|up|up|eNODOB - TAVELLA - CAP3MU 1/1/22 - NPU008 - (3) (431459) - GOMRAN
CAP3MU|Eth-Trunk1.10891003|up|up|NODOB - TAVELLA - CAP3MU 1/1/22 - NPU008 - (1) (433051) - 3G
CAP3MU|Eth-Trunk1.10891004|up|up|NODOB - TAVELLA - CAP3MU 1/1/22 - NPU008 - (1) (433066) - 2G
CAP3MU|Eth-Trunk1.11671000|up|up|eNODOB - CAMPANA_ESTE - CAP3MU 1/1/22 - NPU158 - (1) (430723) - S1
CAP3MU|Eth-Trunk1.11671001|up|up|eNODOB - CAMPANA_ESTE - CAP3MU 1/1/22 - NPU158 - (2) (430723) - S1MME
CAP3MU|Eth-Trunk1.11671002|up|up|eNODOB - CAMPANA_ESTE - CAP3MU 1/1/22 - NPU158 - (3) (430723) - GOMRAN
CAP3MU|Eth-Trunk1.11671003|up|up|NODOB - CAMPANA_ESTE - CAP3MU 1/1/22 - NPU158 - (1) (432553) - 3G
CAP3MU|Eth-Trunk1.11671004|up|up|NODOB - CAMPANA_ESTE - CAP3MU 1/1/22 - NPU158 - (1) (432554) - 2G
CAP3MU|Eth-Trunk1.12221000|up|up|eNODOB - CARDALES - CAP3MU 1/1/22 - NPU011 - (1) (431475) - S1
CAP3MU|Eth-Trunk1.12221001|up|up|eNODOB - CARDALES - CAP3MU 1/1/22 - NPU011 - (2) (431475) - S1MME
CAP3MU|Eth-Trunk1.12221002|up|up|eNODOB - CARDALES - CAP3MU 1/1/22 - NPU011 - (3) (431475) - GOMRAN
CAP3MU|Eth-Trunk1.12221003|up|up|NODOB - CARDALES - CAP3MU 1/1/22 - NPU011 - (1) (433052) - 3G
CAP3MU|Eth-Trunk1.12221004|up|up|NODOB - CARDALES - CAP3MU 1/1/22 - NPU011 - (1) (433075) - 2G
CAP3MU|Eth-Trunk1.12390010|up|up|EVENTO_SOFITEL_CARDALES_2019 PRUEBA L2L
CAP3MU|Eth-Trunk1.12391004|up|up|GESTION SW Movil Sofitel
