shelfname|interface|portoperationalstate|protocol|info1
COG3MU|Eth-Trunk1|up|down|LAG 1+1 COGO01 L 15004986
COG3MU|Eth-Trunk1.6|up|up|IPTV COGO01 IGMP-PIM
COG3MU|Eth-Trunk1.7|up|up|[DHCP] [IPTV] COGO01 HUA 5600T [GPON]
COG3MU|Eth-Trunk1.10|up|up|[DATOS] COGO01 10  ALC 7302 [GPON][L2]
COG3MU|Eth-Trunk1.11|up|up|[DATOS] COGO01 11  ALC 7302 [GPON][L2]
COG3MU|Eth-Trunk1.12|up|up|[DATOS] COGO01 12  ALC 7302 [GPON][L2]
COG3MU|Eth-Trunk1.2101|up|up|[GESTION] COGO01 HUA 5600_T [GPON]
COG3MU|Eth-Trunk1.3101|up|up|[TOIP] COGO01 HUA 5600_T [GPON]
COG3MU|Eth-Trunk10|up|down|[ACCESO HSI][VI] COGM01 - 15003853
COG3MU|Eth-Trunk10.2101|up|up|[GESTION] COGM01 ALU 7302 [VDS2]
COG3MU|Eth-Trunk10.3101|up|up|[TOIP] COGM01 ALU 7302 [VDS2]
COG3MU|Eth-Trunk10.4101|up|up|[DATOS] COGM01 ALU 7302 [VDS2][L2]
COG3MU|GE0/0/0|down|down|
COG3MU|GE1/0/0|down|down|
COG3MU|GE1/0/1|up|down|INTEGRA - LADOBLEA SA - REF:782547 LIN:2848097 - TRZ #4004 55:56
COG3MU|GE1/0/1.2|up|up|INTEGRA - LADOBLEA SA - REF:782547 LIN:2848097 - TRZ #4004 55:56
COG3MU|GE1/0/1.30|up|up|CENTRAL VIRTUAL - LADOBLEA SA - REF:793542 LIN:2852654 - TRZ #4004 55:56
COG3MU|GE1/0/2|up|down|TLS - GCBA (TETRA) - Ref:875102 - Lin:2856848
COG3MU|GE1/0/2.51|up|up|TLS - GCBA (TETRA) - Ref:875102 - Lin:2856848 - GESTION
COG3MU|GE1/0/2.500|up|up|TLS - GCBA (TETRA) - Ref:875102 - Lin:2856848 - ESH1MB  ELAN_94226_874453
COG3MU|GE1/0/3|up|down|TLS - GCBA (TETRA) - Ref:722190 - L:2826946 - SAME COMUNA12
COG3MU|GE1/0/3.13|up|up|TLS - GCBA (TETRA) - Ref:722190 - L:2826946 - GESTION
COG3MU|GE1/0/3.200|up|up|TLS - GCBA (TETRA) - Ref:722190 - L:2826946 - ELAN_94226_1247 - BEL1MB
COG3MU|GE1/0/3.700|up|up|VPN - GCBA (TETRA) - Ref:915528 (ASOCIADA 722190) - tetra-camaras
COG3MU|GE1/0/3.701|up|up|VPN - GCBA (TETRA) - Ref:915564 (ASOCIADA 915528 722190) - tetra-energia
COG3MU|GE1/0/3.702|up|up|VPN - GCBA (TETRA) - Ref:915598 (ASOCIADA 915528  722190) - tetra-ccacceso
COG3MU|GE1/0/4|up|down|INTEGRA - COCA COLA - REF:789741 LIN:2850405 - TRZ #4004 89:90
COG3MU|GE1/0/4.4|up|up|INTEGRA - COCA COLA - REF:789741 LIN:2850405 - TRZ #4004 89:90
COG3MU|GE1/0/5|down|down|TIP_TIPEXPEREOCOG(5667868)REFE:328226_Ges.TECO
COG3MU|GE1/0/5.409|down|down|TIP_TIPEXPEREOCOG(5667868)REFE:328226_Ges.TECO
COG3MU|GE1/0/6|up|down|L2L_SRPINT-VERIFONE(Ln:2851169_Ref:791481)L2LSPRINTCOG_Ges.TECO
COG3MU|GE1/0/6.310|up|up|L2L_SRPINT-VERIFONE(Ln:2851169_Ref:791481)L2LSPRINTCOG_Servicio
COG3MU|GE1/0/6.4000|up|up|L2L_SRPINT-VERIFONE(Ln:2851169_Ref:791481)L2LSPRINTCOG_Gestion
COG3MU|GE1/0/7|up|down|L2L_L2LBTLATAMCOG(2850900)REFE:790401_Ges.TECO
COG3MU|GE1/0/7.730|up|up|L2L_BT LATAM ARGENTINA SA (2850900) - REF:790401 Servicio ELAN_93474_790401
COG3MU|GE1/0/7.4000|up|up|L2L_L2LBTLATAMCOG(2850900)REFE:790401_Gestion
COG3MU|GE1/0/8|down|down|
COG3MU|GE1/0/9|up|down|eNODOB TECO_ESTOMBA - CEM001 (527118) NODOB (527117) ()
COG3MU|GE1/0/9.1260|up|up|eNODOB - TECO_ESTOMBA - CEM001 - (1) (527118) - S1
COG3MU|GE1/0/9.1261|up|up|eNODOB - TECO_ESTOMBA - CEM001 - (2) (527118) - S1MME
COG3MU|GE1/0/9.1262|up|up|eNODOB - TECO_ESTOMBA - CEM001 - (3) (527118) - GOMRAN
COG3MU|GE1/0/9.1263|up|up|NODOB - TECO_ESTOMBA - CEM001 - (1) (527117) - 3G
COG3MU|GE1/0/10|up|down|eNODOB ELI_LILLY_INTERAMERICA_INC. - CI_131 (505273) NODOB (505755) (505764)
COG3MU|GE1/0/10.1221|up|up|eNODOB - ELI_LILLY_INTERAMERICA_INC. - CI_131 - (1) (505273) - S1
COG3MU|GE1/0/10.1222|up|up|eNODOB - ELI_LILLY_INTERAMERICA_INC. - CI_131 - (2) (505273) - S1MME
COG3MU|GE1/0/10.1223|up|up|eNODOB - ELI_LILLY_INTERAMERICA_INC. - CI_131 - (3) (505273) - GOMRAN
