shelfname|interface|portoperationalstate|protocol|info1
CSU1MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
CSU1MU|Eth-Trunk1|up|down|FRONTERA 18CHS01 LAG#1 18/1 y 19/1
CSU1MU|Eth-Trunk1.1482|up|up|TWAMP 18DLR01
CSU1MU|Eth-Trunk1.1483|up|up|TWAMP 5RLAR01
CSU1MU|Eth-Trunk1.1484|up|up|TWAMP 5R8MD01
CSU1MU|Eth-Trunk1.4089|up|up|Enlace a BEL5MU_Eth-Trunk5.4090 -UPLINK via PTN NOKIA LINEA 9005157
CSU1MU|Eth-Trunk1.4090|up|up|Enlace a BEL1MB_BE1000.4090 - UPLINK MSBNG
CSU1MU|Eth-Trunk2|down|down|LAG A CHAROU01 TELLABS CHASCOMUS(Gi1/1/1 Gi8/1/1) (441579)
CSU1MU|Eth-Trunk2.1000|down|down|LAG A CHAROU01 TELLABS CHASCOMUS(Gi1/1/1 Gi8/1/1) (441579) - 3G
CSU1MU|Eth-Trunk2.1001|down|down|LAG A CHAROU01 TELLABS CHASCOMUS(Gi1/1/1 Gi8/1/1) (441579) - S1MME
CSU1MU|Eth-Trunk2.1002|down|down|LAG A CHAROU01 TELLABS CHASCOMUS(Gi1/1/1 Gi8/1/1) (441579) - GOMRAN
CSU1MU|Eth-Trunk5|down|down|LAG A CHARNC01 (Gi1/1/8 Gi4/0/8)(518868)
CSU1MU|Eth-Trunk5.1000|down|down|LAG A CHARNC01 (Gi1/1/8 Gi4/0/8)(518868) 3G
CSU1MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
CSU1MU|GE1/0/0|up|up|Enlace 10G PTN 18CHS01_G18/1 Linea:15004555 - UPLINK MSBNG
CSU1MU|GE1/0/1|down|down|HUAWEI, GigabitEthernet1/0/1 Interface
CSU1MU|GE1/1/0|down|down|HUAWEI, GigabitEthernet1/1/0 Interface
CSU1MU|GE1/1/1|down|down|A CHAROU01 TELLABS CHASCOMUS - Y/Y/Y (441579)
CSU1MU|GE1/1/3|down|down|ENLACE-M B2B A VPNSPCHA2 Gi1/1 (5634217)
CSU1MU|GE1/1/3.11|down|down|CONEXION-M A VPNSPCHA2 Gi1/1.11 -VOZ - CVLAN11 (5634217)
CSU1MU|GE1/1/3.60|down|down|CONEXION-M A VPNSPCHA2 Gi1/1.60 -IU - CVLAN60 (5637323)
CSU1MU|GE1/1/3.75|down|down|CONEXION-M 10M A VPNSPCHA2 Gi1/1.75 - Iur  CVLAN75
CSU1MU|GE1/1/4|up|down|NODOB eNODOB ESTANCIA_LA_MARGARITA - A42-B358 (439755)
CSU1MU|GE1/1/4.14501000|up|up|eNODOB - CORONEL_BRANDSEN_RE - CSU1MU 1/1/4 - A42-B251 - (1) (693578) - S1
CSU1MU|GE1/1/4.14501001|up|up|eNODOB - CORONEL_BRANDSEN_RE - CSU1MU 1/1/4 - A42-B251 - (2) (693578) - S1MME
CSU1MU|GE1/1/4.14501002|up|up|eNODOB  CORONEL_BRANDSEN - CSU1MU1/1/4 - A42-B251 - (3) (693487)- GOMRAN
