shelfname|interface|portoperationalstate|protocol|info1
ERU2MU|Eth-Trunk2|up|down|[LAG 10+10] EQUIPO-OLT ERUN01  NOKIA 7360 [GPON] L:11005722
ERU2MU|Eth-Trunk2.6|up|up|[IPTV] ERUN01  NOKIA 7360 [GPON] L:11005722 IGMP-PIM
ERU2MU|Eth-Trunk2.7|up|up|[DHCP] [IPTV] ERUN01  NOKIA 7360 [GPON] L:11005722
ERU2MU|Eth-Trunk2.30|up|up|[DATOS] ERUN01  NOKIA 7360 [GPON] L:11005722
ERU2MU|Eth-Trunk2.2101|up|up|[GESTION] ERUN01  NOKIA 7360 [GPON] L:11005722
ERU2MU|Eth-Trunk2.2901|up|up|[TOIP] ERUN01 NOKIA 7360 [GPON]
ERU2MU|Eth-Trunk14|up|down|LAG 1+1 SUIG01 L 13000131
ERU2MU|Eth-Trunk14.3|up|up|[RTP][SIGN] SUIG01 HUA 5000 [NGN]
ERU2MU|Eth-Trunk14.4|up|up|[GESTION][IPMB] SUIG01 HUA 5000 [NGN]
ERU2MU|Eth-Trunk14.5|up|up|[GESTION][PVM] SUIG01 HUA 5000 [NGN]
ERU2MU|Eth-Trunk14.3101|up|up|[TOIP] SUIG01 HUA 5000 [ADS2]
ERU2MU|Eth-Trunk14.3617|up|up|VPN Head Quarter - MACRO - Ref: 589549 Lin: 2769171 SUIG01 0/16/1
ERU2MU|Eth-Trunk14.3809|up|up|VPN Head Quarter - MACRO - Ref: 589549 Lin: 2769171 SUIG01 0/16/1
ERU2MU|Eth-Trunk14.4101|up|up|[DATOS] SUIG01 HUA 5000 [ADS2][L2]
ERU2MU|Eth-Trunk20|up|down|LAG 1+1 ERUA1D L 11003450
ERU2MU|Eth-Trunk20.2101|up|up|[GESTION] ERUA1D HUA 5600 [VDS2]
ERU2MU|Eth-Trunk20.3101|up|up|[TOIP] ERUA1D ZTE 9800 [VDS2]
ERU2MU|Eth-Trunk20.4101|up|up|[DATOS] ERUA1D ZTE 9800 [VDS2][L2]
ERU2MU|Eth-Trunk22|down|down|
ERU2MU|GE0/0/0|down|down|
ERU2MU|GE1/0/0(10G)|up|up|Enlace 10G FO BGN1MB_G0/2/1/1 Linea:13002090 - UPLINK MSBNG
ERU2MU|GE1/0/1(10G)|up|up|Enlace 10G FO BGN1MB_G0/7/0/22 Linea: 13005135 - UPLINK MSBNG
ERU2MU|GE1/1/0|up|down|INTEGRA - COOPERATIVA DE PROD TABAC DE SALTA - Ref:157392 - Lin:2806770
ERU2MU|GE1/1/0.4|up|up|INTEGRA - COOPERATIVA DE PROD TABAC DE SALTA - Ref:157392 - Lin:2806770
ERU2MU|GE1/1/1|up|down|[ACCESO HSI][VI] ERU41D L:9702256
ERU2MU|GE1/1/1.2101|up|up|[GESTION] ERU41D ZTE 9210 [ADS2]
ERU2MU|GE1/1/1.3101|up|up|[TOIP] ERU41D ZTE 9210 [ADS2]
ERU2MU|GE1/1/1.4101|up|up|[DATOS] ERU41D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/2|up|down|[ACCESO HSI][VI] ERU31D L:9704087
ERU2MU|GE1/1/2.2101|up|up|[GESTION] ERU31D ZTE 9210 [ADS2]
ERU2MU|GE1/1/2.3101|up|up|[TOIP] ERU31D ZTE 9210 [ADS2]
ERU2MU|GE1/1/2.4101|up|up|[DATOS] ERU31D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/3|up|down|[ACCESO HSI][VI] ERU21D 9704088
ERU2MU|GE1/1/3.2101|up|up|[GESTION] ERU21D HUA 5100 [ADSL]
ERU2MU|GE1/1/3.4101|up|up|[DATOS] ERU21D HUA 5100 [ADSL][L2]
ERU2MU|GE1/1/4|up|down|[ACCESO HSI][VI] ERU51D 9705032
ERU2MU|GE1/1/4.2101|up|up|[GESTION] ERU51D ZTE 9800 [ADS2]
ERU2MU|GE1/1/4.3101|up|up|[TOIP] ERU51D ZTE 9800 [ADS2]
ERU2MU|GE1/1/4.3616|up|up|VPN - MACRO - Ref:715416 - Lin:2823199 - Acc:ERU51D 0/17/1
ERU2MU|GE1/1/4.3624|up|up|PRESURIZACION EL TRIBUNO - REF:950114 - ACC:ERU51D 0/17/9
ERU2MU|GE1/1/4.3808|up|up|VPN - GEST - MACRO - Ref:715416 - Lin:2823199 - Acc:ERU51D 0/17/1
ERU2MU|GE1/1/4.3810|up|up|IntegraLight - PRODUCTOS ALIMENTICIOS SOFIA -Ref:649236 Lin:2797882 Acc:ERU51D 1-17/03
ERU2MU|GE1/1/4.3812|up|up|INTEGRA LIGHT - GUARCH JOSE LUIS - Ref:623457 Lin:2787511 Acc:ERU51D 1-17/05y06
ERU2MU|GE1/1/4.3814|up|up|IntegraLight - DROGUERIA SAN FRANCISCO S.A. - Ref:790231 - Lin:2850796 Acc:ERU51D 1-17/7-8
ERU2MU|GE1/1/4.3816|up|up|PRESURIZACION EL TRIBUNO - REF:950114 - ACC:ERU51D 0/17/9
ERU2MU|GE1/1/4.4101|up|up|[DATOS] ERU51D ZTE 9800 [ADS2][L2]
ERU2MU|GE1/1/5|up|down|[ACCESO HSI][VI] ERUM01 13002192
ERU2MU|GE1/1/5.73|up|up|VDSLCORP ERUM01 - ZAB1MB
ERU2MU|GE1/1/5.2101|up|up|[GESTION] ERUM01 ALU 7302 [VDS2]
ERU2MU|GE1/1/5.3101|up|up|[TOIP] ERUM01 ALU 7302 [VDS2]
ERU2MU|GE1/1/5.4101|up|up|[DATOS] ERUM01 ALU 7302 [VDS2][L2]
ERU2MU|GE1/1/6|up|down|ACCESO ERUI01 EL TRIBUNO SALTA - LINEA 13002393
ERU2MU|GE1/1/6.2|up|up|SIGN NGN ERUI01 ALU7302 EL TRIBUNO SALTA - LINEA 13002393
ERU2MU|GE1/1/6.3|up|up|RTP NGN ERUI01 ALU7302 EL TRIBUNO SALTA - LINEA 13002393
ERU2MU|GE1/1/6.4|up|up|GESTION NGN ERUI01 ALU7302 EL TRIBUNO SALTA - LINEA 13002393
ERU2MU|GE1/1/7|up|down|VPN - DIR NAC DE MIGRACIONES DNM - Ref 667359 - Linea 2807560
ERU2MU|GE1/1/7.48|up|up|VPN - DIR NAC DE MIGRACIONES DNM - REF: 667359 - LINEA: 2807560
ERU2MU|GE1/1/7.49|up|up|VPN - DIR NAC DE MIGRACIONES DNM - REF: 667359 - LINEA: 2807560 GESTION
ERU2MU|GE1/1/8|up|down|[ACCESO HSI+NGN ][VI] 795G01 L:13002619
ERU2MU|GE1/1/8.2|up|up|SIGN NGN 795G01 MA5616 BARRIO LOS CASTANOS SALTA - LINEA 13002619
ERU2MU|GE1/1/8.3|up|up|RTP NGN 795G01 MA5616 BARRIO LOS CASTANOS SALTA - LINEA 13002619
ERU2MU|GE1/1/8.4|up|up|GESTION NGN 795G01 MA5616 BARRIO LOS CASTANOS SALTA - LINEA 13002619
ERU2MU|GE1/1/8.3101|up|up|[TOIP] 795G01 HUA 5616 [ADS2]
ERU2MU|GE1/1/8.4101|up|up|[DATOS] 795G01 HUA 5616 [ADS2][L2]
ERU2MU|GE1/1/9|up|down|[ACCESO HSI][VI] 7L9G01 L13002628
ERU2MU|GE1/1/9.2|up|up|[SIGN] 7L9G01 HUA 5603_T [NGN]
ERU2MU|GE1/1/9.3|up|up|[RTP] 7L9G01 HUA 5603_T [NGN]
ERU2MU|GE1/1/9.4|up|up|[GESTION] 7L9G01 HUA 5603_T [NGN]
ERU2MU|GE1/1/9.3101|up|up|[TOIP] 7L9G01 HUA 5603_T [VDS2]
ERU2MU|GE1/1/9.4101|up|up|[DATOS] 7L9G01 HUA 5603_T [VDS2][L2]
ERU2MU|GE1/1/10|up|down|[ACCESO HSI][VI] ERU61D 13002635
ERU2MU|GE1/1/10.2101|up|up|[GESTION] ERU61D ZTE 9210 [ADS2]
ERU2MU|GE1/1/10.3101|up|up|[TOIP] ERU61D ZTE 9210 [ADS2]
ERU2MU|GE1/1/10.4101|up|up|[DATOS] ERU61D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/11|up|down|[ACCESO HSI][VI] ERU71D 13002636
ERU2MU|GE1/1/11.2101|up|up|[GESTION] ERU71D ZTE 9210 [ADS2]
ERU2MU|GE1/1/11.3101|up|up|[TOIP] ERU71D ZTE 9210 [ADS2]
ERU2MU|GE1/1/11.4101|up|up|[DATOS] ERU71D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/12|up|down|[ACCESO HSI][VI] ERU81D
ERU2MU|GE1/1/12.2101|up|up|[GESTION] ERU81D ZTE 9210 [ADS2]
ERU2MU|GE1/1/12.3101|up|up|[TOIP] ERU81D ZTE 9210 [ADS2]
ERU2MU|GE1/1/12.4101|up|up|[DATOS] ERU81D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/13|up|down|[ACCESO HSI][VI] ERU91D 13002638
ERU2MU|GE1/1/13.2101|up|up|[GESTION] ERU91D ZTE 9210 [ADS2]
ERU2MU|GE1/1/13.3101|up|up|[TOIP] ERU91D ZTE 9210 [ADS2]
ERU2MU|GE1/1/13.4101|up|up|[DATOS] ERU91D ZTE 9210 [ADS2][L2]
ERU2MU|GE1/1/14.2|down|down|VPN Head Quarter - FONDO FIDUSIARIO - Ref:280359 Lin:2730203 Acc:ERU2MU 1/1/14.2
ERU2MU|GE1/1/15|up|up|CONEXION 1/2 SUIG01 HUA 5000 13000131
ERU2MU|GE1/1/16|up|down|INTEGRA - ACCIONA AIRPORT SERVICES - Ref:918068 Lin:2866346
ERU2MU|GE1/1/16.16|up|up|INTEGRA - ACCIONA AIRPORT SERVICES - Ref:918068 Lin:2866346
ERU2MU|GE1/1/17|up|down|eNODOB SALTA_BARRIO_DOCENTE A21-S148 (436689) (523292) (523238)
ERU2MU|GE1/1/17.1003|up|up|NODOB - SALTA_BARRIO_DOCENTE A21-S148 (1) (523292) - 3G
ERU2MU|GE1/1/17.1004|up|up|NODOB - SALTA_BARRIO_DOCENTE A21-S148 (1) (523238) - 2G
ERU2MU|GE1/1/17.1027|up|up|eNODOB - SALTA_BARRIO_DOCENTE A21-S148 (1) (436689) - S1
ERU2MU|GE1/1/17.1028|up|up|eNODOB - SALTA_BARRIO_DOCENTE A21-S148 (2) (436689) - S1MME
ERU2MU|GE1/1/17.1029|up|up|eNODOB - SALTA_BARRIO_DOCENTE A21-S148 (3) (436689) - GOMRAN
ERU2MU|GE1/1/18|up|down|NODOB SALTA_EL_TRIBUNO_2 A21-S188 (441241) (523296) (523242)
ERU2MU|GE1/1/18.1003|up|up|NODOB SALTA_EL_TRIBUNO_2 A21-S188 (1) (523296) - 3G
ERU2MU|GE1/1/18.1004|up|up|NODOB SALTA_EL_TRIBUNO_2 A21-S188 (1) (523242) - 2G
ERU2MU|GE1/1/18.1051|up|up|NODOB SALTA_EL_TRIBUNO_2 A21-S188 (1) (441241) - S1
ERU2MU|GE1/1/18.1052|up|up|eNODOB SALTA_EL_TRIBUNO_2 A21-S188 (2) (441241) - S1MME
ERU2MU|GE1/1/18.1053|up|up|eNODOB SALTA_EL_TRIBUNO_2 A21-S188 (3) (441241) - GOMRAN
ERU2MU|GE1/1/19|up|down|eNODOB SALTA_SAN_LUIS A21-S112 (432047) (523305) (523250)
ERU2MU|GE1/1/19.1003|up|up|NODOB SALTA_SAN_LUIS A21-S112 (1) (523305) - 3G
ERU2MU|GE1/1/19.1004|up|up|NODOB SALTA_SAN_LUIS A21-S112 (1) (523250) - 2G
ERU2MU|GE1/1/19.1021|up|up|eNODOB SALTA_SAN_LUIS A21-S112 (1) (432047) - S1
ERU2MU|GE1/1/19.1022|up|up|eNODOB SALTA_SAN_LUIS A21-S112 (2) (432047) - S1MME
ERU2MU|GE1/1/19.1023|up|up|eNODOB SALTA_SAN_LUIS A21-S112 (3) (432047) - GOMRAN
ERU2MU|GE1/1/20|up|down|NODOB SALTA_LOS_ALAMOS_2 A21-S191 (436693) (523302) (523248)
ERU2MU|GE1/1/20.1003|up|up|NODOB SALTA_LOS_ALAMOS_2 A21-S191 (1) (523302) - 3G
ERU2MU|GE1/1/20.1004|up|up|NODOB SALTA_LOS_ALAMOS_2 A21-S191 (1) (523248) - 2G
ERU2MU|GE1/1/20.1030|up|up|eNODOB SALTA_LOS_ALAMOS_2 A21-S191 (1) (436693) - S1
ERU2MU|GE1/1/20.1031|up|up|eNODOB SALTA_LOS_ALAMOS_2 A21-S191 (2) (436693) - S1MME
ERU2MU|GE1/1/20.1032|up|up|eNODOB SALTA_LOS_ALAMOS_2 A21-S191 (3) (436693) - GOMRAN
ERU2MU|GE1/1/21|up|down|eNODOB SALTA_BARRIO_SANTA_ANA A21-S175 (526365) NODOB (523330) (523276)
ERU2MU|GE1/1/21.1000|up|up|eNODOB SALTA_BARRIO_SANTA_ANA A21-S175 (1) (526365) - S1
ERU2MU|GE1/1/21.1001|up|up|eNODOB SALTA_BARRIO_SANTA_ANA A21-S175 (2) (526365) - S1MME
ERU2MU|GE1/1/21.1002|up|up|eNODOB SALTA_BARRIO_SANTA_ANA A21-S175 (3) (526365) - GOMRAN
ERU2MU|GE1/1/21.1003|up|up|NODOB - SALTA_BARRIO_SANTA_ANA A21-S175 - (1) (523330) - 3G
ERU2MU|GE1/1/21.1004|up|up|NODOB - SALTA_BARRIO_SANTA_ANA A21-S175 - (1) (523276) - 2G
ERU2MU|GE1/1/22|up|down|eNODOB SALTA_HIPODROMO - A21-S172 (432033) NODOB (523299) (523245)
ERU2MU|GE1/1/22.1000|up|up|eNODOB - SALTA_HIPODROMO - A21-S172 - (1) (432033) - S1
ERU2MU|GE1/1/22.1001|up|up|eNODOB - SALTA_HIPODROMO - A21-S172 - (2) (432033) - S1MME
ERU2MU|GE1/1/22.1002|up|up|eNODOB - SALTA_HIPODROMO - A21-S172 - (3) (432033) - GOMRAN
ERU2MU|GE1/1/22.1003|up|up|eNODOB - SALTA_HIPODROMO - A21-S172 - (1) (523299) - 3G
