shelfname|interface|portoperationalstate|protocol|info1
HIP3MU|Eth-Trunk10|up|down|LAG 1+1 BMKG01  11004201
HIP3MU|Eth-Trunk10.3|up|up|[RTP][SIGN] BMKG01 HUA 5000 [NGN]
HIP3MU|Eth-Trunk10.4|up|up|[GESTION][IPMB] BMKG01 HUA 5000 [NGN]
HIP3MU|Eth-Trunk10.5|up|up|[GESTION][PVM] BMKG01 HUA 5000 [NGN]
HIP3MU|Eth-Trunk10.4101|up|up|[DATOS] BMKG01 NGN
HIP3MU|Eth-Trunk12|up|down|LAG 1+1 HIPE1D L  11003979
HIP3MU|Eth-Trunk12.2101|up|up|[GESTION] HIPE1D HUA 5600 [ADS2]
HIP3MU|Eth-Trunk12.3101|up|up|[TOIP] HIPE1D HUA 5600 [ADS2]
HIP3MU|Eth-Trunk12.4101|up|up|[DATOS] HIPE1D HUA 5600 [ADS2][L2]
HIP3MU|Eth-Trunk14|up|down|LAG 1+1 HIPF1D L  XXXXXX
HIP3MU|Eth-Trunk14.2101|up|up|[GESTION] HIPF1D HUA 5600 [ADS2]
HIP3MU|Eth-Trunk14.3101|up|up|[TOIP] HIPF1D HUA 5600 [ADS2]
HIP3MU|Eth-Trunk14.4101|up|up|[DATOS] HIPF1D HUA 5600 [ADS2][L2]
HIP3MU|Eth-Trunk15|up|down|LAG 1+1 HIP91D L  11005412
HIP3MU|Eth-Trunk15.2101|up|up|[GESTION] HIP91D HUA 5600_T [VDS2]
HIP3MU|Eth-Trunk15.3101|up|up|[TOIP] HIP91D HUA 5600 [ADS2]
HIP3MU|Eth-Trunk15.4101|up|up|[DATOS] HIP91D HUA 5600_T [VDS2][L2]
HIP3MU|Eth-Trunk16|up|down|LAG 1+1 HIPA1D L  11005412
HIP3MU|Eth-Trunk16.2101|up|up|[GESTION] HIPA1D HUA 5600_T [VDS2]
HIP3MU|Eth-Trunk16.4101|up|up|[DATOS] HIPA1D HUA 5600_T [VDS2][L2]
HIP3MU|Eth-Trunk17|up|down|LAG 1+1 HIPB1D L  11005414
HIP3MU|Eth-Trunk17.2101|up|up|[GESTION] HIPB1D HUA 5600_T [VDS2]
HIP3MU|Eth-Trunk17.4101|up|up|[DATOS] HIPB1D HUA 5600_T [VDS2][L2]
HIP3MU|GE0/0/0|down|down|
HIP3MU|GE1/0/0|down|down|
HIP3MU|GE1/0/1|up|down|INTEGRA - MINISTERIO DE SALUD Y MEDIO AMBIENTE -PROV.DE SANTA FE - Ref:931569 - Lin:2773186
HIP3MU|GE1/0/1.2|up|up|INTEGRA - MINISTERIO DE SALUD Y MEDIO AMBIENTE -PROV.DE SANTA FE - Ref:931569 - Lin:2773186
HIP3MU|GE1/0/1.20|up|up|DDE-IP MINISTERIO DE SALUD Y MEDIO AMBIENTE REFE 932175 Lin:2867995
HIP3MU|GE1/0/2|down|down|INTEGRA - OCASA SA - REF: 923554 - LINEA: 2867480 - TRZ22113
HIP3MU|GE1/0/2.2|down|down|INTEGRA - OCASA SA - REF: 923554 - LINEA: 2867480 - ACC: HIP3MU 1/0/2
HIP3MU|GE1/0/3|down|down|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - REF: 945066 - LINEA: 2870405 - ACC: HIP3MU 1/0/3.2
HIP3MU|GE1/0/3.2|down|down|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - REF: 945066 - LINEA: 2870405 - ACC: HIP3MU 1/0/3.2
HIP3MU|GE1/0/4|down|down|
HIP3MU|GE1/0/5|down|down|
HIP3MU|GE1/0/6|down|down|
HIP3MU|GE1/0/7|down|down|
HIP3MU|GE1/0/8|down|down|
HIP3MU|GE1/0/9|down|down|
HIP3MU|GE1/0/10|down|down|
HIP3MU|GE1/0/11|down|down|
HIP3MU|GE1/0/12|down|down|
HIP3MU|GE1/0/13|down|down|
HIP3MU|GE1/0/14|down|down|
HIP3MU|GE1/0/15|down|down|
HIP3MU|GE1/0/16|down|down|
HIP3MU|GE1/0/17|down|down|
HIP3MU|GE1/0/18|down|down|
HIP3MU|GE1/0/19|down|down|
HIP3MU|GE1/0/20|down|down|
HIP3MU|GE1/0/21|down|down|
HIP3MU|GE1/0/22|down|down|
HIP3MU|GE1/0/23|up|up|CONEXION 2/2 BMKG01 HUA 5000 [NGN]
HIP3MU|GE1/1/0|down|down|
HIP3MU|GE1/1/1|down|down|
HIP3MU|GE1/1/2|down|down|
HIP3MU|GE1/1/3|down|down|
HIP3MU|GE1/1/4|down|down|
HIP3MU|GE1/1/5|down|down|
HIP3MU|GE1/1/6|down|down|
HIP3MU|GE1/1/7|down|down|
HIP3MU|GE1/1/8|down|down|
HIP3MU|GE1/1/9|down|down|
HIP3MU|GE1/1/10|down|down|
HIP3MU|GE1/1/11|down|down|
HIP3MU|GE1/1/12|down|down|
HIP3MU|GE1/1/13|down|down|
HIP3MU|GE1/1/14|down|down|
HIP3MU|GE1/1/15|down|down|
HIP3MU|GE1/1/16|down|down|
HIP3MU|GE1/1/17|down|down|
HIP3MU|GE1/1/18|down|down|
HIP3MU|GE1/1/19|down|down|
HIP3MU|GE1/1/20|down|down|
HIP3MU|GE1/1/21|down|down|
HIP3MU|GE1/1/22|down|down|
HIP3MU|GE1/1/23|down|down|
HIP3MU|GE2/0/0(10G)|up|up|Enlace 10G FO HIP1MB_G0/1/1/1 Linea:11001946 - UPLINK MSBNG
HIP3MU|GE2/0/1(10G)|up|up|HIP1MB_G0/2/0/2 Linea:
HIP3MU|GE2/1/0|up|down|[ACCESO HSI][VI] HIPN01 11002154
HIP3MU|GE2/1/0.2101|up|up|[GESTION] HIPN01 ALU 7302 [VDS2]
HIP3MU|GE2/1/0.3101|up|up|[TOIP] HIPN01 ALU 7302 [VDS2]
HIP3MU|GE2/1/0.4101|up|up|[DATOS] HIPN01 ALU 7302 [VDS2][L2]
HIP3MU|GE2/1/0.20010|up|down|
HIP3MU|GE2/1/0.20011|up|up|GHDSL HIPN01 - HIP1MB
HIP3MU|GE2/1/1|up|down|eNODOB SANTA_FE_HIPODROMO A07-S097 (430280)
HIP3MU|GE2/1/1.1000|up|up|eNODOB SANTA_FE_HIPODROMO A07-S097 (430280) - S1
HIP3MU|GE2/1/1.1001|up|up|eNODOB SANTA_FE_HIPODROMO A07-S097 (430280) - S1MME
HIP3MU|GE2/1/1.1002|up|up|eNODOB SANTA_FE_HIPODROMO A07-S097 (430280) - GOMRAN
HIP3MU|GE2/1/1.1003|up|up|NODOB SANTA_FE_HIPODROMO A07-S097 (443369) - 3G
HIP3MU|GE2/1/1.1004|up|up|NODOB SANTA_FE_HIPODROMO A07-S097 (443304) - 2G
HIP3MU|GE2/1/2|up|down|[ACCESO HSI][VI] 6P2C01 11002304
HIP3MU|GE2/1/2.2101|up|up|[GESTION] 6P2C01 HUA 5603_T [VDS2]
HIP3MU|GE2/1/2.3101|up|up|[TOIP] 6P2C01 HUA 5603_T [VDS2]
HIP3MU|GE2/1/2.4101|up|up|[DATOS] 6P2C01 HUA 5603_T [VDS2][L2]
HIP3MU|GE2/1/3|up|down|[ACCESO HSI][VI] HIP41D 9704103
HIP3MU|GE2/1/3.2101|up|up|[GESTION] HIP41D HUA 5600 [ADS2]
HIP3MU|GE2/1/3.3101|up|up|[TOIP] HIP41D HUA 5600 [ADS2]
HIP3MU|GE2/1/3.4101|up|up|[DATOS] HIP41D HUA 5600 [ADS2][L2]
HIP3MU|GE2/1/4|up|down|ADSL - HIP21D - HIPODROMO - Ref 9701649
HIP3MU|GE2/1/4.8|up|up|HSI HIP21D - HIP1MB
HIP3MU|GE2/1/5|up|down|[ACCESO HSI][VI] HIP51D 11000307
HIP3MU|GE2/1/5.2101|up|up|[GESTION] HIP51D HUA 5600 [ADS2]
