shelfname|interface|portoperationalstate|protocol|info1
JRD2MU|100GE3/0/0|down|down|
JRD2MU|100GE6/0/0|down|down|
JRD2MU|Eth-Trunk1|down|down|
JRD2MU|Eth-Trunk2|up|down|LAG 1+1 BVQG01 L 9704846 13007213
JRD2MU|Eth-Trunk2.3|up|up|[RTP][SIGN] BVQG01 HUA 5000 [NGN]
JRD2MU|Eth-Trunk2.4|up|up|[GESTION][IPMB] BVQG01 HUA 5000 [NGN]
JRD2MU|Eth-Trunk2.5|up|up|[GESTION][PVM] BVQG01 HUA 5000 [NGN]
JRD2MU|Eth-Trunk2.4101|up|up|[DATOS] BVQG01 HUA 5000 [NGN][L2]
JRD2MU|Eth-Trunk9|up|down|LAG 1+1 JRDM01 - 13001271
JRD2MU|Eth-Trunk9.6|up|up|IPTV JRDM01 IGMP-PIM
JRD2MU|Eth-Trunk9.7|up|up|[DHCP] [IPTV] JRDM01 HUA 5600T [GPON]
JRD2MU|Eth-Trunk9.10|up|up|[DATOS] JRDM01_10 HUA 5600_T [VDS2][L2]
JRD2MU|Eth-Trunk9.11|up|up|[DATOS] JRDM01_11 HUA 5600 JARDIN [GPON][L2]
JRD2MU|Eth-Trunk9.12|up|up|[DATOS] JRDM01 HUA 5600 JARDIN [GPON][L2]
JRD2MU|Eth-Trunk9.2101|up|up|[GESTION] JRDM01 HUA 5600_T [VDS2]
JRD2MU|Eth-Trunk9.3101|up|up|[TOIP] JRDM01 HUA 5600_T [VDS2]
JRD2MU|Eth-Trunk9.4101|up|up|[DATOS] JRDM01 HUA 5600_T [VDS2][L2]
JRD2MU|Eth-Trunk15|up|down|LAG 1+1 2BIG01 L  13001512
JRD2MU|Eth-Trunk15.2|up|up|[SIGN] 2BIG01 HUA 5600_T [NGN]
JRD2MU|Eth-Trunk15.3|up|up|[RTP] 2BIG01 HUA 5600_T [NGN]
JRD2MU|Eth-Trunk15.4|up|up|[GESTION] 2BIG01 HUA 5600_T [NGN]
JRD2MU|Eth-Trunk15.3101|up|up|[TOIP] 2BIG01 HUA 5600_T [VDS2]
JRD2MU|Eth-Trunk15.4101|up|up|[DATOS] 2BIG01 HUA 5600_T [VDS2][L2]
JRD2MU|GE0/0/0|down|down|
JRD2MU|GE1/0/0(10G)|up|up|Enlace 10G FO CEN1MB_G0/1/0/9 Linea:11001925 - UPLINK MSBNG
JRD2MU|GE1/0/1(10G)|down|down|
JRD2MU|GE1/1/0|up|down|[ACCESO HSI][VI] FTPG01 9003455
JRD2MU|GE1/1/0.3101|up|up|[TOIP] FTPG01 HUA 5000 [ADS2]
JRD2MU|GE1/1/0.3119|up|up|NGN - FTPG01 - FORTIN DEL POZO - Lin:9003455
JRD2MU|GE1/1/0.4101|up|up|[DATOS] FTPG01 HUA 5000 [ADS2][L2]
JRD2MU|GE1/1/1|up|down|eNODOB CORDOBA_URA_JARIN A03-S694 (447304)
JRD2MU|GE1/1/1.1000|up|up|eNODOB CORDOBA_URA_JARIN A03-S694 (1) (447304) - S1
JRD2MU|GE1/1/1.1001|up|up|eNODOB CORDOBA_URA_JARIN A03-S694 (2) (447304) - S1MME
JRD2MU|GE1/1/1.1002|up|up|eNODOB CORDOBA_URA_JARIN A03-S694 (3) (447304) - GOMRAN
JRD2MU|GE1/1/1.1003|up|up|NODOB CORDOBA_URA_JARIN A03-S694 (1) (447304) - 3G
JRD2MU|GE1/1/1.1004|up|up|NODOB - CORDOBA_URA_JARDIN - A03-S694- (1) (694875) - 2G
JRD2MU|GE1/1/2|up|down|VPN - PODER JUDICIAL GOB.DE LA PROV. DE CORDOBA - REF: 639910 - LINEA: 2791399
JRD2MU|GE1/1/2.3|up|up|VPN - PODER JUDICIAL GOB.DE LA PROV. DE CORDOBA - REF: 639910 - LINEA: 2791399
JRD2MU|GE1/1/3|up|down|[ACCESO HSI][VI] 73HC01 13002403
JRD2MU|GE1/1/3.2101|up|up|[GESTION] 73HC01 HUA 5603_T [VDS2]
JRD2MU|GE1/1/3.3101|up|up|[TOIP] 73HC01 HUA 5603_T [VDS2]
JRD2MU|GE1/1/3.4101|up|up|[DATOS] 73HC01 HUA 5603_T [VDS2][L2]
JRD2MU|GE1/1/3.10163|up|down|
JRD2MU|GE1/1/4|up|down|NODOB eNODOB CORDOBA_TALLERES A03-S633 (506170) (506166) (506167)
JRD2MU|GE1/1/4.1000|up|up|eNODOB CORDOBA_TALLERES A03-S633 (1) (506170) - S1
JRD2MU|GE1/1/4.1001|up|up|eNODOB CORDOBA_TALLERES A03-S633 (2) (506170) - S1MME
JRD2MU|GE1/1/4.1002|up|up|eNODOB CORDOBA_TALLERES A03-S633 (3) (506170) - GOMRAN
JRD2MU|GE1/1/4.1003|up|up|NODOB CORDOBA_TALLERES A03-S633 (506166) - 3G
JRD2MU|GE1/1/4.1004|up|up|NODOB CORDOBA_TALLERES A03-S633 (506167) - 2G
JRD2MU|GE1/1/5|down|down|
JRD2MU|GE1/1/6|up|down|eNODOB CORDOBA_JARDIN - A03-S236 (431935) NODOB (509797) (509798)
JRD2MU|GE1/1/6.1000|up|up|eNODOB - CORDOBA_JARDIN - A03-S236 - (1) (431935) - S1
JRD2MU|GE1/1/6.1001|up|up|eNODOB - CORDOBA_JARDIN - A03-S236 - (2) (431935) - S1MME
JRD2MU|GE1/1/6.1002|up|up|eNODOB - CORDOBA_JARDIN - A03-S236 - (3) (431935) - GOMRAN
JRD2MU|GE1/1/6.1003|up|up|eNODOB - CORDOBA_JARDIN - A03-S236 - (1) (509797) - 3G
JRD2MU|GE1/1/6.1004|up|up|eNODOB - CORDOBA_JARDIN - A03-S236 - (1) (509798) - 2G
JRD2MU|GE1/1/7|up|down|[ACCESO HSI][VI] 21D11C 13001545
JRD2MU|GE1/1/7.2101|up|up|[GESTION] 21D11C ALU 7330 [VDS2]
JRD2MU|GE1/1/7.3101|up|up|[TOIP] 21D11C ALU 7330 [VDS2]
JRD2MU|GE1/1/7.4101|up|up|[DATOS] 21D11C ALU 7330 [VDS2][L2]
JRD2MU|GE1/1/8|up|down|[ACCESO HSI][VI] D1Q11C 13001586
JRD2MU|GE1/1/8.2101|up|up|[GESTION] D1Q11C ALU 7330 [VDS2]
JRD2MU|GE1/1/8.3101|up|up|[TOIP] D1Q11C ALU 7330 [VDS2]
JRD2MU|GE1/1/8.4101|up|up|[DATOS] D1Q11C ALU 7330 [VDS2][L2]
JRD2MU|GE1/1/9|up|down|[ACCESO HSI][VI] JRD21D 9701262
JRD2MU|GE1/1/9.2101|up|up|[GESTION] JRD21D HUA 5100 [ADSL]
JRD2MU|GE1/1/9.4101|up|up|[DATOS] JRD21D HUA 5100 [ADSL][L2]
JRD2MU|GE1/1/10|up|down|[ACCESO HSI][VI] XJ5C01 13000782
JRD2MU|GE1/1/10.2101|up|up|[GESTION] XJ5C01 HUA 5616 [VDS2]
JRD2MU|GE1/1/10.3101|up|up|[TOIP] XJ5C01 HUA 5616 [VDS2]
JRD2MU|GE1/1/10.4101|up|up|[DATOS] XJ5C01 HUA 5616 [VDS2][L2]
JRD2MU|GE1/1/11|up|down|[ACCESO HSI][VI] JRD31D 9700473
JRD2MU|GE1/1/11.2101|up|up|[GESTION] JRD31D ZTE 9210 [ADS2]
JRD2MU|GE1/1/11.3101|up|up|[TOIP] JRD31D ZTE 9210 [ADS2]
JRD2MU|GE1/1/11.4101|up|up|[DATOS] JRD31D ZTE 9210 [ADS2][L2]
JRD2MU|GE1/1/12|up|down|[ACCESO HSI][VI] D1K11C 13000500
JRD2MU|GE1/1/12.2101|up|up|[GESTION] D1K11C HUA 5616 [VDS2]
JRD2MU|GE1/1/12.3101|up|up|[TOIP] D1K11C HUA 5616 [VDS2]
JRD2MU|GE1/1/12.4101|up|up|[DATOS] D1K11C HUA 5616 [VDS2][L2]
JRD2MU|GE1/1/13|up|down|[ACCESO HSI][VI] D1L11C 13000501
JRD2MU|GE1/1/13.2101|up|up|[GESTION] D1L11C HUA 5616 [VDS2]
JRD2MU|GE1/1/13.3101|up|up|[TOIP] D1L11C HUA 5616 [VDS2]
JRD2MU|GE1/1/13.4101|up|up|[DATOS] D1L11C HUA 5616 [VDS2][L2]
JRD2MU|GE1/1/14|up|down|[ACCESO HSI][VI] D1M11C 13000502
JRD2MU|GE1/1/14.2101|up|up|[GESTION] D1M11C HUA 5616 [VDS2]
JRD2MU|GE1/1/14.3101|up|up|[TOIP] D1M11C HUA 5616 [VDS2]
JRD2MU|GE1/1/14.4101|up|up|[DATOS] D1M11C HUA 5616 [VDS2][L2]
JRD2MU|GE1/1/15|up|down|[ACCESO HSI][VI] D1N11C 13000503
JRD2MU|GE1/1/15.2101|up|up|[GESTION] D1N11C HUA 5616 [VDS2]
JRD2MU|GE1/1/15.3101|up|up|[TOIP] D1N11C HUA 5616 [VDS2]
JRD2MU|GE1/1/15.4101|up|up|[DATOS] D1N11C HUA 5616 [VDS2][L2]
JRD2MU|GE1/1/16|up|down|[ACCESO HSI][VI] D1O11C 13000504
JRD2MU|GE1/1/16.2101|up|up|[GESTION] D1O11C HUA 5616 [VDS2]
JRD2MU|GE1/1/16.3101|up|up|[TOIP] D1O11C HUA 5616 [VDS2]
