shelfname|interface|portoperationalstate|protocol|info1
LAF2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
LAF2MU|Eth-Trunk2|up|down|LAG 1+1 VHRG01 HUA 5000 9701691
LAF2MU|Eth-Trunk2.3|up|up|[RTP][SIGN] VHRG01 HUA 5000 [NGN]
LAF2MU|Eth-Trunk2.4|up|up|[GESTION][IPMB] VHRG01 HUA 5000 [NGN]
LAF2MU|Eth-Trunk2.5|up|up|[GESTION][PVM] VHRG01 HUA 5000 [NGN]
LAF2MU|Eth-Trunk2.102466|up|up|HSI VHRG01 - CEN1MB
LAF2MU|Eth-Trunk3|up|down|FRONTERA CSC TECO-FIBERCORP  Lineas:2865396/2865397
LAF2MU|Eth-Trunk3.100|up|up|FRONTERA CSC TECO-FIBERCORP  Lineas:2865396/2865397
LAF2MU|Eth-Trunk3.300|up|up|IRS GIRO EXPRESS
LAF2MU|Eth-Trunk3.402|up|up|TIP SERVICIO - COOP TEL VILLA GIARDINO - REF:351889 LIN:5621232 -ACC:SCO1.LAF2 p25 (CsC Fiber)
LAF2MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
LAF2MU|GE1/0/0|up|up|Enlace  10G DWDM COE1NA_G0/10/0/18 Linea: 9005180 - UPLINK
LAF2MU|GE1/0/1|up|up|Enlace 10G DWDM COE1NA_G0/10/0/32Linea:13007287 - UPLINK NA
LAF2MU|GE1/1/0|down|down|HUAWEI, GigabitEthernet1/1/0 Interface
LAF2MU|GE1/1/1|up|down|VPN_VPNTASALAF(2859377)REFE:881331_Ges.TECO
LAF2MU|GE1/1/1.2|up|up|VPN_VPNTASALAF(2859377)REFE:881331_Ges.TECO
LAF2MU|GE1/1/2|up|down|NGN UMG LA FALDA (LAFG01)-L:9705915
LAF2MU|GE1/1/2.2|up|up|SIGNALING NGN - UMG LA FALDA (LAFG01)-L:9705915
LAF2MU|GE1/1/2.3|up|up|RTP NGN - UMG LA FALDA (LAFG01)-L:9705915
LAF2MU|GE1/1/2.5|up|up|GESTION IPMB NGN UMG LA FALDA (LAFG01)-L:9705915
LAF2MU|GE1/1/3|up|down|ADSL LAFM01 - 13001282
LAF2MU|GE1/1/3.5|up|up|HSI LAFM01 - COE1MB
LAF2MU|GE1/1/4|up|down|ADSL LAF21D - 9701950
LAF2MU|GE1/1/4.6|up|up|HSI LAF21D - COE1MB
LAF2MU|GE1/1/5|up|down|NGN UMG LA FALDA (LAFT01)-L:9705927
LAF2MU|GE1/1/5.2|up|up|SIGNALING NGN - UMG LA FALDA (LAFT01)-L:9705927
LAF2MU|GE1/1/5.3|up|up|RTP NGN - UMG LA FALDA (LAFT01)-L:9705927
LAF2MU|GE1/1/5.5|up|up|GESTION IPMB NGN UMG LA FALDA (LAFT01)-L:9705927
LAF2MU|GE1/1/6|up|up|CONEXION 1/2 VHRG01 9701691
LAF2MU|GE1/1/7|up|down|ACCESO ADSL LAF31D - 9701949
LAF2MU|GE1/1/7.3616|up|up|VPN SILVER por DSLAM - BAZAR AVENIDA SA - Ref:709435 Lin:2817828 Acc: [LAF] LAF31D, 15, 00, V9 / H11 / 065
LAF2MU|GE1/1/7.3620|up|up|VPN Head Quarter - OSDE - Ref:556516 Lin:2757023 - Gestion UM integra
LAF2MU|GE1/1/7.3621|up|up|JUMBO RETAIL ARGENTINA SA - REF:85192 - LIN:2598712 - ACC:LAF31D 00/15/5
LAF2MU|GE1/1/7.3626|up|up|VPN HQ - Banco Credicoop - Ref:605809 Lin:2777820 Acc:LAF31D 0/15/10
LAF2MU|GE1/1/7.3628|up|up|VPN Head Quarter - BANCO MACRO -Ref:262818 Lin:2719560 Acc:LAF31D15/12y13 DATOS Cambio de Velocidad sin corte
LAF2MU|GE1/1/7.3634|up|up|HW HQ - Sec. Gral. de la Gob - Ref:559447 Lin:2758199 Acc:LAF31D 0/15/18-19
LAF2MU|GE1/1/7.3638|up|up|VPN GOLD - DISTRIBUIDORA DE GAS DEL CENTR O S.A. - Ref:262883 Lin:2719337 Acc:LAF31D 0/15/22-23
LAF2MU|GE1/1/7.3642|up|up|VPN GOLD - PODER JUDICIAL - Ref:641682 - L:2792537 - LAF31D 0/15 26-27
LAF2MU|GE1/1/7.3644|up|up|VPN Head Quarter 4M - CONMEGA A.C.E. - Ref:605589 Lin:2777592 AccLAF31D Placa 15 Port 28
LAF2MU|GE1/1/7.3650|up|up|CIENCIAS ECONOMICAS CBA - Ref:790496 Lin:2851237 Acc:LAF31D 0/14/2
LAF2MU|GE1/1/7.3651|up|up|VPN Head Quarter - PAMI - Ref:264873 Lin:2720925 Acc:LAF31D 0/14/3
LAF2MU|GE1/1/7.3653|up|up|VPN Head Quarter - Cliente TESISGAMING - Ref 255972 Lin 2716130 Acc LAF31D-14-5
LAF2MU|GE1/1/7.3654|up|up|VPN Head Quarter - CET - Ref:538732 Lin:2764473 Acc:LAF31D 0/14 6-7
LAF2MU|GE1/1/7.3657|up|up|VPN SILVER - SEPCBA - Ref:731094- L:2830765 - LAF31D 0/14/9
LAF2MU|GE1/1/7.3662|up|up|VPN Head Quarter - BNA - Ref:304424 Lin:2736104 Acc:LAF31D 14 14
LAF2MU|GE1/1/7.3664|up|up|PRESURIZACION LA FALDA - REF:943201 - ACC:LAF31D 0/14/16
LAF2MU|GE1/1/7.3668|up|up|VPN Head Quarter - TARJETA NARANJA - Ref:24254 Lin:2704520 Acc:LAF31D 0/14/20
LAF2MU|GE1/1/7.3669|up|up|VPN Branch Office - Correo Argentino - Ref: 84963 Lin: 2597779 Acc: LAF31D 14/21
LAF2MU|GE1/1/7.3810|up|up|IntegraLight - COOP OB DE TRANS AUTOM LA CALE RA LTDA - Ref:586559- Lin:2771317 Acc:LAF31D SHDSL-0-15-002
LAF2MU|GE1/1/7.3812|up|up|Integra Gold - OSDE - ref:556516Lin:2757023 Acc:LAF31D Placa 15 Port 4 LAF / V9 / H11 / 069
LAF2MU|GE1/1/7.3814|up|up|INTEGRA LIGHT Min Modernizacion REf 784602 Linea 2847816 ACC : LAF31D 0/15/6-7
LAF2MU|GE1/1/7.3819|up|up|VPN HQ
LAF2MU|GE1/1/7.3820|up|up|VPN Head Quarter - BANCO MACRO -Ref:262818 Lin:2719560 Acc:LAF31D15/12y13 gestion
LAF2MU|GE1/1/7.3822|up|up|INTEGRA LIGHT Min Modernizacion REf 784603 Linea 2847817 ACC: LAF31D 0/15/14-15
LAF2MU|GE1/1/7.3824|up|up|FRESENIUS MEDICAL CARE ARGENTINASA - ref:610430 - lin:2781804 DSLAM: LAF31D 00/15/16-17
LAF2MU|GE1/1/7.3832|up|up|IntegraLight - CETROGAR S.A.- Ref:658743 - Lin:2808285 Acc:LAF31DSHDSL-0-15-024
LAF2MU|GE1/1/7.3850|up|up|Ref: 634173 Lin:2796081 PINTECORAcc: LAF31D 14 10
LAF2MU|GE1/1/7.3852|up|up|INTEGRA - MIN.MODERNIZACION - Ref:738011 - Linea:2834093 Acc:LAF31D 0/14/12-13
LAF2MU|GE1/1/7.3856|up|up|PRESURIZACION LA FALDA - REF:943201 - ACC:LAF31D 0/14/16
LAF2MU|GE1/1/7.3862|up|up|Integra Light - Meroli Hogar - Ref:536801 Lin:2750796 Acc:LAF31D 14 22-23
LAF2MU|GE1/1/7.3865|up|down|HUAWEI, GigabitEthernet1/1/7.3865Interface
LAF2MU|GE1/1/7.12355|up|up|HSI LAF31D - COE1MB
LAF2MU|GE1/1/8|down|down|INTEGRA - PHILIPPAKOS CHRISTOS. -680884 -  acc : TenGigE0/1/1/1.1330008
LAF2MU|GE1/1/8.8|down|down|INTEGRA - PHILIPPAKOS CHRISTOS -REF: 680884  - ACC: LAF2MU  1/1/8.8
LAF2MU|GE1/1/9|down|down|TIP_TIPCARLOSPAZTVLAF(2776712)REFE:592374_Ges.TECO
LAF2MU|GE1/1/9.2|down|down|TIP_TIPCARLOSPAZTVLAF(2776712)REFE:592374_Ges.TECO
LAF2MU|GE1/1/10|up|down|INTEGRA - OSPEDYC O SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS YCIV - Ref:541971 Lin:2751542 Acc:CEN1MB 0/1/0/20.25390002
LAF2MU|GE1/1/10.2|up|up|INTEGRA - OSPEDYC O SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS YCIV - REF: 541971 - LINEA: 2751542 - ACC: LAF2MU 1/1/10.2
