shelfname|interface|portoperationalstate|protocol|info1
LSF2MU|Eth-Trunk2|up|down|LAG 1+1 LSF41D L 11002645
LSF2MU|Eth-Trunk2.96|up|up|HSI LSF41D - MUN1MB
LSF2MU|Eth-Trunk3|up|down|LAG 1+1 LSF71D L 15006826
LSF2MU|Eth-Trunk3.1|up|up|HSI LSF71D - MUN1MB
LSF2MU|Eth-Trunk10|up|down|LAG 1+1 LSF51D  L 11002646
LSF2MU|Eth-Trunk10.97|up|up|LAG 1+1 HSI LSF51D - MUN1MB
LSF2MU|GE0/0/0|down|down|
LSF2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM BEL1MB_G0/7/0/13 Linea: 15004623 - UPLINK MSBNG (32LSF01_Sh1-G17/4)
LSF2MU|GE1/0/1(10G)|up|up|Enlace 10G DWDM BEL1MB_G0/5/0/17 Linea:15008194 - UPLINK MSBNG
LSF2MU|GE1/1/0|down|down|
LSF2MU|GE1/1/1|up|down|VPN + INTEGRA LAS BLONDAS SA - Ref 667855 - 276485 Linea 2808660 - 2728063
LSF2MU|GE1/1/1.316|up|up|VPN - LAS BLONDAS SA - REF: 667855 - LINEA: 2808660 - ACC: LSF2MU 1/1/1.316
LSF2MU|GE1/1/1.470|up|up|### Integra - LAS BLONDAS SA - ref:276485 - Lin:2728063 ###
LSF2MU|GE1/1/2|down|down|eNODOB SAN_FERNANDO_POSTE_15 NPU399
LSF2MU|GE1/1/2.10|down|down|
LSF2MU|GE1/1/2.423|down|down|
LSF2MU|GE1/1/2.1000|down|down|eNODOB SAN_FERNANDO_POSTE_15 NPU399 (1) (520777) - S1
LSF2MU|GE1/1/2.1001|down|down|eNODOB SAN_FERNANDO_POSTE_15 NPU399 (2) (520777) - S1MME
LSF2MU|GE1/1/2.1002|down|down|eNODOB SAN_FERNANDO_POSTE_15 NPU399 (3) (520777) - GOMRAN
LSF2MU|GE1/1/2.1003|down|down|NODOB SAN_FERNANDO_POSTE_15 NPU399 (1) (520777) - 3G
LSF2MU|GE1/1/3|up|down|ACCESO NGN HW5616  - E6BG01 - Linea:15001993
LSF2MU|GE1/1/3.1|up|up|HSI E6BG01 - MUN1MB
LSF2MU|GE1/1/3.2|up|up|NGN SIGN HW5616  E6BG01
LSF2MU|GE1/1/3.3|up|up|NGN RTP HW5616  E6BG01
LSF2MU|GE1/1/3.4|up|up|NGN Gestion HW5616  E6BG01
LSF2MU|GE1/1/4|up|down|eNODOB CARREFOUR_SAN_FERNANDO NPU552 (523779) NODOB (523778) (523776)
LSF2MU|GE1/1/4.1000|up|up|eNODOB CARREFOUR_SAN_FERNANDO NPU552 (1) (523779) - S1
LSF2MU|GE1/1/4.1001|up|up|eNODOB CARREFOUR_SAN_FERNANDO NPU552 (2) (523779) - S1MME
LSF2MU|GE1/1/4.1002|up|up|eNODOB CARREFOUR_SAN_FERNANDO NPU552 (1) (523779) - GOMRAN
LSF2MU|GE1/1/4.1003|up|up|NODOB CARREFOUR_SAN_FERNANDO NPU552 (523778) - 3G
LSF2MU|GE1/1/4.1004|up|up|NODOB CARREFOUR_SAN_FERNANDO NPU552 (523776) - 2G
LSF2MU|GE1/1/5|up|down|ADSL LSF31D - 9705128
LSF2MU|GE1/1/5.1000|up|up|HSI LSF31D - MUN1MB
LSF2MU|GE1/1/6|up|down|
LSF2MU|GE1/1/7|down|down|
LSF2MU|GE1/1/8|down|down|COTO - Ref:679165 - Lin:2814490
LSF2MU|GE1/1/8.392|down|down|VPN PLATINUM - COTO - REF: 679165 - LINEA: 2814490
LSF2MU|GE1/1/9|up|down|ACCESO NGN HW5616  - 0F1G01 - Linea:15001714
LSF2MU|GE1/1/9.1|up|up|HSI 0F1G01 - MUN1MB
LSF2MU|GE1/1/9.2|up|up|NGN SIGN HW5616  0F1G01
LSF2MU|GE1/1/9.3|up|up|NGN RTP HW5616  0F1G01
LSF2MU|GE1/1/9.4|up|up|NGN Gestion HW5616  0F1G01
