shelfname|interface|portoperationalstate|protocol|info1
LTH2MU|GE0/0/0|down|down|
LTH2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM MUN1MB_G0/1/0/19 Linea: 15004627 - UPLINK MSBNG (32LTH01_Sh2-G17/1)
LTH2MU|GE1/0/1(10G)|down|down|
LTH2MU|GE1/1/0|down|down|INTEGRA 5M+DDEIP 5M_MERA SOLUTIONS_Ref.670335//716467_Lin:2824749//2824840
LTH2MU|GE1/1/0.460|down|down|INTEGRA  5M_MERA SOLUTIONS_Ref.670335_Lin:2824749 ACC:LTH2MU 1/1/0
LTH2MU|GE1/1/1|down|down|
LTH2MU|GE1/1/2|up|down|VPN GECOMTEL ALM MARTINEZ - Lin: 9004671 - TRZ38706
LTH2MU|GE1/1/2.40|up|up|VPN GECOMTEL ALM MARTINEZ - Lin: 9004671
LTH2MU|GE1/1/5|up|down|INTEGRA - SPORT ICON SA - Ref 674063 - Linea 2812219
LTH2MU|GE1/1/5.4|up|up|INTEGRA - SPORT ICON SA - REF:674063 - Linea 2812219
LTH2MU|GE1/1/5.446|up|up|VPN - SPORT ICON SA - REF: 674246 - LINEA: 2811978 - ACC: LTH2MU 1/1/5.446
LTH2MU|GE1/1/7|down|down|INTEGRA - PAMPA CALL S.A - Ref: 673680 - Lin: 2812700
LTH2MU|GE1/1/7.196|down|down|INTEGRA 5M - PAMPA CALL S.A - Ref: 673680 - Lin: 2812700
LTH2MU|GE1/1/8|down|down|eNODOB FRERS - NPU1579 (949034) NODOB (949034) (949034)
LTH2MU|GE1/1/8.1000|down|down|eNODOB - FRERS - NPU1579 - (1) (949034) - S1
LTH2MU|GE1/1/8.1001|down|down|eNODOB - FRERS - NPU1579 - (2) (949034) - S1MME
LTH2MU|GE1/1/8.1002|down|down|eNODOB - FRERS - NPU1579 - (3) (949034) - GOMRAN
LTH2MU|GE1/1/8.1003|down|down|NODOB - FRERS - NPU1579 - (1) (949034) - 3G
LTH2MU|GE1/1/8.1004|down|down|NODOB - FRERS - NPU1579- (1) (949034) - 2G
LTH2MU|GE1/1/9|down|down|eNODOB ROWA - NPU687 (949035) NODOB (949035) (949035)
LTH2MU|GE1/1/9.1000|down|down|eNODOB - ROWA - NPU687 - (1) (949035) - S1
LTH2MU|GE1/1/9.1001|down|down|eNODOB - ROWA - NPU687 - (2) (949035) - S1MME
LTH2MU|GE1/1/9.1002|down|down|eNODOB - ROWA - NPU687 - (3) (949035) - GOMRAN
LTH2MU|GE1/1/9.1003|down|down|NODOB - ROWA - NPU687 - (1) (949035) - 3G
LTH2MU|GE1/1/9.1004|down|down|NODOB - ROWA - NPU687- (1) (949035) - 2G
LTH2MU|GE1/1/10|up|down|INTEGRA - CAMARA DE EMPRESAS DE CONTROL - Ref.672304_VPN - Ref.672294_VPN - Ref 672244_INTEGRA Acc: BEL1MB
LTH2MU|GE1/1/10.7|up|up|INTEGRA - CAMARA DE EMPRESAS DE CONTROL - REF:672244
LTH2MU|GE1/1/10.431|up|up|VPN - CAMARA DE EMPRESAS DE CONTROL - REF: 672304 - ACC: LTH2MU 1/1/10.431
LTH2MU|GE1/1/10.432|up|up|VPN - CAMARA DE EMPRESAS DE CONTROL - REF: 672294 - ACC: LTH2MU 1/1/10.432
LTH2MU|GE1/1/11|up|down|VPN PLATINUM + INTEGRA - ADT SECURITY SERVICES S.A. - Ref:275401/275402 Lin:2738609/2727249
LTH2MU|GE1/1/11.6|up|up|INTEGRA - ADT SECURITY SERVICES S.A. - Ref:275402 Lin:2727249
LTH2MU|GE1/1/11.523|up|up|VPN - ADT SECURITY SERVICES S.A. - REF: 275401 - LINEA: 2738609 - ACC: LTH2MU 1/1/11.523
LTH2MU|GE1/1/12|down|down|
LTH2MU|GE1/1/13|up|down|INTEGRA - BERICAP S.A. - REF:678004 - Lin:2814430
LTH2MU|GE1/1/13.13|up|up|INTEGRA - BERICAP S.A. - REF:678004 - Lin:2814430
LTH2MU|GE1/1/14|up|down|INTEGRA - IGT ARGENTINA SA - Ref 671605 - Linea 2817658
LTH2MU|GE1/1/14.9|up|up|INTEGRA - IGT ARGENTINA SA - REF:671605 - Linea 2817658
LTH2MU|GE1/1/15|down|down|
LTH2MU|GE1/1/16|down|down|
LTH2MU|GE1/1/17|down|down|VPN + L2L - TELECOM ARGENTINA STET FRANCE - Ref:714912 Lin:2822763 Acc.BEL1MB 0/5/0/16.950095
LTH2MU|GE1/1/18|up|down|eNODOB LA_TAHONA - NI_059 (944629) NODOB (944629) (944629)
LTH2MU|GE1/1/18.1000|up|up|eNODOB - LA_TAHONA - NI_059 - (1) (944629) - S1
LTH2MU|GE1/1/18.1001|up|up|eNODOB - LA_TAHONA - NI_059 - (2) (944629) - S1MME
LTH2MU|GE1/1/18.1002|up|up|eNODOB - LA_TAHONA - NI_059 - (3) (944629) - GOMRAN
LTH2MU|GE1/1/18.1003|up|up|NODOB - LA_TAHONA - NI_059 - (1) (944629) - 3G
LTH2MU|GE1/1/19|up|down|ACCESO -ALU7302 MARTINEZ AMBA LTHH01  L:15005230
LTH2MU|GE1/1/19.2|up|up|NGN SIGN ALU7302 MARTINEZ AMBA LTHH01  L:15005230
LTH2MU|GE1/1/19.3|up|up|RTP SIGN ALU7302 MARTINEZ AMBA LTHH01  L:15005230
LTH2MU|GE1/1/19.4|up|up|NGN GESTION IPM BALU7302 MARTINEZ AMBA LTHH01  L:15005230
LTH2MU|GE1/1/21|up|down|L2L + DDE-IP - TOYOTA ARGENTINA SA - REF:585091_REF:894272 LIN:2766591
LTH2MU|GE1/1/21.2|up|up|L2L - TOYOTA ARGENTINA S.A. - Ref:585091 Lin:2766591
LTH2MU|GE1/1/21.5|up|up|Gestion L2L - TOYOTA ARGENTINA S.A. - Ref:585091 Lin:2766591
LTH2MU|GE1/1/21.21|up|up|DDE-IP - TOYOTA ARGENTINA SA - REF:894272 LIN:2766591
