shelfname|interface|portoperationalstate|protocol|info1
LUR3MU|100GE4/1/0|up|up|Enlace 100G FO RSC1NA_G0/4/0/0 Linea:11004617 - UPLINK AGN
LUR3MU|100GE5/1/0|up|up|Enlace 100G FO IRD1NA_G0/3/0/3 Linea:11004618 - UPLINK MSBNG
LUR3MU|Eth-Trunk10|up|down|LAG 1+1 LURE1D L  11003350
LUR3MU|Eth-Trunk10.2101|up|up|[GESTION] LURE1D HUA 5600 [ADS2]
LUR3MU|Eth-Trunk10.3101|up|up|[TOIP] LURE1D HUA 5600 [ADS2]
LUR3MU|Eth-Trunk10.4101|up|up|[DATOS] LURE1D HUA 5600 [ADS2][L2]
LUR3MU|Eth-Trunk14|up|down|LAG 1+1 LURD1D L 11002837
LUR3MU|Eth-Trunk14.2101|up|up|[GESTION] LURD1D HUA 5600 [ADS2]
LUR3MU|Eth-Trunk14.3101|up|up|[TOIP] LURD1D HUA 5600 [ADS2]
LUR3MU|Eth-Trunk14.4101|up|up|[DATOS] LURD1D HUA 5600 [ADS2][L2]
LUR3MU|GE0/0/0|down|down|
LUR3MU|GE1/0/0|down|down|
LUR3MU|GE1/0/1|down|down|INTEGRA -  TRANSPORTE Y TECNOLOGIA DE ARG    -  ref 715395
LUR3MU|GE1/0/1.14|down|down|INTEGRA -  TRANSPORTE Y TECNOLOGIA DE ARG    -  ref 715395
LUR3MU|GE1/0/2|up|down|[ACCESO HSI][VI] LURP1D 11003969
LUR3MU|GE1/0/2.2101|up|up|[GESTION] LURP1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/2.3101|up|up|[TOIP] LURP1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/2.4101|up|up|[DATOS] LURP1D ZTE 9800 [ADS2][L2]
LUR3MU|GE1/0/3|up|down|[ACCESO HSI][VI] LURO1D 11003967
LUR3MU|GE1/0/3.2101|up|up|[GESTION] LURO1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/3.3101|up|up|[TOIP] LURO1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/3.4101|up|up|[DATOS] LURO1D ZTE 9800 [ADS2][L2]
LUR3MU|GE1/0/4|up|down|[ACCESO HSI][VI] LURN1D 11003967
LUR3MU|GE1/0/4.2101|up|up|[GESTION] LURN1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/4.3101|up|up|[TOIP] LURN1D ZTE 9800 [ADS2]
LUR3MU|GE1/0/4.4101|up|up|[DATOS] LURN1D ZTE 9800 [ADS2][L2]
LUR3MU|GE1/0/5|up|down|INTEGRA - UPGRADE - Ref:786412 L:2848634 ACC:TRZ44163
LUR3MU|GE1/0/5.5|up|up|INTEGRA - UPGRADE - Ref:786412 L:2848634 ACC:TRZ44163
LUR3MU|GE1/0/6|up|down|[ACCESO HSI][VI] 80Z11C 11002937
LUR3MU|GE1/0/6.2101|up|up|[GESTION] 80Z11C ALU 7330 [VDS2]
LUR3MU|GE1/0/6.3101|up|up|[TOIP] 80Z11C ALU 7330 [VDS2]
LUR3MU|GE1/0/6.4101|up|up|[DATOS] 80Z11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/7|up|down|[ACCESO HSI][VI] QZ311C 11000821
LUR3MU|GE1/0/7.2101|up|up|[GESTION] QZ311C ALU 7330 [VDS2]
LUR3MU|GE1/0/7.3101|up|up|[TOIP] QZ311C ALU 7330 [VDS2]
LUR3MU|GE1/0/7.4101|up|up|[DATOS] QZ311C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/8|up|down|[ACCESO HSI][VI] RXN11C 11001368
LUR3MU|GE1/0/8.2101|up|up|[GESTION] RXN11C ALU 7330 [VDS2]
LUR3MU|GE1/0/8.3101|up|up|[TOIP] RXN11C ALU 7330 [VDS2]
LUR3MU|GE1/0/8.4101|up|up|[DATOS] RXN11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/9|up|down|[ACCESO HSI][VI] RXS11C 11001265
LUR3MU|GE1/0/9.2101|up|up|[GESTION] RXS11C ALU 7330 [VDS2]
LUR3MU|GE1/0/9.3101|up|up|[TOIP] RXS11C ALU 7330 [VDS2]
LUR3MU|GE1/0/9.4101|up|up|[DATOS] RXS11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/10|up|down|[ACCESO HSI][VI] RXK11C 11000825
LUR3MU|GE1/0/10.2101|up|up|[GESTION] RXK11C ALU 7330 [VDS2]
LUR3MU|GE1/0/10.3101|up|up|[TOIP] RXK11C ALU 7330 [VDS2]
LUR3MU|GE1/0/10.4101|up|up|[DATOS] RXK11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/11|up|down|[ACCESO HSI][VI] 29I11C 11001448
LUR3MU|GE1/0/11.2101|up|up|[GESTION] 29I11C ALU 7330 [VDS2]
LUR3MU|GE1/0/11.3101|up|up|[TOIP] 29I11C ALU 7330 [VDS2]
LUR3MU|GE1/0/11.4101|up|up|[DATOS] 29I11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/12|up|down|[ACCESO HSI][VI] 28P11C 11001495
LUR3MU|GE1/0/12.2101|up|up|[GESTION] 28P11C ALU 7330 [VDS2]
LUR3MU|GE1/0/12.3101|up|up|[TOIP] 28P11C ALU 7330 [VDS2]
LUR3MU|GE1/0/12.4101|up|up|[DATOS] 28P11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/13|up|down|[ACCESO HSI][VI] RXL11C 11001143
LUR3MU|GE1/0/13.2101|up|up|[GESTION] RXL11C ALU 7330 [VDS2]
LUR3MU|GE1/0/13.3101|up|up|[TOIP] RXL11C ALU 7330 [VDS2]
LUR3MU|GE1/0/13.4101|up|up|[DATOS] RXL11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/14|up|down|[ACCESO HSI][VI] 29B11C 11001449
LUR3MU|GE1/0/14.2101|up|up|[GESTION] 29B11C ALU 7330 [VDS2]
LUR3MU|GE1/0/14.3101|up|up|[TOIP] 29B11C ALU 7330 [VDS2]
LUR3MU|GE1/0/14.4101|up|up|[DATOS] 29B11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/15|up|down|[ACCESO HSI][VI] 29G11C 11001493
LUR3MU|GE1/0/15.2101|up|up|[GESTION] 29G11C ALU 7330 [VDS2]
LUR3MU|GE1/0/15.3101|up|up|[TOIP] 29G11C ALU 7330 [VDS2]
LUR3MU|GE1/0/15.4101|up|up|[DATOS] 29G11C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/16|up|down|[ACCESO HSI][VI] QZ011C 11001250
LUR3MU|GE1/0/16.2101|up|up|[GESTION] QZ011C ALU 7330 [VDS2]
LUR3MU|GE1/0/16.3101|up|up|[TOIP] QZ011C ALU 7330 [VDS2]
LUR3MU|GE1/0/16.4101|up|up|[DATOS] QZ011C ALU 7330 [VDS2][L2]
LUR3MU|GE1/0/17|up|down|[ACCESO HSI][VI] LURK1D 11003771
LUR3MU|GE1/0/17.2101|up|up|[GESTION] LURK1D ZTE 9210 [ADS2]
