shelfname|interface|portoperationalstate|protocol|info1
MEZ5MU|100GE3/0/0|up|up|Enlace 100G DWDM CEN1NA_G0/13/0/6 Linea:13006402 - UPLINK NA
MEZ5MU|100GE3/0/1|down|down|
MEZ5MU|100GE4/0/0|up|up|Enlace 100G DWDM IRD1NA_G0/13/0/4 Linea:13006403 - UPLINK NA
MEZ5MU|100GE4/0/1|down|down|
MEZ5MU|100GE5/0/0|up|up|Enlace 100G FO MEZ4MU_G4/0/0 Linea:13007420 - UPLINK MU
MEZ5MU|100GE5/0/1|down|down|
MEZ5MU|Eth-Trunk1|up|down|LAG PTN 18MEZ01_G14/01_G15/01
MEZ5MU|Eth-Trunk2|up|down|FRONTERA CSC TECO-FIBERCORP  Lineas:2865392/2865393
MEZ5MU|Eth-Trunk2.100|up|up|FRONTERA CSC TECO-FIBERCORP  Lineas:2865392/2865393
MEZ5MU|Eth-Trunk10|up|down|Gestores-Sonda-SMARTCARE-HUAWEI-MEZSTP Lin.11100404/5
MEZ5MU|Eth-Trunk10.579|up|up|Gestores-Sonda-SMARTCARE-HUAWEI-MEZSTP-Para_OM
MEZ5MU|Eth-Trunk10.580|up|up|Gestores-Sonda-SMARTCARE-HUAWEI-MEZSTP-Para_Servicio
MEZ5MU|Eth-Trunk40|up|down|ENLACE-M 40G B2B A MZA1LSUP Eth-Trunk8 (agrupa GE3/1/4 GE3/1/5 GE4/1/4 GE4/1/5) - SHELF1 - UPLINK MOVIL-EthCh
MEZ5MU|Eth-Trunk40.2|up|up|CONEXION-M A MZA1LSUP Eth8.2 - GESTION
MEZ5MU|Eth-Trunk40.11|up|up|CONEXION-M A MZA1LSUP Eth8.11 - VOZ
MEZ5MU|Eth-Trunk40.17|up|up|CONEXION-M A MZA1LSUP Eth8.17 - INTERNET
MEZ5MU|Eth-Trunk40.18|up|up|CONEXION-M A MZA1LSUP Eth8.18 - NAT
MEZ5MU|Eth-Trunk40.19|up|up|CONEXION-M A MZA1LSUP Eth8.19 - APROXY
MEZ5MU|Eth-Trunk40.20|up|up|CONEXION-M A MZA1LSUP Eth8.20 - IMSSUR
MEZ5MU|Eth-Trunk40.60|up|up|CONEXION-M A MZA1LSUP Eth8.60 - IU
MEZ5MU|Eth-Trunk40.62|up|up|CONEXION-M A MZA1LSUP Eth8.62 - GN
MEZ5MU|Eth-Trunk40.71|up|up|CONEXION-M A MZA1LSUP Eth8.71 - OAM
MEZ5MU|Eth-Trunk40.74|up|up|CONEXION-M A MZA1LSUP Eth8.74 - S1
MEZ5MU|Eth-Trunk40.80|up|up|CONEXION-M A MZA1LSUP Eth8.80 - LI
MEZ5MU|GE0/0/0|down|down|
MEZ5MU|GE1/0/0|up|down|### VPN - PODER JUDICIAL DE LA NACION - ref:916592 - Lin:2865823 ###
MEZ5MU|GE1/0/0.2|up|up|### VPN - PODER JUDICIAL DE LA NACION - ref:916592 - Lin:2865823 - Gestion CPE ###
MEZ5MU|GE1/0/0.3|up|up|### VPN - PODER JUDICIAL DE LA NACION - ref:916592 - Lin:2865823 ###
MEZ5MU|GE1/0/1|down|down|
MEZ5MU|GE1/0/2|down|down|VPN - JULERIAQUE S.A. - REF: 943951 - LINEA: 2870167 - ACC: MEZ5MU 1/0/2
MEZ5MU|GE1/0/2.2|down|down|VPN - JULERIAQUE S.A. - REF: 943951 - LINEA: 2870167 - ACC: MEZ5MU 1/0/2
MEZ5MU|GE1/0/3|up|up|Gestores-Sonda-SMARTCARE-HUAWEI-MEZSTP-Lin-Ref.11100404
MEZ5MU|GE1/0/4|down|down|VPN PLATINUM - FEDERACION PATRONAL SEGUROS S - REF: 945266 - LINEA: 2869190 - ACC: MEZ5MU 1/0/4
MEZ5MU|GE1/0/4.2|down|down|VPN PLATINUM - FEDERACION PATRONAL SEGUROS S - REF: 945266 - LINEA: 2869190 - ACC: MEZ5MU 1/0/4
MEZ5MU|GE1/0/5|up|down|LR6 RADIO MITRE - VPN ref:949138 - Integra ref:949137
MEZ5MU|GE1/0/5.2|up|up|VPN PLATINUM - LR6 RADIO MITRE - REF:949138 - LINEA:2870395 - ACC: 1/0/5
MEZ5MU|GE1/0/5.4|up|up|Integra - LR6 RADIO MITRE - REF:949137 - LINEA:2870396 - ACC: 1/0/5
MEZ5MU|GE1/0/6|down|down|
MEZ5MU|GE1/0/7|down|down|
MEZ5MU|GE1/0/8|down|down|
MEZ5MU|GE1/0/9|down|down|
MEZ5MU|GE1/0/10|down|down|
MEZ5MU|GE1/0/11|down|down|
MEZ5MU|GE1/0/12|down|down|
MEZ5MU|GE1/0/13|down|down|
MEZ5MU|GE1/0/14|down|down|
MEZ5MU|GE1/0/15|down|down|
MEZ5MU|GE1/0/16|down|down|
MEZ5MU|GE1/0/17|down|down|
MEZ5MU|GE1/0/18|down|down|
MEZ5MU|GE1/0/19|down|down|
MEZ5MU|GE1/0/20|down|down|
MEZ5MU|GE1/0/21|down|down|
MEZ5MU|GE1/0/22|down|down|
MEZ5MU|GE1/0/23|down|down|
MEZ5MU|GE1/1/0|down|down|
MEZ5MU|GE1/1/1|down|down|
MEZ5MU|GE1/1/2|down|down|
MEZ5MU|GE1/1/3|down|down|
MEZ5MU|GE1/1/4|down|down|
MEZ5MU|GE1/1/5|down|down|
MEZ5MU|GE1/1/6|down|down|
MEZ5MU|GE1/1/7|down|down|
MEZ5MU|GE1/1/8|down|down|
MEZ5MU|GE1/1/9|down|down|
MEZ5MU|GE1/1/10|down|down|
MEZ5MU|GE1/1/11|down|down|
MEZ5MU|GE1/1/12|down|down|
MEZ5MU|GE1/1/13|down|down|
MEZ5MU|GE1/1/14|down|down|
MEZ5MU|GE1/1/15|down|down|
MEZ5MU|GE1/1/16|down|down|
MEZ5MU|GE1/1/17|down|down|
MEZ5MU|GE1/1/18|down|down|
MEZ5MU|GE1/1/19|down|down|
MEZ5MU|GE1/1/20|down|down|
MEZ5MU|GE1/1/21|down|down|
MEZ5MU|GE1/1/22|down|down|
MEZ5MU|GE1/1/23|down|down|
MEZ5MU|GE2/0/0|down|down|
MEZ5MU|GE2/0/1|down|down|
MEZ5MU|GE2/0/2|down|down|
MEZ5MU|GE2/0/3|down|down|
MEZ5MU|GE2/0/4|down|down|
MEZ5MU|GE2/0/5|down|down|
MEZ5MU|GE2/0/6|down|down|
MEZ5MU|GE2/0/7|down|down|
MEZ5MU|GE2/0/8|down|down|
MEZ5MU|GE2/0/9|down|down|
MEZ5MU|GE2/0/10|down|down|
MEZ5MU|GE2/0/11|down|down|
MEZ5MU|GE2/0/12|down|down|
MEZ5MU|GE2/0/13|down|down|
MEZ5MU|GE2/0/14|down|down|
MEZ5MU|GE2/0/15|down|down|
MEZ5MU|GE2/0/16|down|down|
MEZ5MU|GE2/0/17|down|down|
MEZ5MU|GE2/0/18|down|down|
MEZ5MU|GE2/0/19|down|down|
MEZ5MU|GE2/0/20|down|down|
MEZ5MU|GE2/0/21|down|down|
MEZ5MU|GE2/0/22|down|down|
MEZ5MU|GE2/0/23|down|down|
MEZ5MU|GE2/1/0|down|down|
MEZ5MU|GE2/1/1|down|down|
MEZ5MU|GE2/1/2|down|down|
MEZ5MU|GE2/1/3|down|down|
MEZ5MU|GE2/1/4|down|down|
MEZ5MU|GE2/1/5|down|down|
MEZ5MU|GE2/1/6|down|down|
MEZ5MU|GE2/1/7|down|down|
MEZ5MU|GE2/1/8|down|down|
MEZ5MU|GE2/1/9|down|down|
MEZ5MU|GE2/1/10|down|down|
MEZ5MU|GE2/1/11|down|down|
MEZ5MU|GE2/1/12|down|down|
MEZ5MU|GE2/1/13|down|down|
MEZ5MU|GE2/1/14|down|down|
MEZ5MU|GE2/1/15|down|down|
MEZ5MU|GE2/1/16|down|down|
MEZ5MU|GE2/1/17|down|down|
MEZ5MU|GE2/1/18|down|down|
MEZ5MU|GE2/1/19|down|down|
MEZ5MU|GE2/1/20|down|down|
MEZ5MU|GE2/1/21|down|down|
MEZ5MU|GE2/1/22|down|down|
MEZ5MU|GE2/1/23|down|down|
MEZ5MU|GE3/1/0(10G)|up|down|[DATOS] WTEM01 HUA 5600T  [GPON][L3]
MEZ5MU|GE3/1/0.1(10G)|up|up|HSI WTEM01 HUA 5600T [VDSL2]
MEZ5MU|GE3/1/0.6(10G)|up|up|IPTV WTEM01 IGMP-PIM
MEZ5MU|GE3/1/0.7(10G)|up|up|[DHCP] [IPTV] WTEM01 HUA 5600T [GPON]
MEZ5MU|GE3/1/0.10(10G)|up|up|HSI WTEM01 HUA 5600T [GPON]
MEZ5MU|GE3/1/0.11(10G)|up|up|HSI WTEM01 HUA 5600T [GPON]
MEZ5MU|GE3/1/0.12(10G)|up|up|HSI WTEM01 HUA 5600T [GPON]
MEZ5MU|GE3/1/1(10G)|up|up|Enlace 10G DWDM RFL1MU Gi1/0/0 (Linea:15006416) - UPLINK AGN (32MEZ02 1/17/2)
MEZ5MU|GE3/1/2(10G)|up|up|Enlace 10G DWDM JUG2MU_G1/0/0 (Linea:15004494) - UPLINK AGN (A64MEZ01_S01P02)
MEZ5MU|GE3/1/3(10G)|up|up|CONEXION PTN ALU 18MEZ01_G14/1 Linea:70001722
