shelfname|interface|portoperationalstate|protocol|info1
PAT4MU|GE0/0/0|down|down|
PAT4MU|GE1/0/0|up|down|VPN PLATINUM - AFIP - Ref:163172
PAT4MU|GE1/0/0.49|up|up|VPN AFIP REF 163172 LIN 2594522
PAT4MU|GE1/0/1|up|down|VPN/INTEGRA/VISA/3G - COTO - Enlace CPE Secundario CCentral
PAT4MU|GE1/0/1.10|up|up|VPN PLATINUM - COTO VIDEO - REF:885798 - LIN:2860497 - ACC:REF:250386
PAT4MU|GE1/0/1.369|up|up|VPN PLATINUM 100M - COTO - ref:250386 lin:2713873
PAT4MU|GE1/0/1.370|up|up|INTEGRA GOLD 100M - COTO - ref: 250387 lin:2713873
PAT4MU|GE1/0/1.551|up|up|VPN PLATINUM - COTO - Ref:562097 Lin:2713873
PAT4MU|GE1/0/1.557|up|up|VPN PLATINUM - Visa COTO - Ref:583798 Lin:2713873
PAT4MU|GE1/0/1.559|up|up|VPN Concentrador tuneles 3G - COTO - Ref:632335 Lin:
PAT4MU|GE1/0/1.2481|up|up|L2L - CLIENTE POTENCIAL ALEJANDRO DEL CARRIL- REF:945257 LIN:2869254 - VPLS:ELAN_3677753601_945257 contra frontera FIBER
PAT4MU|GE1/0/2|up|down|INTEGRA - ACUDIR SRL - Ref:304549 Lin:2736747
PAT4MU|GE1/0/2.497|up|up|INTEGRA - ACUDIR SRL - Ref:304549 Lin:2736747
PAT4MU|GE1/0/3|up|down|[TAT] DCN GESTION - Linea:15003895 - L3 en RED DCN
PAT4MU|GE1/0/3.3256|up|up|[TAT] DCN GESTION - VPLS:ELAN_DCN_GESTION_ACCESO - Linea:15003895
PAT4MU|GE1/0/4|up|down|VPN Platinum - BANCO MACRO - Ref: 240504 + 297063
PAT4MU|GE1/0/4.275|up|up|Gestion - BANCO MACRO - Ref: 240504
PAT4MU|GE1/0/4.489|up|up|VPN Platinum - BANCO MACRO - Ref:297063 - Acc:PAT4MU 1/0/4
PAT4MU|GE1/0/5|up|down|Integra Platinum - Juncadella Lin:2580543 - Ref:89723
PAT4MU|GE1/0/5.3|up|up|Gestion Integra Platinum - Juncadella Lin:2580543 - Ref:89723
PAT4MU|GE1/0/5.625|up|up|Integra Platinum - Juncadella Lin:2580543 - Ref:89723
PAT4MU|GE1/0/6|up|down|BANCO MACRO SA (ex N.BANCO BISEL) VPN Ref:229254 Lin:2706608 (Suc.WARNES) + REF:782772 + R:229254 + R:253465
PAT4MU|GE1/0/6.2|up|up|VPN - BANCO MACRO S.A. - REF:782772 LIN:2847040 - ELAN_94065_0951
PAT4MU|GE1/0/6.204|up|up|VPN PLATINUM - BANCO MACRO (ex NUEVO BANCO BISEL) - REF:229254 Lin:2706608
PAT4MU|GE1/0/6.277|up|up|ACCESO_WARNES_CALL_CENTER_PRIVISORIO - NUEVO BANCO BISEL r:229254 L:2706608- Acc PAT4MU 1/0/6
PAT4MU|GE1/0/6.400|up|up|VPN Platinum 5M - MACRO_COELSA_ACCESO_WARNES- Rer:253465 ACC_REF:229254_MPLS_BISEL
PAT4MU|GE1/0/7|up|down|eNODOB PATERNAL_NUEVO - CPU115  (422440) NODOB (436600) (436601)
PAT4MU|GE1/0/7.1003|up|up|eNODOB - PATERNAL_NUEVO - CPU115  - (1) (422440) - S1
PAT4MU|GE1/0/7.1004|up|up|eNODOB - PATERNAL_NUEVO - CPU115  - (2) (422440) - S1MME
PAT4MU|GE1/0/7.1005|up|up|eNODOB - PATERNAL_NUEVO - CPU115  - (3) (422440) - GOMRAN
PAT4MU|GE1/0/7.1145|up|up|NODOB - PATERNAL_NUEVO - CPU115  - (1) (436600) - 3G
PAT4MU|GE1/0/7.1146|up|up|NODOB - PATERNAL_NUEVO - CPU115 - (1) (436601) - 2G
PAT4MU|GE1/0/8|up|down|BANCO CREDICOOP - VPN Ref:195521 Lin:2599905 + VPN R:234232 + VPN R:241983
PAT4MU|GE1/0/8.214|up|up|VPN PLATINUM - CREDICOOP2 - Ref:234232 - Lin:2599984 - Acc:PAT4MU 1/0/8
PAT4MU|GE1/0/8.221|up|up|Gestion USE VPN BANCO CREDICOOP Ref:195521 Lin:2599905 acc:PAT4MU 1/0/8 (Suc.Vera)
PAT4MU|GE1/0/8.328|up|up|VPN BANCO CREDICOOP COOP. LTDO. - REF 241983 - LINEA 2599984 // ACC : PAT4MU Gi 1/0/8
PAT4MU|GE1/0/8.456|up|up|VPN BANCO CREDICOOP Ref:195521 Lin:2599905 acc:PAT4MU 1/0/8 (Suc.Vera)
PAT4MU|GE1/0/9|up|down|VPN/L2L - GRANJA TRES ARROYOS  - Ref:147183/667168 Lin:2807477
PAT4MU|GE1/0/9.7|up|up|L2L - GRANJA TRES ARROYOS - R:667168
PAT4MU|GE1/0/9.88|up|up|L2L - GRANJA TRES ARROYOS - R:667168 GESTION
PAT4MU|GE1/0/9.184|up|up|#VPN PLATINUM Servicio - GRANJA 3 ARROYOS - R:147183 L:2707407
PAT4MU|GE1/0/9.185|up|up|#VPN PLATINUM Gestion - GRANJA 3 ARROYOS - R:147183 L:2707407
PAT4MU|GE1/0/10|up|down|VPN/INTEGRA - FRIGORIFICO DE AVES SOYCHU SAI - Ref:234755/234760 Lin:2708761/2
