shelfname|interface|portoperationalstate|protocol|info1
PIF1MU|GE0/0/0|down|down|
PIF1MU|GE0/1/0|up|down|CCONEXION  PINAMAR
PIF1MU|GE0/1/0.16521000|up|down|eNODOB - SAN_BERNARDO_COSTA_AZUL  - A41-B536 - (1) (527262) - S1
PIF1MU|GE0/1/0.16521001|up|down|eNODOB - SAN_BERNARDO_COSTA_AZUL - A41-B536 - (2) (527262) - S1MME
PIF1MU|GE0/1/0.16521002|up|down|eNODOB - SAN_BERNARDO_COSTA_AZUL - A41-B536 - (3) (527262) - GOMRAN
PIF1MU|GE0/1/0.16521003|up|down|NODOB - SAN_BERNARDO_COSTA_AZUL - A41-B536 - (1) (525677) - 3G
PIF1MU|GE0/1/0.16521004|up|down|NODOB - SAN_BERNARDO_COSTA_AZUL  - A41-B536 - (1) (527263) - 2G
PIF1MU|GE0/1/1|up|down|CONEXION RADIO 1SBVG01_IDU/01/22 LAN4
PIF1MU|GE0/1/1.1421106|up|up|NODOB - VILLA_GESELL_ORION - A41-B454 (1) (5671256) -3G
PIF1MU|GE0/1/1.1421156|up|up|NODOB - VILLA_GESELL_ORION - A41-B454 (1) (5671256) - Gomran
PIF1MU|GE0/1/1.1422102|up|up|NODOB - VILLA_GESELL_SUR - A41-B037 (1) (5665260) - 3G
PIF1MU|GE0/1/1.1422152|up|up|NODOB - VILLA_GESELL_SUR - A41-B037 (1) (5665260) - GOMRAN
PIF1MU|GE0/1/1.1422202|up|up|NODOB - VILLA_GESELL_SUR - A41-B037 (2) (5665260) - 3G
PIF1MU|GE0/1/1.1422252|up|up|NODOB - VILLA_GESELL_SUR - A41-B037 (2) (5665260) - GOMRAN
PIF1MU|GE0/1/1.1424104|up|up|NODOB - MAR_AZUL - Gi7/0/7 A41-B400 (1) (332748) - 3G
PIF1MU|GE0/1/1.1424154|up|up|NODOB - MAR_AZUL - Gi7/0/7 A41-B400 (2) (332748) - GOMRAN
PIF1MU|GE0/1/1.14211000|up|up|eNODOB - VILLA_GESELL_ORION - PIF1MU  - A41-B454 - (1) (430636) - S1
PIF1MU|GE0/1/1.14211001|up|up|eNODOB - VILLA_GESELL_ORION - PIF1MU  - A41-B454 - (2) (430636) - S1MME
PIF1MU|GE0/1/1.14211002|up|up|eNODOB - VILLA_GESELL_ORION - PIF1MU  - A41-B454 - (3) (430636) - GOMRAN
PIF1MU|GE0/1/1.14211003|up|up|NODOB - VILLA_GESELL_ORION - PIF1MU  - A41-B454 - (1) (518435) - 3G
PIF1MU|GE0/1/1.14211004|up|up|NODOB - VILLA_GESELL_ORION - PIF1MU  - A41-B454 - (1) (522321) - 2G
PIF1MU|GE0/1/1.14211010|up|up|eNODOB - VILLA_GESELL_ORION -  A41-B454 (1) (430636) - S1
PIF1MU|GE0/1/1.14211011|up|up|eNODOB - VILLA_GESELL_ORION - A41-B454 (2) (430636) - S1MME
PIF1MU|GE0/1/1.14211012|up|up|eNODOB - VILLA_GESELL_ORION -  A41-B454 (3) (430636) - GOMRAN
PIF1MU|GE0/1/1.14221000|up|up|eNODOB - VILLA_GESELL_SUR - PIF1MU  - A41-B037 - (1) (430638) - S1
PIF1MU|GE0/1/1.14221001|up|up|eNODOB - VILLA_GESELL_SUR - PIF1MU  - A41-B037 - (2) (430638) - S1MME
PIF1MU|GE0/1/1.14221002|up|up|eNODOB - VILLA_GESELL_SUR - PIF1MU  - A41-B037 - (3) (430638) - GOMRAN
PIF1MU|GE0/1/1.14221003|up|up|NODOB - VILLA_GESELL_SUR - PIF1MU  - A41-B037 - (1) (761094) - 3G
PIF1MU|GE0/1/1.14221004|up|up|NODOB - VILLA_GESELL_SUR - PIF1MU  - A41-B037 - (1) (761093) - 2G
PIF1MU|GE0/1/1.14231000|up|up|eNODOB - VILLA_GESELL_2 - PIF1MU  - A41-B020 - (1) (695947) - S1
PIF1MU|GE0/1/1.14231001|up|up|eNODOB - VILLA_GESELL_2 - PIF1MU  - A41-B020 - (2) (695947) - S1MME
PIF1MU|GE0/1/1.14231002|up|up|eNODOB - VILLA_GESELL_2 - PIF1MU  - A41-B020 - (3) (695947) - GOMRAN
PIF1MU|GE0/1/1.14231003|up|up|NODOB - VILLA_GESELL_2 - PIF1MU  - A41-B020 - (1) (763191) - 3G
PIF1MU|GE0/1/1.14231004|up|up|NODOB - VILLA_GESELL_2 - PIF1MU  - A41-B020 - (1) (763192) - 2G
