shelfname|interface|portoperationalstate|protocol|info1
PKL3MU|Eth-Trunk2|up|down|LAG SDH ALU 60LPL03_Gi2
PKL3MU|Eth-Trunk2.1937|up|up|GESTION TX RE ABRIL  linea 15002428
PKL3MU|Eth-Trunk2.3151|up|up|GESTION TX RE LA PLATA 9-BS AS linea 15001732
PKL3MU|Eth-Trunk2.3452144|up|up|L2L Transporte CEMENTERIO_BERISSO SPU135 Ref:508060 - 3G
PKL3MU|Eth-Trunk2.19430002|up|up|### Integra - PODER JUDICIAL PROVINCIA - ref:317250 - Lin: ###
PKL3MU|Eth-Trunk2.19430003|up|up|### Integra - PODER JUDICIAL PROVINCIA - ref:317250 - Gestion Switch ###
PKL3MU|Eth-Trunk2.19430004|up|up|### VPN - PODER JUDICIAL PROVINCIA - ref:678343 (asociada 317250) ###
PKL3MU|Eth-Trunk2.19430005|up|up|### VPN - PODER JUDICIAL PROVINCIA - ref:708389 (asociada 317250) ###
PKL3MU|Eth-Trunk2.26490002|up|down|
PKL3MU|Eth-Trunk3|up|down|LAG PTN HWI 35LPL02_G4/2
PKL3MU|Eth-Trunk3.1830002|up|up|VPN - WIFI ESTADIO UNICO - TELECOM PERSONAL(5674715) Ges.Teco
PKL3MU|Eth-Trunk3.12010010|up|up|GESTION  REIP entre WLL calle 7 y Nextellinea 15008685
PKL3MU|Eth-Trunk3.12021000|up|up|eNODOB - NEXTEL_LA_PLATA_OESTE - PKL3MU 3/0/0 - SPU1056 - (1) (755292) - S1
PKL3MU|Eth-Trunk3.12021001|up|up|eNODOB - NEXTEL_LA_PLATA_OESTE - PKL3MU 3/0/0 - SPU1056 - (2) (755292) - S1MME
PKL3MU|Eth-Trunk3.12021002|up|up|eNODOB - NEXTEL_LA_PLATA_OESTE - PKL3MU 3/0/0 - SPU1056 - (3) (755292) - GOMRAN
PKL3MU|Eth-Trunk3.12021003|up|up|NODOB - NEXTEL_LA_PLATA_OESTE - PKL3MU 3/0/0 - SPU1056 - (1) (756422) - 3G
PKL3MU|Eth-Trunk3.12021004|up|up|NODOB - NEXTEL_LA_PLATA_OESTE - PKL3MU 3/0/0 - SPU1056 - (1) (755281) - 2G
PKL3MU|Eth-Trunk3.12051000|up|up|eNODOB - LA_PLATA_TABARES - PKL3MU Eth-Trunk3 - A42-B832 - (1) (752148) - S1
PKL3MU|Eth-Trunk3.12051001|up|up|eNODOB - LA_PLATA_TABARES - PKL3MU Eth-Trunk3 - A42-B832 - (2) (752148) - S1MME
PKL3MU|Eth-Trunk3.12051002|up|up|eNODOB - LA_PLATA_TABARES - PKL3MU Eth-Trunk3 - A42-B832 - (3) (752148) - GOMRAN
PKL3MU|Eth-Trunk3.12051003|up|up|NODOB - LA_PLATA_TABARES - PKL3MU Eth-Trunk3 - A42-B832 - (1) (752147) - 3G
PKL3MU|Eth-Trunk3.12051004|up|up|NODOB - LA_PLATA_TABARES - PKL3MU Eth-Trunk3 - A42-B832 - (1) (752146) - 2G
PKL3MU|Eth-Trunk4|up|down|TRUNK METRO PKL2MC_Eth-Trunk2
