shelfname|interface|portoperationalstate|protocol|info1
REM2MU|GE0/0/0|down|down|
REM2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM BAL1MB_G0/1/1/3 Linea: 15004387 - UPLINK MSBNG (32REM01_G1/17/1)
REM2MU|GE1/0/1(10G)|down|down|
REM2MU|GE1/1/0|up|down|ACCESO REMM01 - LINEA 15003858
REM2MU|GE1/1/0.100059|up|up|HSI REMM01 - CAS1MB
REM2MU|GE1/1/1|up|down|eNODOB PABLO_PODESTA OPU260 (439043)
REM2MU|GE1/1/1.1000|up|up|eNODOB PABLO_PODESTA OPU260 (1) (439043) - S1
REM2MU|GE1/1/1.1001|up|up|eNODOB PABLO_PODESTA OPU260 (2) (439043) - S1MME
REM2MU|GE1/1/1.1002|up|up|eNODOB eNODOB PABLO_PODESTA OPU260 (3) (439043) - GOMRAN
REM2MU|GE1/1/1.1003|up|up|eNODOB OPU260 PABLO_PODESTA REM2MU (1) 439043 - 3G
REM2MU|GE1/1/1.1004|up|up|eNODOB OPU260 PABLO_PODESTA REM2MU (1) 522475 - 2G
REM2MU|GE1/1/2|up|down|eNODOB  WICAP_10_TRES_DE_FEBRERO OPU341
REM2MU|GE1/1/2.1000|up|up|eNODOB WICAP_10_TRES_DE_FEBRERO OPU341 REM2MU 1/0/2 (1) 522937 - S1
REM2MU|GE1/1/2.1001|up|up|eNODOB WICAP_10_TRES_DE_FEBRERO OPU341 REM2MU 1/0/2 (2) 522937 - S1MME
REM2MU|GE1/1/2.1002|up|up|eNODOB WICAP_10_TRES_DE_FEBRERO OPU341 REM2MU 1/0/2 (3) 522937 - GOMRAN
REM2MU|GE1/1/2.1003|up|up|eNODOB WICAP_10_TRES_DE_FEBRERO OPU341 REM2MU 1/0/2 (1) 522743 - 3G
REM2MU|GE1/1/2.1004|up|up|eNODOB WICAP_10_TRES_DE_FEBRERO OPU341 REM2MU 1/0/2 (1) 522724 - 2G
REM2MU|GE1/1/3|up|down|ADSL 1UL11C - 15003214
REM2MU|GE1/1/3.2|up|down|
REM2MU|GE1/1/3.5|up|up|HSI 1UL11C - CAS1MB
REM2MU|GE1/1/4|up|down|ADSL 1UM11C - 15003215
REM2MU|GE1/1/4.3|up|up|HSI 1UM11C - BAL1MB
REM2MU|GE1/1/5|up|down|ADSL RM911C - 15003216
REM2MU|GE1/1/5.6|up|up|HSI RM911C - CAS1MB
REM2MU|GE1/1/6|up|down|ADSL RMB11C - 15003217
REM2MU|GE1/1/6.14|up|up|HSI RMB11C - CAS1MB
REM2MU|GE1/1/7|up|down|ADSL 1UN11C - 15003218
REM2MU|GE1/1/7.7|up|up|HSI 1UN11C - CAS1MB
REM2MU|GE1/1/7.8|up|down|
REM2MU|GE1/1/8|up|down|ADSL 1UO11C - 15003219
REM2MU|GE1/1/8.8|up|up|HSI 1UO11C - CAS1MB
REM2MU|GE1/1/9|up|down|ADSL 1UP11C - 15003220
REM2MU|GE1/1/9.9|up|up|HSI 1UP11C - CAS1MB
REM2MU|GE1/1/10|down|down|ADSL 1UQ11C - 15003223
REM2MU|GE1/1/10.10|down|down|HSI 1UQ11C - CAS1MB
REM2MU|GE1/1/11|up|down|ADSL 1VE11C - 15003222
REM2MU|GE1/1/11.11|up|up|HSI 1VE11C - CAS1MB
