shelfname|interface|portoperationalstate|protocol|info1
RET5MU|100GE3/1/0|down|down|
RET5MU|100GE4/1/0|down|down|
RET5MU|Eth-Trunk3|up|down|LAG SDH 60RET11_G19/1-G19/2
RET5MU|Eth-Trunk3.20110005|up|up|INTEGRA - GENDARMERIA NACIONAL - Ref:751434 - Lin:2840913- Acc:SDH
RET5MU|Eth-Trunk4|up|down|CONEXION SDH 60RET11_G16/1-G16/2 9705064/5
RET5MU|Eth-Trunk4.16070002|up|up|INTEGRA 10M - BREMBO ARGENTINA SA - REF:262691 - L:2719345 ACC:42RTE01
RET5MU|GE0/0/0|down|down|
RET5MU|GE1/0/0|up|down|INTEGRA - TEMPLETON ASSET MANAGEMENT - REF: 315141 - LINEA: 2740204
RET5MU|GE1/0/0.531|up|up|INTEGRA - TEMPLETON ASSET MANAGEMENT - REF: 315141 - LINEA: 2740204
RET5MU|GE1/0/1|down|down|
RET5MU|GE1/0/2|up|down|615791-Integra50M + 248342-VPN DEFENSORIA
RET5MU|GE1/0/2.343|up|up|MIN.PUBLICO DE LA DEFENSA DEFENSORIA GRAL.DE LA NACION - Servicio Platinium. Ref.248342 Linea. 2713153
RET5MU|GE1/0/2.561|up|up|615791-Integra50M-DEFENSORIA
RET5MU|GE1/0/3|up|down|INTEGRA + VPN PLATINUM - OSPRERA - Ref:239234/237751 Lin:2709717
RET5MU|GE1/0/3.246|up|up|VPN PLATINUM - OSPRERA - Ref:237751 Lin:2709717
RET5MU|GE1/0/3.249|up|up|INTEGRA - OSPRERA - REF: 239234 - LINEA: 2709717 - PEAKFLOW
RET5MU|GE1/0/4|up|down|
RET5MU|GE1/0/4.16|up|up|TIP_Ref418809@TP_Metrocelda
RET5MU|GE1/0/4.24|up|up|VPN PLATINUM - ARCOR - Ref:217656 Lin:2702757
RET5MU|GE1/0/5|down|down|INTEGRA - SUPERLIGA PROFESIONAL DEL FUTBOL ARGENTINO ASOCIACION CIVIL    -  ref 886602
RET5MU|GE1/0/5.5|down|down|INTEGRA - SUPERLIGA PROFESIONAL DEL FUTBOL ARGENTINO ASOCIACION CIVIL    -  ref 886602
RET5MU|GE1/0/6|up|down|Integra Platinum - MBA - 585594 - 2768260
RET5MU|GE1/0/6.33|up|up|Integra Platinum - MBA - 585594 - 2768260
RET5MU|GE1/0/7|down|down|INTEGRA - REGUS BUSSINES CENTRE - Ref:270258 Lin:2726786
RET5MU|GE1/0/7.26|down|down|INTEGRA - REGUS BUSSINES CENTRE - Ref:270258 Lin:2726786
RET5MU|GE1/0/7.27|down|down|INTEGRA - GESTION SW - REGUS BUSSINES CENTRE - Ref:270258 Lin:2726786
RET5MU|GE1/0/8|up|down|
RET5MU|GE1/0/9|down|down|DDE IP - RED LINK - REF: 946005 - LINEA: 2870024 - ACC: 1/0/9
RET5MU|GE1/0/9.2|down|down|DDE IP - RED LINK - REF: 946005 - LINEA: 2870024 - ACC: 1/0/9
RET5MU|GE1/0/10|up|down|INTEGRA - REGUS BUSSINES CENTRE - Ref:218512/319220 Lin:2702947/2742220
RET5MU|GE1/0/10.36|up|up|INTEGRA - REGUS BUSSINES CENTRE - Ref:218512 Lin:2702947
RET5MU|GE1/0/10.37|up|up|GESTION - - REGUS BUSSINES CENTRE - Ref:218512 Lin:2702947
RET5MU|GE1/0/10.567|up|up|INTEGRA - REGUS BUSSINES CENTRE - Ref:319220 Lin:2742220
RET5MU|GE1/0/11|up|down|LAN TO LAN - BANCO PATAGONIA - REF:217636 - LIN:2706002
RET5MU|GE1/0/11.2|up|up|LAN TO LAN - BANCO PATAGONIA - REF:217636 - LIN:2706002 GESTION
RET5MU|GE1/0/11.200|up|up|LAN TO LAN - BANCO PATAGONIA - REF:217636 - LIN:2706002 - ELAN_98026_1376
RET5MU|GE1/0/12|down|down|L2L + INTEGRA - PRICEWATERHOUSE & CO - Ref:254045/667898 Lin:2715300/2715300
