shelfname|interface|portoperationalstate|protocol|info1
RIF1MU|Eth-Trunk0|up|down|
RIF1MU|Eth-Trunk0.4053|up|up|Enlace a BBL2MU_Eth-Trunk5.4053
RIF1MU|Eth-Trunk1|down|down|
RIF1MU|GE0/0/0|down|down|
RIF1MU|GE0/1/0|down|down|AbisoIP BSCRGL1 NWI-E 1 Port 13
RIF1MU|GE0/1/0.352|down|down|AbisoIP BSCRGL1 NWI-E 1 Port 13
RIF1MU|GE0/1/1|up|down|VPN GECOMTEL OC Rio Gallegos + eNODOB COMERCIAL SID_012 - Refe:430515/445029/761721
RIF1MU|GE0/1/1.22|up|up|GESTION CPE OC TP RIO GALLEGOS - MICROCELDA + VPN GECOMTEL - Ref:430515/445029/761721
RIF1MU|GE0/1/1.40|up|up|VPN GECOMTEL OC TP Rio Gallegos - Refe:430515
RIF1MU|GE0/1/1.1010|up|up|eNODOB - COMERCIAL_RIO_GALLEGOS - SID_012 - (1) (445029) - S1
RIF1MU|GE0/1/1.1011|up|up|eNODOB - COMERCIAL_RIO_GALLEGOS - SID_012 - (2) (445029) - S1MME
RIF1MU|GE0/1/1.1012|up|up|eNODOB - COMERCIAL_RIO_GALLEGOS - SID_012 - (3) (445029) - GOMRAN
RIF1MU|GE0/1/1.1013|up|up|NODOB - COMERCIAL_RIO_GALLEGOS - SID_012 - (1) (761721) - 3G
RIF1MU|GE0/1/1.1020|up|down|eNODOB - COMERCIAL_RIO_GALLEGOS - SID_012 - (3) (445029) - GOMRAN
RIF1MU|GE0/1/2|up|down|VPN - La_Caja - Ref: 738868 - Linea: 2834587
RIF1MU|GE0/1/2.60|up|up|VPN - La_Caja - Ref: 738868 - Linea: 2834587
RIF1MU|GE0/1/3|up|down|eNODOB RIO_GALLEGOS_CENTRO - A25-Z017 (430421) NODOB (761700) (761696)
RIF1MU|GE0/1/3.1000|up|up|eNODOB - RIO_GALLEGOS_CENTRO - A25-Z017 - (1) (430421) - S1
RIF1MU|GE0/1/3.1001|up|up|eNODOB - RIO_GALLEGOS_CENTRO - A25-Z017 - (2) (430421) - S1MME
RIF1MU|GE0/1/3.1002|up|up|eNODOB - RIO_GALLEGOS_CENTRO - A25-Z017 - (3) (430421) - GOMRAN
RIF1MU|GE0/1/3.1003|up|up|NODOB - RIO_GALLEGOS_CENTRO - A25-Z017 - (1) (761700) - 3G
RIF1MU|GE0/1/3.1004|up|up|NODOB - RIO_GALLEGOS_CENTRO - A25-Z017- (1) (761696) - 2G
