shelfname|interface|portoperationalstate|protocol|info1
SNW3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
SNW3MU|Eth-Trunk1.1021|down|down|VPN_17AMBA
SNW3MU|Eth-Trunk1.1043|down|down|VPN_GESTION_TX_1TAG
SNW3MU|Eth-Trunk1.1302|down|down|ELAN_3000157603_1302
SNW3MU|Eth-Trunk1.1566|down|down|ICORP_94355_1566
SNW3MU|Eth-Trunk1.1569|down|down|VPN_93463_1569
SNW3MU|Eth-Trunk1.1572|down|down|VPN_93463_1572
SNW3MU|Eth-Trunk1.1577|down|down|ELAN_93463_1577
SNW3MU|Eth-Trunk1.1584|down|down|ICORP_3000157603_1584
SNW3MU|Eth-Trunk1.1759|down|down|VPN_Tx_Gestion
SNW3MU|Eth-Trunk1.2246|down|down|VPN_93463_2246
SNW3MU|Eth-Trunk1.2363|down|down|ICORP_93981_2363
SNW3MU|Eth-Trunk1.2370|down|down|ELAN_93463_2370
SNW3MU|Eth-Trunk1.2515|down|down|VPN_93981_2515
SNW3MU|Eth-Trunk1.2786|down|down|ICORP_93981_2786
SNW3MU|Eth-Trunk1.2815|down|down|ICORP_93981_2815
SNW3MU|Eth-Trunk1.2863|down|down|VPN_93981_2863
SNW3MU|Eth-Trunk1.2890|down|down|VLAN Intraway Bariloche
SNW3MU|Eth-Trunk1.2891|down|down|VLAN telefonia Bariloche
SNW3MU|Eth-Trunk1.2892|down|down|NGN_93981_2892
SNW3MU|Eth-Trunk1.2893|down|down|NGN_93981_2893
SNW3MU|Eth-Trunk1.2894|down|down|NGN_93981_2894
SNW3MU|Eth-Trunk1.2934|down|down|VPN_93463_2934
SNW3MU|Eth-Trunk1.3031|down|down|VLAN A_SBC_GestionACME_temporal
SNW3MU|Eth-Trunk1.3068|down|down|ICORP_93981_3068
SNW3MU|Eth-Trunk1.3091|down|down|VPN_93981_3091
SNW3MU|Eth-Trunk1.3092|down|down|VPN_93981_3092
SNW3MU|Eth-Trunk1.3221|down|down|VPN_93981_3221
SNW3MU|Eth-Trunk1.3253|down|down|ICORP_93348_3253
SNW3MU|Eth-Trunk1.3990|down|down|VPN_LTE_AMBA17
SNW3MU|Eth-Trunk1.4075|down|down|GESTION_SNW2MA
SNW3MU|Eth-Trunk1.4082|down|down|GESTION_VGT1MS
SNW3MU|Eth-Trunk1.191720|down|down|HUAWEI, Eth-Trunk1.191720 Interface
SNW3MU|Eth-Trunk1.1584008|down|down|HUAWEI, Eth-Trunk1.1584008 Interface
SNW3MU|Eth-Trunk2|down|down|LAG A BCHROU01 TELLABS BCHRNC0 (Gi1/1/5 Gi4/0/5) (441578)
SNW3MU|Eth-Trunk2.1000|down|down|LAG A BCHROU01 TELLABS BCHRNC0 (Gi1/1/5 Gi4/0/5) (1) (441578) - 3G
SNW3MU|Eth-Trunk2.1001|down|down|LAG A BCHROU01 TELLABS BCHRNC0 (Gi1/1/5 Gi4/0/5) (2) (441578) - S1MME
SNW3MU|Eth-Trunk2.1002|down|down|LAG A BCHROU01 TELLABS BCHRNC0 (Gi1/1/5 Gi4/0/5) (3) (441578) - GOMRAN
SNW3MU|Eth-Trunk3|up|down|[TAT] LAG SDH 60BRL01_G20/2_G20/3- REF:60000445
SNW3MU|Eth-Trunk3.4082|up|up|[TAT] GESTION VGT1MS
SNW3MU|Eth-Trunk5|down|down|LAG A BSCBCH3 (Gi1/1/10 Gi4/1/10)(976323)
SNW3MU|Eth-Trunk5.1000|down|down|LAG A BSCBCH3 (Gi1/1/10 Gi4/1/10)(1) (976323) - 2G
SNW3MU|Eth-Trunk6|up|down|BSCBCH4 - Abis_A  (GI1/1/19 GI4/0/19)
SNW3MU|Eth-Trunk6.350|up|up|BSCBCH4 - Abis_A
SNW3MU|Eth-Trunk7|up|down|BSCBCH4 - Abis_B (GI1/1/18 GI4/0/18)
SNW3MU|Eth-Trunk7.351|up|up|BSCBCH4 - Abis_B
SNW3MU|Eth-Trunk8|up|down|BSCBCH4 - Gb (GI1/1/14 GI4/0/20)
SNW3MU|Eth-Trunk8.850|up|up|BSCBCH4 - Gb
SNW3MU|Eth-Trunk9|up|down|BSCBCH4 - A_UP A_CP (GI1/1/15 GI4/0/21)
SNW3MU|Eth-Trunk9.400|up|up|BSCBCH4 - A_UP
SNW3MU|Eth-Trunk9.450|up|up|BSCBCH4 - A_CP
SNW3MU|Eth-Trunk10|up|down|HUAWEI, Eth-Trunk10 Interface
SNW3MU|Eth-Trunk10.150|up|up|A BCHRNC02 - IuPS-CP_A
SNW3MU|Eth-Trunk10.880|up|up|A BCHRNC02 - IuPS-UP_A
SNW3MU|Eth-Trunk11|up|down|A BCHRNC02 - Iub-3G_A
SNW3MU|Eth-Trunk11.300|up|up|A BCHRNC02 - Iub-3G_A
SNW3MU|Eth-Trunk12|up|down|A BCHRNC02 - Iub-3G_B
SNW3MU|Eth-Trunk12.301|up|up|A BCHRNC02 - Iub-3G_B
SNW3MU|Eth-Trunk13|up|down|A BCHRNC02 - Iub-3G_C
SNW3MU|Eth-Trunk13.302|up|up|A BCHRNC02 - Iub-3G_C
SNW3MU|Eth-Trunk14|up|down|A BCHRNC02 - IuCS/Iur
SNW3MU|Eth-Trunk14.200|up|up|A BCHRNC02 - IuCS-UP
SNW3MU|Eth-Trunk14.250|up|up|A BCHRNC02 - IuCS-CP
SNW3MU|Eth-Trunk14.600|up|up|A BCHRNC02 - Iur-CP
SNW3MU|Eth-Trunk14.650|up|up|A BCHRNC02 - Iur-UP
SNW3MU|Eth-Trunk15|up|down|LAG SDH ALU 60BRL01_G16/3-G16/4
SNW3MU|Eth-Trunk15.2786|up|up|CMTS VGT41C - Internet - Linea 15004143
SNW3MU|Eth-Trunk15.2890|up|up|VLAN Intraway Bariloche
SNW3MU|Eth-Trunk15.2891|up|up|VLAN telefonia Bariloche
SNW3MU|Eth-Trunk16|up|down|ACCESO SEGURIZADO UMG8900 SNWG02
SNW3MU|Eth-Trunk16.2|up|up|SIGN. UMG8900 SNWG02 COOPERATIVAELEC BARILOCHE
SNW3MU|Eth-Trunk16.3|up|up|RTP UMG8900 SNWG02 COOPERATIVA ELEC BARILOCHE
