shelfname|interface|portoperationalstate|protocol|info1
SRT3MU|100GE5/0/0|up|up|Enlace 100G FO RSC1NA_G0/3/0/2 Linea:11004622 - UPLINK NA
SRT3MU|100GE5/0/1|down|down|
SRT3MU|100GE7/0/0|up|up|Enlace 100G FO IRD1NA_G0/14/0/6 Linea:11004621 - UPLINK NA
SRT3MU|100GE7/0/1|down|down|
SRT3MU|Eth-Trunk1|down|down|[LAG 10+10] EQUIPO-OLT SRTO01 NOKIA 7360 [GPON] L:11005730
SRT3MU|Eth-Trunk1.6|down|down|[IPTV] SRTO01 NOKIA 7360 [GPON] L:11005730 IGMP-PIM
SRT3MU|Eth-Trunk1.7|down|down|[DHCP] [IPTV] SRTO01 NOKIA 7360 [GPON] L:11005730
SRT3MU|Eth-Trunk1.30|down|down|[DATOS] SRTO01 NOKIA 7360 [GPON] L:11005730 [L2]
SRT3MU|Eth-Trunk1.2101|down|down|[GESTION] SRTO01 NOKIA 7360 [GPON] L:11005730
SRT3MU|Eth-Trunk1.2901|down|down|[TOIP] SRTO01 NOKIA 7360 [GPON] L:11005730
SRT3MU|GE0/0/0|down|down|
SRT3MU|GE1/0/0|up|down|[ACCESO HSI][VI] 29K11C XXXXXXX
SRT3MU|GE1/0/0.2101|up|up|[GESTION] 29K11C ALU 7330 [VDS2]
SRT3MU|GE1/0/0.3101|up|up|[TOIP] 29K11C ALU 7330 [VDS2]
SRT3MU|GE1/0/0.4101|up|up|[DATOS] 29K11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/1|down|down|ACCESO BGR31D L:9701831
SRT3MU|GE1/0/1.1|down|down|ACCESO BGR31D L:9701831
SRT3MU|GE1/0/2|up|down|[ACCESO HSI][VI] 2JS11C 11001612
SRT3MU|GE1/0/2.2101|up|up|[GESTION] 2JS11C ALU 7330 [VDS2]
SRT3MU|GE1/0/2.3101|up|up|[TOIP] 2JS11C ALU 7330 [VDS2]
SRT3MU|GE1/0/2.4101|up|up|[DATOS] 2JS11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/3|up|down|[ACCESO HSI][VI] SRT41D 9700469
SRT3MU|GE1/0/3.2101|up|up|[GESTION] SRT41D ZTE 9210 [ADS2]
SRT3MU|GE1/0/3.3101|up|up|[TOIP] SRT41D ZTE 9210 [ADS2]
SRT3MU|GE1/0/3.4101|up|up|[DATOS] SRT41D ZTE 9210 [ADS2][L2]
SRT3MU|GE1/0/4|up|down|INTEGRA - BOX / CUSTODIA DE ARCHIVOS - REF:773814 LIN:2841912 - TRZ45058 #4005 35:36
SRT3MU|GE1/0/4.17|up|up|INTEGRA - BOX / CUSTODIA DE ARCHIVOS - REF:773814 LIN:2841912 - TRZ45058 #4005 35:36
SRT3MU|GE1/0/5|up|down|[ACCESO HSI][VI] SRTF1D XXXXXXX
SRT3MU|GE1/0/5.2101|up|up|[GESTION] SRTF1D ZTE 9210 [ADS2]
SRT3MU|GE1/0/5.3101|up|up|[TOIP] SRTF1D ZTE 9210 [ADS2]
SRT3MU|GE1/0/5.4101|up|up|[DATOS] SRTF1D ZTE 9210 [ADS2][L2]
SRT3MU|GE1/0/6|up|down|[ACCESO HSI][VI] SRTG1D XXXXXXX
SRT3MU|GE1/0/6.2101|up|up|[GESTION] SRTG1D HUA 5600 [ADS2]
SRT3MU|GE1/0/6.3101|up|up|[TOIP] SRTG1D HUA 5600 [ADS2]
SRT3MU|GE1/0/6.4101|up|up|[DATOS] SRTG1D HUA 5600 [ADS2][L2]
SRT3MU|GE1/0/7|up|down|[ACCESO HSI][VI] 2QR11C 11001561
SRT3MU|GE1/0/7.2101|up|up|[GESTION] 2QR11C ALU 7330 [VDS2]
SRT3MU|GE1/0/7.3101|up|up|[TOIP] 2QR11C ALU 7330 [VDS2]
SRT3MU|GE1/0/7.4101|up|up|[DATOS] 2QR11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/8|up|down|INTEGRA - CENCOSUD - L:2825554 - REF:719231
SRT3MU|GE1/0/8.1|up|down|
SRT3MU|GE1/0/8.13|up|up|INTEGRA - CENCOSUD - L:2825554 - REF:719231
SRT3MU|GE1/0/9|up|down|- INTEGRA - OWENS - Ref:772960 - L:2841446 - SRT3MU 1/0/9
SRT3MU|GE1/0/9.12|up|up|- INTEGRA - OWENS - Ref:772960 - L:2841446 - SRT3MU 1/0/9
SRT3MU|GE1/0/10|up|down|[ACCESO HSI][VI] SRTC1D 11004127
SRT3MU|GE1/0/10.2101|up|up|[GESTION] SRTC1D HUA 5600 [ADS2]
SRT3MU|GE1/0/10.3101|up|up|[TOIP] SRTC1D HUA 5600 [ADS2]
SRT3MU|GE1/0/10.4101|up|up|[DATOS] SRTC1D HUA 5600 [ADS2][L2]
SRT3MU|GE1/0/11|up|down|[ACCESO HSI][VI] SRTD1D 11004128
SRT3MU|GE1/0/11.2101|up|up|[GESTION] SRTD1D HUA 5600 [ADS2]
SRT3MU|GE1/0/11.3101|up|up|[TOIP] SRTD1D HUA 5600 [ADS2]
SRT3MU|GE1/0/11.4101|up|up|[DATOS] SRTD1D HUA 5600 [ADS2][L2]
SRT3MU|GE1/0/12|up|down|[ACCESO HSI][VI] SRTE1D 11004129
SRT3MU|GE1/0/12.2101|up|up|[GESTION] SRTE1D HUA 5600 [ADS2]
SRT3MU|GE1/0/12.3101|up|up|[TOIP] SRTE1D HUA 5600 [ADS2]
SRT3MU|GE1/0/12.4101|up|up|[DATOS] SRTE1D HUA 5600 [ADS2][L2]
SRT3MU|GE1/0/13|down|down|INTEGRA - EDECA SA - REF:782698 LIN:2846955 - TRZ43819 #4006 63:64
SRT3MU|GE1/0/13.12|down|down|INTEGRA - EDECA SA - REF:782698 LIN:2846955 - TRZ43819 #4006 63:64
SRT3MU|GE1/0/14|up|down|ACCESO SRTM01 - LINEA 11001362
SRT3MU|GE1/0/14.1|up|up|HSI SRTM01 - RSC2MB
SRT3MU|GE1/0/14.10|up|up|HSI SRTM01 01 - RSC2MB
SRT3MU|GE1/0/14.11|up|up|HSI SRTM01 02 - RSC2MB
SRT3MU|GE1/0/14.12|up|up|HSI SRTM01 03 - RSC2MB
SRT3MU|GE1/0/15|down|down|
SRT3MU|GE1/0/16|up|down|[ACCESO HSI][VI] 29R11C XXXXXXX
SRT3MU|GE1/0/16.2101|up|up|[GESTION] 29R11C ALU 7330 [VDS2]
SRT3MU|GE1/0/16.3101|up|up|[TOIP] 29R11C ALU 7330 [VDS2]
SRT3MU|GE1/0/16.4101|up|up|[DATOS] 29R11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/17|up|down|[ACCESO HSI][VI] 29M11C 11001408
SRT3MU|GE1/0/17.2101|up|up|[GESTION] 29M11C ALU 7330 [VDS2]
SRT3MU|GE1/0/17.3101|up|up|[TOIP] 29M11C ALU 7330 [VDS2]
SRT3MU|GE1/0/17.4101|up|up|[DATOS] 29M11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/18|up|down|[ACCESO HSI][VI] 29N11C 11001409
SRT3MU|GE1/0/18.2101|up|up|[GESTION] 29N11C ALU 7330 [VDS2]
SRT3MU|GE1/0/18.3101|up|up|[TOIP] 29N11C ALU 7330 [VDS2]
SRT3MU|GE1/0/18.4101|up|up|[DATOS] 29N11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/19|up|down|[ACCESO HSI][VI] SRT51D XXXXXXX
SRT3MU|GE1/0/19.2101|up|up|[GESTION] SRT51D HUA 5600 [ADS2]
SRT3MU|GE1/0/19.3101|up|up|[TOIP] SRT51D HUA 5600 [ADS2]
SRT3MU|GE1/0/19.4101|up|up|[DATOS] SRT51D HUA 5600 [ADS2][L2]
SRT3MU|GE1/0/20|up|down|[ACCESO HSI][VI] 29Q11C 11001407
SRT3MU|GE1/0/20.2101|up|up|[GESTION] 29Q11C ALU 7330 [VDS2]
SRT3MU|GE1/0/20.3101|up|up|[TOIP] 29Q11C ALU 7330 [VDS2]
SRT3MU|GE1/0/20.4101|up|up|[DATOS] 29Q11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/21|up|down|[ACCESO HSI][VI] 29T11C 11001405
SRT3MU|GE1/0/21.2101|up|up|[GESTION] 29T11C ALU 7330 [VDS2]
SRT3MU|GE1/0/21.3101|up|up|[TOIP] 29T11C ALU 7330 [VDS2]
SRT3MU|GE1/0/21.4101|up|up|[DATOS] 29T11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/22|up|down|[ACCESO HSI][VI] 29S11C 11001404
SRT3MU|GE1/0/22.2101|up|up|[GESTION] 29S11C ALU 7330 [VDS2]
SRT3MU|GE1/0/22.3101|up|up|[TOIP] 29S11C ALU 7330 [VDS2]
SRT3MU|GE1/0/22.4101|up|up|[DATOS] 29S11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/0/23|up|down|[ACCESO HSI][VI] 29O11C 11001403
SRT3MU|GE1/0/23.2101|up|up|[GESTION] 29O11C ALU 7330 [VDS2]
SRT3MU|GE1/0/23.3101|up|up|[TOIP] 29O11C ALU 7330 [VDS2]
SRT3MU|GE1/0/23.4101|up|up|[DATOS] 29O11C ALU 7330 [VDS2][L2]
SRT3MU|GE1/1/0|up|down|[ACCESO HSI][VI] RW811C 110001268
SRT3MU|GE1/1/0.2101|up|up|[GESTION] RW811C ALU 7330 [VDS2]
SRT3MU|GE1/1/0.3101|up|up|[TOIP] RW811C ALU 7330 [VDS2]
SRT3MU|GE1/1/0.4101|up|up|[DATOS] RW811C ALU 7330 [VDS2][L2]
SRT3MU|GE1/1/1|up|down|[ACCESO HSI][VI] QZD11C 11001267
SRT3MU|GE1/1/1.2101|up|up|[GESTION] QZD11C ALU 7330 [VDS2]
