shelfname|interface|portoperationalstate|protocol|info1
VLD2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
VLD2MU|Eth-Trunk1|down|down|HUAWEI, Eth-Trunk1 Interface
VLD2MU|Eth-Trunk8|up|down|LAG 1+1 VLDM01 L 13001286
VLD2MU|Eth-Trunk8.6|up|up|IPTV VLDM01 IGMP-PIM
VLD2MU|Eth-Trunk8.7|up|up|[DHCP] [IPTV] VLDM01 HUA 5600T [GPON]
VLD2MU|Eth-Trunk8.10|up|up|HSI VLDM01_01 QINQ - COE1MB
VLD2MU|Eth-Trunk8.11|up|up|HSI VLDM01_02 - QINQ - COE1MB
VLD2MU|Eth-Trunk8.12|up|up|HSI VLDM01_03 - QINQ - COE1MB
VLD2MU|Eth-Trunk8.10016|up|up|HSI VLDM01 - COE1MB
VLD2MU|Eth-Trunk10|up|down|TIP_TIPPOWERTVVLD_REFE:335141(2861079)(5649713) 2x1Gb
VLD2MU|Eth-Trunk10.30|up|up|TIP_TIPPOWERTVVLD_REFE:335141(2861079)(5649713) 2x1Gb
VLD2MU|Eth-Trunk19|up|down|LAG 1+1 VAPG01 L 9704855
VLD2MU|Eth-Trunk19.1|up|up|HSI - VILLA ALLENDE - VAPG01 - Linea 9704855 - CEN1MB
VLD2MU|Eth-Trunk19.3|up|up|[RTP][SIGN] VAPG01 HUA 5000 [NGN]
VLD2MU|Eth-Trunk19.4|up|up|[GESTION][IPMB] VAPG01 HUA 5000 [NGN]
VLD2MU|Eth-Trunk19.5|up|up|[GESTION][PVM] VAPG01 HUA 5000 [NGN]
VLD2MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
VLD2MU|GE1/0/0|up|up|Enlace 10G FO COE1MB_G0/0/0/6 Linea:13002085 - UPLINK MSBNG
VLD2MU|GE1/0/1|up|up|Enlace 10G FO COE1MB_G0/2/0/18 Linea:13006600 - UPLINK MSBNG
VLD2MU|GE1/1/0|up|down|eNODOB VILLA_ALLENDE_ELPIDIO - A03-S818 (695108) NODOB (695109) (695110)
VLD2MU|GE1/1/0.1000|up|up|eNODOB - VILLA_ALLENDE_ELPIDIO -A03-S818 - (1) (695108) - S1
VLD2MU|GE1/1/0.1001|up|up|eNODOB - VILLA_ALLENDE_ELPIDIO -A03-S818 - (2) (695108) - S1MME
VLD2MU|GE1/1/0.1002|up|up|eNODOB - VILLA_ALLENDE_ELPIDIO -A03-S818 - (3) (695108) - GOMRAN
VLD2MU|GE1/1/0.1003|up|up|NODOB - VILLA_ALLENDE_ELPIDIO - A03-S818 - (1) (695109) - 3G
VLD2MU|GE1/1/0.1004|up|up|NODOB - VILLA_ALLENDE_ELPIDIO - A03-S818- (1) (695110) - 2G
VLD2MU|GE1/1/1|up|down|ADSL VLD31D - 9700451
VLD2MU|GE1/1/1.10013|up|up|HSI VLD31D - COE1MB
VLD2MU|GE1/1/2|up|down|ADSL VJDC01 - 13001182
VLD2MU|GE1/1/2.10251|up|up|HSI VJDC01 - COE1MB
VLD2MU|GE1/1/3|up|down|ADSL XKF11C - 13001202
VLD2MU|GE1/1/3.10015|up|up|HSI XKF11C - COE1MB
VLD2MU|GE1/1/4|down|down|HUAWEI, GigabitEthernet1/1/4 Interface
VLD2MU|GE1/1/5|up|down|NODOB eNODOB  VILLA_ALLENDE_YPF A03-S755 (522158) (522147)
VLD2MU|GE1/1/5.1000|up|up|eNODOB A03-S755 VILLA_ALLENDE_YPFVLD2MU (1) 522158 - S1
VLD2MU|GE1/1/5.1001|up|up|eNODOB A03-S755 VILLA_ALLENDE_YPFVLD2MU (2) 522158 - S1MME
VLD2MU|GE1/1/5.1002|up|up|eNODOB A03-S755 VILLA_ALLENDE_YPFVLD2MU (3) 522158 - GOMRAN
VLD2MU|GE1/1/5.1003|up|up|eNODOB A03-S755 VILLA_ALLENDE_YPFVLD2MU (1) 522158 - 3G
VLD2MU|GE1/1/5.1004|up|up|eNODOB A03-S755 VILLA_ALLENDE_YPFVLD2MU (1) 522147 - 2G
VLD2MU|GE1/1/6|up|down|ADSL VJA11C - 13000529
VLD2MU|GE1/1/6.10017|up|up|HSI VJA11C - COE1MB
VLD2MU|GE1/1/7|up|down|ADSL VJBC01 - 13000530
VLD2MU|GE1/1/7.10018|up|up|HSI VJBC01 - COE1MB
