shelfname|interface|portoperationalstate|protocol|info1
BUA1MB|BE1|up|up|[HRP] BUA1MB 1 [L3] [HSI]
BUA1MB|BE1.1|admin-down|admin-down|DSLAM PBA11D
BUA1MB|BE1.13000802|admin-down|admin-down|[DATOS] BUA22D HUA 5100 [ADSL]   
BUA1MB|BE1.13000803|admin-down|admin-down|[DATOS] BUA23D HUA 5100 [ADSL]   
BUA1MB|BE1.13004702|admin-down|admin-down|ADSL BAN32D - ZTE9800
BUA1MB|BE1.13004703|admin-down|admin-down|ADSL BAN33D - ZTE9800
BUA1MB|BE1.13004704|admin-down|admin-down|ADSL BAN34D - ZTE9800
BUA1MB|BE1.130102600|admin-down|admin-down| 
BUA1MB|BE1.1101020601|admin-down|admin-down| 
BUA1MB|BE1.1103025101|up|up|GESTION ADSL NJLM01 MA5600T
BUA1MB|BE1.1103085001|up|up|[GESTION] NJL31D ZTE 9800 [ADS2]   
BUA1MB|BE1.1104007201|up|down| 
BUA1MB|BE1.1201020601|admin-down|admin-down| 
BUA1MB|BE1.1203025101|up|up|[TOIP] NJLM01 HUA MA5600T [VDS2]
BUA1MB|BE1.1203085001|up|up|[TOIP] NJL31D ZTE 9800 [ADS2]
BUA1MB|BE1.1204007201|up|down| 
BUA1MB|BE1.1206003701|up|down| 
BUA1MB|BE1.1302003701|admin-down|admin-down| 
BUA1MB|BE1.1302020602|up|up|DSLAM KEN52D ZTE9800
BUA1MB|BE1.1302020603|up|up|DSLAM KEN53D ZTE9800
BUA1MB|BE1.1302020604|up|up|DSLAM KEN54D ZTE9800
BUA1MB|BE1.1303025101|up|up|[DATOS] NJLM01  HUA 5600_T [VDS2]
BUA1MB|BE1.1303085001|up|up|[DATOS] NJL31D HUA 5600 [ADS2]
BUA1MB|BE1.1304007201|up|down| 
BUA1MB|BE2|up|up|[HRP] BUA1MB 2 [L3] [HSI]
BUA1MB|BE2.11001202|admin-down|admin-down| 
BUA1MB|BE2.11001203|admin-down|admin-down| 
BUA1MB|BE2.1199294201|admin-down|admin-down|[GESTION] MUSG1D ZTE 9800 [ADS2]
BUA1MB|BE2.1202025601|up|up|[TOIP] MBKG01 ZTE 5200 [ADS2]
BUA1MB|BE2.1302025301|up|down| 
BUA1MB|BE2.1302025601|up|up|[DATOS] MBKG01 ZTE 5200 [ADS2]
BUA1MB|BE2.1302026001|up|down| 
BUA1MB|BE2.1304080202|up|up|DSLAM MAN12D HW5600
BUA1MB|BE2.1304080203|up|up|DSLAM MAN13D HW5600
