shelfname|interface|portoperationalstate|protocol|info1
MAN2MU|BE1|up|up|[ACCESO HSI][BE] MANN01 
MAN2MU|BE1.6|up|up|IPTV MANN01 IGMP-PIM
MAN2MU|BE1.7|up|up|[DHCP] [IPTV] MANN01 HUA 5600T [GPON]
MAN2MU|BE1.14|up|up|[DATOS] MANN01 14 HUA5600T [GPON][L3]
MAN2MU|BE1.15|up|up|[DATOS] MANN01 15 HUA5600T [GPON][L3]
MAN2MU|BE1.16|up|up|[DATOS] MANN01 16 HUA5600T [GPON][L3]
MAN2MU|BE1.16.pppoe4539|up|up| 
MAN2MU|BE1.16.pppoe9008|up|up| 
MAN2MU|BE1.16.pppoe9011|up|up| 
MAN2MU|BE1.16.pppoe9012|up|up| 
MAN2MU|BE1.16.pppoe9013|up|up| 
MAN2MU|BE1.16.pppoe9016|up|up| 
MAN2MU|BE1.16.pppoe9026|up|up| 
MAN2MU|BE1.16.pppoe9030|up|up| 
MAN2MU|BE1.16.pppoe9033|up|up| 
MAN2MU|BE1.16.pppoe9034|up|up| 
MAN2MU|BE1.16.pppoe9035|up|up| 
MAN2MU|BE1.16.pppoe9036|up|up| 
MAN2MU|BE1.16.pppoe9044|up|up| 
MAN2MU|BE1.16.pppoe9046|up|up| 
MAN2MU|BE1.16.pppoe9048|up|up| 
MAN2MU|BE1.16.pppoe9050|up|up| 
MAN2MU|BE1.16.pppoe9051|up|up| 
MAN2MU|BE1.16.pppoe9053|up|up| 
MAN2MU|BE1.16.pppoe9054|up|up| 
MAN2MU|BE1.16.pppoe9067|up|up| 
MAN2MU|BE1.16.pppoe9068|up|up| 
MAN2MU|BE1.16.pppoe9071|up|up| 
MAN2MU|BE1.16.pppoe9073|up|up| 
MAN2MU|BE1.16.pppoe9074|up|up| 
MAN2MU|BE1.16.pppoe9077|up|up| 
MAN2MU|BE1.16.pppoe9078|up|up| 
MAN2MU|BE1.16.pppoe9079|up|up| 
MAN2MU|BE1.16.pppoe9081|up|up| 
MAN2MU|BE1.16.pppoe9083|up|up| 
MAN2MU|BE1.16.pppoe9087|up|up| 
MAN2MU|BE1.16.pppoe9090|up|up| 
MAN2MU|BE1.16.pppoe9091|up|up| 
MAN2MU|BE1.16.pppoe9094|up|up| 
MAN2MU|BE1.16.pppoe9098|up|up| 
MAN2MU|BE1.16.pppoe9101|up|up| 
MAN2MU|BE1.16.pppoe9102|up|up| 
MAN2MU|BE1.16.pppoe9104|up|up| 
