shelfname|interface|portoperationalstate|protocol|info1
SNG2MU|BE1|up|up|[ACCESO HSI][BE] SNGM01 11002214
SNG2MU|BE1.2101|up|up|[GESTION] SNGM01 ALU 7302 [ADS2]
SNG2MU|BE1.3101|up|up|[TOIP] SNGM01 ALU 7302 [ADS2]
SNG2MU|BE1.4101|up|up|[DATOS] SNGM01 ALU 7302 [ADS2][L3]
SNG2MU|BE1.4101.pppoe1412|up|up| 
SNG2MU|BE1.4101.pppoe1812|up|up| 
SNG2MU|BE1.4101.pppoe1958|up|up| 
SNG2MU|BE1.4101.pppoe2098|up|up| 
SNG2MU|BE1.4101.pppoe2939|up|up| 
SNG2MU|BE1.4101.pppoe3086|up|up| 
SNG2MU|BE1.4101.pppoe3100|up|up| 
SNG2MU|BE1.4101.pppoe3503|up|up| 
SNG2MU|BE1.4101.pppoe3735|up|up| 
SNG2MU|BE1.4101.pppoe4041|up|up| 
SNG2MU|BE1.4101.pppoe4056|up|up| 
SNG2MU|BE1.4101.pppoe4297|up|up| 
SNG2MU|BE1.4101.pppoe4520|up|up| 
SNG2MU|BE1.4101.pppoe4536|up|up| 
SNG2MU|BE1.4101.pppoe4605|up|up| 
SNG2MU|BE1.4101.pppoe4627|up|up| 
SNG2MU|BE1.4101.pppoe4743|up|up| 
SNG2MU|BE1.4101.pppoe4756|up|up| 
SNG2MU|BE1.4101.pppoe4757|up|up| 
SNG2MU|BE1.4101.pppoe4843|up|up| 
SNG2MU|BE1.4101.pppoe4866|up|up| 
SNG2MU|BE1.4101.pppoe4893|up|up| 
SNG2MU|BE1.4101.pppoe4901|up|up| 
SNG2MU|BE1.4101.pppoe4916|up|up| 
SNG2MU|BE1.4101.pppoe4930|up|up| 
SNG2MU|BE1.4101.pppoe4937|up|up| 
SNG2MU|BE1.4101.pppoe4960|up|up| 
SNG2MU|BE1.4101.pppoe4964|up|up| 
SNG2MU|BE1.4101.pppoe4991|up|up| 
SNG2MU|BE1.4101.pppoe4997|up|up| 
SNG2MU|BE1.4101.pppoe5027|up|up| 
SNG2MU|BE1.4101.pppoe5050|up|up| 
SNG2MU|BE1.4101.pppoe5058|up|up| 
SNG2MU|BE1.4101.pppoe5059|up|up| 
SNG2MU|BE1.4101.pppoe5101|up|up| 
SNG2MU|BE1.4101.pppoe5109|up|up| 
SNG2MU|BE1.4101.pppoe5114|up|up| 
SNG2MU|BE1.4101.pppoe5126|up|up| 
SNG2MU|BE1.4101.pppoe5180|up|up| 
SNG2MU|BE1.4101.pppoe5199|up|up| 
SNG2MU|BE1.4101.pppoe5205|up|up| 
SNG2MU|BE1.4101.pppoe5252|up|up| 
SNG2MU|BE1.4101.pppoe5267|up|up| 
SNG2MU|BE1.4101.pppoe5271|up|up| 
