shelfname|interface|portoperationalstate|protocol|info1
TVJ2MU|BE1|up|up|[ACCESO HSI][BE] TVJ31
TVJ2MU|BE1.2101|up|up|[GESTION] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.3101|up|up|[TOIP] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.4101|up|up|[DATOS] TVJ31D HUA 5600 [ADS2][L3]
TVJ2MU|BE2|up|up|[ACCESO HSI][BE] 7SXG01 
TVJ2MU|BE2.2|up|up|[SIGN] 7SXG01 MA5616 [NGN] 13002618
TVJ2MU|BE2.3|up|up|[RTP] 7SXG01 MA5616 [NGN] 13002618
TVJ2MU|BE2.4|up|up|[GESTION] 7SXG01 MA5616 [NGN] 13002618
TVJ2MU|BE2.3101|up|up|[TOIP] 7SXG01 HUA 5616 [VDS2]
TVJ2MU|BE2.4101|up|up|[DATOS] 7SXG01 HUA 5616 [VDS2][L3]
TVJ2MU|BE3|up|up|[ACCESO HSI][BE] VCA31D 
TVJ2MU|BE3.2101|up|up|[GESTION] VCA31D HUA 5600 [ADS2]
TVJ2MU|BE3.3101|up|up|[TOIP] VCA31D HUA 5600 [ADS2]
TVJ2MU|BE3.4101|up|up|[DATOS] VCA31D HUA 5600 [ADS2][L3]
TVJ2MU|BE5|up|up|[ACCESO HSI][BE] TVJ51D 
TVJ2MU|BE5.2101|up|up|[GESTION] TVJ51D HUA 5600 [ADS2]
TVJ2MU|BE5.3101|up|up|[TOIP] TVJ51D HUA 5600 [ADS2]
TVJ2MU|BE5.4101|up|up|[DATOS] TVJ51D HUA 5600 [ADS2][L3]
TVJ2MU|BE5.4101.pppoe2557|up|up| 
TVJ2MU|BE5.4101.pppoe3114|up|up| 
TVJ2MU|BE5.4101.pppoe4130|up|up| 
TVJ2MU|BE5.4101.pppoe5034|up|up| 
TVJ2MU|BE5.4101.pppoe7367|up|up| 
TVJ2MU|BE5.4101.pppoe8506|up|up| 
TVJ2MU|BE5.4101.pppoe8744|up|up| 
TVJ2MU|BE5.4101.pppoe8758|up|up| 
TVJ2MU|BE5.4101.pppoe8769|up|up| 
