shelfname|interface|portoperationalstate|protocol|info1
ACD4MU|100GE2/0/0|up|up|Enlace 100G FO CEN1NA_G0/5/0/1 Linea:13005250 - UPLINK NA
ACD4MU|100GE2/0/1|down|down|
ACD4MU|100GE6/0/0|up|up|Enlace 100G FO COE1NA_G0/5/0/1 Linea:13005251 - UPLINK NA
ACD4MU|100GE6/0/1|down|down|
ACD4MU|Eth-Trunk1|down|down|[LAG 10+10] EQUIPO-OLT ACDN01 HUA 5800_T [GPON] L:13007442
ACD4MU|Eth-Trunk1.6|down|down|[IPTV] ACDN01 HUA 5800_T [GPON] IGMP-PIM L:13007442
ACD4MU|Eth-Trunk1.7|down|down|[DHCP] [IPTV] ACDN01 HUA 5800_T [GPON] L:13007442
ACD4MU|Eth-Trunk1.2101|down|down|[GESTION] ACDN01 HUA 5800_T [GPON] L:13007442
ACD4MU|Eth-Trunk1.3101|down|down|[TOIP] ACDN01 HUA 5800_T [GPON] L:13007442
ACD4MU|GE0/0/0|down|down|
ACD4MU|GE1/0/0|up|up|Gestion Central ACD20.Lin_13003937
ACD4MU|GE1/0/1|up|up|Gestion Central ACD40.Lin_13003939
ACD4MU|GE1/0/2|down|down|
ACD4MU|GE1/0/2.18|down|down|
ACD4MU|GE1/0/3|up|down|[ACCESO HSI][VI] XIW11C 11000900
ACD4MU|GE1/0/3.2101|up|up|[GESTION] XIW11C ALU 7330 [VDS2]
ACD4MU|GE1/0/3.3101|up|up|[TOIP] XIW11C ALU 7330 [VDS2]
ACD4MU|GE1/0/3.4101|up|up|[DATOS] XIW11C ALU 7330 [VDS2][L2]
ACD4MU|GE1/0/4|up|down|[ACCESO HSI][VI] 1A311C 13000708
ACD4MU|GE1/0/4.2101|up|up|[GESTION] 1A311C HUA 5616 [VDS2]
ACD4MU|GE1/0/4.3101|up|up|[TOIP] 1A311C HUA 5616 [VDS2]
ACD4MU|GE1/0/4.4101|up|up|[DATOS] 1A311C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/5|up|down|[ACCESO HSI][VI] 1A011C 13000705
ACD4MU|GE1/0/5.2101|up|up|[GESTION] 1A011C HUA 5616 [VDS2]
ACD4MU|GE1/0/5.3101|up|up|[TOIP] 1A011C HUA 5616 [VDS2]
ACD4MU|GE1/0/5.4101|up|up|[DATOS] 1A011C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/6|up|down|[ACCESO HSI][VI] A9M11C XXXXXXX
ACD4MU|GE1/0/6.2101|up|up|[GESTION] A9M11C HUA 5616 [VDS2]
ACD4MU|GE1/0/6.3101|up|up|[TOIP] A9M11C HUA 5616 [VDS2]
ACD4MU|GE1/0/6.4101|up|up|[DATOS] A9M11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/7|up|down|[ACCESO HSI][VI] XI111C 13000903
ACD4MU|GE1/0/7.2101|up|up|[GESTION] XI111C ALU 7330 [VDS2]
ACD4MU|GE1/0/7.3101|up|up|[TOIP] XI111C ALU 7330 [VDS2]
ACD4MU|GE1/0/7.4101|up|up|[DATOS] XI111C ALU 7330 [VDS2][L2]
ACD4MU|GE1/0/8|up|down|[ACCESO HSI][VI] A8V11C 13000403
ACD4MU|GE1/0/8.2101|up|up|[GESTION] A8V11C HUA 5616 [VDS2]
ACD4MU|GE1/0/8.3101|up|up|[TOIP] A8V11C HUA 5616 [VDS2]
ACD4MU|GE1/0/8.4101|up|up|[DATOS] A8V11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/9|up|down|[ACCESO HSI][VI] A8Z11C 13000349
ACD4MU|GE1/0/9.2101|up|up|[GESTION] A8Z11C HUA 5616 [VDS2]
ACD4MU|GE1/0/9.3101|up|up|[TOIP] A8Z11C HUA 5616 [VDS2]
ACD4MU|GE1/0/9.4101|up|up|[DATOS] A8Z11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/10|up|down|[ACCESO HSI][VI] XL111C 13001232
ACD4MU|GE1/0/10.2101|up|up|[GESTION] XL111C ALU 7330 [VDS2]
ACD4MU|GE1/0/10.3101|up|up|[TOIP] XL111C ALU 7330 [VDS2]
ACD4MU|GE1/0/10.4101|up|up|[DATOS] XL111C ALU 7330 [VDS2][L2]
ACD4MU|GE1/0/11|up|down|[ACCESO HSI][VI] A4X11C 11000339
ACD4MU|GE1/0/11.2101|up|up|[GESTION] A4X11C HUA 5616 [VDS2]
ACD4MU|GE1/0/11.3101|up|up|[TOIP] A4X11C HUA 5616 [VDS2]
ACD4MU|GE1/0/11.4101|up|up|[DATOS] A4X11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/12|up|down|[ACCESO HSI][VI] 1AQ11C 13000718
ACD4MU|GE1/0/12.2101|up|up|[GESTION] 1AQ11C HUA 5616 [VDS2]
ACD4MU|GE1/0/12.3101|up|up|[TOIP] 1AQ11C HUA 5616 [VDS2]
ACD4MU|GE1/0/12.4101|up|up|[DATOS] 1AQ11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/13|up|down|[ACCESO HSI][VI] 9XE11C 13000718
ACD4MU|GE1/0/13.2101|up|up|[GESTION] 9XE11C HUA 5616 [VDS2]
ACD4MU|GE1/0/13.3101|up|up|[TOIP] 9XE11C HUA 5616 [VDS2]
ACD4MU|GE1/0/13.4101|up|up|[DATOS] 9XE11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/14|up|down|[ACCESO HSI][VI] A8U11C 13000346
ACD4MU|GE1/0/14.2101|up|up|[GESTION] A8U11C HUA 5616 [VDS2]
ACD4MU|GE1/0/14.3101|up|up|[TOIP] A8U11C HUA 5616 [VDS2]
ACD4MU|GE1/0/14.4101|up|up|[DATOS] A8U11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/15|up|down|[ACCESO HSI][VI] 9XM11C 13000284
ACD4MU|GE1/0/15.2101|up|up|[GESTION] 9XM11C HUA 5616 [VDS2]
ACD4MU|GE1/0/15.3101|up|up|[TOIP] 9XM11C HUA 5616 [VDS2]
ACD4MU|GE1/0/15.4101|up|up|[DATOS] 9XM11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/16|up|down|[ACCESO HSI][VI] 1AG11C 13000284
ACD4MU|GE1/0/16.8|up|down|
ACD4MU|GE1/0/16.2101|up|up|[GESTION] 1AG11C HUA 5616 [VDS2]
ACD4MU|GE1/0/16.3101|up|up|[TOIP] 1AG11C HUA 5616 [VDS2]
ACD4MU|GE1/0/16.4101|up|up|[DATOS] 1AG11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/17|up|down|[ACCESO HSI][VI] A8P11C 13000342
ACD4MU|GE1/0/17.2101|up|up|[GESTION] A8P11C HUA 5616 [VDS2]
ACD4MU|GE1/0/17.3101|up|up|[TOIP] A8P11C HUA 5616 [VDS2]
ACD4MU|GE1/0/17.4101|up|up|[DATOS] A8P11C HUA 5616 [VDS2][L2]
ACD4MU|GE1/0/18|up|down|[ACCESO HSI][VI] XIM11C 13000284
ACD4MU|GE1/0/18.2101|up|up|[GESTION] XIM11C ALU 7330 [VDS2]
ACD4MU|GE1/0/18.3101|up|up|[TOIP] XIM11C ALU 7330 [VDS2]
ACD4MU|GE1/0/18.4101|up|up|[DATOS] XIM11C ALU 7330 [VDS2][L2]
ACD4MU|GE1/0/19|up|down|[ACCESO HSI][VI] XI311C 13000905
ACD4MU|GE1/0/19.2101|up|up|[GESTION] XI311C ALU 7330 [VDS2]
ACD4MU|GE1/0/19.3101|up|up|[TOIP] XI311C ALU 7330 [VDS2]
ACD4MU|GE1/0/19.4101|up|up|[DATOS] XI311C ALU 7330 [VDS2][L2]
ACD4MU|GE1/0/20|up|down|eNODOB CRDOBA_ALTA_CRDOBA - A03-S061 (422199) NODOB (683754) (683769)
ACD4MU|GE1/0/20.1000|up|up|eNODOB - CRDOBA_ALTA_CRDOBA - A03-S061 - (1) (422199) - S1
ACD4MU|GE1/0/20.1001|up|up|eNODOB - CRDOBA_ALTA_CRDOBA - A03-S061 - (2) (422199) - S1MME
ACD4MU|GE1/0/20.1002|up|up|eNODOB - CRDOBA_ALTA_CRDOBA - A03-S061 - (3) (422199) - GOMRAN
ACD4MU|GE1/0/20.1176|up|up|NODOB - CRDOBA_ALTA_CRDOBA - A03-S061 - (1) (683754) - 3G
ACD4MU|GE1/0/20.1177|up|up|NODOB - CRDOBA_ALTA_CRDOBA - A03-S061- (1) (683769) - 2G
ACD4MU|GE1/0/21|up|down|
ACD4MU|GE1/0/21.3|up|up|[RTP][SIGN] ACDG01 HUA 5000 [NGN]
ACD4MU|GE1/0/21.4|up|up|[GESTION][IPMB] ACDG01 HUA 5000 [NGN]
ACD4MU|GE1/0/21.5|up|up|[GESTION][PVM] ACDG01 HUA 5000 [NGN]
ACD4MU|GE1/0/22|up|down|[ACCESO HSI][VI] XIV11C 13000910
ACD4MU|GE1/0/22.2101|up|up|[GESTION] XIV11C HUA 5616 [VDS2]
