shelfname|interface|portoperationalstate|protocol|info1
BMO2MU|Eth-Trunk1|up|down|LAG 1+1 BMO11D 9702241
BMO2MU|Eth-Trunk1.2101|up|up|[GESTION] BMO11D HUA 5600 [ADS2]
BMO2MU|Eth-Trunk1.3101|up|up|[TOIP] BMO11D HUA 5600 [ADS2]
BMO2MU|Eth-Trunk1.3648|up|up|VPN Head Quarter - CENTRAL TERMICA GUEMES S.A. - Ref:650868 - Lin:2797989 - Acc:BMO11D 14/0
BMO2MU|Eth-Trunk1.3649|up|up|VPN-IP POLINOA S.A. Ref:196288 Lin:2711799 Acc:BMO11D 0/14/1
BMO2MU|Eth-Trunk1.3650|up|up|VPN Branch Office 1M - YPF SOCIEDAD ANONIMA - Referencia:790057 Linea:2850683 Acc:BMO11D 0/14/2
BMO2MU|Eth-Trunk1.3651|up|up|VPN Head Quarter - TENSOLITE SOCIEDAD ANONIMA - Ref:262905 Lin:2719322 Acc:BMO11D 00/14/03
BMO2MU|Eth-Trunk1.3652|up|up|VPN Head Quarter - Cliente EDESE - Ref 270910 Lin 2729136 Acc BMO11D-14-4
BMO2MU|Eth-Trunk1.3656|up|up|VPN GOLD - BANCO MACRO SA  - REF: 920740 - LIN: 2866344 - ACC: BMO11D 0/14/8-9
BMO2MU|Eth-Trunk1.3658|up|up|
BMO2MU|Eth-Trunk1.3846|up|up|INTEGRA MIN.MODERNIZACION - Ref:738617 - Linea:2834447 - Acc:BMO11D 0/14/6-7
BMO2MU|Eth-Trunk1.3848|up|up|GESTION - BANCO MACRO SA - REF: 920740 - LIN: 2866344 - ACC: BMO11D 0/14/8-9
BMO2MU|Eth-Trunk1.3852|up|up|IntegraLight - DI BACCO Y CIA SA - Ref:648299 - Lin:2797516 Acc:BMO11D 0-14-012
BMO2MU|Eth-Trunk1.3856|up|up|Ref656664@IntegraLight Acc:BMO11D
BMO2MU|Eth-Trunk1.3862|up|up|IntegraLight MUNICIPALIDAD DE LAS TALITAS Ref:731126 Lin:2829310 Acc:BMO11D 0/14/22-23
