shelfname|interface|portoperationalstate|protocol|info1
CLI4MU|100GE11/1/0|down|down|
CLI4MU|100GE13/1/0|down|down|
CLI4MU|Eth-Trunk10|up|down|ACCESO SEGURIZADO UMG8900 CLIU
CLI4MU|Eth-Trunk10.2|up|up|SIGN. UMG8900 CLIU CLINICAS
CLI4MU|Eth-Trunk10.3|up|up|RTP UMG8900 CLIU CLINICAS
CLI4MU|Eth-Trunk10.5|up|up|GESTION UMG8900 CLIU CLINICAS
CLI4MU|Eth-Trunk22|down|down|
CLI4MU|Eth-Trunk30|up|down|ENLACE-M 20G B2B A CLI1LSCORP Eth-Trunk6 (agrupa GE13/0/7 GE13/0/8) - SHELF1 - UPLINK MOVIL-EthCh
CLI4MU|Eth-Trunk30.2|up|up|CONEXION-M A CLI1LSCORP Eth6.2 - GESTION
CLI4MU|Eth-Trunk30.11|up|up|CONEXION-M A CLI1LSCORP Eth6.11 - VOZ
CLI4MU|Eth-Trunk30.17|up|up|CONEXION-M A CLI1LSCORP Eth6.17 - INTERNET
CLI4MU|Eth-Trunk30.23|up|up|CONEXION-M A CLI1LSCORP Eth6.23 - M2M CONTROL - (Jasper Control)
CLI4MU|Eth-Trunk30.60|up|up|CONEXION-M A CLI1LSCORP Eth6.60 - IU
CLI4MU|Eth-Trunk30.62|up|up|CONEXION-M A CLI1LSCORP Eth6.62 - GN
CLI4MU|Eth-Trunk30.71|up|up|CONEXION-M A CLI1LSCORP Eth6.71 - OAM
CLI4MU|Eth-Trunk30.74|up|up|CONEXION-M A CLI1LSCORP Eth6.74 - S1
CLI4MU|Eth-Trunk30.80|up|up|CONEXION-M A CLI1LSCORP Eth6.80 - LI
CLI4MU|Eth-Trunk30.1000|up|up|CONEXION-M A CLI1LSCORP Eth6.1000 - fcorpidr REF:892689 - (Hyperway)
CLI4MU|Eth-Trunk30.1001|up|up|CONEXION-M A CLI1LSCORP Eth6.1001 - NB-IOT
CLI4MU|Eth-Trunk30.1002|up|up|CONEXION-M A CLI1LSCORP Eth6.1002 - FCORP_BCKPSERVICES - (Hyperway)
CLI4MU|Eth-Trunk30.1003|up|up|CONEXION-M A CLI1LSCORP Eth6.1003 - ANSESAIR Ref 775957 - (Hyperway)
CLI4MU|Eth-Trunk30.1004|up|up|CONEXION-M A CLI1LSCORP Eth6.1004 - CAPTURA_PRISMA/AMEX/POSNET/PRISMA Ref 750073/779935/779937/947884 - (Hyperway)
CLI4MU|Eth-Trunk30.1005|up|up|CONEXION-M A CLI1LSCORP Eth6.1005 - CICERVECERA Ref 560800 - (Hyperway)
CLI4MU|Eth-Trunk30.1006|up|up|CONEXION-M A CLI1LSCORP Eth6.1006 - PROY_SIMOR Lin 7990102 - (Hyperway)
CLI4MU|Eth-Trunk30.1007|up|up|CONEXION-M A CLI1LSCORP Eth6.1007 - HAWK_TRACKER_SA Ref 250067 - (Hyperway)
