shelfname|interface|portoperationalstate|protocol|info1
ELD4MU|100GE4/0/0|up|up|Enlace 100G DWDM RES1NA_G0/16/0/2 Linea:11004945 - UPLINK NA
ELD4MU|100GE4/0/1|down|down|
ELD4MU|100GE5/0/0|up|up|Enlace 100G DWDM CTE1NA_G0/16/0/5 Linea:11004944 - UPLINK NA
ELD4MU|100GE5/0/1|down|down|
ELD4MU|Eth-Trunk1|up|down|LAG PTN HWI 75ELD01_5/1-G8/2
ELD4MU|Eth-Trunk1.36|up|down|
ELD4MU|Eth-Trunk1.102|up|up|HSI EDO31D - 11003336
ELD4MU|Eth-Trunk1.103|up|down|CONEXION 1/2 MTC31D HSI 11004009
ELD4MU|Eth-Trunk1.107|up|down|CONEXION 2/2 MTC31D HSI 11004009
ELD4MU|Eth-Trunk1.1217|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - GESTION SDH
ELD4MU|Eth-Trunk1.1218|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - DCN GESTION
ELD4MU|Eth-Trunk1.1220|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - SSPOPUSA
ELD4MU|Eth-Trunk1.1221|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - GOMRAN
ELD4MU|Eth-Trunk1.1222|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - S1MME
ELD4MU|Eth-Trunk1.1223|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - S1
ELD4MU|Eth-Trunk1.1224|up|up|ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - 3G
ELD4MU|Eth-Trunk1.1225|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - 2G
ELD4MU|Eth-Trunk1.1226|up|up|GESTION ATN910I ARISTOBULO_DEL_VALLE - ARV1MU - Linea 80002206 (Aristobulo del Valle - 1er de Mayo)
ELD4MU|Eth-Trunk1.1253|up|up|A ATN950B ARISTOBULO_DEL_VALLE - ARV1MU Gi0/1/0 - Linea 80002206 - UPLINK - RS_MOVISTAR
ELD4MU|Eth-Trunk1.11102|up|up|LAN TO LAN - RELEVAMIENTOS Y AUDITORIAS FISCALES SA - REF: 914965 - LINEA: 2866749 - ACC: 55PRP02-3-8-2
ELD4MU|Eth-Trunk1.11112|up|up|LAN TO LAN - RELEVAMIENTOS Y AUDITORIAS FISCALES SA - REF: 914961 - LINEA: 2866751 - ACC: 55MTO01-3-8-5
ELD4MU|Eth-Trunk1.12302|up|up|VPN PLATINUM - ALTO PARANA S.A. - REF: 941406 - LINEA: 2711749 - ACC: PZAT1
ELD4MU|Eth-Trunk1.14052|up|up|VPN PLATINUM - ALTO PARANA S.A. - REF: 941407 - LINEA: 64518 - ACC: 55PPI01/05/04
ELD4MU|Eth-Trunk1.1010004|*down|down|TIPRIDARV (5653011) Acceso: ARV1MU Gi0/1/5 Gestion
