shelfname|interface|portoperationalstate|protocol|info1
ESC3MU|100GE3/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/15/0/7 Linea:15008420 - UPLINK NA
ESC3MU|100GE5/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/3/0/2 Linea:15008421 - UPLINK NA
ESC3MU|Eth-Trunk1|up|down|Enlace a EKZ1MS
ESC3MU|Eth-Trunk1.336|*down|down|NGN EKZM01 - ADSL - Ref
ESC3MU|Eth-Trunk1.2032|*down|down|
ESC3MU|Eth-Trunk1.2287|up|down|
ESC3MU|Eth-Trunk1.2865|*down|down|DSLAM EKZ21D - ADSL - Ref 9703370
ESC3MU|Eth-Trunk1.2916|*down|down|HSI NT1G01 NT2G01 - BEL1MB 200.12
ESC3MU|Eth-Trunk1.3101|*down|down|[TOIP] NT3G01 HUA 5000 [ADS2]
ESC3MU|Eth-Trunk1.4087|up|up|GESTION_EKZ1MS
ESC3MU|Eth-Trunk1.4101|*down|down|[DATOS] NT3G01 HUA 5000 [ADS2][L2]
ESC3MU|Eth-Trunk1.12875|*down|down|AHDSL  EKZ31D - Linea 9703369
ESC3MU|Eth-Trunk1.22875|*down|down|GHDSL  EKZ31D - Linea 9703369
ESC3MU|Eth-Trunk1.29153|*down|down|[RTP][SIGN] NT2G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.29154|*down|down|[GESTION][IPMB] NT2G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.29155|*down|down|[GESTION][PVM] NT2G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.29193|*down|down|[RTP][SIGN] NT3G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.29194|*down|down|[GESTION][IPMB] NT3G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.29195|*down|down|[GESTION][PVM] NT3G01 HUA 5000 [NGN]
ESC3MU|Eth-Trunk1.10591000|*down|down|eNODOB - BBU1_EL_CAZADOR ESCOBAR_POSTE_11 - NPU419 (1) (701328) - S1
ESC3MU|Eth-Trunk1.10591001|*down|down|eNODOB - BBU1_EL_CAZADOR ESCOBAR_POSTE_11 - NPU419 (2) (701328) - S1MME
ESC3MU|Eth-Trunk1.10591002|*down|down|eNODOB -  BBU1_EL_CAZADOR ESCOBAR_POSTE_11 - NPU419 (3) (701328) - GOMRAN
ESC3MU|Eth-Trunk1.10591003|*down|down|NODOB -  BBU1_EL_CAZADOR ESCOBAR_POSTE_11 - NPU419 (1) (701327) - 3G
ESC3MU|Eth-Trunk1.10601000|*down|down|eNODOB - NEXTEL_EL_CAZADOR - ESC3MU 1/0/44 - NPU780 - (1) (755290) - S1
ESC3MU|Eth-Trunk1.10601001|*down|down|eNODOB - NEXTEL_EL_CAZADOR - ESC3MU 1/0/44 - NPU780 - (2) (755290) - S1MME
ESC3MU|Eth-Trunk1.10601002|*down|down|eNODOB - NEXTEL_EL_CAZADOR - ESC3MU 1/0/44 - NPU780 - (3) (755290) - GOMRAN
ESC3MU|Eth-Trunk1.10601003|*down|down|NODOB - NEXTEL_EL_CAZADOR - ESC3MU 1/0/44 - NPU780 - (1) (755278) - 3G
