shelfname|interface|portoperationalstate|protocol|info1
GEE1MU|GE0/0/0|down|down|
GEE1MU|GE0/1/0|up|down|FRONTERA  6T51MS
GEE1MU|GE0/1/0.2477|up|up|Gestion ATN910 6T51MS COTEL NORTE - Linea 15004705 - ACC: 5RGEE01 5/1
GEE1MU|GE0/1/0.14021000|up|up|eNODOB_VILLA_GESELL_EL_VELERO - A41-B542 (1) (521392) - S1 - ANT 6T51MS
GEE1MU|GE0/1/0.14021001|up|up|eNODOB_VILLA_GESELL_EL_VELERO - A41-B542 (2) (521392) - S1MME - ANT 6T51MS
GEE1MU|GE0/1/0.14021002|up|up|eNODOB_VILLA_GESELL_EL_VELERO - A41-B542 (3) (521392) - GOMRAN - ANT 6T51MS
GEE1MU|GE0/1/0.14021003|up|up|eNODOB_VILLA_GESELL_ELVELERO-  A41-B542 (1) (521364) (5701873) - 3G - ANT 6T51MS
GEE1MU|GE0/1/0.14021004|up|up|eNODOB_VILLA_GESELL_ELVELERO-  A41-B542 (1) (522319) - 2G - ANT 6T51MS
GEE1MU|GE0/1/0.23351000|up|up|eNODOB - VILLA_GESELL_ALAMEDA -  A41-B455 (1) (520652) - S1 - ANT 6T51MS
GEE1MU|GE0/1/0.23351001|up|up|eNODOB - VILLA_GESELL_ALAMEDA -  A41-B455 (2) (520652) - S1MME- ANT 6T51MS
GEE1MU|GE0/1/0.23351002|up|up|eNODOB - VILLA_GESELL_ALAMEDA -  A41-B455 (3) (520652) - GOMRAN - ANT 6T51MS
GEE1MU|GE0/1/0.23351003|up|up|eNODOB - VILLA_GESELL_ALAMEDA -  A41-B455 (1) (518431) - 3G - ANT 6T51MS
GEE1MU|GE0/1/0.23351004|up|up|eNODOB - VILLA_GESELL_ALAMEDA -  A41-B455 (1) (522316)  2G - ANT 6T51MS
GEE1MU|GE0/1/1|up|down|FRONTERA  6T41MS
GEE1MU|GE0/1/1.2470|up|up|Gestion ATN910 6T61MS COTEL MAR AZUL - Linea 15004703 - ACC: 5RGEE01 5/2
GEE1MU|GE0/1/1.2473|up|up|Gestion ATN910 6T41MS COTEL SUR - Linea 15004704 - ACC: 5RGEE01 5/2
GEE1MU|GE0/1/1.16511000|up|up|eNODOB - MAR AZUL BROWN A41-B644 (2) (521394) - S1 - ATN 6T61MS
GEE1MU|GE0/1/1.16511001|up|up|eNODOB - MAR AZUL BROWN A41-B644 (1) (521368)(5701874) - S1MME - ATN 6T61MS
GEE1MU|GE0/1/1.16511002|up|up|eNODOB - MAR AZUL BROWN A41-B644 (2) (521368)(5701874) - GOMRAN - ATN 6T61MS
GEE1MU|GE0/1/1.16511003|up|up|eNODOB - MAR AZUL BROWN A41-B644 (3) (521368)(5701874) - 3G - ATN 6T61MS
GEE1MU|GE0/1/1.16511004|up|up|eNODOB - MAR AZUL BROWN A41-B644 (1) (522314) - 2G - ATN 6T61MS
GEE1MU|GE0/1/1.23361000|up|up|NODOB - VILLA_GESELL_BOULEVAR -  A41-B541 (1) (521389) - S1 - ATN 6T41MS
GEE1MU|GE0/1/1.23361001|up|up|NODOB - VILLA_GESELL_BOULEVAR -  A41-B541 (2) (521389) - S1MME - ATN 6T41MS
GEE1MU|GE0/1/1.23361002|up|up|NODOB - VILLA_GESELL_BOULEVAR -  A41-B541 (3) (521389) - GOMRAN - ATN 6T41MS
GEE1MU|GE0/1/1.23361003|up|up|NODOB - VILLA_GESELL_BOULEVAR -  A41-B541 (3) (518434) - 3G - ATN 6T41MS
