shelfname|interface|portoperationalstate|protocol|info1
INP3MU|Eth-Trunk5|up|down|LAG 1+1 INPI1D L 11003963
INP3MU|Eth-Trunk5.1|up|up|HSI INPI1D - MUN1MB
INP3MU|Eth-Trunk18|up|down|LAG 1+1 INPC1D L 11003380
INP3MU|Eth-Trunk18.44|up|up|HSI INPC1D - CTE1MB
INP3MU|GE0/0/0|down|down|
INP3MU|GE1/0/0|up|down|CONEXION ADSL INP21D  Linea 9702133
INP3MU|GE1/0/0.64|up|up|CONEXION HSI INP21D - CTE1MB
INP3MU|GE1/0/1|down|down|CONEXION ADSL INP31D  Linea 9702132
INP3MU|GE1/0/1.65|down|down|CONEXION HSI INP31D - CTE1MB
INP3MU|GE1/0/2|up|down|CONEXION ADSL INP41D  Linea 9702709
INP3MU|GE1/0/2.66|up|up|CONEXION HSI INP41D - CTE1MB
INP3MU|GE1/0/3|up|down|CONEXION ADSL 75M11C  Linea 11002531
INP3MU|GE1/0/3.67|up|up|CONEXION HSI 75M11C - CTE1MB
INP3MU|GE1/0/4|up|down|CONEXION ADSL 75I11C  Linea 11002328
INP3MU|GE1/0/4.68|up|up|CONEXION HSI 75I11C - CTE1MB
INP3MU|GE1/0/5|up|down|CONEXION ADSL 75L11C  Linea 11002325
INP3MU|GE1/0/5.69|up|up|CONEXION HSI 75L11C - CTE1MB
INP3MU|GE1/0/6|up|down|CONEXION ADSL 75J11C  Linea 11002321
INP3MU|GE1/0/6.70|up|up|CONEXION HSI 75J11C - CTE1MB
INP3MU|GE1/0/7|up|down|CONEXION ADSL 75P11C  Linea 11002320
INP3MU|GE1/0/7.71|up|up|CONEXION HSI 75P11C - CTE1MB
INP3MU|GE1/0/8|up|down|CONEXION ADSL 75O11C  Linea 11002319
INP3MU|GE1/0/8.72|up|up|CONEXION HSI 75O11C - CTE1MB
INP3MU|GE1/0/9|up|down|CONEXION ADSL 75H11C  Linea 11002331
INP3MU|GE1/0/9.73|up|up|CONEXION HSI 75H11C - CTE1MB
INP3MU|GE1/0/10|up|down|ACCESO 75N11C - LINEA 11002317
INP3MU|GE1/0/10.74|up|up|HSI 75N11C - CTE1MB
INP3MU|GE1/0/11|up|down|ACCESO ADSL + GHDSL INP61D INDEPENDENCIA6
INP3MU|GE1/0/11.75|up|up|HSI INP61D - CTE1MB
INP3MU|GE1/0/11.3630|up|up|LDIP TASA L: 5653268 Ref: 336457
INP3MU|GE1/0/11.3648|up|up|PRESURIZACION INDEPENDENCIA URA - REF:943603 - ACC:INP61D 0/14/0
INP3MU|GE1/0/11.3652|up|up|VPN - SUPERMAX REF:648110 LIN:2796048 ACC:INP0-14-4
INP3MU|GE1/0/11.3654|up|up|VPN - SUPERMAX - REF:649713 LIN:2797277 Acc:INP61D-0-14-6
INP3MU|GE1/0/11.3655|up|up|VPN Branch Office - DILCAR - Ref:558194 Lin:2758869 Acc:INP61D/14/7
INP3MU|GE1/0/11.3658|up|up|VPN GOLD - BANCO PATAGONIA SA - REF: 144654 - LINEA: 2857682 - ACC: INP61D 14/10-11
INP3MU|GE1/0/11.3668|up|up|VPN GOLD - BNA - Ref:731506 - Linea:2829794 - Acc:INP61D 0/14/20
INP3MU|GE1/0/11.3814|up|up|Integra Light 512K - SUPERMAX SA - Ref:318493 Lin:2742550 Acc:INP61D15/6
INP3MU|GE1/0/11.3817|up|up|Integra Light 512K_OSCAR LEANDRO_Ref:276407 Lin:2728310 Acc:INP61D 0/15/009
INP3MU|GE1/0/11.3818|up|up|IntegraLight - JUFEC SA - Ref:640087 - Lin:2793287 Acc:INP61D SHDSL-0-15-10-11
INP3MU|GE1/0/11.3825|up|up|Integra Light 512k - SUPERMAX SA - Ref:318494 Lin:2742551 Acc:INP61D0-15-17
INP3MU|GE1/0/11.3832|up|up|Integra Light - AUDEC - Ref:567935 Lin:2762668 Acc:INP61D-15-24
INP3MU|GE1/0/11.3840|up|up|PRESURIZACION INDEPENDENCIA URA - REF:943603 - ACC:INP61D 0/14/0
INP3MU|GE1/0/11.3841|up|up|IntegraLight - KINDEBALUC YARI SEBASTIAN - Ref:649307 - Lin:2798131 Acc:INP61D SHDSL-0-14-001
