shelfname|interface|portoperationalstate|protocol|info1
MUS3MU|100GE3/0/0|up|up|Enlace 100G FO MUS1NA_G0/15/0/0 Linea:13007345 - UPLINK NA
MUS3MU|100GE6/0/0|up|up|INT  FO  100G  BUA1NA  Hu0/19/0/7  13003763  EDGE2-EDGE 
MUS3MU|100GE7/0/0|up|up|Enlace 100G FO BUA1NA_G0/19/0/6 Linea:13007344 - UPLINK NA
MUS3MU|100GE10/1/0|up|up|ENLACE-M 100G B2B A TUC1LSUP 100GE1/3/0/0 - CORE_HUAWEI_USER_PLANE - 1/1 - UPLINK MOVIL
MUS3MU|100GE13/1/0|down|down|
MUS3MU|100GE14/0/0|up|up|INT  FO  100G  MUS1NA  Hu0/19/0/2  13003762  EDGE2-EDGE 
MUS3MU|Eth-Trunk1|up|down|LAG PTN ALU 18TUC02_G18/2-G19/1
MUS3MU|Eth-Trunk1.104|up|up|DSLAM RSF21D 1/2 ADSL - Linea 13003721
MUS3MU|Eth-Trunk1.105|up|up|HSI RSF11D - 2/2 MUS1MB - Linea 9701238
MUS3MU|Eth-Trunk1.106|up|up|DSLAM RSF21D 2/2 ADSL -  Linea 13003721
MUS3MU|Eth-Trunk1.107|up|up|HSI RSF11D - 1/2 MUS1MB - Linea 9701238
MUS3MU|Eth-Trunk1.1201|*down|down|VPN - INTA - Ref:716870 - Linea:2824253
MUS3MU|Eth-Trunk1.1886|up|up|L2LBTLATAMSCANIA-REF:633327-Lin:2788636-ACC:5RADR01/07/GE_4-GES.TECO
MUS3MU|Eth-Trunk1.1951|up|up|GESTION Tx 5RTAD01-18 TAPIA REP TUCUMAN -Linea:70001139
MUS3MU|Eth-Trunk1.10041|up|up|ADSL 73YG01 MA5616 - MUS1MB 200.41
MUS3MU|Eth-Trunk1.11180|up|up|ADSL TRS11D HW5600 - MUS1MB - linea 13000087
MUS3MU|Eth-Trunk1.11203|up|up|HSI BJ2G01 - MUS1MB
MUS3MU|Eth-Trunk1.11464|up|up|HSI RFBG01 - MUS1MB
MUS3MU|Eth-Trunk1.11873|up|up|[RTP][SIGN] ADRG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.11874|up|up|[GESTION][IPMB] ADRG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.11875|up|up|[GESTION][PVM] ADRG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.13616|up|up|HSI 6MYG01- MUS1MB 200.40
MUS3MU|Eth-Trunk1.13618|up|up|HSI LNGG01 - MUS1MB
MUS3MU|Eth-Trunk1.13647|up|up|HSI NGN_AMZG01_HUAWEI MA5616 L 13006266
MUS3MU|Eth-Trunk1.13648|up|up|HSI NGN_DGLI01_HUAWEI-MA5600T_L 13002856
MUS3MU|Eth-Trunk1.13649|up|up|HSI NGN_SYVG01_HUAWEI-MA5600T_L13003326
MUS3MU|Eth-Trunk1.15023|up|up|INTEGRA - CH SISTEMAS SRL - REF: 742565 - LINEA: 2836909
MUS3MU|Eth-Trunk1.21180|up|up|GHDSL - TRS11D - Linea 13000087
MUS3MU|Eth-Trunk1.22015|up|up|INTEGRA - HILADO SA - REF: 668351 - LINEA: 2808025 - ACC: 5RADR01/05/02
MUS3MU|Eth-Trunk1.155069|up|up|INTEGRA - COVEMAT SRL - REF: 679848 - LINEA: 2814819 - ACC: 5CLFL01 2/01
MUS3MU|Eth-Trunk1.311563|up|up|[RTP][SIGN] RSFG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.311564|up|up|[GESTION][IPMB] RSFG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.311565|up|up|[GESTION][PVM] RSFG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.312032|up|up|[SIGN] BJ2G01 ZTE 5200 [NGN]
MUS3MU|Eth-Trunk1.312033|up|up|[RTP] BJ2G01 ZTE 5200 [NGN]
MUS3MU|Eth-Trunk1.312034|up|up|[GESTION] BJ2G01 ZTE 5200 [NGN]
MUS3MU|Eth-Trunk1.314643|up|up|[RTP][SIGN] RFBG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.314644|up|up|[GESTION][IPMB] RFBG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.314645|up|up|[GESTION][PVM] RFBG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.336162|up|up|[SIGN] 6MYG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.336163|up|up|[RTP] 6MYG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.336164|up|up|[GESTION] 6MYG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.336183|up|up|[RTP][SIGN] LNGG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.336184|up|up|[GESTION][IPMB] LNGG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.336185|up|up|[GESTION][PVM] LNGG01 HUA 5000 [NGN]
MUS3MU|Eth-Trunk1.336472|up|up|SIGN. NGN_AMZG01_HUAWEI MA5616 L 13006266
MUS3MU|Eth-Trunk1.336473|up|up|RTP NGN_AMZG01_HUAWEI MA5616 L 13006266
MUS3MU|Eth-Trunk1.336474|up|up|GESTION NGN_AMZG01_HUAWEI MA5616 L 13006266
MUS3MU|Eth-Trunk1.336482|up|up|SIGN. MA5600T NGN_DGLI01_HUAWEI-MA5600T_L 13002856
MUS3MU|Eth-Trunk1.336483|up|up|RTP MA5600T NGN_DGLI01_HUAWEI-MA5600T_L 13002856
MUS3MU|Eth-Trunk1.336484|up|up|GESTION MA5600T NGN_DGLI01_HUAWEI-MA5600T_L 13002856
MUS3MU|Eth-Trunk1.336492|up|up|[SIGN] SYVG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.336493|up|up|[RTP] SYVG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.336494|up|up|[GESTION] SYVG01 HUA 5600_T [NGN]
MUS3MU|Eth-Trunk1.380004|up|up|## INTEGRA - TRAPANI SRL - Ref:660235 - Lin:2803441 - Acc: 5RTUR01/05/GE_3 ##
MUS3MU|Eth-Trunk1.1073648|up|up|VPN GOLD - ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL - Ref:229472 Lin:2706666 Acc:RSF11D 0/14/0
MUS3MU|Eth-Trunk1.1073649|up|up|VPN - BANCO MACRO S.A. - REF:648324 - LIN:2796253 - ACC:RSF11D 0/14/1
MUS3MU|Eth-Trunk1.1073650|up|up|VPN Silver - IPS SALTA - Ref:244994 Lin:2711985 Acc:RSF11D-0/14/02-03
MUS3MU|Eth-Trunk1.1073652|*down|down|VPN GOLD EMDERSA Ref:34089 Lin:2712179 BW 1024K
MUS3MU|Eth-Trunk1.1073654|up|up|VPN SIVER 512K - NEWSTAR S.R.L. - Ref:253866 - Lin:2715213 Acc:RSF11D 00/14/06
MUS3MU|Eth-Trunk1.1073657|up|up|VPN Head Quarter - GASNOR - Ref 120066 Lin 2585047 Acc RSF11D-14-09
MUS3MU|Eth-Trunk1.1073661|up|up|PRESURIZACION ROSARIO DE LA FRONTERA - REF:943626 - ACC:RSF11D 0/14/13
MUS3MU|Eth-Trunk1.1073662|up|up|VPN Branch Office - BANCO MACRO SA-SIEMENS IT - Ref 871286 Lin 2855472 Acc:RSF11D 14-14
MUS3MU|Eth-Trunk1.1073666|up|up|VPN Head Quarter - Banco Nacion - Ref:539620 Lin:2752150 Acc:RSF11D 14-18
MUS3MU|Eth-Trunk1.1073668|up|up|REF_260912_Linea_2718183_ACC_RSF11D_14 20-21 V08 / H02 / 021-022
MUS3MU|Eth-Trunk1.1073674|up|up|VPN SILVER - SIGAR SA - Ref 645444 Linea 2796202 - Acceso RSF11D 14-26-27
MUS3MU|Eth-Trunk1.1073676|up|up|VPN SILVER - SIGAR SA - Ref 736242 Linea 2833070 - Acceso RSF11D 14-28-29
MUS3MU|Eth-Trunk1.1073840|up|up|VPN Head Quarter - ANSES - Ref:229472 Lin:2706666 Acc:RSF11D 0/14/0
MUS3MU|Eth-Trunk1.1073841|up|up|VPN - BANCO MACRO S.A. - Ref:648324 Lin:2796253 Acc:RSF11D 0/14/1-Gestion
MUS3MU|Eth-Trunk1.1073845|up|up|Ref 250131- Linea 2713752 Integra Light 512K Acceso RSF11D-0-14-005
MUS3MU|Eth-Trunk1.1073847|up|up|Integra Light 1M - CONSEJO PROFESIONAL DE CIENCIAS ECONOMICAS DE SALTA - Ref:661824 Lin:2806379 Acc:RSF11D 00/14/07
MUS3MU|Eth-Trunk1.1073848|up|up|Integra Light 1M - CONSEJO PROFESIONAL- Ref:255841 Lin:2716040 Acc:RSF11D 00/14/08
MUS3MU|Eth-Trunk1.1073849|up|up|VPN Head Quarter - GASNOR - Ref 120066 Lin 2585047 Acc RSF11D-14-09
MUS3MU|Eth-Trunk1.1073850|up|up|Integra Light 2M - EL CARMEN SA- Ref:661977 Lin:2804824 Acc:RSF11D 00/14/10y11
MUS3MU|Eth-Trunk1.1073852|up|up|Integra Light - BRINDAR SA - Ref:266977 Lin:2723269 Acc:RSF11D 0-14-12
MUS3MU|Eth-Trunk1.1073853|up|up|PRESURIZACION ROSARIO DE LA FRONTERA - REF:943626 - ACC:RSF11D 0/14/13
MUS3MU|Eth-Trunk1.1073856|up|up|Integra Light - NEWSTAR S.R.L. - Ref:548015 Lin:2755446 Acc:RSF11D/14/16-17
MUS3MU|Eth-Trunk1.1073860|up|up|
MUS3MU|Eth-Trunk1.1073862|up|up|INTEGRALIGHT - 681470 - Ref.681470 - Acc:RSF11D 0/14/22y23
MUS3MU|Eth-Trunk1.1073864|up|up|INTEGRA LIGHT - SIGAR SA - Ref:543054 - Lin:2752408 - RSF11D 0/14/24-25
MUS3MU|Eth-Trunk1.1073870|up|up|INTEGRA LIGHT - Univ Salta - Ref:736851 Lin: 2834121
MUS3MU|Eth-Trunk1.10101000|up|up|eNODOB - EL_NARANJO - MUS3MU 11/0/1 - A11-S123 - (1) (526806) - S1
MUS3MU|Eth-Trunk1.10101001|up|up|eNODOB - EL_NARANJO - MUS3MU 11/0/1 - A11-S123 - (2) (526806) - S1MME
MUS3MU|Eth-Trunk1.10101002|up|up|eNODOB - EL_NARANJO - MUS3MU 11/0/1 - A11-S123 - (3) (526806) - GOMRAN
MUS3MU|Eth-Trunk1.10101003|up|up|NODOB - EL_NARANJO - MUS3MU 11/0/1 - A11-S123 - (1) (526704) - 3G
MUS3MU|Eth-Trunk1.10101004|up|up|NODOB - EL_NARANJO - MUS3MU 11/0/1 - A11-S123 - (1) (526491) - 2G
MUS3MU|Eth-Trunk1.11803616|up|up|HYPERWAY HEAD QUARTER - CAJA POPULAR DE AHORROS DE TUC UMAN - REF: 245790 - LINEA: 2712298 - ACC: TRS11D 0/15/0
MUS3MU|Eth-Trunk1.11803617|up|up|HYPERWAY HEAD QUARTER - SISTEMA PROVINCIAL DE SALUD GO B.DE TUCUMAN - REF: 242548 - LINEA: 2711069 - ACC: TRS11D 0/15/1
MUS3MU|Eth-Trunk1.11803618|up|up|VPN Head Quarter - BANCO MCRO - Ref:920699 Lin:2866258 Acc: TRS11D 0-15-2Y3
MUS3MU|Eth-Trunk1.11803808|up|up|GESTION HYPERWAY HEAD QUARTER - CAJA POPULAR DE AHORROS DE TUC UMAN - REF: 245790 - LINEA: 2712298 - ACC: TRS11D 0/15/0
MUS3MU|Eth-Trunk1.11803810|up|up|VPN Head Quarter - BANCO MACRO - Ref:920699 Lin:2866258 Acc: TRS11D 0-15-2Y3 GESTION
MUS3MU|Eth-Trunk1.11803813|up|up|IntegraLight - GUERRA MARIA CELIA - Ref:653085 - Lin:2799389 Acc:TRS11D SHDSL-0-15-005
MUS3MU|Eth-Trunk1.11803814|up|up|INTEGRA - SISTEMA PROVINCIAL DE SALUD GO B.DE TUCUMAN - REF: 637612 - LINEA: 2789805 - ACC: TRS11D 0/15/06
MUS3MU|Eth-Trunk1.12010067|up|up|VPN - INTA - REF: 716870 - LINEA: 2824253 - ACC: 5RTRA01/05/ MUST1 - TRST1 - PW_ETH - 3
MUS3MU|Eth-Trunk1.12010068|up|up|VPN - INTA - REF: 716870 - LINEA: 2824253 - GESTION - ACC: 5RTRA01/05/ MUST1 - TRST1 - PW_ETH - 3
MUS3MU|Eth-Trunk1.12020002|up|up|### VPN REFINOR - REF:784474 VILLA TRANCAS-  acc: 5RTRA01/05/GE_7 - SWITCH EN CENTRAL ### ###
MUS3MU|Eth-Trunk1.12040002|up|up|### VPN REFINOR - REF:784480 TAPIA - Acc:5RTAD01/05/GE_3 <-->  18TUC02/18/02 SWITCH EN CENTRAL ###
MUS3MU|Eth-Trunk1.12051000|up|up|eNODOB - TUCUMAN_ALDERETES_5 - MUS3MU 11/0/1 - A11-S529 - (1) (755570) - S1
MUS3MU|Eth-Trunk1.12051001|up|up|eNODOB - TUCUMAN_ALDERETES_5 - MUS3MU 11/0/1 - A11-S529 - (2) (755570) - S1MME
MUS3MU|Eth-Trunk1.12051002|up|up|eNODOB - TUCUMAN_ALDERETES_5 - MUS3MU 11/0/1 - A11-S529 - (3) (755570) - GOMRAN
MUS3MU|Eth-Trunk1.12051003|up|up|NODOB - TUCUMAN_ALDERETES_5 - MUS3MU 11/0/1 - A11-S529 - (1) (755571) - 3G
MUS3MU|Eth-Trunk1.12051004|up|up|NODOB - TUCUMAN_ALDERETES_5 - MUS3MU 11/0/1 - A11-S529 - (1) (755572) - 2G
MUS3MU|Eth-Trunk1.12060002|*down|down|LDIP_TASA_Ref:871603 >>> vuelco a BAN1MU
MUS3MU|Eth-Trunk1.12071000|up|up|eNODOB - TAPIA - MUS3MU 11/0/1 - A11-S586 - (1) (760685) - S1
MUS3MU|Eth-Trunk1.12071001|up|up|eNODOB - TAPIA - MUS3MU 11/0/1 - A11-S586 - (2) (760685) - S1MME
MUS3MU|Eth-Trunk1.12071002|up|up|eNODOB - TAPIA - MUS3MU 11/0/1 - A11-S586 - (3) (760685) - GOMRAN
MUS3MU|Eth-Trunk1.12071003|up|up|NODOB - TAPIA - MUS3MU 11/0/1 - A11-S586 - (1) (760686) - 3G
MUS3MU|Eth-Trunk1.12071004|up|up|NODOB - TAPIA - MUS3MU 11/0/1 - A11-S586 - (1) (760688) - 2G
MUS3MU|Eth-Trunk1.12091000|up|up|eNODOB - LOS_NOGALES_2 - MUS3MU 11/0/1 - A11-S418 - (1) (763651) - S1
MUS3MU|Eth-Trunk1.12091001|up|up|eNODOB - LOS_NOGALES_2 - MUS3MU 11/0/1 - A11-S418 - (2) (763651) - S1MME
MUS3MU|Eth-Trunk1.12091002|up|up|eNODOB - LOS_NOGALES_2 - MUS3MU 11/0/1 - A11-S418 - (3) (763651) - GOMRAN
MUS3MU|Eth-Trunk1.12091003|up|up|NODOB - LOS_NOGALES_2 - MUS3MU 11/0/1 - A11-S418 - (1) (763653) - 3G
MUS3MU|Eth-Trunk1.12091004|up|up|NODOB - LOS_NOGALES_2 - MUS3MU 11/0/1 - A11-S418 - (1) (763654) - 2G
MUS3MU|Eth-Trunk1.12101000|up|up|eNODOB - TUCUMAN_ALDERETES_8 - MUS3MU 11/0/1 - A11-S532 - (1) (766043) - S1
MUS3MU|Eth-Trunk1.12101001|up|up|eNODOB - TUCUMAN_ALDERETES_8 - MUS3MU 11/0/1 - A11-S532 - (2) (766043) - S1MME
MUS3MU|Eth-Trunk1.12101002|up|up|eNODOB - TUCUMAN_ALDERETES_8 - MUS3MU 11/0/1 - A11-S532 - (3) (766043) - GOMRAN
