shelfname|interface|portoperationalstate|protocol|info1
NOA3MU|100GE5/0/0|up|up|Enlace: 100G DWDM :MUN1NA:_G0/16/0/0 Linea:15008205 - UPLINK NA
NOA3MU|100GE6/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/16/0/4 Linea:15008204 - UPLINK NA
NOA3MU|Eth-Trunk1|up|down|CNX:ACCESO: CMT1.NOR1-CBR8 (4/0/10 + 4/0/11+ 5/1/8 + 5/1/9)
NOA3MU|Eth-Trunk1.3011|up|up|CNX:DATOS:CMT1.NOR1-CBR8
NOA3MU|Eth-Trunk1.3031|up|up|CNX:CONTROL:CMT1.NOR1-CBR8
NOA3MU|Eth-Trunk1.3161|up|up|CNX:TOIP:CMT1.NOR1-CBR8
NOA3MU|Eth-Trunk1.3181|up|up|CNX:MULTICAST:CMT1. NOR1-CBR8
NOA3MU|GE0/0/0|down|down|
NOA3MU|GE1/0/0(10G)|up|down|[ACCESO HSI][VI] NOAP01 15005389
NOA3MU|GE1/0/0.6|up|up|IPTV NOAP01 IGMP-PIM
NOA3MU|GE1/0/0.7|up|up|[DHCP] [IPTV] NOAP01 HUA 5600T [GPON]
NOA3MU|GE1/0/0.10|up|up|[DATOS] NOAP01 10 HUA 5600_T [GPON][L2]
NOA3MU|GE1/0/0.11|up|up|[DATOS] NOAP01 11 HUA 5600_T [GPON][L2]
NOA3MU|GE1/0/0.12|up|up|[DATOS] NOAP01 12 HUA 5600_T [GPON][L2]
NOA3MU|GE1/0/0.2101|up|up|[GESTION] NOAP01 HUA 5600_T [GPON]
NOA3MU|GE1/0/0.3101|up|up|[TOIP] NOAP01 HUA 5600_T [GPON]
NOA3MU|GE1/0/0.4101|up|up|[DATOS] NOAP01 HUA 5600_T [GPON][L2]
NOA3MU|GE1/0/1(10G)|up|up|Enlace 10G FO 9XW1MU_G 0/3/0 Linea:15007050 - UPLINK AGN
NOA3MU|GE1/1/0|up|down|
NOA3MU|GE1/1/1|*down|down|
NOA3MU|GE1/1/2|up|down|LAN-TO-LAN- CONTACTO GARANTIDO S.A.  - Ref: 875155
NOA3MU|GE1/1/2.4|up|up|LAN-TO-LAN- CONTACTO GARANTIDO S.A.  - Ref: 875155
NOA3MU|GE1/1/2.8|up|up|LAN-TO-LAN- CONTACTO GARANTIDO S.A.  - Ref: 875155 GESTION
NOA3MU|GE1/1/2.134|up|down|
NOA3MU|GE1/1/3|up|down|[ACCESO HSI][VI] BYAG01 XXXXXXX
NOA3MU|GE1/1/3.57|up|up|GHDSL - ZTE BARRIO EL PALMAR -BYAG01- Linea 15000695
NOA3MU|GE1/1/3.3101|up|up|[TOIP] BYAG01 HUA 5000 [ADS2]
NOA3MU|GE1/1/3.3550|up|up|NGN - ZTE BARRIO EL PALMAR -BYAG01- Linea 15000695
NOA3MU|GE1/1/3.4101|up|up|[DATOS] BYAG01 HUA 5000 [ADS2][L2]
NOA3MU|GE1/1/4|up|down|[ACCESO HSI][VI] NDMG01 XXXXXXX
NOA3MU|GE1/1/4.3101|up|up|[TOIP] NDMG01 HUA 5000 [ADS2]
NOA3MU|GE1/1/4.3177|up|up|NGN - MIRAFLORES DE LA BAHIA -NDMG01- Linea 9704057
NOA3MU|GE1/1/4.4101|up|up|[DATOS] NDMG01 HUA 5000 [ADS2][L2]
NOA3MU|GE1/1/5|up|down|[ACCESO HSI][VI] NR2G01 15001959
NOA3MU|GE1/1/5.3101|up|up|[TOIP] NR2G01 ZTE 5200 [ADS2]
NOA3MU|GE1/1/5.3550|up|up|NGN - ZTE NORDELTA BOULEVARD PLAZA -NR2G01- Linea 15001959
NOA3MU|GE1/1/5.4101|up|up|[DATOS] NR2G01 ZTE 5200 [ADS2][L2]
