shelfname|interface|portoperationalstate|protocol|info1
RSS3MU|100GE4/0/0|up|up|Enlace 100G DWDM RSC1NA_G0/15/0/4 Linea:11004830 - UPLINK NA
RSS3MU|100GE5/0/0|up|up|Enlace 100G DWDM IRD1NA_G0/15/0/4 Linea:11004831 - UPLINK NA
RSS3MU|GE0/0/0|down|down|
RSS3MU|GE1/0/0|down|down|INTEGRA -  ALFONSO WALTER JAVIER    -  ref 772737
RSS3MU|GE1/0/0.17|down|down|INTEGRA -  ALFONSO WALTER JAVIER    -  ref 772737
RSS3MU|GE1/0/1|up|down|[ACCESO HSI][VI] RSSE1D 11003985
RSS3MU|GE1/0/1.2101|up|up|[GESTION] RSSE1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/1.3101|up|up|[TOIP] RSSE1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/1.4101|up|up|[DATOS] RSSE1D ZTE 9210 [ADS2][L2]
RSS3MU|GE1/0/2|up|down|[ACCESO HSI][VI] RSSF1D 11003986
RSS3MU|GE1/0/2.2101|up|up|[GESTION] RSSF1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/2.3101|up|up|[TOIP] RSSF1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/2.4101|up|up|[DATOS] RSSF1D ZTE 9210 [ADS2][L2]
RSS3MU|GE1/0/3|up|down|[ACCESO HSI][VI] RSSG1D 11003987
RSS3MU|GE1/0/3.2101|up|up|[GESTION] RSSG1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/3.3101|up|up|[TOIP] RSSG1D ZTE 9210 [ADS2]
RSS3MU|GE1/0/3.4101|up|up|[DATOS] RSSG1D ZTE 9210 [ADS2][L2]
RSS3MU|GE1/0/4|up|down|ACCESO 5IEG01 - 11004119
RSS3MU|GE1/0/4.2|up|up|SIGN NGN 5IEG01 MA5616_ROSARIOS_L11004119
RSS3MU|GE1/0/4.3|up|up|RTP NGN 5IEG01 MA5616_ROSARIOS_L11004119
RSS3MU|GE1/0/4.4|up|up|GESTION NGN 5IEG01 MA5616_ROSARIOS_L11004119
RSS3MU|GE1/0/4.5|up|up|HSI 5IEG01 - RSC2MB
RSS3MU|GE1/0/5|up|down|INTEGRA - A B C  SA - Ref:787160 - Lin:2848973
RSS3MU|GE1/0/5.5|up|up|INTEGRA - A B C  SA - Ref:787160 - Lin:2848973
RSS3MU|GE1/0/6|up|down|NGN+ADSL -Hw -ROSARIO SUR -RSSG01- Linea 9003884
RSS3MU|GE1/0/6.3|up|up|[RTP][SIGN] RSSG01 HUA 5000 [NGN]
RSS3MU|GE1/0/6.4|up|up|[GESTION][IPMB] RSSG01 HUA 5000 [NGN]
RSS3MU|GE1/0/6.5|up|up|[GESTION][PVM] RSSG01 HUA 5000 [NGN]
RSS3MU|GE1/0/7|up|down|[ACCESO HSI][VI] 1GXG01 XXXXXXX
RSS3MU|GE1/0/7.2|up|up|SIGNALING NGN -ROSARIO SUR -1GXG01- L:11001104
RSS3MU|GE1/0/7.3|up|up|RTP NGN -ROSARIO SUR -1GXG01- L:11001104
RSS3MU|GE1/0/7.4|up|up|GESTION PVM NGN -ROSARIO SUR -1GXG01- L:11001104
RSS3MU|GE1/0/7.3101|up|up|[TOIP] 1GXG01 HUA 5616 [VDS2]
RSS3MU|GE1/0/7.4101|up|up|[DATOS] 1GXG01 HUA 5616 [VDS2][L2]
RSS3MU|GE1/0/8|up|down|NGN + ADSL - SARMIENTO 1955 -1DMG01- Linea 11001105
RSS3MU|GE1/0/8.1|up|up|HSI - SARMIENTO 1955 -1DMG01- Linea 11001105 - RSC2MB
RSS3MU|GE1/0/8.2|up|up|SIGN. - SARMIENTO 1955 -1DMG01- Linea 11001105
RSS3MU|GE1/0/8.3|up|up|RTP - SARMIENTO 1955 -1DMG01- Linea 11001105
RSS3MU|GE1/0/8.4|up|up|GESTION IPMB - SARMIENTO 1955 -1DMG01- Linea 11001105
RSS3MU|GE1/0/9|up|down|[ACCESO HSI][VI] EGX11C 11001189
RSS3MU|GE1/0/9.2101|up|up|[GESTION] EGX11C ALU 7330 [VDS2]
RSS3MU|GE1/0/9.3101|up|up|[TOIP] EGX11C ALU 7330 [VDS2]
RSS3MU|GE1/0/9.4101|up|up|[DATOS] EGX11C ALU 7330 [VDS2][L2]
RSS3MU|GE1/0/10|up|down|ACCESO ADSL A RSS51D - Linea 9704558
RSS3MU|GE1/0/10.1|up|up|HSI RSS51D - RSC2MB
RSS3MU|GE1/0/11|up|down|[ACCESO HSI][VI] RSS61D 9704559
RSS3MU|GE1/0/11.2101|up|up|[GESTION] RSS61D ZTE 9210 [ADS2]
RSS3MU|GE1/0/11.3101|up|up|[TOIP] RSS61D ZTE 9210 [ADS2]
RSS3MU|GE1/0/11.4101|up|up|[DATOS] RSS61D ZTE 9210 [ADS2][L2]
RSS3MU|GE1/0/12|up|down|ACCESO ADSL A RSS21D - Linea 9701182
RSS3MU|GE1/0/12.1|up|up|HSI RSS21D - RSC2MB
RSS3MU|GE1/0/13|up|down|[ACCESO HSI][VI] EJY11C 11001382
RSS3MU|GE1/0/13.2101|up|up|[GESTION] EJY11C ALU 7330 [VDS2]
RSS3MU|GE1/0/13.3101|up|up|[TOIP] EJY11C ALU 7330 [VDS2]
RSS3MU|GE1/0/13.4101|up|up|[DATOS] EJY11C ALU 7330 [VDS2][L2]
RSS3MU|GE1/0/14|up|down|[ACCESO HSI][VI] RSS91D 11000165
RSS3MU|GE1/0/14.95|up|up|GHDSL - RSS91D - Linea 11000165 - RSC2MB
RSS3MU|GE1/0/14.2101|up|up|[GESTION] RSS91D ZTE 9800 [ADS2]
RSS3MU|GE1/0/14.3101|up|up|[TOIP] RSS91D ZTE 9800 [ADS2]
RSS3MU|GE1/0/14.3656|*down|down|HYPERWAY BRANCH OFFICE - BANCO MUNICIPAL DE ROSARIO - REF: 590203 - LINEA: 2772987 - ACC: RSS91D 16/9-10
RSS3MU|GE1/0/14.3658|up|up|HYPERWAY BRANCH OFFICE - ARCORE S.A. - REF: 608415 - LINEA: 2785411 - ACC: RSS91D 16/11
RSS3MU|GE1/0/14.3668|up|up|Vpn Gold - La Caja - Ref:290433 - Acc:RSS91D-16-21/22
