shelfname|interface|portoperationalstate|protocol|info1
SAI2MU|100GE2/0/0|up|up|Enlace 100G FO CEN1NA_G0/14/0/5 Linea:13006527 - UPLINK NA
SAI2MU|100GE7/0/0|up|up|Enlace 100G FO COE1NA_G0/5/0/0 Linea:13006528 - UPLINK NA
SAI2MU|Eth-Trunk1|*down|down|ENTREAYUDA SAI1MA_ETH-1 - NO UTILIZAR
SAI2MU|Eth-Trunk1.658|down|down|G._SAI51D_SANTA_ISABEL5
SAI2MU|Eth-Trunk2|up|down|LAG 1+1 SAIE1D 13003697
SAI2MU|Eth-Trunk2.2101|up|up|[GESTION] SAIE1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk2.3101|up|up|[TOIP] SAIE1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk2.4101|up|up|[DATOS] SAIE1D ZTE 9800 [ADS2][L2]
SAI2MU|Eth-Trunk3|up|down|LAG 1+1 SAID1D 13003490
SAI2MU|Eth-Trunk3.2101|up|up|[GESTION] SAID1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk3.3101|up|up|[TOIP] SAID1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk3.4101|up|up|[DATOS] SAID1D ZTE 9800 [ADS2][L2]
SAI2MU|Eth-Trunk4|up|down|LAG 1+1 SAIF1D L13007231 13003698
SAI2MU|Eth-Trunk4.2101|up|up|[GESTION] SAIF1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk4.3101|up|up|[TOIP] SAIF1D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk4.4101|up|up|[DATOS] SAIF1D HUA 5000 [NGN][L2]
SAI2MU|Eth-Trunk5|up|down|SAI51D ZTE 9800 LAG 1+1
SAI2MU|Eth-Trunk5.2101|up|up|[GESTION] SAI51D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk5.3101|up|up|[TOIP] SAI51D ZTE 9800 [ADS2]
SAI2MU|Eth-Trunk5.3623|up|up|LDIP_TASA_BcoRio(2773496)_Acc:SAI51D_17_08
SAI2MU|Eth-Trunk5.3632|up|up|VPN Head Quarter - MinGobCba - Ref:568836 Lin:2761467 Acc:SAI51D 17 17/18
SAI2MU|Eth-Trunk5.3634|up|up|VPN Branch Office - FERROCONS - Ref 589670 Lin 2773706 Acc SAI51D-17-19-20
SAI2MU|Eth-Trunk5.3646|up|up|VPN Head Quarter - MinGobCba - Ref:568836 Lin:2761467 Acc:SAI51D 17 17/18
SAI2MU|Eth-Trunk5.3822|up|up|IntegraLight - INDUPAS S.R.L. - Ref:714547 - Lin:2778830 Acc:SAI51D SHDSL-1-1-17-15 4H
SAI2MU|Eth-Trunk5.3826|up|up|Integra Gold 2M - SANCHEZ MARTINEZ E HIJOS - Ref:570381Lin:2762207 Acc:SAI51D1-1-17-19y20
SAI2MU|Eth-Trunk5.3832|up|up|Integra Gold - BT - Ref:605168 Lin:v2778331 Acc:SAI51D 17 25 26
SAI2MU|Eth-Trunk5.4101|up|up|[DATOS] SAI51D ZTE 9800 [ADS2][L2]
SAI2MU|Eth-Trunk6|up|down|LAG 1+1 SIZG01 L 9702289 13007214
SAI2MU|Eth-Trunk6.3|up|up|[RTP][SIGN] SIZG01 HUA 5000 [NGN]
SAI2MU|Eth-Trunk6.4|up|up|[GESTION][IPMB] SIZG01 HUA 5000 [NGN]
SAI2MU|Eth-Trunk6.5|up|up|[GESTION][PVM] SIZG01 HUA 5000 [NGN]
SAI2MU|Eth-Trunk6.4101|up|up|[DATOS] SIZG01 HUA 5000 [NGN][L2]
SAI2MU|Eth-Trunk8|up|down|LAG 1+1 SAIM01 L 13001249
SAI2MU|Eth-Trunk8.6|up|up|IPTV SAIM01 IGMP-PIM
SAI2MU|Eth-Trunk8.7|up|up|[DHCP] [IPTV] SAIM01 HUA 5600T [GPON]
SAI2MU|Eth-Trunk8.10|up|up|HSI SAIM01_01 QINQ - CEN1MB
SAI2MU|Eth-Trunk8.11|up|up|HSI SAIM01_02 - QINQ - CEN1MB
SAI2MU|Eth-Trunk8.12|up|up|HSI SAIM01_03 - QINQ - CEN1MB
SAI2MU|Eth-Trunk8.162|up|up|HSI SAIM01 - CEN1MB
SAI2MU|GE0/0/0|down|down|
SAI2MU|GE1/0/0(10G)|down|down|
SAI2MU|GE1/0/1(10G)|up|down|TIP_TIPARZESAI(2780788)REFE:609833_Gestion Cliente
SAI2MU|GE1/0/1.2(10G)|up|up|TIP_TIPARZESAI(2780788)REFE:609833_Gestion Cliente
SAI2MU|GE1/1/0|up|down|[ACCESO HSI][VI] 5RLG01 13002154
SAI2MU|GE1/1/0.2|up|up|[SIGN] 5RLG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/0.3|up|up|[RTP] 5RLG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/0.4|up|up|[GESTION] 5RLG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/0.3101|up|up|[TOIP] 5RLG01 HUA 5600_T [VDS2]
SAI2MU|GE1/1/0.4101|up|up|[DATOS] 5RLG01 HUA 5600_T [VDS2][L2]
SAI2MU|GE1/1/1|up|down|
SAI2MU|GE1/1/1.10|up|up|VPN - AGUASCORDO  Ref:782802
SAI2MU|GE1/1/2|up|down|INTEGRA - INTER FILE SA - Ref 659356 - Linea 2807351
SAI2MU|GE1/1/2.4|up|up|INTEGRA - INTER FILE SA - REF: 659356 - LINEA: 2807351 - ACC: SAI2MU 1/1/2.4
SAI2MU|GE1/1/3|up|down|NODOB eNODOB CORDOBA_LIBERTADOR_SUR A03-S414 (434252) (521176) (521175)
SAI2MU|GE1/1/3.1027|up|up|eNODOB CORDOBA_LIBERTADOR_SUR A03-S414 (1) (434252) - S1
SAI2MU|GE1/1/3.1028|up|up|eNODOB CORDOBA_LIBERTADOR_SUR A03-S414 (2) (434252) - S1MME
SAI2MU|GE1/1/3.1029|up|up|eNODOB CORDOBA_LIBERTADOR_SUR A03-S414 (3) (434252) - GOMRAN
SAI2MU|GE1/1/3.1030|up|up|NODOB CORDOBA_LIBERTADOR_SUR A03-S414 (1) (521176) - 3G
SAI2MU|GE1/1/3.1031|up|up|NODOB CORDOBA_LIBERTADOR_SUR A03-S414 (1) (521175) - 2G
SAI2MU|GE1/1/4|up|down|INTEGRA - VIDPIA S.A.I.C.F. - Ref.645428_INTEGRA - Ref.680716_DDEIP ACC:CEN1MB
SAI2MU|GE1/1/4.5|up|up|INTEGRA - VIDPIA S.A.I.C.F. - REF: 645428
SAI2MU|GE1/1/4.88|up|up|DDE IP - VIDPIA S.A.I.C.F. - REF: 680716
SAI2MU|GE1/1/5|up|down|INTEGRA + VPN - URBACORDOBA SA - REF: 940163_749396 LINEA: 2868036_2841508 - TRZ36204
SAI2MU|GE1/1/5.8|up|up|INTEGRA - URBACORDOBA SA - REF: 940163 - LINEA: 2868036 - ACC: SAI2MU 1/1/5 - TRZ36204
SAI2MU|GE1/1/5.16|up|up|VPN PLATINUM - BUSSO HORACIO FABIAN - REF: 749396 - LINEA: 2841508 - ACC: SAI2MU 1/1/5 - ACC: COE1MB ICORP_2919
SAI2MU|GE1/1/6|up|down|eNODOB CORDOBA_PORTA - A03-S267 (524485) NODOB (524034) (524333)
SAI2MU|GE1/1/6.1000|up|up|eNODOB - CORDOBA_PORTA - A03-S267 - (1) (524485) - S1
SAI2MU|GE1/1/6.1001|up|up|eNODOB - CORDOBA_PORTA - A03-S267 - (2) (524485) - S1MME
SAI2MU|GE1/1/6.1002|up|up|eNODOB - CORDOBA_PORTA - A03-S267 - (3) (524485) - GOMRAN
SAI2MU|GE1/1/6.1003|up|up|eNODOB - CORDOBA_PORTA - A03-S267 - (1) (524034) - 3G
SAI2MU|GE1/1/6.1004|up|up|eNODOB - CORDOBA_PORTA - A03-S267 - (1) (524333) - 2G
SAI2MU|GE1/1/7|up|down|[ACCESO HSI][VI] 5UYG01 13002381
SAI2MU|GE1/1/7.2|up|up|[SIGN] 5UYG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/7.3|up|up|[RTP] 5UYG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/7.4|up|up|[GESTION] 5UYG01 HUA 5600_T [NGN]
SAI2MU|GE1/1/7.3101|up|up|[TOIP] 5UYG01 HUA 5600_T [VDS2]
SAI2MU|GE1/1/7.4101|up|up|[DATOS] 5UYG01 HUA 5600_T [VDS2][L2]
SAI2MU|GE1/1/8|up|down|[ACCESO HSI][VI] SAI21D 9702724
SAI2MU|GE1/1/8.2101|up|up|[GESTION] SAI21D HUA 5100 [ADSL]
SAI2MU|GE1/1/8.4101|up|up|[DATOS] SAI21D HUA 5100 [ADSL][L2]
SAI2MU|GE1/1/9|up|down|[ACCESO HSI][VI] S4F11C 1300726
SAI2MU|GE1/1/9.2101|up|up|[GESTION] S4F11C HUA 5616 [VDS2]
