shelfname|interface|portoperationalstate|protocol|info1
SFE3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
SFE3MU|Eth-Trunk1|down|down|ENTREAYUDA SFE2MA_ETH11 - NO UTILIZAR
SFE3MU|Eth-Trunk2|up|down|LAG SDH ALU 60SFE12_G20/3-20/4
SFE3MU|Eth-Trunk2.7|up|up|HSI - EOP11D - Linea:9701867
SFE3MU|Eth-Trunk2.36213|*down|down|[RTP][SIGN] EOPG01 HUA 5000 [NGN]
SFE3MU|Eth-Trunk2.36214|*down|down|[GESTION][IPMB] EOPG01 HUA 5000 [NGN]
SFE3MU|Eth-Trunk2.36215|*down|down|[GESTION][PVM] EOPG01 HUA 5000 [NGN]
SFE3MU|Eth-Trunk2.333840|up|down|HUAWEI, Eth-Trunk2.333840 Interface
SFE3MU|Eth-Trunk2.33653840|up|up|INTEGRA COMPLEJO RESIDENCIAL EL PASO - Ref:572032 L:2763647 EOP11D14-0
SFE3MU|Eth-Trunk2.33653844|up|up|IntegraLight - CLUB COLON - Ref:716298 Lin:2823907 Acc:EOP11D 0/14/04-
SFE3MU|Eth-Trunk3|up|down|CONEXION SDH ALU 60SFE11_G18
SFE3MU|Eth-Trunk3.1295|up|up|GHDSL - PCZ21D - Linea:9705861
SFE3MU|Eth-Trunk3.1765|up|up|HSI - PCZ21D - Linea:9705861
SFE3MU|Eth-Trunk4|down|down|LAG 75SFE01_G6/1-13/1
SFE3MU|Eth-Trunk4.391|*down|down|HSI B7OG01 - SFE1MB
SFE3MU|Eth-Trunk4.1032|down|down|HUAWEI, Eth-Trunk4.1032 Interface
SFE3MU|Eth-Trunk4.1382|*down|down|HSI PLAG01 - SFE1MB Bundles 200.5
SFE3MU|Eth-Trunk4.3317|*down|down|HSI SJN11D - SFE1MB // VOLCADO ETH-TRUNK8.3317
SFE3MU|Eth-Trunk4.3580|*down|down|INTEGRA - VPN - Milkaut - Ref:591849 - Lin:2769760 - ACC:SFE1MB 0/0/0/2.67
SFE3MU|Eth-Trunk4.3902|*down|down|[SIGN] B7OG01 HUA 5603_T [NGN]
SFE3MU|Eth-Trunk4.3903|*down|down|[RTP] B7OG01 HUA 5603_T [NGN]
SFE3MU|Eth-Trunk4.3904|*down|down|[GESTION] B7OG01 HUA 5603_T [NGN]
SFE3MU|Eth-Trunk4.4055|down|down|Enlace 10G GAL2MU_Eth-Trunk2.4055- UPLINK CX
SFE3MU|Eth-Trunk4.4762|*down|down|[SIGN] SRHG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.4763|*down|down|[RTP] SRHG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.4764|*down|down|[GESTION] SRHG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.10162|*down|down|VPN PLATINUM - PODER JUDICIAL DESANTA FE - REF: 734876 - LINEA: 2832423 - ACC: TRZ41644
SFE3MU|Eth-Trunk4.10476|*down|down|HSI - SANTA ROSA DE CALCHINES -SRHG01- Linea 11000082
SFE3MU|Eth-Trunk4.11181|*down|down|HSI - KQ1G01 - BARRIO 113 VIV. PLAN FEDERAL - Linea 11000275 - SFE1MB
SFE3MU|Eth-Trunk4.12022|down|down|Gestion Tx  35RCO01 Recreo SantaFe-Lin.80000660
SFE3MU|Eth-Trunk4.12062|*down|down|VPN - PODER JUDICIAL DE SANTA FE- Ref 777932 - Lin 2844197 - Acc55SCC01 03 GE_05
SFE3MU|Eth-Trunk4.13120|*down|down|HSI SSTM01 - SFE1MB Bundles 200.13
SFE3MU|Eth-Trunk4.13768|*down|down|HSI - KQ2G01 - BARRIO CORONDA - Linea 11000265 - SFE1MB
SFE3MU|Eth-Trunk4.23120|*down|down|VDSLCORP SSTM01 - SFE1MB Bundles200.13
SFE3MU|Eth-Trunk4.23155|*down|down|VPN PLATINUM - MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO SANTA FE - REF: 668570 - LINEA: 2808346- ACC: HEL1MS 0/2/2 - TRZ36617
SFE3MU|Eth-Trunk4.33822|*down|down|[SIGN] PLAG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.33823|*down|down|[RTP] PLAG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.33824|*down|down|[GESTION] PLAG01 ZTE 5200 [NGN]
SFE3MU|Eth-Trunk4.311813|*down|down|[RTP][SIGN] KQ1G01 HUA 5000 [NGN]
SFE3MU|Eth-Trunk4.311814|*down|down|[GESTION][IPMB] KQ1G01 HUA 5000 [NGN]
SFE3MU|Eth-Trunk4.311815|*down|down|[GESTION][PVM] KQ1G01 HUA 5000 [NGN]
