shelfname|interface|portoperationalstate|protocol|info1
SIS3MU|100GE11/1/0|up|up|Enlace 100G DWDM BEL1NA_G0/16/0/6 Linea:15008212 - UPLINK NA
SIS3MU|100GE13/1/0|up|up|Enlace 100G DWDM MUN1NA_G0/16/0/2 Linea:15008213 - UPLINK NA
SIS3MU|Eth-Trunk2|up|down|LAG SDH 60SIS01_G4/1_G4/2
SIS3MU|Eth-Trunk2.1028|up|up|[TP] Gestion Clock TP1000 - SAN FERNANDO - REF:15004611
SIS3MU|Eth-Trunk2.2517|up|up|[TAT] GESTION TX - RE - SAN FERNANDO
SIS3MU|GE0/0/0|down|down|
SIS3MU|GE1/0/0|down|down|
SIS3MU|GE1/0/1|up|down|[ACCESO HSI][VI] J0M11C 15002600
SIS3MU|GE1/0/1.2101|up|up|[GESTION] J0M11C ECI HIFS [VDS2]
SIS3MU|GE1/0/1.3101|up|up|[TOIP] J0M11C ECI HIFS [VDS2]
SIS3MU|GE1/0/1.4101|up|up|[DATOS] J0M11C ECI HIFS [VDS2][L2]
SIS3MU|GE1/0/2|up|down|[ACCESO HSI][VI] J0N11C 15002601
SIS3MU|GE1/0/2.2101|up|up|[GESTION] J0N11C ECI HIFS [VDS2]
SIS3MU|GE1/0/2.3101|up|up|[TOIP] J0N11C ECI HIFS [VDS2]
SIS3MU|GE1/0/2.4101|up|up|[DATOS] J0N11C ECI HIFS [VDS2][L2]
SIS3MU|GE1/0/3|up|down|[ACCESO HSI][VI] J0O11C 15002602
SIS3MU|GE1/0/3.2101|up|up|[GESTION] J0O11C ECI HIFS [VDS2]
SIS3MU|GE1/0/3.3101|up|up|[TOIP] J0O11C ECI HIFS [VDS2]
SIS3MU|GE1/0/3.4101|up|up|[DATOS] J0O11C ECI HIFS [VDS2][L2]
SIS3MU|GE1/0/4|up|down|[ACCESO HSI][VI] J0Q11C 15002603
SIS3MU|GE1/0/4.2101|up|up|[GESTION] J0Q11C ECI HIFS [VDS2]
SIS3MU|GE1/0/4.3101|up|up|[TOIP] J0Q11C ECI HIFS [VDS2]
SIS3MU|GE1/0/4.4101|up|up|[DATOS] J0Q11C ECI HIFS [VDS2][L2]
SIS3MU|GE1/0/5|up|down|[ACCESO HSI][VI] J0R11C 15002604
