shelfname|interface|portoperationalstate|protocol|info1
TNQ1MU|Eth-Trunk1|up|down|LAG PTN HWI 8VTNQ01_G02/3-G04/1
TNQ1MU|Eth-Trunk1.1201|up|up|Gestion GW PTN 55JJP01 - Linea 70001853
TNQ1MU|Eth-Trunk1.2651|up|up|GESTION TX RE GRAL PICO LA PAMPA linea 60000242
TNQ1MU|Eth-Trunk1.3077|up|up|TWAMP 5RJJP01
TNQ1MU|Eth-Trunk1.1000002|up|up|### Integra - AA2000 - ref:778508 - Lin:2844658 ###
TNQ1MU|Eth-Trunk1.1000003|up|up|### Integra - AA2000 - Gestion-ref:778508 - Lin:2844658 ###
TNQ1MU|Eth-Trunk1.1000006|up|up|### VPN - AA2000 - ref:944847 - Lin:2869125 ###
TNQ1MU|Eth-Trunk1.10180004|up|up|VPN Platinum - BANCO PATAGONIA - Ref:670646 Lin:2809326 Acc:55GP901/03/04
TNQ1MU|Eth-Trunk1.10180005|up|up|VPN Platinum - BANCO PATAGONIA - Ref:670646 Lin:2809326 Acc:55GP901/03/04 GESTION
TNQ1MU|Eth-Trunk1.10381000|up|up|eNODOB - PEHUAJO_TECO A37-B348 (1) (439813) - S1
TNQ1MU|Eth-Trunk1.10381001|up|up|eNODOB - PEHUAJO_TECO A37-B348 (2) (439813) - S1MME
TNQ1MU|Eth-Trunk1.10381002|up|up|eNODOB - PEHUAJO_TECO A37-B348 (3) (439813) - GOMRAN
TNQ1MU|Eth-Trunk1.10381003|up|up|NODOB - PEHUAJO_TECO A37-B348 (1) (439813) - 3G
TNQ1MU|Eth-Trunk1.10381004|up|up|NODOB - PEHUAJO_TECO A37-B348 (1) (439813) - 2G
TNQ1MU|Eth-Trunk1.10391000|up|up|eNODOB - JUAN_JOSE_PASO - A37-B226 - (1) (686122) - S1
TNQ1MU|Eth-Trunk1.10391001|up|up|eNODOB - JUAN_JOSE_PASO - A37-B226 - (2) (686122) - S1MME
TNQ1MU|Eth-Trunk1.10391002|up|up|eNODOB - JUAN_JOSE_PASO - A37-B226 - (3) (686122) - GOMRAN
TNQ1MU|Eth-Trunk1.10391003|up|up|eNODOB - JUAN_JOSE_PASO - A37-B226 - (1) (686120) - 3G
TNQ1MU|Eth-Trunk1.10391004|up|up|eNODOB - JUAN_JOSE_PASO -  A37-B226 - (1) (686121) - 2G
TNQ1MU|Eth-Trunk1.10411000|up|up|eNODOB - PEHUAJO - A37-B131 - (1) (693227) - S1
TNQ1MU|Eth-Trunk1.10411001|up|up|eNODOB - PEHUAJO - A37-B131 - (2) (693227) - S1MME
TNQ1MU|Eth-Trunk1.10411002|up|up|eNODOB - PEHUAJO - A37-B131 - (3) (693227) - GOMRAN
TNQ1MU|Eth-Trunk1.10411003|up|up|NODOB - PEHUAJO - A37-B131 - (1) (690870) - 3G
TNQ1MU|Eth-Trunk1.10411004|up|up|NODOB - PEHUAJO - A37-B131 - (1) (693309) - 2G
TNQ1MU|Eth-Trunk1.10441000|up|up|eNODOB - PEHUAJO_CENTRO - NJU1MU - A37-B060 - (1) (693202) - S1
TNQ1MU|Eth-Trunk1.10441001|up|up|eNODOB - PEHUAJO_CENTRO - A37-B060 - (2) (693202) - S1MME
TNQ1MU|Eth-Trunk1.10441002|up|up|eNODOB - PEHUAJO_CENTRO - A37-B060 - (3) (693202) - GOMRAN
