shelfname|interface|portoperationalstate|protocol|info1
WMC2MU|Eth-Trunk1|up|down|
WMC2MU|Eth-Trunk1.100|up|up|FIBERCORP_CARRIER SUPPORTING CARRIER Linea 2865490-2865491-2865492 y 2865493
WMC2MU|GE0/0/0|down|down|
WMC2MU|GE1/0/0|up|down|VPN - NUEVO BANCO DE SANTA FE S.A. - Ref:890931 - Lin:2862370
WMC2MU|GE1/0/0.2|up|up|VPN - NUEVO BANCO DE SANTA FE S.A. - Ref:890931 - Lin:2862370
WMC2MU|GE1/0/0.3|up|up|GESTION SWITCH - NUEVO BANCO DE SANTA FE S.A. - Ref:890931 - Lin:2862370
WMC2MU|GE1/0/1|up|down|[ACCESO NGN] 7L6G01 HUA 5603_T 15005350
WMC2MU|GE1/0/1.1|up|up|[HSI] 7L6G01 HUA 5603_T 15005350 a MUN1MB
WMC2MU|GE1/0/1.2|up|up|[SIGN] 7L6G01 HUA 5603_T 15005350 [NGN]
WMC2MU|GE1/0/1.3|up|up|[RTP] 7L6G01 HUA 5603_T 15005350 [NGN]
WMC2MU|GE1/0/1.4|up|up|[IPBM] 7L6G01 HUA 5603_T 15005350 [NGN]
WMC2MU|GE1/0/2|up|down|[ACCESO NGN] 32NG01 HUA 5600T - 15003961
WMC2MU|GE1/0/2.1|up|up|[HSI] 32NG01 HUA 5600T - 15003961 a MUN1MB
WMC2MU|GE1/0/2.2|up|up|[SIGN] 32NG01 HUA 5600T - 15003961 [NGN]
WMC2MU|GE1/0/2.3|up|up|[RTP] 32NG01 HUA 5600T - 15003961 [NGN]
WMC2MU|GE1/0/2.4|up|up|[IPBM] 32NG01 HUA 5600T - 15003961 [NGN]
WMC2MU|GE1/0/3|up|down|eNODOB BBU2_MICROCENTRO - BBU_MIC (683537) NODOB (683534)
WMC2MU|GE1/0/3.2223|up|up|eNODOB - BBU2_MICROCENTRO - BBU_MIC - (1) (683537) - S1
WMC2MU|GE1/0/3.2224|up|up|eNODOB - BBU2_MICROCENTRO - BBU_MIC - (2) (683537) - S1MME
WMC2MU|GE1/0/3.2225|up|up|eNODOB - BBU2_MICROCENTRO - BBU_MIC - (3) (683537) - GOMRAN
WMC2MU|GE1/0/3.2226|up|up|NODOB - BBU2_MICROCENTRO - BBU_MIC - (1) (683534) - 3G
WMC2MU|GE1/0/4|up|down|eNODOB BBU3_MICROCENTRO - BBU_MIC (686287) NODOB (686286) ()
WMC2MU|GE1/0/4.2286|up|up|eNODOB - BBU3_MICROCENTRO - BBU_MIC - (1) (686287) - S1
WMC2MU|GE1/0/4.2287|up|up|eNODOB - BBU3_MICROCENTRO - BBU_MIC - (2) (686287) - S1MME
WMC2MU|GE1/0/4.2288|up|up|eNODOB - BBU3_MICROCENTRO - BBU_MIC - (3) (686287) - GOMRAN
WMC2MU|GE1/0/4.2289|up|up|NODOB - BBU3_MICROCENTRO - BBU_MIC- (1) (686286) - 3G
WMC2MU|GE1/0/5|up|down|eNODOB BBU1_MICROCENTRO - BBU_MIC (683538) NODOB (683535) ()
WMC2MU|GE1/0/5.2219|up|up|eNODOB - BBU1_MICROCENTRO - BBU_MIC - (1) (683538) - S1
WMC2MU|GE1/0/5.2220|up|up|eNODOB - BBU1_MICROCENTRO - BBU_MIC - (2) (683538) - S1MME
WMC2MU|GE1/0/5.2221|up|up|eNODOB - BBU1_MICROCENTRO - BBU_MIC - (3) (683538) - GOMRAN
WMC2MU|GE1/0/5.2222|up|up|NODOB - BBU1_MICROCENTRO - BBU_MIC - (1) (683535) - 3G
WMC2MU|GE1/0/6|up|down|eNODOB BBU4_MICROCENTRO - BBU_MIC (690396) NODOB (690397) ()
WMC2MU|GE1/0/6.2299|up|up|eNODOB - BBU4_MICROCENTRO - BBU_MIC - (1) (690396) - S1
WMC2MU|GE1/0/6.2300|up|up|eNODOB - BBU4_MICROCENTRO - BBU_MIC - (2) (690396) - S1MME
WMC2MU|GE1/0/6.2301|up|up|eNODOB - BBU4_MICROCENTRO - BBU_MIC - (3) (690396) - GOMRAN
WMC2MU|GE1/0/6.2302|up|up|NODOB - BBU4_MICROCENTRO - BBU_MIC - (1) (690397) - 3G
WMC2MU|GE1/0/7|up|down|eNODOB BBU5_MICROCENTRO - BBU_MIC (695975) NODOB (695976) ()
WMC2MU|GE1/0/7.2337|up|up|eNODOB - BBU5_MICROCENTRO - BBU_MIC - (1) (695975) - S1
WMC2MU|GE1/0/7.2338|up|up|eNODOB - BBU5_MICROCENTRO - BBU_MIC - (2) (695975) - S1MME
WMC2MU|GE1/0/7.2339|up|up|eNODOB - BBU5_MICROCENTRO - BBU_MIC - (3) (695975) - GOMRAN
WMC2MU|GE1/0/7.2340|up|up|NODOB - BBU5_MICROCENTRO - BBU_MIC - (1) (695976) - 3G
WMC2MU|GE1/0/8|up|down|eNODOB LOS_DOS_CHINOS_2 - CPU308 (448729) NODOB (448692) (448680)
WMC2MU|GE1/0/8.1199|up|up|eNODOB - LOS_DOS_CHINOS_2 - CPU308 - (1) (448729) - S1
WMC2MU|GE1/0/8.1200|up|up|eNODOB - LOS_DOS_CHINOS_2 - CPU308 - (2) (448729) - S1MME
WMC2MU|GE1/0/8.1201|up|up|eNODOB - LOS_DOS_CHINOS_2 - CPU308 - (3) (448729) - GOMRAN
WMC2MU|GE1/0/8.1202|up|up|NODOB - LOS_DOS_CHINOS_2 - CPU308 - (1) (448692) - 3G
WMC2MU|GE1/0/8.1203|up|up|NODOB - LOS_DOS_CHINOS_2 - CPU308- (1) (448680) - 2G
WMC2MU|GE1/0/9|up|down|eNODOB CHILE - CPU137 (430279) NODOB (435670) (436112)
WMC2MU|GE1/0/9.1127|up|up|eNODOB - CHILE - CPU137 - (1) (430279) - S1
WMC2MU|GE1/0/9.1128|up|up|eNODOB - CHILE - CPU137 - (2) (430279) - S1MME
WMC2MU|GE1/0/9.1129|up|up|eNODOB - CHILE - CPU137 - (3) (430279) - GOMRAN
WMC2MU|GE1/0/9.1188|up|up|NODOB - CHILE - CPU137 - (1) (435670) - 3G
WMC2MU|GE1/0/9.1189|up|up|NODOB - CHILE - CPU137- (1) (436112) - 2G
WMC2MU|GE1/0/10|up|down|eNODOB DEFENSA - CPU016 (422260) NODOB (435560) (436071)
WMC2MU|GE1/0/10.1036|up|up|eNODOB - DEFENSA - CPU016 - (1) (422260) - S1
WMC2MU|GE1/0/10.1037|up|up|eNODOB - DEFENSA - CPU016 - (2) (422260) - S1MME
WMC2MU|GE1/0/10.1038|up|up|eNODOB - DEFENSA - CPU016 - (3) (422260) - GOMRAN
WMC2MU|GE1/0/10.1172|up|up|NODOB - DEFENSA - CPU016 - (1) (435560) - 3G
WMC2MU|GE1/0/10.1173|up|up|NODOB - DEFENSA - CPU016- (1) (436071) - 2G
WMC2MU|GE1/0/11|up|down|eNODOB DIAGONAL_NORTE - CPU304 (444735) NODOB (444795) (445036)
WMC2MU|GE1/0/11.1135|up|up|eNODOB - DIAGONAL_NORTE - CPU304 - (1) (444735) - S1
WMC2MU|GE1/0/11.1136|up|up|eNODOB - DIAGONAL_NORTE - CPU304 - (2) (444735) - S1MME
WMC2MU|GE1/0/11.1137|up|up|eNODOB - DIAGONAL_NORTE - CPU304 - (3) (444735) - GOMRAN
WMC2MU|GE1/0/11.1138|up|up|NODOB - DIAGONAL_NORTE - CPU304- (1) (445036) - 2G
WMC2MU|GE1/0/11.1139|up|up|NODOB - DIAGONAL_NORTE - CPU304 - (1) (444795) - 3G
WMC2MU|GE1/0/12|up|down|eNODOB EXEDRA_2 - CPU252 (425268) NODOB (435757) (436309)
WMC2MU|GE1/0/12.1048|up|up|eNODOB - EXEDRA_2 - CPU252 - (1) (425268) - S1
WMC2MU|GE1/0/12.1049|up|up|eNODOB - EXEDRA_2 - CPU252 - (2) (425268) - S1MME
WMC2MU|GE1/0/12.1050|up|up|eNODOB - EXEDRA_2 - CPU252 - (3) (425268) - GOMRAN
WMC2MU|GE1/0/12.1192|up|up|NODOB - EXEDRA_2 - CPU252 - (1) (435757) - 3G
WMC2MU|GE1/0/12.1193|up|up|NODOB - EXEDRA_2 - CPU252- (1) (436309) - 2G
WMC2MU|GE1/0/13|up|down|eNODOB FLORIDA - CPU013 (422262) NODOB (435499) (435815)
WMC2MU|GE1/0/13.1063|up|up|eNODOB - FLORIDA - CPU013 - (1) (422262) - S1
WMC2MU|GE1/0/13.1064|up|up|eNODOB - FLORIDA - CPU013 - (2) (422262) - S1MME
WMC2MU|GE1/0/13.1065|up|up|eNODOB - FLORIDA - CPU013 - (3) (422262) - GOMRAN
WMC2MU|GE1/0/13.1241|up|up|NODOB - FLORIDA - CPU013 - (1) (435499) - 3G
WMC2MU|GE1/0/13.1242|up|up|NODOB - FLORIDA - CPU013- (1) (435815) - 2G
WMC2MU|GE1/0/14|up|down|eNODOB MINISTERIO_DE_CULTURA_(MAM) - CPU665 (684477) NODOB (684479) (684482)
WMC2MU|GE1/0/14.2262|up|up|eNODOB - MINISTERIO_DE_CULTURA_(MAM) - CPU665 - (1) (684477) - S1
WMC2MU|GE1/0/14.2263|up|up|eNODOB - MINISTERIO_DE_CULTURA_(MAM) - CPU665 - (2) (684477) - S1MME
