shelfname|interface|portoperationalstate|protocol|info1
CEN1MB|BE1|up|up|[HRP] CEN1MB 1 [L3] [HSI]
CEN1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
CEN1MB|BE1.240|admin-down|admin-down|DSLAM PBA11D POSICION 1/8 - PRUEBA SONDA-IWAY
CEN1MB|BE1.332|admin-down|admin-down|GESTION PBA11D ZTE9210
CEN1MB|BE1.1101010301|up|up|GESTION RZ411C ISAM7330
CEN1MB|BE1.1101010701|up|up|GESTION RZ711C ISAM7330
CEN1MB|BE1.1101010801|up|up|GESTION RZ111C ISAM7330
CEN1MB|BE1.1101010901|up|up|GESTION RZ311C ISAM7330
CEN1MB|BE1.1102011001|up|up|GESTION RZ811C ISAM7330
CEN1MB|BE1.1103012301|admin-down|admin-down|GESTION PTRM01 MA5600T
CEN1MB|BE1.1104012601|up|up|GESTION 2H511C ISAM7330
CEN1MB|BE1.1104013101|up|up|GESTION 2HC11C ISAM7330
CEN1MB|BE1.1104013401|up|up|GESTION 1Z711C ISAM7330
CEN1MB|BE1.1104013601|admin-down|admin-down|GESTION 20S11C ISAM7330
CEN1MB|BE1.1104020101|admin-down|admin-down|GESTION 21O11C ISAM7330
CEN1MB|BE1.1106010101|admin-down|admin-down|GESTION S4E11C ISAM7330
CEN1MB|BE1.1106010301|admin-down|admin-down|GESTION 21L11C ISAM7330
CEN1MB|BE1.1199178201|admin-down|admin-down|GESTION SMD11D ZTE9800
CEN1MB|BE1.1201010301|up|up|[TOIP] RZ411C ALC 7330 [VDSL]
CEN1MB|BE1.1201010501|up|up|[TOIP] 2OPG01 HUA 5616 [ADS2]
CEN1MB|BE1.1201010701|up|up|[TOIP] RZ711C ALC 7330 [VDSL]
CEN1MB|BE1.1201010801|up|up|[TOIP] RZ111C ALC 7330 [VDSL]
CEN1MB|BE1.1201010901|up|up|[TOIP] RZ311C ALC 7330 [VDSL]
CEN1MB|BE1.1202011001|up|up|[TOIP] RZ811C ALC 7330 [VDSL]
CEN1MB|BE1.1204012601|up|up|[TOIP] 2H511C ALC 7330 [VDSL]
CEN1MB|BE1.1204013101|up|up|[TOIP] 2HC11C ALC 7330 [VDSL]
CEN1MB|BE1.1204013401|up|up|[TOIP] 1Z711C ALC 7330 [VDSL]
CEN1MB|BE1.1204021201|up|up|[TOIP] 69SG01 HUA 5616 [ADS2]
CEN1MB|BE1.1211365901|up|up|[TOIP] INEG01 HUA 5616 [ADS2]
CEN1MB|BE1.1213011901|up|up|[TOIP] 5LDG01 HUA 5603T [ADS2]
CEN1MB|BE1.1299229301|up|up|[TOIP] KT6G01 HUA UA5000 [ADS2]
CEN1MB|BE1.1301010301|up|up|DSLAM RZ411C ISAM7330
CEN1MB|BE1.1301010501|up|up|[DATOS] 2OPG01  HUA 5616 [VDS2]
CEN1MB|BE1.1301010701|up|up|DSLAM RZ711C ISAM7330
CEN1MB|BE1.1301010801|up|up|DSLAM RZ111C ISAM7330
CEN1MB|BE1.1301010901|up|up|DSLAM RZ311C ISAM7330
CEN1MB|BE1.1302011001|up|up|DSLAM RZ811C ISAM7330
CEN1MB|BE1.1303012301|admin-down|admin-down|DSLAM PTRM01 MA5600T
CEN1MB|BE1.1304012601|up|up|DSLAM 2H511C ISAM7330
CEN1MB|BE1.1304013101|up|up|DSLAM 2HC11C ISAM7330
CEN1MB|BE1.1304013401|up|up|DSLAM 1Z711C ISAM7330
CEN1MB|BE1.1304013601|admin-down|admin-down|DSLAM 20S11C ISAM7330
CEN1MB|BE1.1304020101|admin-down|admin-down|DSLAM 21O11C ISAM7330
CEN1MB|BE1.1304021201|up|up|[DATOS] 69SG01  HUA 5616 [VDS2]
CEN1MB|BE1.1306010101|admin-down|admin-down|DSLAM S4E11C ISAM7330
CEN1MB|BE1.1306010301|admin-down|admin-down|DSLAM 21L11C ISAM7330
CEN1MB|BE1.1308218701|admin-down|admin-down|[DATOS] LDNG01 HUA 5000 [ADS2]   
CEN1MB|BE1.1311365901|up|up|DSLAM INEG01 HUAWEI 5616
CEN1MB|BE1.1311374001|admin-down|admin-down|DSLAM LHAG01 HUAWEI 050
CEN1MB|BE1.1313011901|up|up|ADSL 5LDG01 MA5603T
CEN1MB|BE1.1399177301|up|up|MRN11D
CEN1MB|BE1.1399178201|admin-down|admin-down|DSLAM SMD11D ZTE9800
CEN1MB|BE1.1399229101|up|up|[DATOS] KT2G01  HUA 5000 [ADS2]
CEN1MB|BE1.1399229301|up|up|[DATOS] KT6G01  HUA 5000 [ADS2]
CEN1MB|BE1.1399234701|up|up|[DATOS] RJ5G01  HUA 5000 [ADS2]
CEN1MB|BE1.1399264901|up|up|KZOG01D (NGN UA5000 ADSL Catamarca 4)
CEN1MB|BE1.1399367601|up|up|0S9G01D HW_D200
CEN1MB|BE2|up|up|[HRP] CEN1MB 2 [L3] [HSI]
CEN1MB|BE2.239|up|down| 
CEN1MB|BE2.11004801|admin-down|admin-down|GESTION VMIH1D HW5600
CEN1MB|BE2.12000201|up|up|[TOIP] LCZG01 HUA UA5000 [ADS2]
CEN1MB|BE2.12001001|up|up|[TOIP] 6HIG01 HUA 5600T [ADS2]
CEN1MB|BE2.13000201|up|up|[DATOS] LCZG01 HUA 5000 [ADS2]
CEN1MB|BE2.13000903|up|down| 
CEN1MB|BE2.13000904|up|down| 
CEN1MB|BE2.13001001|up|up|[DATOS] 6HIG01  HUA 5600_T [VDS2]
CEN1MB|BE2.13004801|admin-down|admin-down|DSLAM VMIH1D HW5600
CEN1MB|BE2.13005602|up|up|FEY32D ZTE9210
CEN1MB|BE2.13005603|up|up|FEY33D ZTE9210
CEN1MB|BE2.13005604|up|up|FEY34D ZTE9210
CEN1MB|BE2.1113158801|admin-down|admin-down|GESTION VIP41D ZTE9210
CEN1MB|BE2.1199184201|up|up|GESTION ADSL GDE31D HW5600
CEN1MB|BE2.1199305401|up|up|COE51D DSLAM H5100
CEN1MB|BE2.1301399502|admin-down|admin-down|DSLAM SAI52D ZTE9800
CEN1MB|BE2.1311302002|up|up|DSLAM CEN92D ZTE9210
CEN1MB|BE2.1311302003|up|up|DSLAM CEN93D ZTE9210
CEN1MB|BE2.1311302004|up|up|DSLAM CEN94D ZTE9210
CEN1MB|BE2.1311302005|up|up|DSLAM CEN95D ZTE9210
CEN1MB|BE2.1313158801|admin-down|admin-down|DSLAM VIP41D TE9210
CEN1MB|BE2.1313158802|admin-down|admin-down|DSLAM VIP42D TE9210
CEN1MB|BE2.1313158803|admin-down|admin-down|DSLAM VIP43D TE9210
CEN1MB|BE2.1313158804|admin-down|admin-down|DSLAM VIP44D TE9210
CEN1MB|BE2.1313158805|admin-down|admin-down|DSLAM VIP45D TE9210
CEN1MB|BE2.1399184201|up|up|DSLAM GDE31D HW5600
CEN1MB|BE2.1399305401|up|up|COE51D
CEN1MB|BE3|up|up|[HRP] CEN1MB 3 [L3] [HSI]
CEN1MB|BE3.239|admin-down|admin-down|DSLAM PBA11D
CEN1MB|BE3.1100880|up|down| 
CEN1MB|BE3.11005301|up|up|GESTION FEYM01 MA5600T
CEN1MB|BE3.11005501|up|up|GESTION FEY21D HW5100
CEN1MB|BE3.11006001|up|up|GESTION DSLAM ABD41D HW5600
CEN1MB|BE3.11006101|up|up|GESTION CENQ1D HW5600
CEN1MB|BE3.11006301|up|up|GESTION LAF51D HUAWEI5600
CEN1MB|BE3.11007001|up|up|GESTION 8F0C01 HUAWEI MA5603T
CEN1MB|BE3.11007101|up|up|GESTION 8F2C01 HUAWEI 5603T
CEN1MB|BE3.11013001|up|up|GESTION UNQM01 HW5600T
CEN1MB|BE3.11015401|admin-down|admin-down|GESTION XJY11C ALCATEL7330
CEN1MB|BE3.11050501|up|up|GESTION AME21D MA5600
CEN1MB|BE3.11050601|up|up|GESTION AME11D HUAWEI5100
CEN1MB|BE3.12000701|up|up|[TOIP] 5J2G01 HUA 5616 [ADS2]
CEN1MB|BE3.12000801|up|up|[TOIP] 5HG01 HUA 5616 [ADS2]
CEN1MB|BE3.12002001|up|up|[TOIP] OLXG01 HUA UA5000 [ADS2]
