shelfname|interface|portoperationalstate|protocol|info1
CHT2MU|BE9|up|up|[ACCESO HSI][BE] B9XG01 - Linea 11000529
CHT2MU|BE9.2|up|up|[SIGN] B9XG01 HUA 5603_T [NGN]
CHT2MU|BE9.3|up|up|[RTP] B9XG01 HUA 5603_T [NGN]
CHT2MU|BE9.4|up|up|[GESTION] B9XG01 HUA 5603_T [NGN]
CHT2MU|BE9.3101|up|up|[TOIP] B9XG01 HUA 5603_T [VDS2]
CHT2MU|BE9.4101|up|up|[DATOS] B9XG01 HUA 5603_T [VDS2][L3]
CHT2MU|BE9.4101.pppoe9125|up|up| 
CHT2MU|BE9.4101.pppoe9127|up|up| 
CHT2MU|BE9.4101.pppoe9131|up|up| 
CHT2MU|BE9.4101.pppoe9136|up|up| 
CHT2MU|BE9.4101.pppoe9140|up|up| 
CHT2MU|BE9.4101.pppoe9142|up|up| 
CHT2MU|BE9.4101.pppoe9143|up|up| 
CHT2MU|BE9.4101.pppoe9183|up|up| 
CHT2MU|BE9.4101.pppoe9221|up|up| 
CHT2MU|BE9.4101.pppoe9270|up|up| 
CHT2MU|BE9.4101.pppoe9272|up|up| 
CHT2MU|BE9.4101.pppoe9273|up|up| 
CHT2MU|BE9.4101.pppoe9308|up|up| 
CHT2MU|BE9.4101.pppoe9322|up|up| 
CHT2MU|BE9.4101.pppoe9387|up|up| 
CHT2MU|BE9.4101.pppoe9389|up|up| 
CHT2MU|BE9.4101.pppoe9392|up|up| 
CHT2MU|BE9.4101.pppoe9397|up|up| 
CHT2MU|BE9.4101.pppoe9423|up|up| 
CHT2MU|BE9.4101.pppoe9424|up|up| 
CHT2MU|BE9.4101.pppoe9452|up|up| 
CHT2MU|BE9.4101.pppoe9480|up|up| 
CHT2MU|BE9.4101.pppoe9488|up|up| 
CHT2MU|BE9.4101.pppoe9502|up|up| 
CHT2MU|BE9.4101.pppoe9504|up|up| 
CHT2MU|BE9.4101.pppoe9506|up|up| 
CHT2MU|BE9.4101.pppoe9511|up|up| 
CHT2MU|BE9.4101.pppoe9513|up|up| 
CHT2MU|BE9.4101.pppoe9516|up|up| 
CHT2MU|BE9.4101.pppoe9518|up|up| 
CHT2MU|BE9.4101.pppoe9520|up|up| 
CHT2MU|BE9.4101.pppoe9522|up|up| 
CHT2MU|BE9.4101.pppoe9523|up|up| 
CHT2MU|BE9.4101.pppoe9524|up|up| 
CHT2MU|BE9.4101.pppoe9525|up|up| 
CHT2MU|BE9.4101.pppoe9526|up|up| 
CHT2MU|BE10|up|up|CONEXION A NGN - CHTG01 - CHARATA
CHT2MU|BE10.2|up|up|[SIGN] CHTG01 ZTE 5200 [NGN]
CHT2MU|BE10.3|up|up|[RTP] CHTG01 ZTE 5200 [NGN]
CHT2MU|BE10.4|up|up|[GESTION] CHTG01 ZTE 5200 [NGN]
CHT2MU|BE11|up|up|[ACCESO HSI][BE] CHT31D - Linea 11003763
CHT2MU|BE11.2101|up|up|[GESTION] CHT31D HUA 5600 [ADS2]
CHT2MU|BE11.3101|up|up|[TOIP] CHT31D HUA 5600 [ADS2]
CHT2MU|BE11.4101|up|up|[DATOS] CHT31D HUA 5600 [ADS2][L3]
CHT2MU|BE12|up|up|[ACCESO HSI][BE] 2FRG01 11002350
CHT2MU|BE12.2|up|up|[SIGN] 2FRG01 HUA 5603_T [NGN]
CHT2MU|BE12.3|up|up|[RTP] 2FRG01 HUA 5603_T [NGN]
CHT2MU|BE12.4|up|up|[RTP] 2FRG01 HUA 5603_T [NGN]
CHT2MU|BE12.3101|up|up|[TOIP] 2FRG01 HUA 5603_T [VDS2]
CHT2MU|BE12.4101|up|up|[DATOS] 2FRG01 HUA 5603_T [VDS2][L3]
CHT2MU|BE12.4101.pppoe806|up|up| 
CHT2MU|BE12.4101.pppoe808|up|up| 
CHT2MU|BE12.4101.pppoe809|up|up| 
