shelfname|interface|portoperationalstate|protocol|info1
GOY4MU|BE1|up|up|[ACCESO HSI][BE] GOY31D 9702590
GOY4MU|BE1.2101|up|up|[GESTION] GOY31D HUA 5600 [ADS2]
GOY4MU|BE1.3101|up|up|[TOIP] GOY31D HUA 5600 [ADS2]
GOY4MU|BE1.3618|admin-down|admin-down|VPN Head Quarter 1024K - DGR E Rios - Ref:274364 Lin:2726367 Acc:GOY31D Placa:15 Port:2
GOY4MU|BE1.3620|up|up|VPN - CORREO OFICIAL DE LA REP.ARG. - REF 88104 - LIN 2744265
GOY4MU|BE1.3623|up|up|VPN Branch Office - Garbarino - Ref:306204 Lin:2737848 Acc:GOY31D-15-7
GOY4MU|BE1.3624|up|up|VPN Head Quarter 1M - MINISTERIO DE SALUD PUBLICA - Ref:304229 Lin:2742738 Acc:GOY31D Placa 15 Port 8
GOY4MU|BE1.3626|up|up|VPN Head Quarter - BNA - Ref:304407 Lin:2736083 Acc:GOY31D 0/15/10y11
GOY4MU|BE1.3630|up|up|VPN GOLD - TARJETA NARANJA S.A - Ref:231936 Lin:2709437 Acc:GOY31D-0/15/14-15
GOY4MU|BE1.3632|up|up|VPN - Prefectura - ref 574431 - linea 2763296 - ACC GOY31D-0-15-16
GOY4MU|BE1.3636|up|up|VPN Head Quarter - YPF - Ref:584277 Lin:2766073 Acc:GOY31D 0/15/20
GOY4MU|BE1.3637|up|up|VPN GOLD - OSPECON - Ref:276316 Lin:2727883 GOY31D 0/15/21
GOY4MU|BE1.3639|up|up|VPN Head Quarter - Garbarino - Ref:533927 Lin:2750444 Acc:GOY31D-15-23
GOY4MU|BE1.3640|up|up|VPN Head Quarter - DIA ARGENTINA - Ref:538139 Lin:2750941 Acc:GOY31D 0/15/24
GOY4MU|BE1.3644|up|up|VPN Branch Office - BNA - Ref:541905 Lin:2754597 Acc:GOY31D 0/15/28-29
GOY4MU|BE1.3652|up|up|VPN Gold - CARSA SA - Ref: 194451 Linea: 2710161 Acc:GOY31D 0/14/4
GOY4MU|BE1.3657|up|up|VPN Head Quarter 1Mbps - PAMI - Ref:264856 Lin:2720899 Acc:GOY31D-14-9
GOY4MU|BE1.3659|up|up|### VPN Head Quarter - NUEVO BANCO DE ENTRE RIOS S.A. - Ref:115618 - Lin:2714856 - Acc:GOY31D 14/11 ###
GOY4MU|BE1.3660|up|up|Servicio VPN UNNE REF:246276 L:2712422 - GOY31D 0-14-12/13
GOY4MU|BE1.3662|admin-down|admin-down|VPN Head Quarter - Jumbo - Ref:300224 Lin:2735150 Acc:GOY31D-14-14
GOY4MU|BE1.3666|up|up|LDIP_TASA_HSBC(5661373)_Acc:GOY31D_14_18
GOY4MU|BE1.3821|up|up|Integra Light - JUFEC SA - Ref:533709 Lin:2748692 Acc:GOY31D-15-13
GOY4MU|BE1.3828|up|up|VPN Head Quarter - YPF - Ref:584277 Lin:2766073 Acc:GOY31D 0/15/20
GOY4MU|BE1.3829|up|up|VPN GOLD - GESTION XAVI - OSPECON - Ref:276316 Lin:2727883 GOY31D 0/15/21
GOY4MU|BE1.3831|up|up|Gestion Xavi - Ref:533927
GOY4MU|BE1.3834|up|up|VPN Head Quarter - PINWEB SRL - Ref:241049 Lin:2710490 Acc:GOY31D 00/15/26-27
GOY4MU|BE1.3839|up|up|Integra(610959)Acc.GOY31D-15-31
GOY4MU|BE1.3847|up|up|242165 - BANCO GALICIA - GOY31D 0/14/7
GOY4MU|BE1.3854|admin-down|admin-down|VPN Branch Office - Cliente - Gestion Xavi - Ref:300224
GOY4MU|BE1.3858|up|up|Integra - MASSALIN -Ref:595961 Lin:2776259 Acc:GOY31D 0-14-18
GOY4MU|BE1.4101|up|up|[DATOS] GOY31D HUA 5600 [ADS2][L3]
GOY4MU|BE3|up|up|[ACCESO HSI][BE] WC2G01
GOY4MU|BE3.2|up|up|[SIGN] WC2G01 HUA 5603T 11000534[NGN]
GOY4MU|BE3.3|up|up|[RTP] WC2G01 HUA 5603T  11000534 [NGN]
GOY4MU|BE3.4|up|up|[GESTION] IPMB WC2G01 HUA 5603T 11000534 [NGN]
GOY4MU|BE3.3101|up|up|[TOIP] WC2G01 HUA 5603T [VDS2]
GOY4MU|BE3.4101|up|up|[DATOS] WC2G01 HUA 5603T [VDS2][L3]
GOY4MU|BE4|up|up|[ACCESO HSI][BE] GOY41D 11000309
GOY4MU|BE4.2101|up|up|[GESTION] GOY41D HUA 5600 [ADS2]
GOY4MU|BE4.3101|up|up|[TOIP] GOY41D HUA 5600 [ADS2]
GOY4MU|BE4.3624|up|up|VPN SILVER - GIRE S.A. - Ref:589511 Lin:2768571 Acc:GOY41D 15/08
GOY4MU|BE4.3626|up|up|VPN GOLD - GARBARINO S A - Ref:653802 Lin:2799738 Acc:GOY41D 0/15/10y11
GOY4MU|BE4.3652|admin-down|admin-down|VPN - DIRECCION PROVINCIAL DE ENERGIA DE CORRIENTES - Ref:216143 Lin:2702422 Acc:GOY41D 0-14-4
GOY4MU|BE4.3658|up|up|### VPN Head Quarter - CONMEGA A.C.E. - Ref:274364 - Lin:2726367 - Acc:GOY41D 13/20-21 ###
GOY4MU|BE4.3660|up|up|HYP HEAQ QUARTER - ALLIANCE ONE TOBACCO ARGENTINA S.A. - Ref:227207 - Lin:2705618 - Acc:GOY41D 0/14/12
GOY4MU|BE4.3662|up|up|VPN - DIRECCION PROVINCIAL DE ENERGIA DE CORRIENTES - Ref:216143 Lin:2702422 Acc:GOY41D 0/14/14y15
GOY4MU|BE4.3680|up|up|VPN SILVER - CORREO ANDREANI SA - Ref:646210 Lin:2796816 Acc:GOY41D 0/13/00
GOY4MU|BE4.3681|up|up|VPN - ORGANIZACION COORDINADORA ARGE NTINA SRL - Ref:659368 Lin:2803129 Acc:GOY41D 0/13/01
GOY4MU|BE4.3689|up|up|PRESURIZACION GOYA - REF:943600 - ACC:GOY41D 0/13/9
GOY4MU|BE4.3692|up|up|VPN Head Quarter - BNA - Ref:304408 Lin:2736084 Acc:GOY41D 0/0/12-13
GOY4MU|BE4.3698|up|up|VPN Gold - Banco Galicia - Ref:242165 - Lin:2711089 - Acc:GOY41D-13-18/19
GOY4MU|BE4.3703|up|up|VPN Head Quarter - Jumbo - Ref:300224 Lin:2735150 Acc:GOY41D-13-23
GOY4MU|BE4.3704|up|up|VPN GOLD 2M - WAL MART ARGENTINA - Ref:282036 - Lin:2730843 - Acc:GOY41D 0/13/24-25
GOY4MU|BE4.3706|up|up|VPN Gold 512K - BANCO DE CORRIENTES S.A. - Ref:672670 - Lin:2810893 - Acc:GOY41D 0/13/26
GOY4MU|BE4.3707|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:709041 Lin:2817491 Acc:GOY41D 0/13/27
GOY4MU|BE4.3808|up|up|INTEGRA LIGHT por DSLAM - JUFEC SA - Ref:596029 Lin:2775689 Acc: [GOY] GOY41D, 15, 00, V15 / HX / 065 y 066
GOY4MU|BE4.3812|up|up|INTEGRA LIGHT por DSLAM - JUFEC SA - Ref:596031 Lin:2775691 Acc: [GOY] GOY41D, 15, 04 y 05, V15 / HX / 069 y 070
GOY4MU|BE4.3817|up|up|IntegraLight - ROLON EZEQUIEL - Ref:615737 - Lin:2786831 Acc:GOY41D SHDSL-0-15-009
GOY4MU|BE4.3820|up|up|IntegraLight - CETROGAR S.A... - Ref:658727 - Lin:2808268 Acc:GOY41D 0/15/12y13
GOY4MU|BE4.3840|up|up|IntegraLight - VILAS JOAQUIN HORACIO - Ref:636831 - Lin:2789350 Acc:GOY41D SHDSL-0-14-000
GOY4MU|BE4.3842|up|up|TIPABIBGOY Ref:377527 - Lin:5605943 Acc:GOY41D SHDSL-0-14-02 4H
GOY4MU|BE4.3846|up|up|N
GOY4MU|BE4.3874|up|up|IntegraGold - GARBARINO S.A. - Ref:651838 - Lin:2799370 Acc:GOY41D SHDSL-0-13-002
GOY4MU|BE4.3876|up|up|Integra Light - ESQUIVEL SILVIA GRACIELA - Ref.682462 - Lin:2817809 - Acc:GOY41D 0-13-4/5
GOY4MU|BE4.3881|up|up|PRESURIZACION GOYA - REF:943600 - ACC:GOY41D 0/13/9
GOY4MU|BE4.3882|up|up|Gestion - GARBARINO S A - Ref:653802 Lin:2799738 Acc:GOY41D 0/13/10-11
GOY4MU|BE4.3895|up|up|VPN Branch Office - Cliente - Gestion Xavi - Ref:300224
GOY4MU|BE4.3896|up|up|GESTION - VPN GOLD 2M - WAL MART ARGENTINA - Ref:282036 - Lin:2730843 Acc:GOY41D 0/13/24-25
GOY4MU|BE4.3898|up|up|Gestion C888 VPN Gold 512K - BANCO DE CORRIENTES S.A. - Ref:672670 - Lin:2810893 - Acc:GOY41D 0/13/26
GOY4MU|BE4.3900|up|up|INTEGRA LIGHT MUNICIPALIDAD DE GOYA REF:676245 LIN:2814794 ACC:GOY41D 0 13 PF 18 y 29
GOY4MU|BE4.3902|up|up|INTEGRA LIGHT - GARCIA JOSE ALEJANDRO - ref 791642 - GOY41D 13/30-31
GOY4MU|BE4.4101|up|up|[DATOS] GOY41D HUA 5600 [ADS2][L3]
GOY4MU|BE5|up|up|[ACCESO HSI][BE] WC3G01 11000533
GOY4MU|BE5.2|up|up|[SIGN] WC3G01 HUA 5603T 11000533 [NGN]
GOY4MU|BE5.3|up|up|[RTP] WC3G01 HUA 5603T  11000533 [NGN]
GOY4MU|BE5.4|up|up|[GESTION] IPMB WC3G01 HUA 5603T11000533 [NGN]
GOY4MU|BE5.3101|up|up|[TOIP] WC3G01 HUA 5603T [VDS2]
GOY4MU|BE5.4101|up|up|[DATOS] WC3G01 HUA 5603T [VDS2][L3]
GOY4MU|BE6|up|up|[ACCESO HSI][BE] PFGG01 9704178
GOY4MU|BE6.3|up|up|[SIGN][RTP] PFGG01 HUA 5000 9704178 [NGN]
GOY4MU|BE6.4|up|up|[IPMB] PFGG01 HUA 5000 9704178 [NGN]
GOY4MU|BE6.5|up|up|[PVM] PFGG01 HUA 5000 9704178 [NGN]
GOY4MU|BE6.3101|up|up|[TOIP] PFGG01 HUA 5000 [VDS2]
