shelfname|interface|portoperationalstate|protocol|info1
GYU4MU|BE1|up|up|[ACCESO HSI][BE] GYUM01 11002117
GYU4MU|BE1.2101|up|up|[GESTION] GYUM01 ALU 7302 [VDS2]
GYU4MU|BE1.3101|up|up|[TOIP] GYUM01 ALU 7302 [VDS2]
GYU4MU|BE1.4101|up|up|[DATOS] GYUM01 ALU 7302 [VDS2][L3]
GYU4MU|BE1.4101.pppoe19|up|up| 
GYU4MU|BE1.4101.pppoe61|up|up| 
GYU4MU|BE1.4101.pppoe64|up|up| 
GYU4MU|BE1.4101.pppoe537|up|up| 
GYU4MU|BE1.4101.pppoe583|up|up| 
GYU4MU|BE1.4101.pppoe659|up|up| 
GYU4MU|BE1.4101.pppoe662|up|up| 
GYU4MU|BE1.4101.pppoe679|up|up| 
GYU4MU|BE1.4101.pppoe998|up|up| 
GYU4MU|BE1.4101.pppoe1163|up|up| 
GYU4MU|BE1.4101.pppoe1286|up|up| 
GYU4MU|BE1.4101.pppoe1310|up|up| 
GYU4MU|BE1.4101.pppoe1643|up|up| 
GYU4MU|BE1.4101.pppoe1904|up|up| 
GYU4MU|BE1.4101.pppoe2243|up|up| 
GYU4MU|BE1.4101.pppoe2672|up|up| 
GYU4MU|BE1.4101.pppoe2822|up|up| 
GYU4MU|BE1.4101.pppoe2824|up|up| 
GYU4MU|BE1.4101.pppoe3127|up|up| 
GYU4MU|BE1.4101.pppoe3128|up|up| 
GYU4MU|BE1.4101.pppoe3132|up|up| 
GYU4MU|BE1.4101.pppoe3292|up|up| 
GYU4MU|BE1.4101.pppoe3345|up|up| 
GYU4MU|BE1.4101.pppoe3355|up|up| 
GYU4MU|BE1.4101.pppoe3383|up|up| 
GYU4MU|BE1.4101.pppoe3468|up|up| 
GYU4MU|BE1.4101.pppoe3643|up|up| 
GYU4MU|BE1.4101.pppoe3761|up|up| 
GYU4MU|BE1.4101.pppoe3764|up|up| 
GYU4MU|BE1.4101.pppoe3780|up|up| 
GYU4MU|BE1.4101.pppoe3938|up|up| 
GYU4MU|BE1.4101.pppoe3949|up|up| 
GYU4MU|BE1.4101.pppoe4412|up|up| 
GYU4MU|BE1.4101.pppoe4650|up|up| 
GYU4MU|BE1.4101.pppoe5171|up|up| 
GYU4MU|BE1.4101.pppoe5278|up|up| 
GYU4MU|BE1.4101.pppoe5405|up|up| 
GYU4MU|BE1.4101.pppoe5417|up|up| 
GYU4MU|BE1.4101.pppoe5463|up|up| 
GYU4MU|BE1.4101.pppoe5467|up|up| 
GYU4MU|BE1.4101.pppoe5572|up|up| 
GYU4MU|BE1.4101.pppoe5722|up|up| 
GYU4MU|BE1.4101.pppoe5785|up|up| 
GYU4MU|BE1.4101.pppoe6340|up|up| 
GYU4MU|BE1.4101.pppoe6480|up|up| 
GYU4MU|BE1.4101.pppoe6491|up|up| 
GYU4MU|BE1.4101.pppoe6638|up|up| 
GYU4MU|BE1.4101.pppoe6914|up|up| 
GYU4MU|BE1.4101.pppoe7166|up|up| 
GYU4MU|BE1.4101.pppoe7234|up|up| 
GYU4MU|BE1.4101.pppoe7236|up|up| 
GYU4MU|BE1.4101.pppoe7238|up|up| 
GYU4MU|BE1.4101.pppoe7242|up|up| 
GYU4MU|BE1.4101.pppoe7247|up|up| 
GYU4MU|BE1.4101.pppoe7248|up|up| 
GYU4MU|BE1.4101.pppoe7249|up|up| 
GYU4MU|BE1.4101.pppoe7251|up|up| 
GYU4MU|BE1.4101.pppoe7257|up|up| 
GYU4MU|BE1.4101.pppoe7293|up|up| 
GYU4MU|BE1.4101.pppoe7517|up|up| 
GYU4MU|BE1.4101.pppoe7722|up|up| 
GYU4MU|BE1.4101.pppoe7751|up|up| 
GYU4MU|BE1.4101.pppoe7834|up|up| 
GYU4MU|BE1.4101.pppoe7851|up|up| 
GYU4MU|BE1.4101.pppoe7882|up|up| 
GYU4MU|BE1.4101.pppoe7935|up|up| 
GYU4MU|BE1.4101.pppoe7954|up|up| 
GYU4MU|BE1.4101.pppoe8109|up|up| 
GYU4MU|BE1.4101.pppoe8111|up|up| 
GYU4MU|BE1.4101.pppoe8251|up|up| 
GYU4MU|BE1.4101.pppoe8306|up|up| 
GYU4MU|BE1.4101.pppoe8336|up|up| 
GYU4MU|BE1.4101.pppoe8343|up|up| 
GYU4MU|BE1.4101.pppoe8445|up|up| 
GYU4MU|BE1.4101.pppoe8475|up|up| 
GYU4MU|BE1.4101.pppoe8651|up|up| 
GYU4MU|BE1.4101.pppoe8697|up|up| 
GYU4MU|BE1.4101.pppoe8714|up|up| 
GYU4MU|BE1.4101.pppoe8786|up|up| 
GYU4MU|BE1.4101.pppoe9028|up|up| 
GYU4MU|BE1.4101.pppoe9061|up|up| 
GYU4MU|BE1.4101.pppoe9093|up|up| 
GYU4MU|BE1.4101.pppoe9098|up|up| 
GYU4MU|BE1.4101.pppoe9177|up|up| 
GYU4MU|BE1.4101.pppoe9193|up|up| 
GYU4MU|BE1.4101.pppoe9261|up|up| 
GYU4MU|BE1.4101.pppoe9273|up|up| 
GYU4MU|BE1.4101.pppoe9373|up|up| 
GYU4MU|BE1.4101.pppoe9405|up|up| 
GYU4MU|BE1.4101.pppoe9548|up|up| 
GYU4MU|BE1.4101.pppoe9552|up|up| 
GYU4MU|BE1.4101.pppoe9615|up|up| 
GYU4MU|BE1.4101.pppoe9644|up|up| 
GYU4MU|BE1.4101.pppoe9669|up|up| 
GYU4MU|BE1.4101.pppoe9699|up|up| 
GYU4MU|BE2|up|up|[ACCESO HSI][BE] 5JAG01 11002380
GYU4MU|BE2.2|up|up|[SIGN] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.3|up|up|[RTP] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.4|up|up|[GESTION] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.3101|up|up|[TOIP] 5JAG01 HUA 5600_T [VDS2]
GYU4MU|BE2.4101|up|up|[DATOS] 5JAG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE2.4101.pppoe318|up|up| 
GYU4MU|BE2.4101.pppoe519|up|up| 
GYU4MU|BE2.4101.pppoe615|up|up| 
GYU4MU|BE2.4101.pppoe644|up|up| 
GYU4MU|BE2.4101.pppoe848|up|up| 
GYU4MU|BE2.4101.pppoe920|up|up| 
GYU4MU|BE2.4101.pppoe1315|up|up| 
GYU4MU|BE2.4101.pppoe1369|up|up| 
GYU4MU|BE2.4101.pppoe1816|up|up| 
GYU4MU|BE2.4101.pppoe2092|up|up| 
GYU4MU|BE2.4101.pppoe2220|up|up| 
GYU4MU|BE2.4101.pppoe2282|up|up| 
GYU4MU|BE2.4101.pppoe2530|up|up| 
GYU4MU|BE2.4101.pppoe2583|up|up| 
GYU4MU|BE2.4101.pppoe2690|up|up| 
GYU4MU|BE2.4101.pppoe2695|up|up| 
GYU4MU|BE2.4101.pppoe2698|up|up| 
GYU4MU|BE2.4101.pppoe2738|up|up| 
GYU4MU|BE2.4101.pppoe2764|up|up| 
GYU4MU|BE2.4101.pppoe2781|up|up| 
GYU4MU|BE2.4101.pppoe2827|up|up| 
GYU4MU|BE2.4101.pppoe2867|up|up| 
GYU4MU|BE2.4101.pppoe3069|up|up| 
GYU4MU|BE2.4101.pppoe3071|up|up| 
GYU4MU|BE2.4101.pppoe3176|up|up| 
GYU4MU|BE2.4101.pppoe3266|up|up| 
GYU4MU|BE2.4101.pppoe3373|up|up| 
GYU4MU|BE2.4101.pppoe3427|up|up| 
GYU4MU|BE2.4101.pppoe3461|up|up| 
GYU4MU|BE2.4101.pppoe3462|up|up| 
GYU4MU|BE2.4101.pppoe3494|up|up| 
GYU4MU|BE2.4101.pppoe3554|up|up| 
GYU4MU|BE2.4101.pppoe3603|up|up| 
GYU4MU|BE2.4101.pppoe3618|up|up| 
GYU4MU|BE2.4101.pppoe3671|up|up| 
GYU4MU|BE2.4101.pppoe3735|up|up| 
GYU4MU|BE2.4101.pppoe3744|up|up| 
GYU4MU|BE2.4101.pppoe3759|up|up| 
GYU4MU|BE2.4101.pppoe3822|up|up| 
GYU4MU|BE2.4101.pppoe3830|up|up| 
GYU4MU|BE2.4101.pppoe3836|up|up| 
GYU4MU|BE2.4101.pppoe3839|up|up| 
GYU4MU|BE2.4101.pppoe3898|up|up| 
GYU4MU|BE2.4101.pppoe3901|up|up| 
GYU4MU|BE2.4101.pppoe3917|up|up| 
GYU4MU|BE2.4101.pppoe3922|up|up| 
GYU4MU|BE2.4101.pppoe3929|up|up| 
GYU4MU|BE2.4101.pppoe3930|up|up| 
GYU4MU|BE2.4101.pppoe3950|up|up| 
GYU4MU|BE2.4101.pppoe3957|up|up| 
GYU4MU|BE2.4101.pppoe3991|up|up| 
GYU4MU|BE2.4101.pppoe3996|up|up| 
GYU4MU|BE2.4101.pppoe3998|up|up| 
GYU4MU|BE2.4101.pppoe4021|up|up| 
GYU4MU|BE2.4101.pppoe4028|up|up| 
GYU4MU|BE2.4101.pppoe4032|up|up| 
GYU4MU|BE2.4101.pppoe4038|up|up| 
GYU4MU|BE2.4101.pppoe4043|up|up| 
GYU4MU|BE2.4101.pppoe4046|up|up| 
GYU4MU|BE2.4101.pppoe4051|up|up| 
GYU4MU|BE2.4101.pppoe4055|up|up| 
GYU4MU|BE2.4101.pppoe4064|up|up| 
GYU4MU|BE2.4101.pppoe4070|up|up| 
GYU4MU|BE2.4101.pppoe4080|up|up| 
GYU4MU|BE2.4101.pppoe4089|up|up| 
GYU4MU|BE2.4101.pppoe4093|up|up| 
GYU4MU|BE2.4101.pppoe4094|up|up| 
GYU4MU|BE2.4101.pppoe4120|up|up| 
GYU4MU|BE2.4101.pppoe4122|up|up| 
GYU4MU|BE2.4101.pppoe4125|up|up| 
GYU4MU|BE2.4101.pppoe4131|up|up| 
GYU4MU|BE2.4101.pppoe4143|up|up| 
GYU4MU|BE2.4101.pppoe4144|up|up| 
GYU4MU|BE2.4101.pppoe4150|up|up| 
GYU4MU|BE2.4101.pppoe4156|up|up| 
GYU4MU|BE2.4101.pppoe4160|up|up| 
GYU4MU|BE2.4101.pppoe4163|up|up| 
GYU4MU|BE2.4101.pppoe4168|up|up| 
GYU4MU|BE2.4101.pppoe4172|up|up| 
GYU4MU|BE2.4101.pppoe4176|up|up| 
GYU4MU|BE2.4101.pppoe4177|up|up| 
GYU4MU|BE2.4101.pppoe4181|up|up| 
GYU4MU|BE2.4101.pppoe4191|up|up| 
GYU4MU|BE2.4101.pppoe4205|up|up| 
GYU4MU|BE2.4101.pppoe4220|up|up| 
GYU4MU|BE2.4101.pppoe4248|up|up| 
GYU4MU|BE2.4101.pppoe4270|up|up| 
GYU4MU|BE2.4101.pppoe4272|up|up| 
GYU4MU|BE2.4101.pppoe4274|up|up| 
GYU4MU|BE2.4101.pppoe4275|up|up| 
GYU4MU|BE2.4101.pppoe4276|up|up| 
GYU4MU|BE2.4101.pppoe4277|up|up| 
GYU4MU|BE2.4101.pppoe4279|up|up| 
GYU4MU|BE2.4101.pppoe4280|up|up| 
GYU4MU|BE2.4101.pppoe4283|up|up| 
GYU4MU|BE2.4101.pppoe4284|up|up| 
GYU4MU|BE2.4101.pppoe4285|up|up| 
GYU4MU|BE4|up|up|[ACCESO HSI][BE] 5JBG01 11002381
GYU4MU|BE4.2|up|up|[SIGN] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.3|up|up|[RTP] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.4|up|up|[GESTION] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.3101|up|up|[TOIP] 5JBG01 HUA 5600_T [VDS2]
GYU4MU|BE4.4101|up|up|[DATOS] 5JBG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE5|up|up|[ACCESO HSI][BE] DGXG01 11002382
GYU4MU|BE5.2|up|up|[SIGN] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.3|up|up|[RTP] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.4|up|up|[GESTION] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.3101|up|up|[TOIP] DGXG01 HUA 5600_T [VDS2]
GYU4MU|BE5.4101|up|up|[DATOS] DGXG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE6|up|up|[ACCESO HSI][BE] DDVG01 11000324
GYU4MU|BE6.3|up|up|[RTP][SIGN] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.4|up|up|[GESTION][IPMB] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.5|up|up|[GESTION][PVM] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.3101|up|up|[TOIP] DDVG01 HUA 5000 [ADS2]
GYU4MU|BE6.4101|up|up|[DATOS] DDVG01 HUA 5000 [ADS2][L3]
GYU4MU|BE7|up|up|[ACCESO HSI][BE] GYUA1D 13004393
GYU4MU|BE7.2101|up|up|[GESTION] GYUA1D HUA 5600 [ADS2]
GYU4MU|BE7.3101|up|up|[TOIP] GYUA1D HUA 5600 [ADS2]
GYU4MU|BE7.4101|up|up|[DATOS] GYUA1D HUA 5600 [ADS2][L3]
GYU4MU|BE7.4101.pppoe1486|up|up| 
GYU4MU|BE7.4101.pppoe2089|up|up| 
GYU4MU|BE7.4101.pppoe2327|up|up| 
GYU4MU|BE7.4101.pppoe3665|up|up| 
GYU4MU|BE7.4101.pppoe3778|up|up| 
GYU4MU|BE7.4101.pppoe3782|up|up| 
GYU4MU|BE7.4101.pppoe3981|up|up| 
GYU4MU|BE7.4101.pppoe4087|up|up| 
GYU4MU|BE7.4101.pppoe4471|up|up| 
GYU4MU|BE7.4101.pppoe5128|up|up| 
GYU4MU|BE7.4101.pppoe5221|up|up| 
GYU4MU|BE7.4101.pppoe5387|up|up| 
GYU4MU|BE7.4101.pppoe6037|up|up| 
GYU4MU|BE7.4101.pppoe6529|up|up| 
GYU4MU|BE7.4101.pppoe7401|up|up| 
GYU4MU|BE7.4101.pppoe8141|up|up| 
GYU4MU|BE7.4101.pppoe8493|up|up| 
GYU4MU|BE7.4101.pppoe8716|up|up| 
GYU4MU|BE8|up|up|[ACCESO HSI][BE] 1RAG01 11001596
GYU4MU|BE8.2|up|up|[SIGN] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.3|up|up|[RTP] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.4|up|up|[GESTION] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.3101|up|up|[TOIP] 1RAG01 HUA 5603_T [VDS2]
GYU4MU|BE8.4101|up|up|[DATOS] 1RAG01 HUA 5603_T [VDS2][L3]
GYU4MU|BE9|up|up|[ACCESO HSI][BE] GH4G01 11000682
GYU4MU|BE9.2|up|up|[SIGN] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.3|up|up|[RTP] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.4|up|up|[GESTION] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.3101|up|up|[TOIP] GH4G01 ZTE 5200 [ADS2]
GYU4MU|BE9.4101|up|up|[DATOS] GH4G01 ZTE 5200 [ADS2][L3]
GYU4MU|BE9.4101.pppoe32|up|up| 
GYU4MU|BE9.4101.pppoe46|up|up| 
GYU4MU|BE9.4101.pppoe55|up|up| 
GYU4MU|BE9.4101.pppoe88|up|up| 
GYU4MU|BE9.4101.pppoe106|up|up| 
GYU4MU|BE9.4101.pppoe115|up|up| 
GYU4MU|BE9.4101.pppoe125|up|up| 
GYU4MU|BE9.4101.pppoe132|up|up| 
GYU4MU|BE9.4101.pppoe194|up|up| 
