shelfname|interface|portoperationalstate|protocol|info1
LOP1MB|BE1|up|up|[HRP] LOP1MB 1 [L3] [HSI]
LOP1MB|BE1.11012602|up|up| 
LOP1MB|BE1.11012603|up|up| 
LOP1MB|BE1.11023301|up|up|GESTION MXN11C ECIV41
LOP1MB|BE1.12003201|up|up|[TOIP] DQG11C ECI V41 [ADS2]
LOP1MB|BE1.12003801|up|up|[TOIP] 0ZZG01 HUA 5600T [ADS2]
LOP1MB|BE1.12004501|up|up|[TOIP] RTZG01 HUA 5600T [ADS2]
LOP1MB|BE1.12004601|up|up|[TOIP] JDNG01 HUA 5616 [ADS2]
LOP1MB|BE1.12005001|up|up|[TOIP] 77IG01 HUA 5616 [ADS2]
LOP1MB|BE1.12005101|up|up|[TOIP] 77JG01 HUA 5616 [ADS2]
LOP1MB|BE1.12005201|up|up|[TOIP] 77KG01 HUA 5616 [ADS2]
LOP1MB|BE1.12005301|up|up|[TOIP] 77LG01 HUA 5600T [ADS2]
LOP1MB|BE1.12016301|up|up|[TOIP] 7E3G01 HUA 5600T [ADS2]
LOP1MB|BE1.12023301|up|up|[TOIP] MXN11C ECI V41 [ADS2]
LOP1MB|BE1.13003201|up|up|[DATOS] DQG11C ECI HIFS [VDS2]   
LOP1MB|BE1.13003601|up|up|[DATOS] TRCM01 HUA 5600_T [VDS2] 
LOP1MB|BE1.13003801|up|up|DSLAM 0ZZG01 MA5600T
LOP1MB|BE1.13004501|up|up|RTZG01 5600T L15003982
LOP1MB|BE1.13004601|up|up|[DATOS] JNDG01 HUA 5616 [VDS2]   
LOP1MB|BE1.13005001|up|up|DSLAM 77IG01 HW5616
LOP1MB|BE1.13005101|up|up|ADSL 77JG01 MA5616
LOP1MB|BE1.13005201|up|up|ADSL 77KG01 MA5616
LOP1MB|BE1.13005301|up|up|77LG01 5600T
LOP1MB|BE1.13012602|up|up| 
LOP1MB|BE1.13012603|up|up| 
LOP1MB|BE1.13012604|up|up| 
LOP1MB|BE1.13012605|up|up| 
LOP1MB|BE1.13012606|up|up| 
LOP1MB|BE1.13016104|up|up| 
LOP1MB|BE1.13016105|up|up| 
LOP1MB|BE1.13016301|up|up|ADSL 7E3G01 MA5600T
LOP1MB|BE1.13020601|up|up|[DATOS] 5O211C ECI HIFS [VDS2]   
LOP1MB|BE1.13021101|up|up|[DATOS] 5O311C ECI HIFS [VDS2]   
LOP1MB|BE1.13021201|up|up|[DATOS] 5O411C ECI HIFS [VDS2]   
LOP1MB|BE1.13022701|up|up|[DATOS] MXF11C ECI HIFS [VDS2]   
LOP1MB|BE1.13022801|up|up|[DATOS] MXG11C ECI HIFS [VDS2]   
LOP1MB|BE1.13022901|up|up|[DATOS] MXH11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023001|up|up|[DATOS] MXJ11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023101|up|up|[DATOS] MXK11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023201|up|up|[DATOS] MXL11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023301|up|up|DSLAM MXN11C ECIV41
LOP1MB|BE1.13023401|up|up|[DATOS] MXO11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023501|up|up|[DATOS] MXQ11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023601|up|up|[DATOS] MXR11C ECI HIFS [VDS2]   
LOP1MB|BE1.13023701|up|up|[DATOS] MXV11C ECI HIFS [VDS2]   
LOP1MB|BE1.13028301|admin-down|admin-down|[DATOS] TRC81D ZTE 9800 [ADS2]   
LOP1MB|BE1.13028402|up|up|TRC22D HW5100
LOP1MB|BE1.13028403|up|up| 
LOP1MB|BE1.13028404|up|up| 
LOP1MB|BE1.13028405|up|up| 
LOP1MB|BE1.14012601|up|up|VPN-TDATA-BCORIO - ADSL:1140050878
LOP1MB|BE1.21014701|up|down| 
LOP1MB|BE1.1299015701|up|up|[TOIP] 44JG01 HUA 5616 [ADS2]
LOP1MB|BE1.1399015701|up|up|ADSL 44JG01 MA5616
LOP1MB|BE2|up|up|[HRP] LOP1MB 2 [L3] [HSI]
LOP1MB|BE2.11000101|up|up|GESTION VMR21D HW5100
LOP1MB|BE2.11000111|up|up| 
LOP1MB|BE2.11000121|up|up|GESTION VMR51D CISCO
LOP1MB|BE2.12003201|up|up|[TOIP] LTR31D HUA 5600 [ADS2]
LOP1MB|BE2.12132301|up|up|[TOIP] 6N6G01 HUA 5603T [ADS2]
LOP1MB|BE2.13000101|up|up|VMR21D HW5100
LOP1MB|BE2.13000102|up|up| 
