shelfname|interface|portoperationalstate|protocol|info1
NOG1MU|BE1|up|up|[ACCESO HSI + G.][BE] NOG11D 9703253
NOG1MU|BE1.2101|up|up|[GESTION] NOG11D HUA 5600 [ADS2]
NOG1MU|BE1.3101|up|up|[TOIP] NOG11D HUA 5600 [ADS2]
NOG1MU|BE1.3619|up|up|## VPN GOLD AFIP Ref: 163059 Lin: 2715779 Acc:NOG11D 00/15/03##
NOG1MU|BE1.3625|up|up|##VPN SILVER - GIRE S.A. - Ref:250536 - Lin:2713956 - Acc:NOG11D 0/15/9
NOG1MU|BE1.3628|up|up|VPN GOLD - DIA ARGENTINA - Ref:308917 Lin:2738591 Acc:NOG11D 0/15/12
NOG1MU|BE1.3630|up|up|### VPN Head Quarter - ENERGIA DE ENTRE RIOS S.A. - Ref:81253 - Lin:2592127 - Acc:NOG11D 15/14
NOG1MU|BE1.3632|up|up|VPN Branch Office 1M - SCHEJTER Y SCHEJTER - Ref:537632 Lin:2752083 Acc:NOG11D0-15-16
NOG1MU|BE1.3633|up|up|VPN Head Quarter - BN - Ref:539593 Lin:2752163 Acc:NOG11D 0/15/17
NOG1MU|BE1.3635|up|up|VPN Head Quarter - DGR - Ref:90772 Lin:2717142 Acc:NOG11D Placa:15 Port:19
NOG1MU|BE1.3640|up|up|VPN Head Quarter 1024K - Conmega - Ref:224690 Lin:2704718 Acc:NOG11D Placa:15 Port:24
NOG1MU|BE1.3641|up|up|VPN Head Quarter - PODER JUDICIAL DE ENTRE RIOS - Ref:316454 Lin:2749662Acc:NOG11D:15/25
NOG1MU|BE1.3650|up|up|VPN - CORREO DE LA REPUBLICA - Ref:672743 - Linea: 2810964 - Acc: NOG11D 0/14/2
NOG1MU|BE1.3652|up|up|VPN Branch Office 2M - SCHEJTER Y SCHEJTER - Ref:537632 Lin:2752083 Acc:NOG11D 0/14/004_5
NOG1MU|BE1.3656|up|up|PRESURIZACION NOGOYA - REF:943613 - ACC:NOG11D 0/14/8
NOG1MU|BE1.3664|up|up|VPN - NUEVO BANCO DE ENTRE RIOS S.A. - Ref:115656 - Lin:2714858 - Acc:NOG11D 14/16-17
NOG1MU|BE1.3813|up|up|Integra Light 512Kbps - NEWTRONIC SA- Ref:265157Lin:2721339 Acc:NOG11D 00/15/05
NOG1MU|BE1.3831|up|up|Integra Light - SCHEJTER Y SCHEJTER SA - Ref:606309 - Lin:2779421 Acc:NOG11D SHDSL-0-15-023
NOG1MU|BE1.3838|up|up|IntegraLight - S.A. ENTE RIOS - EL DIARIO - Ref:658616 - Lin:2802643 Acc:NOG11D SHDSL-0-14-002
NOG1MU|BE1.3846|up|up|IntegraLight - ANGEL ABDO SAMID - Ref:664998 - Lin:2806534 Acc:NOG11D SHDSL-0-14-006/7
NOG1MU|BE1.3848|up|up|PRESURIZACION NOGOYA - REF:943613 - ACC:NOG11D 0/14/8
NOG1MU|BE1.3850|up|up|INTEGRA - NEWTRONIC SA - REF:265157 LIN:2721339 - ACC:NOG11D 0/14/10-11
NOG1MU|BE1.3854|up|up|INTEGRA - NEWTRONIC SA - REF:871570 LIN:2854149 - ACC:NOG11D 0/14/14-15
NOG1MU|BE1.3858|up|up|INTEGRA MIN.MODERNIZACION - Ref:738621 - Linea:2834451 - Acc:NOG11D 0/14/18-19
NOG1MU|BE1.4101|up|up|[DATOS] NOG11D HUA 5600 [ADS2][L3]
NOG1MU|BE2|up|up|[ACCESO HSI][BE] NOG21D 11003725
NOG1MU|BE2.2101|up|up|[GESTION] NOG21D HUA 5600 [ADS2]
NOG1MU|BE2.3101|up|up|[TOIP] NOG21D HUA 5600 [ADS2]
NOG1MU|BE2.4101|up|up|[DATOS] NOG21D HUA 5600 [ADS2][L3]
NOG1MU|BE2.4101.pppoe498|up|up| 
NOG1MU|BE2.4101.pppoe1004|up|up| 
NOG1MU|BE2.4101.pppoe1533|up|up| 
NOG1MU|BE2.4101.pppoe1829|up|up| 
NOG1MU|BE2.4101.pppoe1843|up|up| 
NOG1MU|BE2.4101.pppoe1954|up|up| 
NOG1MU|BE2.4101.pppoe1983|up|up| 
NOG1MU|BE2.4101.pppoe2216|up|up| 
NOG1MU|BE2.4101.pppoe2432|up|up| 
NOG1MU|BE2.4101.pppoe2755|up|up| 
NOG1MU|BE2.4101.pppoe3445|up|up| 
NOG1MU|BE2.4101.pppoe3817|up|up| 
NOG1MU|BE2.4101.pppoe4028|up|up| 
NOG1MU|BE2.4101.pppoe4071|up|up| 
NOG1MU|BE2.4101.pppoe4083|up|up| 
NOG1MU|BE2.4101.pppoe4101|up|up| 
NOG1MU|BE2.4101.pppoe4131|up|up| 
NOG1MU|BE2.4101.pppoe4530|up|up| 
NOG1MU|BE2.4101.pppoe4648|up|up| 
NOG1MU|BE2.4101.pppoe4658|up|up| 
NOG1MU|BE2.4101.pppoe4705|up|up| 
NOG1MU|BE2.4101.pppoe4940|up|up| 
NOG1MU|BE2.4101.pppoe4944|up|up| 
NOG1MU|BE2.4101.pppoe5008|up|up| 
NOG1MU|BE2.4101.pppoe5052|up|up| 
NOG1MU|BE2.4101.pppoe5222|up|up| 
NOG1MU|BE2.4101.pppoe5280|up|up| 
NOG1MU|BE2.4101.pppoe5395|up|up| 
NOG1MU|BE2.4101.pppoe5397|up|up| 
NOG1MU|BE2.4101.pppoe5401|up|up| 
NOG1MU|BE2.4101.pppoe5409|up|up| 
NOG1MU|BE2.4101.pppoe5425|up|up| 
NOG1MU|BE2.4101.pppoe5446|up|up| 
NOG1MU|BE2.4101.pppoe5452|up|up| 
NOG1MU|BE2.4101.pppoe5462|up|up| 
NOG1MU|BE2.4101.pppoe5463|up|up| 
NOG1MU|BE2.4101.pppoe5501|up|up| 
NOG1MU|BE2.4101.pppoe5541|up|up| 
NOG1MU|BE2.4101.pppoe5602|up|up| 
NOG1MU|BE2.4101.pppoe5637|up|up| 
NOG1MU|BE2.4101.pppoe5704|up|up| 
NOG1MU|BE2.4101.pppoe5718|up|up| 
NOG1MU|BE2.4101.pppoe5725|up|up| 
NOG1MU|BE2.4101.pppoe5726|up|up| 
NOG1MU|BE2.4101.pppoe5728|up|up| 
NOG1MU|BE2.4101.pppoe5745|up|up| 
NOG1MU|BE2.4101.pppoe5752|up|up| 
NOG1MU|BE2.4101.pppoe5770|up|up| 
NOG1MU|BE2.4101.pppoe5878|up|up| 
NOG1MU|BE2.4101.pppoe5883|up|up| 
NOG1MU|BE2.4101.pppoe6163|up|up| 
NOG1MU|BE2.4101.pppoe6189|up|up| 
NOG1MU|BE2.4101.pppoe6356|up|up| 
NOG1MU|BE2.4101.pppoe6411|up|up| 
NOG1MU|BE2.4101.pppoe6475|up|up| 
NOG1MU|BE2.4101.pppoe6488|up|up| 
NOG1MU|BE2.4101.pppoe6516|up|up| 
NOG1MU|BE2.4101.pppoe6626|up|up| 
NOG1MU|BE2.4101.pppoe6768|up|up| 
NOG1MU|BE2.4101.pppoe7161|up|up| 
NOG1MU|BE2.4101.pppoe7190|up|up| 
NOG1MU|BE2.4101.pppoe7206|up|up| 
NOG1MU|BE2.4101.pppoe7215|up|up| 
NOG1MU|BE2.4101.pppoe7273|up|up| 
NOG1MU|BE2.4101.pppoe7326|up|up| 
NOG1MU|BE2.4101.pppoe7422|up|up| 
NOG1MU|BE2.4101.pppoe7436|up|up| 
NOG1MU|BE2.4101.pppoe7673|up|up| 
NOG1MU|BE2.4101.pppoe7716|up|up| 
NOG1MU|BE2.4101.pppoe7771|up|up| 
