shelfname|interface|portoperationalstate|protocol|info1
TRC3MU|BE1|up|up|[ACCESO HSI][BE] 1FN11C 15004654
TRC3MU|BE1.2101|up|up|[GESTION] 1FN11C ECI HIFS [VDS2]
TRC3MU|BE1.3101|up|up|[TOIP] 1FN11C ECI HIFS [VDS2]
TRC3MU|BE1.4101|up|up|[DATOS] 1FN11C ECI HIFS [VDS2][L3]
TRC3MU|BE2|up|up|[ACCESO HSI][BE] DQ011C 15002649
TRC3MU|BE2.2101|up|up|[GESTION] DQ011C ECI HIFS [VDS2]
TRC3MU|BE2.3101|up|up|[TOIP] DQ011C ECI HIFS [VDS2]
TRC3MU|BE2.4101|up|up|[DATOS] DQ011C ECI HIFS [VDS2][L3]
TRC3MU|BE2.4101.pppoe7921|up|up| 
TRC3MU|BE2.4101.pppoe7963|up|up| 
TRC3MU|BE2.4101.pppoe8433|up|up| 
TRC3MU|BE2.4101.pppoe8800|up|up| 
TRC3MU|BE2.4101.pppoe8847|up|up| 
TRC3MU|BE2.4101.pppoe8859|up|up| 
TRC3MU|BE2.4101.pppoe8863|up|up| 
TRC3MU|BE2.4101.pppoe8924|up|up| 
TRC3MU|BE2.4101.pppoe9077|up|up| 
TRC3MU|BE2.4101.pppoe9107|up|up| 
TRC3MU|BE2.4101.pppoe9133|up|up| 
TRC3MU|BE2.4101.pppoe9183|up|up| 
TRC3MU|BE2.4101.pppoe9204|up|up| 
TRC3MU|BE2.4101.pppoe9216|up|up| 
TRC3MU|BE2.4101.pppoe9524|up|up| 
TRC3MU|BE2.4101.pppoe9547|up|up| 
TRC3MU|BE2.4101.pppoe9605|up|up| 
TRC3MU|BE2.4101.pppoe9883|up|up| 
TRC3MU|BE2.4101.pppoe9974|up|up| 
TRC3MU|BE3|up|up|[ACCESO HSI][BE] DQ311C 15002652
TRC3MU|BE3.2101|up|up|[GESTION] DQ311C ECI HIFS [VDS2]
TRC3MU|BE3.3101|up|up|[TOIP] DQ311C ECI HIFS [VDS2]
TRC3MU|BE3.4101|up|up|[DATOS] DQ311C ECI HIFS [VDS2][L3]
TRC3MU|BE4|up|up|[ACCESO HSI][BE] DQ411C 15002653
TRC3MU|BE4.2101|up|up|[GESTION] DQ411C ECI HIFS [VDS2]
TRC3MU|BE4.3101|up|up|[TOIP] DQ411C ECI HIFS [VDS2]
TRC3MU|BE4.4101|up|up|[DATOS] DQ411C ECI HIFS [VDS2][L3]
TRC3MU|BE4.4101.pppoe756|up|up| 
TRC3MU|BE4.4101.pppoe824|up|up| 
TRC3MU|BE4.4101.pppoe1394|up|up| 
TRC3MU|BE4.4101.pppoe2002|up|up| 
