shelfname|interface|portoperationalstate|protocol|info1
ACN2MU|Eth-Trunk1|up|down|[ACCESO HSI][VI] ACN91D 13003398
ACN2MU|Eth-Trunk1.2101|up|up|[GESTION] ACN91D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk1.3101|up|up|[TOIP] ACN91D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk1.4101|up|up|[DATOS] ACN91D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk9|up|down|LAG 1+1 ACN21D 9701518
ACN2MU|Eth-Trunk9.2101|up|up|[GESTION] ACN21D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk9.3101|up|up|[TOIP] ACN21D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk9.3652|up|up|VPN SILVER - SERV.ELECTRONICO DE PAGO S.A. - Ref:226734 Lin:2705481 Acc:ACN21D
ACN2MU|Eth-Trunk9.3654|up|up|VPN Head Quarter - Refinor - Ref:561536 Lin:2759006 Acc:ACN21D 14 06
ACN2MU|Eth-Trunk9.3656|up|up|VPN Branch Office - VALLEFERTIL SA - Ref 554059 Lin 2759671 Acc ACN21D-14-08
ACN2MU|Eth-Trunk9.3663|up|up|VPN-GIRE-REFE:639466-LINEA:2791031-ACC:ACN21D-0-14-15
ACN2MU|Eth-Trunk9.3664|up|up|BANCO MACRO REFERENCIA: 920725 LINEA 2866339 ACCESO: ACN21D/0/14/16-17 VPN-GOLD
ACN2MU|Eth-Trunk9.3814|up|up|INTEGRA LIGHT - VALLE FERTIL S A - Ref:872155 - Lin:2954974 - Acc:ACN21D 0/15/6-7
ACN2MU|Eth-Trunk9.3816|up|up|Integra INTEGRA 4M - LIBERTAD - REF:740958 LIN:2835846 - ACN21D 0/15/8-9
ACN2MU|Eth-Trunk9.3846|up|up|Gestion - Refinor - Ref:561536 Lin:2759006 Acc:ACN21D 14 06
ACN2MU|Eth-Trunk9.3853|up|up|Integra Light - MUNICIPALIDAD DE LAS TALITAS - Ref:710270 - Lin:2818240 - Acc:ACN21D 14 - 13
ACN2MU|Eth-Trunk9.3856|up|up|BANCO MACRO REFERENCIA: 920725 LINEA 2866339 ACCESO: ACN21D/0/14/16-17 GESTION
ACN2MU|Eth-Trunk9.3862|up|down|integra 2M - Suizo Argentina - Ref:730646 Lin:2828851 Acc:ACN21D 14/22-23
ACN2MU|Eth-Trunk9.3865|up|up|IntegraLight - DISAL S A - Ref:640531 - Lin:2792489 Acc:ACN21D SHDSL-0-14-025
ACN2MU|Eth-Trunk9.4101|up|up|[DATOS] ACN21D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk10|up|down|[ACCESO HSI][VI] ACN41D 13003379
ACN2MU|Eth-Trunk10.2101|up|up|[GESTION] ACN41D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk10.3101|up|up|[TOIP] ACN41D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk10.4101|up|up|[DATOS] ACN41D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk11|up|down|LAG 1+1 ACN51D L 13003380
ACN2MU|Eth-Trunk11.2101|up|up|[GESTION] ACN51D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk11.3101|up|up|[TOIP] ACN51D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk11.4101|up|up|[DATOS] ACN51D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk12|up|down|[ACCESO HSI][VI] ACN61D 13003381
ACN2MU|Eth-Trunk12.2101|up|up|[GESTION] ACN61D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk12.3101|up|up|[TOIP] ACN61D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk12.4101|up|up|[DATOS] ACN61D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk13|up|down|LAG 1+1 ACN81D L 13003397
ACN2MU|Eth-Trunk13.2101|up|up|[GESTION] ACN81D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk13.3101|up|up|[TOIP] ACN81D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk13.4101|up|up|[DATOS] ACN81D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk14|up|down|LAG 1+1 ACN31D 9704488
ACN2MU|Eth-Trunk14.2101|up|up|[GESTION] ACN31D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk14.3101|up|up|[TOIP] ACN31D HUA 5600 [ADS2]
ACN2MU|Eth-Trunk14.4101|up|up|[DATOS] ACN31D HUA 5600 [ADS2][L2]
ACN2MU|Eth-Trunk17|up|down|LAG 1+1 ACNM01 - 13002352
ACN2MU|Eth-Trunk17.2101|up|up|[GESTION] ACNM01 ALU 7302 [VDS2]
ACN2MU|Eth-Trunk17.3101|up|up|[TOIP] ACNM01 ALU 7302 [VDS2]
ACN2MU|Eth-Trunk17.4101|up|up|[DATOS] ACNM01 ALU 7302 [VDS2][L2]
ACN2MU|GE0/0/0|*down|down|
ACN2MU|GE1/0/0|up|up|CONEXION 1/2 ACN21D HSI - 9701518
ACN2MU|GE1/0/1|up|up|CONEXION 1/2 ACN31D HSI - 9704488
ACN2MU|GE1/0/2|up|down|[ACCESO HSI][FI] ACN11D 9701519
ACN2MU|GE1/0/2.2101|up|up|[GESTION] ACN11D HUA 5100 [ADSL]
ACN2MU|GE1/0/2.4101|up|up|[DATOS] ACN11D HUA 5100 [ADSL][L3]
ACN2MU|GE1/0/3|up|down|[ACCESO][NGN] ACNG01 9702339
ACN2MU|GE1/0/3.2|up|up|SIGNALING NGN ACNG01 ACCESO_NORTE - 9702339
ACN2MU|GE1/0/3.3|up|up|SIGNALING NGN ACNG01 ACCESO_NORTE - 9702339
ACN2MU|GE1/0/3.5|up|up|GESTION PVM NGN ACNG01 ACCESO_NORTE - 9702339
ACN2MU|GE1/0/4|up|up|[ACCESO HSI][VI]CONEXION 1/2 ACNM01 ALU7302 - 13002352
ACN2MU|GE1/0/5|up|up|CONEXION 1/2 ACN41D HSI
ACN2MU|GE1/0/6|up|up|CONEXION 1/2 ACN51D HSI
ACN2MU|GE1/0/7|up|up|CONEXION 1/2 ACN61D HSI
ACN2MU|GE1/0/8|up|up|CONEXION 1/2 ACN81D HSI
ACN2MU|GE1/0/9|up|up|CONEXION 1/2 ACN91D HSI
ACN2MU|GE1/0/10|up|down|[ACCESO HSI][FI] ACNA1D 13003399
ACN2MU|GE1/0/10.2101|up|up|[GESTION] ACNA1D HUA 5600 [ADS2]
ACN2MU|GE1/0/10.3101|up|up|[TOIP] ACNA1D HUA 5600 [ADS2]
ACN2MU|GE1/0/10.4101|up|up|[DATOS] ACNA1D HUA 5600 [ADS2][L3]
